PU Histórico - Gerado em 31/08/2019 21:17:02

Data do PU	Ativo	Valor Nominal	Juros	Prêmio	Preço Unitário	Critério de Cálculo	Situação	
30/08/2019	AGRU12	1.242,008662	69,119342	-	1.311,128003	Padrão - SND	Reg.	
29/08/2019	AGRU12	1.241,935315	68,792556	-	1.310,727871	Padrão - SND	Reg.	
28/08/2019	AGRU12	1.241,861994	68,465888	-	1.310,327882	Padrão - SND	Reg.	
27/08/2019	AGRU12	1.241,788660	68,139338	-	1.309,927997	Padrão - SND	Reg.	
26/08/2019	AGRU12	1.241,715326	67,812905	-	1.309,528231	Padrão - SND	Reg.	
23/08/2019	AGRU12	1.241,642004	67,486590	-	1.309,128594	Padrão - SND	Reg.	
22/08/2019	AGRU12	1.241,681393	67,166489	-	1.308,847882	Padrão - SND	Reg.	
21/08/2019	AGRU12	1.241,585521	66,839166	-	1.308,424687	Padrão - SND	Reg.	
20/08/2019	AGRU12	1.241,489662	66,511972	-	1.308,001634	Padrão - SND	Reg.	
19/08/2019	AGRU12	1.241,393815	66,184908	-	1.307,578722	Padrão - SND	Reg.	
16/08/2019	AGRU12	1.241,297992	65,857974	-	1.307,155965	Padrão - SND	Reg.	
15/08/2019	AGRU12	1.241,202157	65,531168	-	1.306,733325	Padrão - SND	Reg.	
14/08/2019	AGRU12	1.241,099694	65,204144	-	1.306,303838	Padrão - SND	Reg.	
13/08/2019	AGRU12	1.240,997232	64,877250	-	1.305,874482	Padrão - SND	Reg.	
12/08/2019	AGRU12	1.240,894794	64,550492	-	1.305,445286	Padrão - SND	Reg.	
09/08/2019	AGRU12	1.240,792355	64,223865	-	1.305,016220	Padrão - SND	Reg.	
08/08/2019	AGRU12	1.240,980114	63,912315	-	1.304,892429	Padrão - SND	Reg.	
07/08/2019	AGRU12	1.240,861561	63,585052	-	1.304,446613	Padrão - SND	Reg.	
06/08/2019	AGRU12	1.240,742995	63,257928	-	1.304,000923	Padrão - SND	Reg.	
05/08/2019	AGRU12	1.240,624454	62,930946	-	1.303,555399	Padrão - SND	Reg.	
02/08/2019	AGRU12	1.240,505924	62,604104	-	1.303,110028	Padrão - SND	Reg.	
01/08/2019	AGRU12	1.240,387407	62,277403	-	1.302,664810	Padrão - SND	Reg.	
31/07/2019	AGRU12	1.240,268889	61,950843	-	1.302,219732	Padrão - SND	Reg.	
30/07/2019	AGRU12	1.240,150396	61,624425	-	1.301,774821	Padrão - SND	Reg.	
29/07/2019	AGRU12	1.240,031903	61,298146	-	1.301,330049	Padrão - SND	Reg.	
26/07/2019	AGRU12	1.239,913434	60,972008	-	1.300,885442	Padrão - SND	Reg.	
25/07/2019	AGRU12	1.239,794965	60,646011	-	1.300,440976	Padrão - SND	Reg.	
24/07/2019	AGRU12	1.239,676508	60,320153	-	1.299,996661	Padrão - SND	Reg.	
23/07/2019	AGRU12	1.239,590342	59,996000	-	1.299,586342	Padrão - SND	Reg.	
22/07/2019	AGRU12	1.239,466525	59,670157	-	1.299,136682	Padrão - SND	Reg.	
19/07/2019	AGRU12	1.239,342732	59,344457	-	1.298,687189	Padrão - SND	Reg.	
18/07/2019	AGRU12	1.239,218940	59,018900	-	1.298,237840	Padrão - SND	Reg.	
17/07/2019	AGRU12	1.239,095171	58,693486	-	1.297,788657	Padrão - SND	Reg.	
16/07/2019	AGRU12	1.238,971415	58,368216	-	1.297,339631	Padrão - SND	Reg.	
15/07/2019	AGRU12	1.238,847658	58,043089	-	1.296,890747	Padrão - SND	Reg.	
12/07/2019	AGRU12	1.238,841164	57,723566	-	1.296,564730	Padrão - SND	Reg.	
11/07/2019	AGRU12	1.238,834657	57,404127	-	1.296,238784	Padrão - SND	Reg.	
10/07/2019	AGRU12	1.238,411167	57,065553	-	1.295,476720	Padrão - SND	Reg.	
09/07/2019	AGRU12	1.238,430735	56,747579	-	1.295,178314	Padrão - SND	Reg.	
08/07/2019	AGRU12	1.238,450279	56,429671	-	1.294,879950	Padrão - SND	Reg.	
05/07/2019	AGRU12	1.238,469834	56,111833	-	1.294,581668	Padrão - SND	Reg.	
04/07/2019	AGRU12	1.238,489402	55,794064	-	1.294,283466	Padrão - SND	Reg.	
03/07/2019	AGRU12	1.238,508958	55,476363	-	1.293,985321	Padrão - SND	Reg.	
02/07/2019	AGRU12	1.238,528514	55,158729	-	1.293,687243	Padrão - SND	Reg.	
01/07/2019	AGRU12	1.238,548081	54,841165	-	1.293,389247	Padrão - SND	Reg.	
28/06/2019	AGRU12	1.238,567637	54,523670	-	1.293,091307	Padrão - SND	Reg.	
27/06/2019	AGRU12	1.238,587193	54,206241	-	1.292,793434	Padrão - SND	Reg.	
26/06/2019	AGRU12	1.238,606761	53,888882	-	1.292,495643	Padrão - SND	Reg.	
25/06/2019	AGRU12	1.238,756712	53,577230	-	1.292,333942	Padrão - SND	Reg.	
24/06/2019	AGRU12	1.238,750194	53,258852	-	1.292,009045	Padrão - SND	Reg.	
21/06/2019	AGRU12	1.238,743675	52,940556	-	1.291,684231	Padrão - SND	Reg.	
19/06/2019	AGRU12	1.238,737156	52,622341	-	1.291,359497	Padrão - SND	Reg.	
18/06/2019	AGRU12	1.238,730638	52,304208	-	1.291,034846	Padrão - SND	Reg.	
17/06/2019	AGRU12	1.238,847996	51,991356	-	1.290,839352	Padrão - SND	Reg.	
14/06/2019	AGRU12	1.238,654153	51,665541	-	1.290,319694	Padrão - SND	Reg.	
13/06/2019	AGRU12	1.238,584187	51,345039	-	1.289,929226	Padrão - SND	Reg.	
12/06/2019	AGRU12	1.238,514209	51,024650	-	1.289,538859	Padrão - SND	Reg.	
11/06/2019	AGRU12	1.238,444243	50,704377	-	1.289,148620	Padrão - SND	Reg.	
10/06/2019	AGRU12	1.238,374277	50,384216	3,221896	1.288,758493	Padrão - SND	Reg.	
07/06/2019	AGRU12	1.239,309500	50,104810	-	1.289,414309	Padrão - SND	Reg.	
06/06/2019	AGRU12	1.239,180347	49,782243	-	1.288,962590	Padrão - SND	Reg.	
05/06/2019	AGRU12	1.239,051207	49,459819	-	1.288,511026	Padrão - SND	Reg.	
04/06/2019	AGRU12	1.238,922079	49,137541	-	1.288,059620	Padrão - SND	Reg.	
03/06/2019	AGRU12	1.238,792963	48,815408	-	1.287,608371	Padrão - SND	Reg.	
31/05/2019	AGRU12	1.238,663847	48,493420	-	1.287,157266	Padrão - SND	Reg.	
30/05/2019	AGRU12	1.238,534755	48,171574	-	1.286,706329	Padrão - SND	Reg.	
29/05/2019	AGRU12	1.238,405687	47,849876	-	1.286,255562	Padrão - SND	Reg.	
28/05/2019	AGRU12	1.238,276619	47,528321	-	1.285,804940	Padrão - SND	Reg.	
27/05/2019	AGRU12	1.238,147575	47,206910	-	1.285,354485	Padrão - SND	Reg.	
24/05/2019	AGRU12	1.238,206436	46,892759	-	1.285,099194	Padrão - SND	Reg.	
23/05/2019	AGRU12	1.238,050569	46,570580	-	1.284,621149	Padrão - SND	Reg.	
22/05/2019	AGRU12	1.237,894703	46,248557	-	1.284,143260	Padrão - SND	Reg.	
21/05/2019	AGRU12	1.237,738848	45,926692	-	1.283,665541	Padrão - SND	Reg.	
20/05/2019	AGRU12	1.237,583018	45,604986	-	1.283,188004	Padrão - SND	Reg.	
17/05/2019	AGRU12	1.237,427224	45,283439	-	1.282,710663	Padrão - SND	Reg.	
16/05/2019	AGRU12	1.237,271430	44,962048	-	1.282,233478	Padrão - SND	Reg.	
15/05/2019	AGRU12	1.237,115660	44,640816	-	1.281,756477	Padrão - SND	Reg.	
14/05/2019	AGRU12	1.236,764164	44,312728	-	1.281,076892	Padrão - SND	Reg.	
13/05/2019	AGRU12	1.236,412740	43,984900	-	1.280,397640	Padrão - SND	Reg.	
10/05/2019	AGRU12	1.236,479628	43,672103	-	1.280,151731	Padrão - SND	Reg.	
09/05/2019	AGRU12	1.236,103711	43,343822	-	1.279,447534	Padrão - SND	Reg.	
08/05/2019	AGRU12	1.235,727891	43,015814	-	1.278,743705	Padrão - SND	Reg.	
07/05/2019	AGRU12	1.235,352204	42,688080	-	1.278,040284	Padrão - SND	Reg.	
06/05/2019	AGRU12	1.234,976613	42,360618	-	1.277,337231	Padrão - SND	Reg.	
03/05/2019	AGRU12	1.234,601143	42,033428	-	1.276,634571	Padrão - SND	Reg.	
02/05/2019	AGRU12	1.234,225794	41,706511	-	1.275,932305	Padrão - SND	Reg.	
30/04/2019	AGRU12	1.233,850565	41,379867	-	1.275,230432	Padrão - SND	Reg.	
29/04/2019	AGRU12	1.233,475433	41,053494	-	1.274,528927	Padrão - SND	Reg.	
26/04/2019	AGRU12	1.233,100422	40,727393	-	1.273,827815	Padrão - SND	Reg.	
25/04/2019	AGRU12	1.232,425278	40,391723	-	1.272,817001	Padrão - SND	Reg.	
24/04/2019	AGRU12	1.232,093458	40,067639	-	1.272,161097	Padrão - SND	Reg.	
23/04/2019	AGRU12	1.231,761735	39,743804	-	1.271,505539	Padrão - SND	Reg.	
22/04/2019	AGRU12	1.231,430096	39,420216	-	1.270,850313	Padrão - SND	Reg.	
18/04/2019	AGRU12	1.231,098542	39,096877	-	1.270,195419	Padrão - SND	Reg.	
17/04/2019	AGRU12	1.230,767097	38,773788	-	1.269,540884	Padrão - SND	Reg.	
16/04/2019	AGRU12	1.230,435712	38,450944	-	1.268,886655	Padrão - SND	Reg.	
15/04/2019	AGRU12	1.230,104447	38,128351	-	1.268,232798	Padrão - SND	Reg.	
