PU Histórico - Gerado em 26/05/2019 20:53:27

Data do PU	Ativo	Valor Nominal	Juros	Prêmio	Preço Unitário	Critério de Cálculo	Situação	
24/05/2019	ALMJ11	989,455000	5,247415	-	994,702415	Padrão - SND	Reg.	
23/05/2019	ALMJ11	989,455000	4,918638	-	994,373638	Padrão - SND	Reg.	
22/05/2019	ALMJ11	989,455000	4,589969	-	994,044969	Padrão - SND	Reg.	
21/05/2019	ALMJ11	989,455000	4,261409	-	993,716409	Padrão - SND	Reg.	
20/05/2019	ALMJ11	989,455000	3,932955	-	993,387955	Padrão - SND	Reg.	
17/05/2019	ALMJ11	989,455000	3,604620	-	993,059620	Padrão - SND	Reg.	
16/05/2019	ALMJ11	989,455000	3,276382	-	992,731382	Padrão - SND	Reg.	
15/05/2019	ALMJ11	989,455000	2,948253	-	992,403253	Padrão - SND	Reg.	
14/05/2019	ALMJ11	989,455000	2,620241	-	992,075241	Padrão - SND	Reg.	
13/05/2019	ALMJ11	989,455000	2,292326	-	991,747326	Padrão - SND	Reg.	
10/05/2019	ALMJ11	989,455000	1,964530	-	991,419530	Padrão - SND	Reg.	
09/05/2019	ALMJ11	989,455000	1,636841	-	991,091841	Padrão - SND	Reg.	
08/05/2019	ALMJ11	989,455000	1,309250	-	990,764250	Padrão - SND	Reg.	
07/05/2019	ALMJ11	989,455000	0,981776	-	990,436776	Padrão - SND	Reg.	
06/05/2019	ALMJ11	989,455000	0,654410	-	990,109410	Padrão - SND	Reg.	
03/05/2019	ALMJ11	989,455000	0,327151	-	989,782151	Padrão - SND	Reg.	
02/05/2019	ALMJ11	989,455000	-  	-	989,455000	Padrão - SND	Reg.	
30/04/2019	ALMJ11	990,580000	6,241490	-	996,821490	Padrão - SND	Reg.	
29/04/2019	ALMJ11	990,580000	5,912016	-	996,492016	Padrão - SND	Reg.	
26/04/2019	ALMJ11	990,580000	5,582638	-	996,162638	Padrão - SND	Reg.	
25/04/2019	ALMJ11	990,580000	5,253382	-	995,833382	Padrão - SND	Reg.	
24/04/2019	ALMJ11	990,580000	4,924231	-	995,504231	Padrão - SND	Reg.	
23/04/2019	ALMJ11	990,580000	4,595188	-	995,175188	Padrão - SND	Reg.	
22/04/2019	ALMJ11	990,580000	4,266254	-	994,846254	Padrão - SND	Reg.	
18/04/2019	ALMJ11	990,580000	3,937427	-	994,517427	Padrão - SND	Reg.	
17/04/2019	ALMJ11	990,580000	3,608719	-	994,188719	Padrão - SND	Reg.	
16/04/2019	ALMJ11	990,580000	3,280108	-	993,860108	Padrão - SND	Reg.	
15/04/2019	ALMJ11	990,580000	2,951605	-	993,531605	Padrão - SND	Reg.	
12/04/2019	ALMJ11	990,580000	2,623220	-	993,203220	Padrão - SND	Reg.	
11/04/2019	ALMJ11	990,580000	2,294932	-	992,874932	Padrão - SND	Reg.	
10/04/2019	ALMJ11	990,580000	1,966764	-	992,546764	Padrão - SND	Reg.	
09/04/2019	ALMJ11	990,580000	1,638702	-	992,218702	Padrão - SND	Reg.	
08/04/2019	ALMJ11	990,580000	1,310738	-	991,890738	Padrão - SND	Reg.	
05/04/2019	ALMJ11	990,580000	0,982892	-	991,562892	Padrão - SND	Reg.	
04/04/2019	ALMJ11	990,580000	0,655154	-	991,235154	Padrão - SND	Reg.	
03/04/2019	ALMJ11	990,580000	0,327523	-	990,907523	Padrão - SND	Reg.	
02/04/2019	ALMJ11	990,580000	-  	-	990,580000	Padrão - SND	Reg.	
01/04/2019	ALMJ11	991,930000	5,920072	-	997,850072	Padrão - SND	Reg.	
29/03/2019	ALMJ11	991,930000	5,590247	-	997,520247	Padrão - SND	Reg.	
28/03/2019	ALMJ11	991,930000	5,260540	-	997,190540	Padrão - SND	Reg.	
27/03/2019	ALMJ11	991,930000	4,930941	-	996,860941	Padrão - SND	Reg.	
26/03/2019	ALMJ11	991,930000	4,601450	-	996,531450	Padrão - SND	Reg.	
25/03/2019	ALMJ11	991,930000	4,272067	-	996,202067	Padrão - SND	Reg.	
22/03/2019	ALMJ11	991,930000	3,942793	-	995,872793	Padrão - SND	Reg.	
21/03/2019	ALMJ11	991,930000	3,613637	-	995,543637	Padrão - SND	Reg.	
