PU Histórico - Gerado em 26/05/2019 20:53:34

Data do PU	Ativo	Valor Nominal	Juros	Prêmio	Preço Unitário	Critério de Cálculo	Situação	
24/05/2019	AMAR14	1,000000	0,001292	-	1,001292	Padrão - SND	Reg.	
23/05/2019	AMAR14	1,000000	0,000969	-	1,000969	Padrão - SND	Reg.	
22/05/2019	AMAR14	1,000000	0,000646	-	1,000646	Padrão - SND	Reg.	
21/05/2019	AMAR14	1,000000	0,000323	-	1,000323	Padrão - SND	Reg.	
20/05/2019	AMAR14	1,000000	-  	-	1,000000	Padrão - SND	Reg.	
17/05/2019	AMAR14	1,000000	0,005827	-	1,005827	Padrão - SND	Reg.	
16/05/2019	AMAR14	1,000000	0,005503	-	1,005503	Padrão - SND	Reg.	
15/05/2019	AMAR14	1,000000	0,005178	-	1,005178	Padrão - SND	Reg.	
14/05/2019	AMAR14	1,000000	0,004854	-	1,004854	Padrão - SND	Reg.	
13/05/2019	AMAR14	1,000000	0,004530	-	1,004530	Padrão - SND	Reg.	
10/05/2019	AMAR14	1,000000	0,004205	-	1,004205	Padrão - SND	Reg.	
09/05/2019	AMAR14	1,000000	0,003881	-	1,003881	Padrão - SND	Reg.	
08/05/2019	AMAR14	1,000000	0,003557	-	1,003557	Padrão - SND	Reg.	
07/05/2019	AMAR14	1,000000	0,003233	-	1,003233	Padrão - SND	Reg.	
06/05/2019	AMAR14	1,000000	0,002909	-	1,002909	Padrão - SND	Reg.	
03/05/2019	AMAR14	1,000000	0,002586	-	1,002586	Padrão - SND	Reg.	
02/05/2019	AMAR14	1,000000	0,002262	-	1,002262	Padrão - SND	Reg.	
30/04/2019	AMAR14	1,000000	0,001939	-	1,001939	Padrão - SND	Reg.	
29/04/2019	AMAR14	1,000000	0,001615	-	1,001615	Padrão - SND	Reg.	
26/04/2019	AMAR14	1,000000	0,001292	-	1,001292	Padrão - SND	Reg.	
25/04/2019	AMAR14	1,000000	0,000969	-	1,000969	Padrão - SND	Reg.	
24/04/2019	AMAR14	1,000000	0,000646	-	1,000646	Padrão - SND	Reg.	
23/04/2019	AMAR14	1,000000	0,000323	-	1,000323	Padrão - SND	Reg.	
22/04/2019	AMAR14	1,000000	-  	-	1,000000	Padrão - SND	Reg.	
18/04/2019	AMAR14	1,000000	0,006802	-	1,006802	Padrão - SND	Reg.	
17/04/2019	AMAR14	1,000000	0,006477	-	1,006477	Padrão - SND	Reg.	
16/04/2019	AMAR14	1,000000	0,006152	-	1,006152	Padrão - SND	Reg.	
15/04/2019	AMAR14	1,000000	0,005827	-	1,005827	Padrão - SND	Reg.	
12/04/2019	AMAR14	1,000000	0,005503	-	1,005503	Padrão - SND	Reg.	
11/04/2019	AMAR14	1,000000	0,005178	-	1,005178	Padrão - SND	Reg.	
10/04/2019	AMAR14	1,000000	0,004854	-	1,004854	Padrão - SND	Reg.	
09/04/2019	AMAR14	1,000000	0,004530	-	1,004530	Padrão - SND	Reg.	
08/04/2019	AMAR14	1,000000	0,004205	-	1,004205	Padrão - SND	Reg.	
05/04/2019	AMAR14	1,000000	0,003881	-	1,003881	Padrão - SND	Reg.	
04/04/2019	AMAR14	1,000000	0,003557	-	1,003557	Padrão - SND	Reg.	
03/04/2019	AMAR14	1,000000	0,003233	-	1,003233	Padrão - SND	Reg.	
02/04/2019	AMAR14	1,000000	0,002909	-	1,002909	Padrão - SND	Reg.	
01/04/2019	AMAR14	1,000000	0,002586	-	1,002586	Padrão - SND	Reg.	
29/03/2019	AMAR14	1,000000	0,002262	-	1,002262	Padrão - SND	Reg.	
28/03/2019	AMAR14	1,000000	0,001939	-	1,001939	Padrão - SND	Reg.	
27/03/2019	AMAR14	1,000000	0,001615	-	1,001615	Padrão - SND	Reg.	
26/03/2019	AMAR14	1,000000	0,001292	-	1,001292	Padrão - SND	Reg.	
25/03/2019	AMAR14	1,000000	0,000969	-	1,000969	Padrão - SND	Reg.	
22/03/2019	AMAR14	1,000000	0,000646	-	1,000646	Padrão - SND	Reg.	
21/03/2019	AMAR14	1,000000	0,000323	-	1,000323	Padrão - SND	Reg.	
20/03/2019	AMAR14	1,000000	-  	-	1,000000	Padrão - SND	Reg.	
19/03/2019	AMAR14	1,000000	0,005503	-	1,005503	Padrão - SND	Reg.	
18/03/2019	AMAR14	1,000000	0,005178	-	1,005178	Padrão - SND	Reg.	
15/03/2019	AMAR14	1,000000	0,004854	-	1,004854	Padrão - SND	Reg.	
14/03/2019	AMAR14	1,000000	0,004530	-	1,004530	Padrão - SND	Reg.	
13/03/2019	AMAR14	1,000000	0,004205	-	1,004205	Padrão - SND	Reg.	
12/03/2019	AMAR14	1,000000	0,003881	-	1,003881	Padrão - SND	Reg.	
11/03/2019	AMAR14	1,000000	0,003557	-	1,003557	Padrão - SND	Reg.	
08/03/2019	AMAR14	1,000000	0,003233	-	1,003233	Padrão - SND	Reg.	
07/03/2019	AMAR14	1,000000	0,002909	-	1,002909	Padrão - SND	Reg.	
06/03/2019	AMAR14	1,000000	0,002586	-	1,002586	Padrão - SND	Reg.	
01/03/2019	AMAR14	1,000000	0,002262	-	1,002262	Padrão - SND	Reg.	
28/02/2019	AMAR14	1,000000	0,001939	-	1,001939	Padrão - SND	Reg.	
27/02/2019	AMAR14	1,000000	0,001615	-	1,001615	Padrão - SND	Reg.	
26/02/2019	AMAR14	1,000000	0,001292	-	1,001292	Padrão - SND	Reg.	
25/02/2019	AMAR14	1,000000	0,000969	-	1,000969	Padrão - SND	Reg.	
22/02/2019	AMAR14	1,000000	0,000646	-	1,000646	Padrão - SND	Reg.	
21/02/2019	AMAR14	1,000000	0,000323	-	1,000323	Padrão - SND	Reg.	
20/02/2019	AMAR14	1,000000	-  	-	1,000000	Padrão - SND	Reg.	
19/02/2019	AMAR14	1,000000	0,006802	-	1,006802	Padrão - SND	Reg.	
18/02/2019	AMAR14	1,000000	0,006477	-	1,006477	Padrão - SND	Reg.	
15/02/2019	AMAR14	1,000000	0,006152	-	1,006152	Padrão - SND	Reg.	
14/02/2019	AMAR14	1,000000	0,005827	-	1,005827	Padrão - SND	Reg.	
13/02/2019	AMAR14	1,000000	0,005503	-	1,005503	Padrão - SND	Reg.	
12/02/2019	AMAR14	1,000000	0,005178	-	1,005178	Padrão - SND	Reg.	
11/02/2019	AMAR14	1,000000	0,004854	-	1,004854	Padrão - SND	Reg.	
08/02/2019	AMAR14	1,000000	0,004530	-	1,004530	Padrão - SND	Reg.	
07/02/2019	AMAR14	1,000000	0,004205	-	1,004205	Padrão - SND	Reg.	
06/02/2019	AMAR14	1,000000	0,003881	-	1,003881	Padrão - SND	Reg.	
05/02/2019	AMAR14	1,000000	0,003557	-	1,003557	Padrão - SND	Reg.	
04/02/2019	AMAR14	1,000000	0,003233	-	1,003233	Padrão - SND	Reg.	
01/02/2019	AMAR14	1,000000	0,002909	-	1,002909	Padrão - SND	Reg.	
31/01/2019	AMAR14	1,000000	0,002586	-	1,002586	Padrão - SND	Reg.	
30/01/2019	AMAR14	1,000000	0,002262	-	1,002262	Padrão - SND	Reg.	
29/01/2019	AMAR14	1,000000	0,001939	-	1,001939	Padrão - SND	Reg.	
28/01/2019	AMAR14	1,000000	0,001615	-	1,001615	Padrão - SND	Reg.	
25/01/2019	AMAR14	1,000000	0,001292	-	1,001292	Padrão - SND	Reg.	
24/01/2019	AMAR14	1,000000	0,000969	-	1,000969	Padrão - SND	Reg.	
23/01/2019	AMAR14	1,000000	0,000646	-	1,000646	Padrão - SND	Reg.	
22/01/2019	AMAR14	1,000000	0,000323	-	1,000323	Padrão - SND	Reg.	
21/01/2019	AMAR14	1,000000	-  	-	1,000000	Padrão - SND	Reg.	
18/01/2019	AMAR14	1,000000	0,006152	-	1,006152	Padrão - SND	Reg.	
17/01/2019	AMAR14	1,000000	0,005827	-	1,005827	Padrão - SND	Reg.	
16/01/2019	AMAR14	1,000000	0,005503	-	1,005503	Padrão - SND	Reg.	
15/01/2019	AMAR14	1,000000	0,005178	-	1,005178	Padrão - SND	Reg.	
14/01/2019	AMAR14	1,000000	0,004854	-	1,004854	Padrão - SND	Reg.	
11/01/2019	AMAR14	1,000000	0,004530	-	1,004530	Padrão - SND	Reg.	
10/01/2019	AMAR14	1,000000	0,004205	-	1,004205	Padrão - SND	Reg.	
09/01/2019	AMAR14	1,000000	0,003881	-	1,003881	Padrão - SND	Reg.	
08/01/2019	AMAR14	1,000000	0,003557	-	1,003557	Padrão - SND	Reg.	
07/01/2019	AMAR14	1,000000	0,003233	-	1,003233	Padrão - SND	Reg.	
04/01/2019	AMAR14	1,000000	0,002909	-	1,002909	Padrão - SND	Reg.	
03/01/2019	AMAR14	1,000000	0,002586	-	1,002586	Padrão - SND	Reg.	
02/01/2019	AMAR14	1,000000	0,002262	-	1,002262	Padrão - SND	Reg.	
31/12/2018	AMAR14	1,000000	0,001939	-	1,001939	Padrão - SND	Reg.	
28/12/2018	AMAR14	1,000000	0,001615	-	1,001615	Padrão - SND	Reg.	
27/12/2018	AMAR14	1,000000	0,001292	-	1,001292	Padrão - SND	Reg.	
26/12/2018	AMAR14	1,000000	0,000969	-	1,000969	Padrão - SND	Reg.	
24/12/2018	AMAR14	1,000000	0,000646	-	1,000646	Padrão - SND	Reg.	
21/12/2018	AMAR14	1,000000	0,000323	-	1,000323	Padrão - SND	Reg.	
20/12/2018	AMAR14	1,000000	-  	-	1,000000	Padrão - SND	Reg.	
19/12/2018	AMAR14	1,000000	0,006802	-	1,006802	Padrão - SND	Reg.	
18/12/2018	AMAR14	1,000000	0,006477	-	1,006477	Padrão - SND	Reg.	
17/12/2018	AMAR14	1,000000	0,006152	-	1,006152	Padrão - SND	Reg.	
14/12/2018	AMAR14	1,000000	0,005827	-	1,005827	Padrão - SND	Reg.	
13/12/2018	AMAR14	1,000000	0,005503	-	1,005503	Padrão - SND	Reg.	
12/12/2018	AMAR14	1,000000	0,005178	-	1,005178	Padrão - SND	Reg.	
11/12/2018	AMAR14	1,000000	0,004854	-	1,004854	Padrão - SND	Reg.	
10/12/2018	AMAR14	1,000000	0,004530	-	1,004530	Padrão - SND	Reg.	
07/12/2018	AMAR14	1,000000	0,004205	-	1,004205	Padrão - SND	Reg.	
06/12/2018	AMAR14	1,000000	0,003881	-	1,003881	Padrão - SND	Reg.	
05/12/2018	AMAR14	1,000000	0,003557	-	1,003557	Padrão - SND	Reg.	
04/12/2018	AMAR14	1,000000	0,003233	-	1,003233	Padrão - SND	Reg.	
03/12/2018	AMAR14	1,000000	0,002909	-	1,002909	Padrão - SND	Reg.	
30/11/2018	AMAR14	1,000000	0,002586	-	1,002586	Padrão - SND	Reg.	
29/11/2018	AMAR14	1,000000	0,002262	-	1,002262	Padrão - SND	Reg.	
28/11/2018	AMAR14	1,000000	0,001939	-	1,001939	Padrão - SND	Reg.	
27/11/2018	AMAR14	1,000000	0,001615	-	1,001615	Padrão - SND	Reg.	
