PU Histórico - Gerado em 26/05/2019 20:53:54

Data do PU	Ativo	Valor Nominal	Juros	Prêmio	Preço Unitário	Critério de Cálculo	Situação	
24/05/2019	AMTE23	1,000000	0,002658	-	1,002658	Padrão - SND	Reg.	
23/05/2019	AMTE23	1,000000	0,002325	-	1,002325	Padrão - SND	Reg.	
22/05/2019	AMTE23	1,000000	0,001992	-	1,001992	Padrão - SND	Reg.	
21/05/2019	AMTE23	1,000000	0,001660	-	1,001660	Padrão - SND	Reg.	
20/05/2019	AMTE23	1,000000	0,001328	-	1,001328	Padrão - SND	Reg.	
17/05/2019	AMTE23	1,000000	0,000996	-	1,000996	Padrão - SND	Reg.	
16/05/2019	AMTE23	1,000000	0,000664	-	1,000664	Padrão - SND	Reg.	
15/05/2019	AMTE23	1,000000	0,000332	-	1,000332	Padrão - SND	Reg.	
14/05/2019	AMTE23	1,000000	-  	-	1,000000	Padrão - SND	Reg.	
13/05/2019	AMTE23	1,000000	0,019428	-	1,019428	Padrão - SND	Reg.	
10/05/2019	AMTE23	1,000000	0,019090	-	1,019090	Padrão - SND	Reg.	
09/05/2019	AMTE23	1,000000	0,018752	-	1,018752	Padrão - SND	Reg.	
08/05/2019	AMTE23	1,000000	0,018414	-	1,018414	Padrão - SND	Reg.	
07/05/2019	AMTE23	1,000000	0,018076	-	1,018076	Padrão - SND	Reg.	
06/05/2019	AMTE23	1,000000	0,017738	-	1,017738	Padrão - SND	Reg.	
03/05/2019	AMTE23	1,000000	0,017401	-	1,017401	Padrão - SND	Reg.	
02/05/2019	AMTE23	1,000000	0,017063	-	1,017063	Padrão - SND	Reg.	
30/04/2019	AMTE23	1,000000	0,016726	-	1,016726	Padrão - SND	Reg.	
29/04/2019	AMTE23	1,000000	0,016389	-	1,016388	Padrão - SND	Reg.	
26/04/2019	AMTE23	1,000000	0,016051	-	1,016051	Padrão - SND	Reg.	
25/04/2019	AMTE23	1,000000	0,015714	-	1,015714	Padrão - SND	Reg.	
24/04/2019	AMTE23	1,000000	0,015377	-	1,015377	Padrão - SND	Reg.	
23/04/2019	AMTE23	1,000000	0,015041	-	1,015041	Padrão - SND	Reg.	
22/04/2019	AMTE23	1,000000	0,014704	-	1,014704	Padrão - SND	Reg.	
