PU Histórico - Gerado em 26/05/2019 20:54:02

Data do PU	Ativo	Valor Nominal	Juros	Prêmio	Preço Unitário	Critério de Cálculo	Situação	
24/05/2019	ANIM11	1,000000	0,072765	-	1,072765	Padrão - SND	Reg.	
23/05/2019	ANIM11	1,000000	0,072459	-	1,072459	Padrão - SND	Reg.	
22/05/2019	ANIM11	1,000000	0,072152	-	1,072152	Padrão - SND	Reg.	
21/05/2019	ANIM11	1,000000	0,071846	-	1,071846	Padrão - SND	Reg.	
20/05/2019	ANIM11	1,000000	0,071540	-	1,071540	Padrão - SND	Reg.	
17/05/2019	ANIM11	1,000000	0,071234	-	1,071234	Padrão - SND	Reg.	
16/05/2019	ANIM11	1,000000	0,070928	-	1,070928	Padrão - SND	Reg.	
15/05/2019	ANIM11	1,000000	0,070622	-	1,070622	Padrão - SND	Reg.	
14/05/2019	ANIM11	1,000000	0,070316	-	1,070316	Padrão - SND	Reg.	
13/05/2019	ANIM11	1,000000	0,070010	-	1,070010	Padrão - SND	Reg.	
10/05/2019	ANIM11	1,000000	0,069705	-	1,069705	Padrão - SND	Reg.	
09/05/2019	ANIM11	1,000000	0,069399	-	1,069399	Padrão - SND	Reg.	
08/05/2019	ANIM11	1,000000	0,069094	-	1,069094	Padrão - SND	Reg.	
07/05/2019	ANIM11	1,000000	0,068789	-	1,068789	Padrão - SND	Reg.	
06/05/2019	ANIM11	1,000000	0,068483	-	1,068483	Padrão - SND	Reg.	
03/05/2019	ANIM11	1,000000	0,068178	-	1,068178	Padrão - SND	Reg.	
02/05/2019	ANIM11	1,000000	0,067873	-	1,067873	Padrão - SND	Reg.	
30/04/2019	ANIM11	1,000000	0,067568	-	1,067568	Padrão - SND	Reg.	
29/04/2019	ANIM11	1,000000	0,067263	-	1,067263	Padrão - SND	Reg.	
26/04/2019	ANIM11	1,000000	0,066958	-	1,066958	Padrão - SND	Reg.	
25/04/2019	ANIM11	1,000000	0,066654	-	1,066654	Padrão - SND	Reg.	
24/04/2019	ANIM11	1,000000	0,066349	-	1,066349	Padrão - SND	Reg.	
23/04/2019	ANIM11	1,000000	0,066044	-	1,066044	Padrão - SND	Reg.	
22/04/2019	ANIM11	1,000000	0,065740	-	1,065740	Padrão - SND	Reg.	
18/04/2019	ANIM11	1,000000	0,065435	-	1,065435	Padrão - SND	Reg.	
17/04/2019	ANIM11	1,000000	0,065131	-	1,065131	Padrão - SND	Reg.	
16/04/2019	ANIM11	1,000000	0,064827	-	1,064827	Padrão - SND	Reg.	
15/04/2019	ANIM11	1,000000	0,064523	-	1,064523	Padrão - SND	Reg.	
12/04/2019	ANIM11	1,000000	0,064219	-	1,064219	Padrão - SND	Reg.	
11/04/2019	ANIM11	1,000000	0,063915	-	1,063915	Padrão - SND	Reg.	
