PU Histórico - Gerado em 26/05/2019 20:54:30

Data do PU	Ativo	Valor Nominal	Juros	Prêmio	Preço Unitário	Critério de Cálculo	Situação	
24/05/2019	AUSA11	82.500,000000	3.477,672330	-	85.977,672330	Padrão - SND	Reg.	
23/05/2019	AUSA11	82.500,000000	3.446,261775	-	85.946,261775	Padrão - SND	Reg.	
22/05/2019	AUSA11	82.500,000000	3.414,863430	-	85.914,863430	Padrão - SND	Reg.	
21/05/2019	AUSA11	82.500,000000	3.383,477212	-	85.883,477213	Padrão - SND	Reg.	
20/05/2019	AUSA11	82.500,000000	3.352,101390	-	85.852,101390	Padrão - SND	Reg.	
17/05/2019	AUSA11	82.500,000000	3.320,737695	-	85.820,737695	Padrão - SND	Reg.	
16/05/2019	AUSA11	82.500,000000	3.289,385220	-	85.789,385220	Padrão - SND	Reg.	
15/05/2019	AUSA11	82.500,000000	3.258,044130	-	85.758,044130	Padrão - SND	Reg.	
14/05/2019	AUSA11	82.500,000000	3.226,714178	-	85.726,714178	Padrão - SND	Reg.	
13/05/2019	AUSA11	82.500,000000	3.195,396435	-	85.695,396435	Padrão - SND	Reg.	
10/05/2019	AUSA11	82.500,000000	3.164,089088	-	85.664,089088	Padrão - SND	Reg.	
09/05/2019	AUSA11	82.500,000000	3.132,793868	-	85.632,793868	Padrão - SND	Reg.	
08/05/2019	AUSA11	82.500,000000	3.101,509785	-	85.601,509785	Padrão - SND	Reg.	
07/05/2019	AUSA11	82.500,000000	3.070,237913	-	85.570,237913	Padrão - SND	Reg.	
06/05/2019	AUSA11	82.500,000000	3.038,977177	-	85.538,977177	Padrão - SND	Reg.	
03/05/2019	AUSA11	82.500,000000	3.007,726920	-	85.507,726920	Padrão - SND	Reg.	
02/05/2019	AUSA11	82.500,000000	2.976,488625	-	85.476,488625	Padrão - SND	Reg.	
30/04/2019	AUSA11	82.500,000000	2.945,262540	-	85.445,262540	Padrão - SND	Reg.	
29/04/2019	AUSA11	82.500,000000	2.914,046850	-	85.414,046850	Padrão - SND	Reg.	
26/04/2019	AUSA11	82.500,000000	2.882,843205	-	85.382,843205	Padrão - SND	Reg.	
25/04/2019	AUSA11	82.500,000000	2.851,650780	-	85.351,650780	Padrão - SND	Reg.	
24/04/2019	AUSA11	82.500,000000	2.820,469575	-	85.320,469575	Padrão - SND	Reg.	
23/04/2019	AUSA11	82.500,000000	2.789,299590	-	85.289,299590	Padrão - SND	Reg.	
22/04/2019	AUSA11	82.500,000000	2.758,140825	-	85.258,140825	Padrão - SND	Reg.	
18/04/2019	AUSA11	82.500,000000	2.726,994187	-	85.226,994187	Padrão - SND	Reg.	
17/04/2019	AUSA11	82.500,000000	2.695,858688	-	85.195,858688	Padrão - SND	Reg.	
16/04/2019	AUSA11	82.500,000000	2.664,734408	-	85.164,734408	Padrão - SND	Reg.	
15/04/2019	AUSA11	82.500,000000	2.633,621430	-	85.133,621430	Padrão - SND	Reg.	
12/04/2019	AUSA11	82.500,000000	2.602,519590	-	85.102,519590	Padrão - SND	Reg.	
11/04/2019	AUSA11	82.500,000000	2.571,429795	-	85.071,429795	Padrão - SND	Reg.	
10/04/2019	AUSA11	82.500,000000	2.540,351137	-	85.040,351137	Padrão - SND	Reg.	
09/04/2019	AUSA11	82.500,000000	2.509,283783	-	85.009,283783	Padrão - SND	Reg.	
08/04/2019	AUSA11	82.500,000000	2.478,227565	-	84.978,227565	Padrão - SND	Reg.	
05/04/2019	AUSA11	82.500,000000	2.447,182568	-	84.947,182568	Padrão - SND	Reg.	
04/04/2019	AUSA11	82.500,000000	2.416,149615	-	84.916,149615	Padrão - SND	Reg.	
03/04/2019	AUSA11	82.500,000000	2.385,127800	-	84.885,127800	Padrão - SND	Reg.	
02/04/2019	AUSA11	82.500,000000	2.354,116380	-	84.854,116380	Padrão - SND	Reg.	
01/04/2019	AUSA11	82.500,000000	2.323,116922	-	84.823,116923	Padrão - SND	Reg.	
29/03/2019	AUSA11	82.500,000000	2.292,129510	-	84.792,129510	Padrão - SND	Reg.	
28/03/2019	AUSA11	82.500,000000	2.261,152492	-	84.761,152492	Padrão - SND	Reg.	
27/03/2019	AUSA11	82.500,000000	2.230,187355	-	84.730,187355	Padrão - SND	Reg.	
26/03/2019	AUSA11	82.500,000000	2.199,232612	-	84.699,232612	Padrão - SND	Reg.	
25/03/2019	AUSA11	82.500,000000	2.168,289915	-	84.668,289915	Padrão - SND	Reg.	
22/03/2019	AUSA11	82.500,000000	2.137,358355	-	84.637,358355	Padrão - SND	Reg.	
21/03/2019	AUSA11	82.500,000000	2.106,438758	-	84.606,438758	Padrão - SND	Reg.	
20/03/2019	AUSA11	82.500,000000	2.075,529555	-	84.575,529555	Padrão - SND	Reg.	
19/03/2019	AUSA11	82.500,000000	2.044,632233	-	84.544,632232	Padrão - SND	Reg.	
18/03/2019	AUSA11	82.500,000000	2.013,745388	-	84.513,745388	Padrão - SND	Reg.	
15/03/2019	AUSA11	82.500,000000	1.982,870422	-	84.482,870422	Padrão - SND	Reg.	
14/03/2019	AUSA11	82.500,000000	1.952,006595	-	84.452,006595	Padrão - SND	Reg.	
13/03/2019	AUSA11	82.500,000000	1.921,153988	-	84.421,153988	Padrão - SND	Reg.	
12/03/2019	AUSA11	82.500,000000	1.890,313260	-	84.390,313260	Padrão - SND	Reg.	
11/03/2019	AUSA11	82.500,000000	1.859,482927	-	84.359,482927	Padrão - SND	Reg.	
08/03/2019	AUSA11	82.500,000000	1.828,664475	-	84.328,664475	Padrão - SND	Reg.	
07/03/2019	AUSA11	82.500,000000	1.797,857242	-	84.297,857243	Padrão - SND	Reg.	
06/03/2019	AUSA11	82.500,000000	1.767,061148	-	84.267,061148	Padrão - SND	Reg.	
01/03/2019	AUSA11	82.500,000000	1.736,276108	-	84.236,276108	Padrão - SND	Reg.	
28/02/2019	AUSA11	82.500,000000	1.705,502287	-	84.205,502287	Padrão - SND	Reg.	
27/02/2019	AUSA11	82.500,000000	1.674,740265	-	84.174,740265	Padrão - SND	Reg.	
26/02/2019	AUSA11	82.500,000000	1.643,988638	-	84.143,988638	Padrão - SND	Reg.	
25/02/2019	AUSA11	82.500,000000	1.613,248973	-	84.113,248973	Padrão - SND	Reg.	
22/02/2019	AUSA11	82.500,000000	1.582,520445	-	84.082,520445	Padrão - SND	Reg.	
21/02/2019	AUSA11	82.500,000000	1.551,802972	-	84.051,802972	Padrão - SND	Reg.	
20/02/2019	AUSA11	82.500,000000	1.521,096555	-	84.021,096555	Padrão - SND	Reg.	
19/02/2019	AUSA11	82.500,000000	1.490,401357	-	83.990,401357	Padrão - SND	Reg.	
18/02/2019	AUSA11	82.500,000000	1.459,717132	-	83.959,717132	Padrão - SND	Reg.	
15/02/2019	AUSA11	82.500,000000	1.429,045035	-	83.929,045035	Padrão - SND	Reg.	
14/02/2019	AUSA11	82.500,000000	1.398,383002	-	83.898,383003	Padrão - SND	Reg.	
13/02/2019	AUSA11	82.500,000000	1.367,733015	-	83.867,733015	Padrão - SND	Reg.	
12/02/2019	AUSA11	82.500,000000	1.337,094083	-	83.837,094082	Padrão - SND	Reg.	
11/02/2019	AUSA11	82.500,000000	1.306,466205	-	83.806,466205	Padrão - SND	Reg.	
08/02/2019	AUSA11	82.500,000000	1.275,849465	-	83.775,849465	Padrão - SND	Reg.	
07/02/2019	AUSA11	82.500,000000	1.245,243780	-	83.745,243780	Padrão - SND	Reg.	
06/02/2019	AUSA11	82.500,000000	1.214,649975	-	83.714,649975	Padrão - SND	Reg.	
05/02/2019	AUSA11	82.500,000000	1.184,066482	-	83.684,066482	Padrão - SND	Reg.	
04/02/2019	AUSA11	82.500,000000	1.153,494870	-	83.653,494870	Padrão - SND	Reg.	
01/02/2019	AUSA11	82.500,000000	1.122,934395	-	83.622,934395	Padrão - SND	Reg.	
31/01/2019	AUSA11	82.500,000000	1.092,383985	-	83.592,383985	Padrão - SND	Reg.	
30/01/2019	AUSA11	82.500,000000	1.061,845620	-	83.561,845620	Padrão - SND	Reg.	
29/01/2019	AUSA11	82.500,000000	1.031,318310	-	83.531,318310	Padrão - SND	Reg.	
28/01/2019	AUSA11	82.500,000000	1.000,802797	-	83.500,802798	Padrão - SND	Reg.	
25/01/2019	AUSA11	82.500,000000	970,297598	-	83.470,297598	Padrão - SND	Reg.	
24/01/2019	AUSA11	82.500,000000	939,803453	-	83.439,803452	Padrão - SND	Reg.	
23/01/2019	AUSA11	82.500,000000	909,321105	-	83.409,321105	Padrão - SND	Reg.	
22/01/2019	AUSA11	82.500,000000	878,849070	-	83.378,849070	Padrão - SND	Reg.	
21/01/2019	AUSA11	82.500,000000	848,388915	-	83.348,388915	Padrão - SND	Reg.	
18/01/2019	AUSA11	82.500,000000	817,939650	-	83.317,939650	Padrão - SND	Reg.	
17/01/2019	AUSA11	82.500,000000	787,501605	-	83.287,501605	Padrão - SND	Reg.	
16/01/2019	AUSA11	82.500,000000	757,074533	-	83.257,074533	Padrão - SND	Reg.	
15/01/2019	AUSA11	82.500,000000	726,658433	-	83.226,658433	Padrão - SND	Reg.	
14/01/2019	AUSA11	82.500,000000	696,253470	-	83.196,253470	Padrão - SND	Reg.	
11/01/2019	AUSA11	82.500,000000	665,859480	-	83.165,859480	Padrão - SND	Reg.	
10/01/2019	AUSA11	82.500,000000	635,477453	-	83.135,477452	Padrão - SND	Reg.	
09/01/2019	AUSA11	82.500,000000	605,105490	-	83.105,105490	Padrão - SND	Reg.	
08/01/2019	AUSA11	82.500,000000	574,745408	-	83.074,745407	Padrão - SND	Reg.	
07/01/2019	AUSA11	82.500,000000	544,396297	-	83.044,396298	Padrão - SND	Reg.	
04/01/2019	AUSA11	82.500,000000	514,057418	-	83.014,057417	Padrão - SND	Reg.	
03/01/2019	AUSA11	82.500,000000	483,730417	-	82.983,730418	Padrão - SND	Reg.	
02/01/2019	AUSA11	82.500,000000	453,414472	-	82.953,414472	Padrão - SND	Reg.	
31/12/2018	AUSA11	82.500,000000	423,109418	-	82.923,109418	Padrão - SND	Reg.	
28/12/2018	AUSA11	82.500,000000	392,815418	-	82.892,815417	Padrão - SND	Reg.	
27/12/2018	AUSA11	82.500,000000	362,532390	-	82.862,532390	Padrão - SND	Reg.	
26/12/2018	AUSA11	82.500,000000	332,261160	-	82.832,261160	Padrão - SND	Reg.	
24/12/2018	AUSA11	82.500,000000	302,000160	-	82.802,000160	Padrão - SND	Reg.	
21/12/2018	AUSA11	82.500,000000	271,750133	-	82.771,750133	Padrão - SND	Reg.	
20/12/2018	AUSA11	82.500,000000	241,511985	-	82.741,511985	Padrão - SND	Reg.	
19/12/2018	AUSA11	82.500,000000	211,283903	-	82.711,283902	Padrão - SND	Reg.	
18/12/2018	AUSA11	82.500,000000	181,067700	-	82.681,067700	Padrão - SND	Reg.	
17/12/2018	AUSA11	82.500,000000	150,862388	-	82.650,862388	Padrão - SND	Reg.	
14/12/2018	AUSA11	82.500,000000	120,667388	-	82.620,667387	Padrão - SND	Reg.	
13/12/2018	AUSA11	82.500,000000	90,484020	-	82.590,484020	Padrão - SND	Reg.	
12/12/2018	AUSA11	82.500,000000	60,311707	-	82.560,311708	Padrão - SND	Reg.	
11/12/2018	AUSA11	82.500,000000	30,150368	-	82.530,150367	Padrão - SND	Reg.	
10/12/2018	AUSA11	82.500,000000	-  	-	82.500,000000	Padrão - SND	Reg.	
07/12/2018	AUSA11	82.500,000000	1.705,190767	-	84.205,190767	Padrão - SND	Reg.	
06/12/2018	AUSA11	82.500,000000	1.674,428910	-	84.174,428910	Padrão - SND	Reg.	
05/12/2018	AUSA11	82.500,000000	1.643,677283	-	84.143,677282	Padrão - SND	Reg.	
04/12/2018	AUSA11	82.500,000000	1.612,937700	-	84.112,937700	Padrão - SND	Reg.	
