PU Histórico - Gerado em 26/05/2019 20:54:42

Data do PU	Ativo	Valor Nominal	Juros	Prêmio	Preço Unitário	Critério de Cálculo	Situação	
24/05/2019	BBOP12	1.000,000000	31,434521	-	1.031,434521	Padrão - SND	Reg.	
23/05/2019	BBOP12	1.000,000000	31,067648	-	1.031,067648	Padrão - SND	Reg.	
22/05/2019	BBOP12	1.000,000000	30,700903	-	1.030,700903	Padrão - SND	Reg.	
21/05/2019	BBOP12	1.000,000000	30,334297	-	1.030,334297	Padrão - SND	Reg.	
20/05/2019	BBOP12	1.000,000000	29,967818	-	1.029,967818	Padrão - SND	Reg.	
17/05/2019	BBOP12	1.000,000000	29,601469	-	1.029,601469	Padrão - SND	Reg.	
16/05/2019	BBOP12	1.000,000000	29,235248	-	1.029,235248	Padrão - SND	Reg.	
15/05/2019	BBOP12	1.000,000000	28,869156	-	1.028,869156	Padrão - SND	Reg.	
14/05/2019	BBOP12	1.000,000000	28,503202	-	1.028,503202	Padrão - SND	Reg.	
13/05/2019	BBOP12	1.000,000000	28,137377	-	1.028,137377	Padrão - SND	Reg.	
10/05/2019	BBOP12	1.000,000000	27,771669	-	1.027,771669	Padrão - SND	Reg.	
09/05/2019	BBOP12	1.000,000000	27,406099	-	1.027,406099	Padrão - SND	Reg.	
08/05/2019	BBOP12	1.000,000000	27,040669	-	1.027,040669	Padrão - SND	Reg.	
07/05/2019	BBOP12	1.000,000000	26,675357	-	1.026,675357	Padrão - SND	Reg.	
06/05/2019	BBOP12	1.000,000000	26,310182	-	1.026,310182	Padrão - SND	Reg.	
03/05/2019	BBOP12	1.000,000000	25,945126	-	1.025,945126	Padrão - SND	Reg.	
02/05/2019	BBOP12	1.000,000000	25,580208	-	1.025,580208	Padrão - SND	Reg.	
30/04/2019	BBOP12	1.000,000000	25,215419	-	1.025,215419	Padrão - SND	Reg.	
29/04/2019	BBOP12	1.000,000000	24,850767	-	1.024,850767	Padrão - SND	Reg.	
26/04/2019	BBOP12	1.000,000000	24,486233	-	1.024,486233	Padrão - SND	Reg.	
25/04/2019	BBOP12	1.000,000000	24,121837	-	1.024,121837	Padrão - SND	Reg.	
24/04/2019	BBOP12	1.000,000000	23,757560	-	1.023,757560	Padrão - SND	Reg.	
23/04/2019	BBOP12	1.000,000000	23,393421	-	1.023,393421	Padrão - SND	Reg.	
22/04/2019	BBOP12	1.000,000000	23,029408	-	1.023,029408	Padrão - SND	Reg.	
18/04/2019	BBOP12	1.000,000000	22,665525	-	1.022,665525	Padrão - SND	Reg.	
17/04/2019	BBOP12	1.000,000000	22,301779	-	1.022,301779	Padrão - SND	Reg.	
