PU Histórico - Gerado em 26/05/2019 21:02:12

Data do PU	Ativo	Valor Nominal	Juros	Prêmio	Preço Unitário	Critério de Cálculo	Situação	
24/05/2019	BCBF13	1.000.000,000000	23.992,680000	-	1.023.992,680000	Padrão - SND	Reg.	
23/05/2019	BCBF13	1.000.000,000000	23.700,213000	-	1.023.700,213000	Padrão - SND	Reg.	
22/05/2019	BCBF13	1.000.000,000000	23.407,828000	-	1.023.407,828000	Padrão - SND	Reg.	
21/05/2019	BCBF13	1.000.000,000000	23.115,525000	-	1.023.115,525000	Padrão - SND	Reg.	
20/05/2019	BCBF13	1.000.000,000000	22.823,313000	-	1.022.823,313000	Padrão - SND	Reg.	
17/05/2019	BCBF13	1.000.000,000000	22.531,183000	-	1.022.531,183000	Padrão - SND	Reg.	
16/05/2019	BCBF13	1.000.000,000000	22.239,125000	-	1.022.239,125000	Padrão - SND	Reg.	
15/05/2019	BCBF13	1.000.000,000000	21.947,158000	-	1.021.947,158000	Padrão - SND	Reg.	
14/05/2019	BCBF13	1.000.000,000000	21.655,282000	-	1.021.655,282000	Padrão - SND	Reg.	
13/05/2019	BCBF13	1.000.000,000000	21.363,480000	-	1.021.363,480000	Padrão - SND	Reg.	
10/05/2019	BCBF13	1.000.000,000000	21.071,767000	-	1.021.071,767000	Padrão - SND	Reg.	
09/05/2019	BCBF13	1.000.000,000000	20.780,128000	-	1.020.780,128000	Padrão - SND	Reg.	
08/05/2019	BCBF13	1.000.000,000000	20.488,579000	-	1.020.488,579000	Padrão - SND	Reg.	
07/05/2019	BCBF13	1.000.000,000000	20.197,112000	-	1.020.197,112000	Padrão - SND	Reg.	
06/05/2019	BCBF13	1.000.000,000000	19.905,736000	-	1.019.905,736000	Padrão - SND	Reg.	
03/05/2019	BCBF13	1.000.000,000000	19.614,433000	-	1.019.614,433000	Padrão - SND	Reg.	
02/05/2019	BCBF13	1.000.000,000000	19.323,221000	-	1.019.323,221000	Padrão - SND	Reg.	
30/04/2019	BCBF13	1.000.000,000000	19.032,080000	-	1.019.032,080000	Padrão - SND	Reg.	
29/04/2019	BCBF13	1.000.000,000000	18.741,031000	-	1.018.741,031000	Padrão - SND	Reg.	
26/04/2019	BCBF13	1.000.000,000000	18.450,064000	-	1.018.450,064000	Padrão - SND	Reg.	
25/04/2019	BCBF13	1.000.000,000000	18.159,177000	-	1.018.159,177000	Padrão - SND	Reg.	
24/04/2019	BCBF13	1.000.000,000000	17.868,383000	-	1.017.868,383000	Padrão - SND	Reg.	
23/04/2019	BCBF13	1.000.000,000000	17.577,660000	-	1.017.577,660000	Padrão - SND	Reg.	
22/04/2019	BCBF13	1.000.000,000000	17.287,029000	-	1.017.287,029000	Padrão - SND	Reg.	
18/04/2019	BCBF13	1.000.000,000000	16.996,479000	-	1.016.996,479000	Padrão - SND	Reg.	
17/04/2019	BCBF13	1.000.000,000000	16.706,011000	-	1.016.706,011000	Padrão - SND	Reg.	
16/04/2019	BCBF13	1.000.000,000000	16.415,624000	-	1.016.415,624000	Padrão - SND	Reg.	
15/04/2019	BCBF13	1.000.000,000000	16.125,318000	-	1.016.125,318000	Padrão - SND	Reg.	
12/04/2019	BCBF13	1.000.000,000000	15.835,104000	-	1.015.835,104000	Padrão - SND	Reg.	
11/04/2019	BCBF13	1.000.000,000000	15.544,963000	-	1.015.544,963000	Padrão - SND	Reg.	
10/04/2019	BCBF13	1.000.000,000000	15.254,911000	-	1.015.254,911000	Padrão - SND	Reg.	
09/04/2019	BCBF13	1.000.000,000000	14.964,941000	-	1.014.964,941000	Padrão - SND	Reg.	
08/04/2019	BCBF13	1.000.000,000000	14.675,054000	-	1.014.675,054000	Padrão - SND	Reg.	
05/04/2019	BCBF13	1.000.000,000000	14.385,247000	-	1.014.385,247000	Padrão - SND	Reg.	
04/04/2019	BCBF13	1.000.000,000000	14.095,522000	-	1.014.095,522000	Padrão - SND	Reg.	
03/04/2019	BCBF13	1.000.000,000000	13.805,877000	-	1.013.805,877000	Padrão - SND	Reg.	
02/04/2019	BCBF13	1.000.000,000000	13.516,325000	-	1.013.516,325000	Padrão - SND	Reg.	
01/04/2019	BCBF13	1.000.000,000000	13.226,844000	-	1.013.226,844000	Padrão - SND	Reg.	
29/03/2019	BCBF13	1.000.000,000000	12.937,454000	-	1.012.937,454000	Padrão - SND	Reg.	
28/03/2019	BCBF13	1.000.000,000000	12.648,147000	-	1.012.648,147000	Padrão - SND	Reg.	
27/03/2019	BCBF13	1.000.000,000000	12.358,919000	-	1.012.358,919000	Padrão - SND	Reg.	
26/03/2019	BCBF13	1.000.000,000000	12.069,774000	-	1.012.069,774000	Padrão - SND	Reg.	
25/03/2019	BCBF13	1.000.000,000000	11.780,710000	-	1.011.780,710000	Padrão - SND	Reg.	
22/03/2019	BCBF13	1.000.000,000000	11.491,737000	-	1.011.491,737000	Padrão - SND	Reg.	
21/03/2019	BCBF13	1.000.000,000000	11.202,836000	-	1.011.202,836000	Padrão - SND	Reg.	
20/03/2019	BCBF13	1.000.000,000000	10.914,025000	-	1.010.914,025000	Padrão - SND	Reg.	
19/03/2019	BCBF13	1.000.000,000000	10.625,296000	-	1.010.625,296000	Padrão - SND	Reg.	
18/03/2019	BCBF13	1.000.000,000000	10.336,639000	-	1.010.336,639000	Padrão - SND	Reg.	
15/03/2019	BCBF13	1.000.000,000000	10.048,073000	-	1.010.048,073000	Padrão - SND	Reg.	
14/03/2019	BCBF13	1.000.000,000000	9.759,588000	-	1.009.759,588000	Padrão - SND	Reg.	
13/03/2019	BCBF13	1.000.000,000000	9.471,194000	-	1.009.471,194000	Padrão - SND	Reg.	
12/03/2019	BCBF13	1.000.000,000000	9.182,872000	-	1.009.182,872000	Padrão - SND	Reg.	
11/03/2019	BCBF13	1.000.000,000000	8.894,631000	-	1.008.894,631000	Padrão - SND	Reg.	
08/03/2019	BCBF13	1.000.000,000000	8.606,481000	-	1.008.606,481000	Padrão - SND	Reg.	
