PU Histórico - Gerado em 26/05/2019 20:54:47

Data do PU	Ativo	Valor Nominal	Juros	Prêmio	Preço Unitário	Critério de Cálculo	Situação	
24/05/2019	BCLV12	1,000000	0,004149	-	1,004149	Padrão - SND	Reg.	
23/05/2019	BCLV12	1,000000	0,003852	-	1,003852	Padrão - SND	Reg.	
22/05/2019	BCLV12	1,000000	0,003555	-	1,003555	Padrão - SND	Reg.	
21/05/2019	BCLV12	1,000000	0,003259	-	1,003259	Padrão - SND	Reg.	
20/05/2019	BCLV12	1,000000	0,002962	-	1,002962	Padrão - SND	Reg.	
17/05/2019	BCLV12	1,000000	0,002665	-	1,002665	Padrão - SND	Reg.	
16/05/2019	BCLV12	1,000000	0,002369	-	1,002369	Padrão - SND	Reg.	
15/05/2019	BCLV12	1,000000	0,002073	-	1,002072	Padrão - SND	Reg.	
14/05/2019	BCLV12	1,000000	0,001776	-	1,001776	Padrão - SND	Reg.	
13/05/2019	BCLV12	1,000000	0,001480	-	1,001480	Padrão - SND	Reg.	
10/05/2019	BCLV12	1,000000	0,001184	-	1,001184	Padrão - SND	Reg.	
09/05/2019	BCLV12	1,000000	0,000888	-	1,000888	Padrão - SND	Reg.	
08/05/2019	BCLV12	1,000000	0,000592	-	1,000592	Padrão - SND	Reg.	
07/05/2019	BCLV12	1,000000	0,000296	-	1,000296	Padrão - SND	Reg.	
06/05/2019	BCLV12	1,000000	-  	-	1,000000	Padrão - SND	Reg.	
03/05/2019	BCLV12	1,000000	0,011901	-	1,011901	Padrão - SND	Reg.	
02/05/2019	BCLV12	1,000000	0,011602	-	1,011602	Padrão - SND	Reg.	
30/04/2019	BCLV12	1,000000	0,011302	-	1,011302	Padrão - SND	Reg.	
29/04/2019	BCLV12	1,000000	0,011003	-	1,011003	Padrão - SND	Reg.	
26/04/2019	BCLV12	1,000000	0,010704	-	1,010704	Padrão - SND	Reg.	
25/04/2019	BCLV12	1,000000	0,010406	-	1,010406	Padrão - SND	Reg.	
24/04/2019	BCLV12	1,000000	0,010107	-	1,010107	Padrão - SND	Reg.	
23/04/2019	BCLV12	1,000000	0,009808	-	1,009808	Padrão - SND	Reg.	
22/04/2019	BCLV12	1,000000	0,009509	-	1,009509	Padrão - SND	Reg.	
18/04/2019	BCLV12	1,000000	0,009211	-	1,009211	Padrão - SND	Reg.	
17/04/2019	BCLV12	1,000000	0,008912	-	1,008912	Padrão - SND	Reg.	
16/04/2019	BCLV12	1,000000	0,008614	-	1,008614	Padrão - SND	Reg.	
15/04/2019	BCLV12	1,000000	0,008316	-	1,008316	Padrão - SND	Reg.	
12/04/2019	BCLV12	1,000000	0,008018	-	1,008018	Padrão - SND	Reg.	
11/04/2019	BCLV12	1,000000	0,007720	-	1,007720	Padrão - SND	Reg.	
10/04/2019	BCLV12	1,000000	0,007422	-	1,007422	Padrão - SND	Reg.	
09/04/2019	BCLV12	1,000000	0,007124	-	1,007124	Padrão - SND	Reg.	
08/04/2019	BCLV12	1,000000	0,006826	-	1,006826	Padrão - SND	Reg.	
05/04/2019	BCLV12	1,000000	0,006528	-	1,006528	Padrão - SND	Reg.	
04/04/2019	BCLV12	1,000000	0,006230	-	1,006230	Padrão - SND	Reg.	
03/04/2019	BCLV12	1,000000	0,005933	-	1,005933	Padrão - SND	Reg.	
02/04/2019	BCLV12	1,000000	0,005635	-	1,005635	Padrão - SND	Reg.	
01/04/2019	BCLV12	1,000000	0,005338	-	1,005338	Padrão - SND	Reg.	
29/03/2019	BCLV12	1,000000	0,005041	-	1,005041	Padrão - SND	Reg.	
28/03/2019	BCLV12	1,000000	0,004743	-	1,004743	Padrão - SND	Reg.	
27/03/2019	BCLV12	1,000000	0,004446	-	1,004446	Padrão - SND	Reg.	
26/03/2019	BCLV12	1,000000	0,004149	-	1,004149	Padrão - SND	Reg.	
25/03/2019	BCLV12	1,000000	0,003852	-	1,003852	Padrão - SND	Reg.	
22/03/2019	BCLV12	1,000000	0,003555	-	1,003555	Padrão - SND	Reg.	
21/03/2019	BCLV12	1,000000	0,003259	-	1,003259	Padrão - SND	Reg.	
20/03/2019	BCLV12	1,000000	0,002962	-	1,002962	Padrão - SND	Reg.	
19/03/2019	BCLV12	1,000000	0,002665	-	1,002665	Padrão - SND	Reg.	
18/03/2019	BCLV12	1,000000	0,002369	-	1,002369	Padrão - SND	Reg.	
15/03/2019	BCLV12	1,000000	0,002073	-	1,002072	Padrão - SND	Reg.	
14/03/2019	BCLV12	1,000000	0,001776	-	1,001776	Padrão - SND	Reg.	
13/03/2019	BCLV12	1,000000	0,001480	-	1,001480	Padrão - SND	Reg.	
12/03/2019	BCLV12	1,000000	0,001184	-	1,001184	Padrão - SND	Reg.	
11/03/2019	BCLV12	1,000000	0,000888	-	1,000888	Padrão - SND	Reg.	
08/03/2019	BCLV12	1,000000	0,000592	-	1,000592	Padrão - SND	Reg.	
07/03/2019	BCLV12	1,000000	0,000296	-	1,000296	Padrão - SND	Reg.	
06/03/2019	BCLV12	1,000000	-  	-	1,000000	Padrão - SND	Reg.	
01/03/2019	BCLV12	1,000000	0,011602	-	1,011602	Padrão - SND	Reg.	
28/02/2019	BCLV12	1,000000	0,011302	-	1,011302	Padrão - SND	Reg.	
27/02/2019	BCLV12	1,000000	0,011003	-	1,011003	Padrão - SND	Reg.	
26/02/2019	BCLV12	1,000000	0,010704	-	1,010704	Padrão - SND	Reg.	
25/02/2019	BCLV12	1,000000	0,010406	-	1,010406	Padrão - SND	Reg.	
22/02/2019	BCLV12	1,000000	0,010107	-	1,010107	Padrão - SND	Reg.	
21/02/2019	BCLV12	1,000000	0,009808	-	1,009808	Padrão - SND	Reg.	
20/02/2019	BCLV12	1,000000	0,009509	-	1,009509	Padrão - SND	Reg.	
19/02/2019	BCLV12	1,000000	0,009211	-	1,009211	Padrão - SND	Reg.	
18/02/2019	BCLV12	1,000000	0,008912	-	1,008912	Padrão - SND	Reg.	
15/02/2019	BCLV12	1,000000	0,008614	-	1,008614	Padrão - SND	Reg.	
14/02/2019	BCLV12	1,000000	0,008316	-	1,008316	Padrão - SND	Reg.	
13/02/2019	BCLV12	1,000000	0,008018	-	1,008018	Padrão - SND	Reg.	
12/02/2019	BCLV12	1,000000	0,007720	-	1,007720	Padrão - SND	Reg.	
11/02/2019	BCLV12	1,000000	0,007422	-	1,007422	Padrão - SND	Reg.	
08/02/2019	BCLV12	1,000000	0,007124	-	1,007124	Padrão - SND	Reg.	
07/02/2019	BCLV12	1,000000	0,006826	-	1,006826	Padrão - SND	Reg.	
06/02/2019	BCLV12	1,000000	0,006528	-	1,006528	Padrão - SND	Reg.	
05/02/2019	BCLV12	1,000000	0,006230	-	1,006230	Padrão - SND	Reg.	
04/02/2019	BCLV12	1,000000	0,005933	-	1,005933	Padrão - SND	Reg.	
01/02/2019	BCLV12	1,000000	0,005635	-	1,005635	Padrão - SND	Reg.	
31/01/2019	BCLV12	1,000000	0,005338	-	1,005338	Padrão - SND	Reg.	
30/01/2019	BCLV12	1,000000	0,005041	-	1,005041	Padrão - SND	Reg.	
29/01/2019	BCLV12	1,000000	0,004743	-	1,004743	Padrão - SND	Reg.	
28/01/2019	BCLV12	1,000000	0,004446	-	1,004446	Padrão - SND	Reg.	
25/01/2019	BCLV12	1,000000	0,004149	-	1,004149	Padrão - SND	Reg.	
24/01/2019	BCLV12	1,000000	0,003852	-	1,003852	Padrão - SND	Reg.	
23/01/2019	BCLV12	1,000000	0,003555	-	1,003555	Padrão - SND	Reg.	
22/01/2019	BCLV12	1,000000	0,003259	-	1,003259	Padrão - SND	Reg.	
21/01/2019	BCLV12	1,000000	0,002962	-	1,002962	Padrão - SND	Reg.	
18/01/2019	BCLV12	1,000000	0,002665	-	1,002665	Padrão - SND	Reg.	
17/01/2019	BCLV12	1,000000	0,002369	-	1,002369	Padrão - SND	Reg.	
16/01/2019	BCLV12	1,000000	0,002073	-	1,002072	Padrão - SND	Reg.	
15/01/2019	BCLV12	1,000000	0,001776	-	1,001776	Padrão - SND	Reg.	
14/01/2019	BCLV12	1,000000	0,001480	-	1,001480	Padrão - SND	Reg.	
11/01/2019	BCLV12	1,000000	0,001184	-	1,001184	Padrão - SND	Reg.	
10/01/2019	BCLV12	1,000000	0,000888	-	1,000888	Padrão - SND	Reg.	
09/01/2019	BCLV12	1,000000	0,000592	-	1,000592	Padrão - SND	Reg.	
08/01/2019	BCLV12	1,000000	0,000296	-	1,000296	Padrão - SND	Reg.	
07/01/2019	BCLV12	1,000000	-  	-	1,000000	Padrão - SND	Reg.	
04/01/2019	BCLV12	1,000000	0,012200	-	1,012200	Padrão - SND	Reg.	
03/01/2019	BCLV12	1,000000	0,011901	-	1,011901	Padrão - SND	Reg.	
02/01/2019	BCLV12	1,000000	0,011602	-	1,011602	Padrão - SND	Reg.	
31/12/2018	BCLV12	1,000000	0,011302	-	1,011302	Padrão - SND	Reg.	
28/12/2018	BCLV12	1,000000	0,011003	-	1,011003	Padrão - SND	Reg.	
27/12/2018	BCLV12	1,000000	0,010704	-	1,010704	Padrão - SND	Reg.	
26/12/2018	BCLV12	1,000000	0,010406	-	1,010406	Padrão - SND	Reg.	
24/12/2018	BCLV12	1,000000	0,010107	-	1,010107	Padrão - SND	Reg.	
21/12/2018	BCLV12	1,000000	0,009808	-	1,009808	Padrão - SND	Reg.	
20/12/2018	BCLV12	1,000000	0,009509	-	1,009509	Padrão - SND	Reg.	
19/12/2018	BCLV12	1,000000	0,009211	-	1,009211	Padrão - SND	Reg.	
18/12/2018	BCLV12	1,000000	0,008912	-	1,008912	Padrão - SND	Reg.	
17/12/2018	BCLV12	1,000000	0,008614	-	1,008614	Padrão - SND	Reg.	
14/12/2018	BCLV12	1,000000	0,008316	-	1,008316	Padrão - SND	Reg.	
13/12/2018	BCLV12	1,000000	0,008018	-	1,008018	Padrão - SND	Reg.	
12/12/2018	BCLV12	1,000000	0,007720	-	1,007720	Padrão - SND	Reg.	
11/12/2018	BCLV12	1,000000	0,007422	-	1,007422	Padrão - SND	Reg.	
10/12/2018	BCLV12	1,000000	0,007124	-	1,007124	Padrão - SND	Reg.	
07/12/2018	BCLV12	1,000000	0,006826	-	1,006826	Padrão - SND	Reg.	
06/12/2018	BCLV12	1,000000	0,006528	-	1,006528	Padrão - SND	Reg.	
05/12/2018	BCLV12	1,000000	0,006230	-	1,006230	Padrão - SND	Reg.	
04/12/2018	BCLV12	1,000000	0,005933	-	1,005933	Padrão - SND	Reg.	
03/12/2018	BCLV12	1,000000	0,005635	-	1,005635	Padrão - SND	Reg.	
30/11/2018	BCLV12	1,000000	0,005338	-	1,005338	Padrão - SND	Reg.	
29/11/2018	BCLV12	1,000000	0,005041	-	1,005041	Padrão - SND	Reg.	
28/11/2018	BCLV12	1,000000	0,004743	-	1,004743	Padrão - SND	Reg.	
27/11/2018	BCLV12	1,000000	0,004446	-	1,004446	Padrão - SND	Reg.	
26/11/2018	BCLV12	1,000000	0,004149	-	1,004149	Padrão - SND	Reg.	
23/11/2018	BCLV12	1,000000	0,003852	-	1,003852	Padrão - SND	Reg.	
22/11/2018	BCLV12	1,000000	0,003555	-	1,003555	Padrão - SND	Reg.	
21/11/2018	BCLV12	1,000000	0,003259	-	1,003259	Padrão - SND	Reg.	
20/11/2018	BCLV12	1,000000	0,002962	-	1,002962	Padrão - SND	Reg.	
19/11/2018	BCLV12	1,000000	0,002665	-	1,002665	Padrão - SND	Reg.	
16/11/2018	BCLV12	1,000000	0,002369	-	1,002369	Padrão - SND	Reg.	
14/11/2018	BCLV12	1,000000	0,002073	-	1,002072	Padrão - SND	Reg.	
13/11/2018	BCLV12	1,000000	0,001776	-	1,001776	Padrão - SND	Reg.	
12/11/2018	BCLV12	1,000000	0,001480	-	1,001480	Padrão - SND	Reg.	
09/11/2018	BCLV12	1,000000	0,001184	-	1,001184	Padrão - SND	Reg.	
08/11/2018	BCLV12	1,000000	0,000888	-	1,000888	Padrão - SND	Reg.	
07/11/2018	BCLV12	1,000000	0,000592	-	1,000592	Padrão - SND	Reg.	
06/11/2018	BCLV12	1,000000	0,000296	-	1,000296	Padrão - SND	Reg.	
05/11/2018	BCLV12	1,000000	-  	-	1,000000	Padrão - SND	Reg.	
01/11/2018	BCLV12	1,000000	-  	-	1,000000	Padrão - SND	Reg.	


Valores expressos em reais.
Os valores refletem a nossa interpretação da escritura de emissão, não implicando em aceitação de compromisso legal ou financeiro.
