PU Histórico - Gerado em 26/05/2019 20:56:02

Data do PU	Ativo	Valor Nominal	Juros	Prêmio	Preço Unitário	Critério de Cálculo	Situação	
24/05/2019	BFBLJ6	17,068445	19,180820	-	36,249265	Padrão - SND	Reg.	
23/05/2019	BFBLJ6	17,068445	19,171897	-	36,240342	Padrão - SND	Reg.	
22/05/2019	BFBLJ6	17,068445	19,162977	-	36,231422	Padrão - SND	Reg.	
21/05/2019	BFBLJ6	17,068445	19,154059	-	36,222504	Padrão - SND	Reg.	
20/05/2019	BFBLJ6	17,068445	19,145143	-	36,213588	Padrão - SND	Reg.	
17/05/2019	BFBLJ6	17,068445	19,136230	-	36,204675	Padrão - SND	Reg.	
16/05/2019	BFBLJ6	17,068445	19,127318	-	36,195763	Padrão - SND	Reg.	
15/05/2019	BFBLJ6	17,068445	19,118409	-	36,186854	Padrão - SND	Reg.	
14/05/2019	BFBLJ6	17,068445	19,109502	-	36,177947	Padrão - SND	Reg.	
13/05/2019	BFBLJ6	17,068445	19,100597	-	36,169042	Padrão - SND	Reg.	
10/05/2019	BFBLJ6	17,068445	19,091695	-	36,160140	Padrão - SND	Reg.	
09/05/2019	BFBLJ6	17,068445	19,082794	-	36,151239	Padrão - SND	Reg.	
08/05/2019	BFBLJ6	17,068445	19,073896	-	36,142341	Padrão - SND	Reg.	
07/05/2019	BFBLJ6	17,068445	19,065000	-	36,133445	Padrão - SND	Reg.	
06/05/2019	BFBLJ6	17,068445	19,056106	-	36,124551	Padrão - SND	Reg.	
03/05/2019	BFBLJ6	17,068445	19,047214	-	36,115659	Padrão - SND	Reg.	
02/05/2019	BFBLJ6	17,068445	19,038325	-	36,106770	Padrão - SND	Reg.	
30/04/2019	BFBLJ6	17,068445	19,029438	-	36,097883	Padrão - SND	Reg.	
29/04/2019	BFBLJ6	17,068445	19,020552	-	36,088997	Padrão - SND	Reg.	
26/04/2019	BFBLJ6	17,068445	19,011670	-	36,080115	Padrão - SND	Reg.	
25/04/2019	BFBLJ6	17,068445	19,002789	-	36,071234	Padrão - SND	Reg.	
24/04/2019	BFBLJ6	17,068445	18,993910	-	36,062355	Padrão - SND	Reg.	
23/04/2019	BFBLJ6	17,068445	18,985034	-	36,053479	Padrão - SND	Reg.	
22/04/2019	BFBLJ6	17,068445	18,976160	-	36,044605	Padrão - SND	Reg.	
18/04/2019	BFBLJ6	17,068445	18,967288	-	36,035733	Padrão - SND	Reg.	
17/04/2019	BFBLJ6	17,068445	18,958418	-	36,026863	Padrão - SND	Reg.	
16/04/2019	BFBLJ6	17,068445	18,949550	-	36,017995	Padrão - SND	Reg.	
15/04/2019	BFBLJ6	17,068445	18,940685	-	36,009130	Padrão - SND	Reg.	
12/04/2019	BFBLJ6	17,068445	18,931821	-	36,000266	Padrão - SND	Reg.	
11/04/2019	BFBLJ6	17,068445	18,922960	-	35,991405	Padrão - SND	Reg.	
