PU Histórico - Gerado em 26/05/2019 21:02:40

Data do PU	Ativo	Valor Nominal	Juros	Prêmio	Preço Unitário	Critério de Cálculo	Situação	
24/05/2019	BISC12	100.000,000000	3.250,207600	-	103.250,207600	Padrão - SND	Reg.	
23/05/2019	BISC12	100.000,000000	3.212,686400	-	103.212,686400	Padrão - SND	Reg.	
22/05/2019	BISC12	100.000,000000	3.175,178600	-	103.175,178600	Padrão - SND	Reg.	
21/05/2019	BISC12	100.000,000000	3.137,684300	-	103.137,684300	Padrão - SND	Reg.	
20/05/2019	BISC12	100.000,000000	3.100,204400	-	103.100,204400	Padrão - SND	Reg.	
17/05/2019	BISC12	100.000,000000	3.062,738000	-	103.062,738000	Padrão - SND	Reg.	
16/05/2019	BISC12	100.000,000000	3.025,284900	-	103.025,284900	Padrão - SND	Reg.	
15/05/2019	BISC12	100.000,000000	2.987,845400	-	102.987,845400	Padrão - SND	Reg.	
14/05/2019	BISC12	100.000,000000	2.950,419200	-	102.950,419200	Padrão - SND	Reg.	
13/05/2019	BISC12	100.000,000000	2.913,007400	-	102.913,007400	Padrão - SND	Reg.	
10/05/2019	BISC12	100.000,000000	2.875,609100	-	102.875,609100	Padrão - SND	Reg.	
09/05/2019	BISC12	100.000,000000	2.838,223200	-	102.838,223200	Padrão - SND	Reg.	
08/05/2019	BISC12	100.000,000000	2.800,851600	-	102.800,851600	Padrão - SND	Reg.	
07/05/2019	BISC12	100.000,000000	2.763,494500	-	102.763,494500	Padrão - SND	Reg.	
06/05/2019	BISC12	100.000,000000	2.726,149900	-	102.726,149900	Padrão - SND	Reg.	
03/05/2019	BISC12	100.000,000000	2.688,819500	-	102.688,819500	Padrão - SND	Reg.	
02/05/2019	BISC12	100.000,000000	2.651,501700	-	102.651,501700	Padrão - SND	Reg.	
30/04/2019	BISC12	100.000,000000	2.614,198100	-	102.614,198100	Padrão - SND	Reg.	
29/04/2019	BISC12	100.000,000000	2.576,908000	-	102.576,908000	Padrão - SND	Reg.	
26/04/2019	BISC12	100.000,000000	2.539,632200	-	102.539,632200	Padrão - SND	Reg.	
25/04/2019	BISC12	100.000,000000	2.502,368900	-	102.502,368900	Padrão - SND	Reg.	
24/04/2019	BISC12	100.000,000000	2.465,119900	-	102.465,119900	Padrão - SND	Reg.	
23/04/2019	BISC12	100.000,000000	2.427,883400	-	102.427,883400	Padrão - SND	Reg.	
22/04/2019	BISC12	100.000,000000	2.390,661100	-	102.390,661100	Padrão - SND	Reg.	
18/04/2019	BISC12	100.000,000000	2.353,452300	-	102.353,452300	Padrão - SND	Reg.	
17/04/2019	BISC12	100.000,000000	2.316,256800	-	102.316,256800	Padrão - SND	Reg.	
16/04/2019	BISC12	100.000,000000	2.279,075600	-	102.279,075600	Padrão - SND	Reg.	
15/04/2019	BISC12	100.000,000000	2.241,906900	-	102.241,906900	Padrão - SND	Reg.	
12/04/2019	BISC12	100.000,000000	2.204,752500	-	102.204,752500	Padrão - SND	Reg.	
11/04/2019	BISC12	100.000,000000	2.167,611300	-	102.167,611300	Padrão - SND	Reg.	
10/04/2019	BISC12	100.000,000000	2.130,483700	-	102.130,483700	Padrão - SND	Reg.	
09/04/2019	BISC12	100.000,000000	2.093,369200	-	102.093,369200	Padrão - SND	Reg.	
08/04/2019	BISC12	100.000,000000	2.056,268200	-	102.056,268200	Padrão - SND	Reg.	
05/04/2019	BISC12	100.000,000000	2.019,181600	-	102.019,181600	Padrão - SND	Reg.	
04/04/2019	BISC12	100.000,000000	1.982,107100	-	101.982,107100	Padrão - SND	Reg.	
03/04/2019	BISC12	100.000,000000	1.945,047100	-	101.945,047100	Padrão - SND	Reg.	
02/04/2019	BISC12	100.000,000000	1.908,000500	-	101.908,000500	Padrão - SND	Reg.	
01/04/2019	BISC12	100.000,000000	1.870,967100	-	101.870,967100	Padrão - SND	Reg.	
29/03/2019	BISC12	100.000,000000	1.833,947100	-	101.833,947100	Padrão - SND	Reg.	
28/03/2019	BISC12	100.000,000000	1.796,940300	-	101.796,940300	Padrão - SND	Reg.	
27/03/2019	BISC12	100.000,000000	1.759,946900	-	101.759,946900	Padrão - SND	Reg.	
26/03/2019	BISC12	100.000,000000	1.722,967800	-	101.722,967800	Padrão - SND	Reg.	
25/03/2019	BISC12	100.000,000000	1.686,001000	-	101.686,001000	Padrão - SND	Reg.	
22/03/2019	BISC12	100.000,000000	1.649,048500	-	101.649,048500	Padrão - SND	Reg.	
21/03/2019	BISC12	100.000,000000	1.612,109300	-	101.612,109300	Padrão - SND	Reg.	
20/03/2019	BISC12	100.000,000000	1.575,183400	-	101.575,183400	Padrão - SND	Reg.	
19/03/2019	BISC12	100.000,000000	1.538,270800	-	101.538,270800	Padrão - SND	Reg.	
18/03/2019	BISC12	100.000,000000	1.501,371500	-	101.501,371500	Padrão - SND	Reg.	
15/03/2019	BISC12	100.000,000000	1.464,486400	-	101.464,486400	Padrão - SND	Reg.	
14/03/2019	BISC12	100.000,000000	1.427,613700	-	101.427,613700	Padrão - SND	Reg.	
13/03/2019	BISC12	100.000,000000	1.390,755300	-	101.390,755300	Padrão - SND	Reg.	
12/03/2019	BISC12	100.000,000000	1.353,910100	-	101.353,910100	Padrão - SND	Reg.	
11/03/2019	BISC12	100.000,000000	1.317,077200	-	101.317,077200	Padrão - SND	Reg.	
08/03/2019	BISC12	100.000,000000	1.280,258600	-	101.280,258600	Padrão - SND	Reg.	
07/03/2019	BISC12	100.000,000000	1.243,453100	-	101.243,453100	Padrão - SND	Reg.	
