PU Histórico - Gerado em 26/05/2019 21:02:45

Data do PU	Ativo	Valor Nominal	Juros	Prêmio	Preço Unitário	Critério de Cálculo	Situação	
24/05/2019	BKBR16	3.076,930000	15,613534	-	3.092,543534	Padrão - SND	Reg.	
23/05/2019	BKBR16	3.076,930000	14,495654	-	3.091,425654	Padrão - SND	Reg.	
22/05/2019	BKBR16	3.076,930000	13,378178	-	3.090,308178	Padrão - SND	Reg.	
21/05/2019	BKBR16	3.076,930000	12,261132	-	3.089,191132	Padrão - SND	Reg.	
20/05/2019	BKBR16	3.076,930000	11,144459	-	3.088,074459	Padrão - SND	Reg.	
17/05/2019	BKBR16	3.076,930000	10,028189	-	3.086,958189	Padrão - SND	Reg.	
16/05/2019	BKBR16	3.076,930000	8,912346	-	3.085,842346	Padrão - SND	Reg.	
15/05/2019	BKBR16	3.076,930000	7,796876	-	3.084,726876	Padrão - SND	Reg.	
14/05/2019	BKBR16	3.076,930000	6,681843	-	3.083,611843	Padrão - SND	Reg.	
13/05/2019	BKBR16	3.076,930000	5,567206	-	3.082,497206	Padrão - SND	Reg.	
10/05/2019	BKBR16	3.076,930000	4,452939	-	3.081,382939	Padrão - SND	Reg.	
09/05/2019	BKBR16	3.076,930000	3,339103	-	3.080,269103	Padrão - SND	Reg.	
08/05/2019	BKBR16	3.076,930000	2,225670	-	3.079,155670	Padrão - SND	Reg.	
07/05/2019	BKBR16	3.076,930000	1,112633	-	3.078,042633	Padrão - SND	Reg.	
06/05/2019	BKBR16	3.076,930000	-  	-	3.076,930000	Padrão - SND	Reg.	
03/05/2019	BKBR16	3.846,160000	26,511208	-	3.872,671208	Padrão - SND	Reg.	
02/05/2019	BKBR16	3.846,160000	25,111352	-	3.871,271352	Padrão - SND	Reg.	
30/04/2019	BKBR16	3.846,160000	23,711953	-	3.869,871953	Padrão - SND	Reg.	
29/04/2019	BKBR16	3.846,160000	22,313101	-	3.868,473101	Padrão - SND	Reg.	
26/04/2019	BKBR16	3.846,160000	20,914749	-	3.867,074749	Padrão - SND	Reg.	
25/04/2019	BKBR16	3.846,160000	19,516904	-	3.865,676904	Padrão - SND	Reg.	
24/04/2019	BKBR16	3.846,160000	18,119556	-	3.864,279556	Padrão - SND	Reg.	
23/04/2019	BKBR16	3.846,160000	16,722711	-	3.862,882711	Padrão - SND	Reg.	
22/04/2019	BKBR16	3.846,160000	15,326405	-	3.861,486405	Padrão - SND	Reg.	
18/04/2019	BKBR16	3.846,160000	13,930565	-	3.860,090565	Padrão - SND	Reg.	
17/04/2019	BKBR16	3.846,160000	12,535228	-	3.858,695228	Padrão - SND	Reg.	
16/04/2019	BKBR16	3.846,160000	11,140426	-	3.857,300426	Padrão - SND	Reg.	
15/04/2019	BKBR16	3.846,160000	9,746093	-	3.855,906093	Padrão - SND	Reg.	
