PU Histórico - Gerado em 26/05/2019 21:02:52

Data do PU	Ativo	Valor Nominal	Juros	Prêmio	Preço Unitário	Critério de Cálculo	Situação	
24/05/2019	BLMN12	1.102,690398	33,059520	-	1.135,749918	Padrão - SND	Reg.	
23/05/2019	BLMN12	1.102,551582	32,744791	-	1.135,296373	Padrão - SND	Reg.	
22/05/2019	BLMN12	1.102,412777	32,430223	-	1.134,843000	Padrão - SND	Reg.	
21/05/2019	BLMN12	1.102,273982	32,115819	-	1.134,389802	Padrão - SND	Reg.	
20/05/2019	BLMN12	1.102,135209	31,801580	-	1.133,936790	Padrão - SND	Reg.	
17/05/2019	BLMN12	1.101,996458	31,487503	-	1.133,483962	Padrão - SND	Reg.	
16/05/2019	BLMN12	1.101,857718	31,173590	-	1.133,031307	Padrão - SND	Reg.	
15/05/2019	BLMN12	1.101,719009	30,859841	-	1.132,578851	Padrão - SND	Reg.	
14/05/2019	BLMN12	1.101,405968	30,541420	-	1.131,947388	Padrão - SND	Reg.	
13/05/2019	BLMN12	1.101,093012	30,223262	-	1.131,316274	Padrão - SND	Reg.	
10/05/2019	BLMN12	1.101,152582	29,915486	-	1.131,068067	Padrão - SND	Reg.	
09/05/2019	BLMN12	1.100,817805	29,597157	-	1.130,414961	Padrão - SND	Reg.	
08/05/2019	BLMN12	1.100,483125	29,279104	-	1.129,762229	Padrão - SND	Reg.	
07/05/2019	BLMN12	1.100,148542	28,961326	-	1.129,109868	Padrão - SND	Reg.	
06/05/2019	BLMN12	1.099,814056	28,643823	-	1.128,457880	Padrão - SND	Reg.	
03/05/2019	BLMN12	1.099,479689	28,326594	-	1.127,806283	Padrão - SND	Reg.	
02/05/2019	BLMN12	1.099,145419	28,009641	-	1.127,155060	Padrão - SND	Reg.	
30/04/2019	BLMN12	1.098,811256	27,692962	-	1.126,504218	Padrão - SND	Reg.	
29/04/2019	BLMN12	1.098,477180	27,376557	-	1.125,853737	Padrão - SND	Reg.	
