PU Histórico - Gerado em 26/05/2019 21:03:09

Data do PU	Ativo	Valor Nominal	Juros	Prêmio	Preço Unitário	Critério de Cálculo	Situação	
24/05/2019	BPCH21	1.026,602820	2,266984	-	1.028,869804	Padrão - SND	Reg.	
23/05/2019	BPCH21	1.026,349160	1,942343	-	1.028,291503	Padrão - SND	Reg.	
22/05/2019	BPCH21	1.026,095570	1,617965	-	1.027,713535	Padrão - SND	Reg.	
21/05/2019	BPCH21	1.025,842050	1,293847	-	1.027,135897	Padrão - SND	Reg.	
20/05/2019	BPCH21	1.025,588590	0,969993	-	1.026,558583	Padrão - SND	Reg.	
17/05/2019	BPCH21	1.025,335190	0,646401	-	1.025,981591	Padrão - SND	Reg.	
16/05/2019	BPCH21	1.025,081840	0,323070	-	1.025,404910	Padrão - SND	Reg.	
15/05/2019	BPCH21	1.024,828570	-  	-	1.024,828570	Padrão - SND	Reg.	
14/05/2019	BPCH21	1.024,537390	18,897293	-	1.043,434683	Padrão - SND	Reg.	
13/05/2019	BPCH21	1.024,246270	18,563267	-	1.042,809537	Padrão - SND	Reg.	
10/05/2019	BPCH21	1.025,512740	18,257261	-	1.043,770001	Padrão - SND	Reg.	
09/05/2019	BPCH21	1.025,129700	17,921709	-	1.043,051409	Padrão - SND	Reg.	
08/05/2019	BPCH21	1.024,746810	17,586508	-	1.042,333318	Padrão - SND	Reg.	
07/05/2019	BPCH21	1.024,364050	17,251659	-	1.041,615709	Padrão - SND	Reg.	
06/05/2019	BPCH21	1.023,981440	16,917161	-	1.040,898600	Padrão - SND	Reg.	
03/05/2019	BPCH21	1.023,598970	16,583014	-	1.040,181984	Padrão - SND	Reg.	
02/05/2019	BPCH21	1.023,216650	16,249217	-	1.039,465867	Padrão - SND	Reg.	
30/04/2019	BPCH21	1.022,834460	15,915771	-	1.038,750231	Padrão - SND	Reg.	
29/04/2019	BPCH21	1.022,452420	15,582674	-	1.038,035094	Padrão - SND	Reg.	
26/04/2019	BPCH21	1.022,070520	15,249927	-	1.037,320447	Padrão - SND	Reg.	
25/04/2019	BPCH21	1.021,688770	14,917529	-	1.036,606299	Padrão - SND	Reg.	
24/04/2019	BPCH21	1.021,307150	14,585480	-	1.035,892630	Padrão - SND	Reg.	
23/04/2019	BPCH21	1.020,925680	14,253780	-	1.035,179460	Padrão - SND	Reg.	
22/04/2019	BPCH21	1.020,544360	13,922429	-	1.034,466789	Padrão - SND	Reg.	
18/04/2019	BPCH21	1.020,163170	13,591426	-	1.033,754596	Padrão - SND	Reg.	
17/04/2019	BPCH21	1.019,782130	13,260772	-	1.033,042902	Padrão - SND	Reg.	
16/04/2019	BPCH21	1.019,401230	12,930463	-	1.032,331693	Padrão - SND	Reg.	
15/04/2019	BPCH21	1.019,020470	12,600504	-	1.031,620974	Padrão - SND	Reg.	
12/04/2019	BPCH21	1.018,657970	12,271108	-	1.030,929078	Padrão - SND	Reg.	
11/04/2019	BPCH21	1.018,295610	11,942050	-	1.030,237660	Padrão - SND	Reg.	
10/04/2019	BPCH21	1.015,161340	11,581699	-	1.026,743039	Padrão - SND	Reg.	
09/04/2019	BPCH21	1.014,953970	11,255909	-	1.026,209879	Padrão - SND	Reg.	
08/04/2019	BPCH21	1.014,746640	10,930352	-	1.025,676992	Padrão - SND	Reg.	
05/04/2019	BPCH21	1.014,539350	10,605030	-	1.025,144380	Padrão - SND	Reg.	
04/04/2019	BPCH21	1.014,332110	10,279941	-	1.024,612051	Padrão - SND	Reg.	
03/04/2019	BPCH21	1.014,124900	9,955088	-	1.024,079988	Padrão - SND	Reg.	
02/04/2019	BPCH21	1.013,917740	9,630468	-	1.023,548208	Padrão - SND	Reg.	
01/04/2019	BPCH21	1.013,710620	9,306082	-	1.023,016702	Padrão - SND	Reg.	
29/03/2019	BPCH21	1.013,503540	8,981930	-	1.022,485470	Padrão - SND	Reg.	
28/03/2019	BPCH21	1.013,296510	8,658012	-	1.021,954522	Padrão - SND	Reg.	
27/03/2019	BPCH21	1.013,089520	8,334326	-	1.021,423846	Padrão - SND	Reg.	
26/03/2019	BPCH21	1.012,882570	8,010874	-	1.020,893444	Padrão - SND	Reg.	
25/03/2019	BPCH21	1.012,675660	7,687655	-	1.020,363315	Padrão - SND	Reg.	
22/03/2019	BPCH21	1.012,468790	7,364670	-	1.019,833460	Padrão - SND	Reg.	
21/03/2019	BPCH21	1.012,261970	7,041917	-	1.019,303887	Padrão - SND	Reg.	
20/03/2019	BPCH21	1.012,055180	6,719397	-	1.018,774577	Padrão - SND	Reg.	
19/03/2019	BPCH21	1.011,848450	6,397108	-	1.018,245558	Padrão - SND	Reg.	
18/03/2019	BPCH21	1.011,641750	6,075053	-	1.017,716803	Padrão - SND	Reg.	
15/03/2019	BPCH21	1.011,435100	5,753231	-	1.017,188331	Padrão - SND	Reg.	
14/03/2019	BPCH21	1.011,194060	5,431455	-	1.016,625515	Padrão - SND	Reg.	
13/03/2019	BPCH21	1.010,953070	5,109934	-	1.016,063004	Padrão - SND	Reg.	
12/03/2019	BPCH21	1.009,789670	4,784296	-	1.014,573966	Padrão - SND	Reg.	
11/03/2019	BPCH21	1.009,610480	4,463846	-	1.014,074326	Padrão - SND	Reg.	
08/03/2019	BPCH21	1.009,431320	4,143612	-	1.013,574932	Padrão - SND	Reg.	
07/03/2019	BPCH21	1.009,252190	3,823590	-	1.013,075780	Padrão - SND	Reg.	
06/03/2019	BPCH21	1.009,073090	3,503783	-	1.012,576873	Padrão - SND	Reg.	
01/03/2019	BPCH21	1.008,894030	3,184191	-	1.012,078221	Padrão - SND	Reg.	
28/02/2019	BPCH21	1.008,714990	2,864811	-	1.011,579801	Padrão - SND	Reg.	
27/02/2019	BPCH21	1.008,535990	2,545646	-	1.011,081636	Padrão - SND	Reg.	
26/02/2019	BPCH21	1.008,357020	2,226693	-	1.010,583713	Padrão - SND	Reg.	
25/02/2019	BPCH21	1.008,178070	1,907955	-	1.010,086025	Padrão - SND	Reg.	
22/02/2019	BPCH21	1.007,999160	1,589430	-	1.009,588590	Padrão - SND	Reg.	
21/02/2019	BPCH21	1.007,820290	1,271118	-	1.009,091408	Padrão - SND	Reg.	
20/02/2019	BPCH21	1.007,641440	0,953019	-	1.008,594459	Padrão - SND	Reg.	
19/02/2019	BPCH21	1.007,462630	0,635134	-	1.008,097764	Padrão - SND	Reg.	
18/02/2019	BPCH21	1.007,283850	0,317461	-	1.007,601311	Padrão - SND	Reg.	
15/02/2019	BPCH21	1.007,105110	-  	-	1.007,105110	Padrão - SND	Reg.	
14/02/2019	BPCH21	1.006,965240	27,009918	-	1.033,975158	Padrão - SND	Reg.	
13/02/2019	BPCH21	1.006,825390	26,680442	-	1.033,505832	Padrão - SND	Reg.	
12/02/2019	BPCH21	1.006,685560	26,351160	-	1.033,036720	Padrão - SND	Reg.	
11/02/2019	BPCH21	1.006,545750	26,022071	-	1.032,567821	Padrão - SND	Reg.	
08/02/2019	BPCH21	1.005,071410	25,659106	-	1.030,730516	Padrão - SND	Reg.	
07/02/2019	BPCH21	1.005,005900	25,332707	-	1.030,338607	Padrão - SND	Reg.	
06/02/2019	BPCH21	1.004,940410	25,006454	-	1.029,946864	Padrão - SND	Reg.	
05/02/2019	BPCH21	1.004,874920	24,680345	-	1.029,555265	Padrão - SND	Reg.	
04/02/2019	BPCH21	1.004,809430	24,354380	-	1.029,163810	Padrão - SND	Reg.	
01/02/2019	BPCH21	1.004,743950	24,028560	-	1.028,772510	Padrão - SND	Reg.	
31/01/2019	BPCH21	1.004,678460	23,702885	-	1.028,381345	Padrão - SND	Reg.	
30/01/2019	BPCH21	1.004,612990	23,377354	-	1.027,990344	Padrão - SND	Reg.	
29/01/2019	BPCH21	1.004,547520	23,051968	-	1.027,599488	Padrão - SND	Reg.	
28/01/2019	BPCH21	1.004,482050	22,726726	-	1.027,208776	Padrão - SND	Reg.	
25/01/2019	BPCH21	1.004,416590	22,401628	-	1.026,818218	Padrão - SND	Reg.	
24/01/2019	BPCH21	1.004,351130	22,076674	-	1.026,427804	Padrão - SND	Reg.	
23/01/2019	BPCH21	1.004,285670	21,751864	-	1.026,037534	Padrão - SND	Reg.	
22/01/2019	BPCH21	1.004,220220	21,427199	-	1.025,647419	Padrão - SND	Reg.	
21/01/2019	BPCH21	1.004,154770	21,102678	-	1.025,257448	Padrão - SND	Reg.	
18/01/2019	BPCH21	1.004,089330	20,778300	-	1.024,867630	Padrão - SND	Reg.	
17/01/2019	BPCH21	1.004,023900	20,454067	-	1.024,477967	Padrão - SND	Reg.	
16/01/2019	BPCH21	1.003,958460	20,129978	-	1.024,088438	Padrão - SND	Reg.	
15/01/2019	BPCH21	1.003,893040	19,806033	-	1.023,699073	Padrão - SND	Reg.	
14/01/2019	BPCH21	1.003,813840	19,481963	-	1.023,295803	Padrão - SND	Reg.	
11/01/2019	BPCH21	1.000,505310	19,096409	-	1.019,601719	Padrão - SND	Reg.	
10/01/2019	BPCH21	1.000,616040	18,777245	-	1.019,393285	Padrão - SND	Reg.	
09/01/2019	BPCH21	1.000,726780	18,458113	-	1.019,184893	Padrão - SND	Reg.	
08/01/2019	BPCH21	1.000,837530	18,139010	-	1.018,976540	Padrão - SND	Reg.	
07/01/2019	BPCH21	1.000,948290	17,819937	-	1.018,768227	Padrão - SND	Reg.	
04/01/2019	BPCH21	1.001,059070	17,500896	-	1.018,559966	Padrão - SND	Reg.	
03/01/2019	BPCH21	1.001,169860	17,181885	-	1.018,351745	Padrão - SND	Reg.	
02/01/2019	BPCH21	1.001,280660	16,862903	-	1.018,143563	Padrão - SND	Reg.	
31/12/2018	BPCH21	1.001,391480	16,543953	-	1.017,935433	Padrão - SND	Reg.	
28/12/2018	BPCH21	1.001,502300	16,225031	-	1.017,727331	Padrão - SND	Reg.	
27/12/2018	BPCH21	1.001,613130	15,906141	-	1.017,519271	Padrão - SND	Reg.	
26/12/2018	BPCH21	1.001,723990	15,587281	-	1.017,311271	Padrão - SND	Reg.	
24/12/2018	BPCH21	1.001,834850	15,268451	-	1.017,103301	Padrão - SND	Reg.	
21/12/2018	BPCH21	1.001,945730	14,949651	-	1.016,895381	Padrão - SND	Reg.	
20/12/2018	BPCH21	1.002,056610	14,630882	-	1.016,687492	Padrão - SND	Reg.	
19/12/2018	BPCH21	1.002,167520	14,312143	-	1.016,479663	Padrão - SND	Reg.	
18/12/2018	BPCH21	1.002,278430	13,993434	-	1.016,271864	Padrão - SND	Reg.	
17/12/2018	BPCH21	1.002,389350	13,674755	-	1.016,064105	Padrão - SND	Reg.	
14/12/2018	BPCH21	1.002,489720	13,355966	-	1.015,845686	Padrão - SND	Reg.	
13/12/2018	BPCH21	1.002,590110	13,037214	-	1.015,627324	Padrão - SND	Reg.	
12/12/2018	BPCH21	1.002,690500	12,718498	-	1.015,408998	Padrão - SND	Reg.	
11/12/2018	BPCH21	1.002,790900	12,399819	-	1.015,190719	Padrão - SND	Reg.	
10/12/2018	BPCH21	1.002,891310	12,081178	-	1.014,972488	Padrão - SND	Reg.	
07/12/2018	BPCH21	1.007,725400	11,818087	-	1.019,543487	Padrão - SND	Reg.	
06/12/2018	BPCH21	1.007,510000	11,494407	-	1.019,004407	Padrão - SND	Reg.	
05/12/2018	BPCH21	1.007,294650	11,170965	-	1.018,465615	Padrão - SND	Reg.	
04/12/2018	BPCH21	1.007,079340	10,847763	-	1.017,927103	Padrão - SND	Reg.	
03/12/2018	BPCH21	1.006,864080	10,524800	-	1.017,388880	Padrão - SND	Reg.	
30/11/2018	BPCH21	1.006,648860	10,202074	-	1.016,850934	Padrão - SND	Reg.	
29/11/2018	BPCH21	1.006,433700	9,879588	-	1.016,313288	Padrão - SND	Reg.	
28/11/2018	BPCH21	1.006,218580	9,557339	-	1.015,775919	Padrão - SND	Reg.	
27/11/2018	BPCH21	1.006,003500	9,235329	-	1.015,238829	Padrão - SND	Reg.	
26/11/2018	BPCH21	1.005,788470	8,913557	-	1.014,702027	Padrão - SND	Reg.	
23/11/2018	BPCH21	1.005,573490	8,592022	-	1.014,165512	Padrão - SND	Reg.	
22/11/2018	BPCH21	1.005,358540	8,270726	-	1.013,629266	Padrão - SND	Reg.	
21/11/2018	BPCH21	1.005,143650	7,949667	-	1.013,093317	Padrão - SND	Reg.	
20/11/2018	BPCH21	1.004,928810	7,628846	-	1.012,557656	Padrão - SND	Reg.	
19/11/2018	BPCH21	1.004,714010	7,308262	-	1.012,022272	Padrão - SND	Reg.	
16/11/2018	BPCH21	1.004,499260	6,987915	-	1.011,487175	Padrão - SND	Reg.	
14/11/2018	BPCH21	1.004,294310	6,667868	-	1.010,962178	Padrão - SND	Reg.	
13/11/2018	BPCH21	1.004,089400	6,348054	-	1.010,437454	Padrão - SND	Reg.	
12/11/2018	BPCH21	1.003,884530	6,028470	-	1.009,913000	Padrão - SND	Reg.	
09/11/2018	BPCH21	1.003,679710	5,709117	-	1.009,388827	Padrão - SND	Reg.	
08/11/2018	BPCH21	1.003,474930	5,389993	-	1.008,864923	Padrão - SND	Reg.	
07/11/2018	BPCH21	1.003,488410	5,072203	-	1.008,560613	Padrão - SND	Reg.	
06/11/2018	BPCH21	1.003,270030	4,753406	-	1.008,023436	Padrão - SND	Reg.	
05/11/2018	BPCH21	1.003,051690	4,434848	-	1.007,486538	Padrão - SND	Reg.	
01/11/2018	BPCH21	1.002,833410	4,116527	-	1.006,949937	Padrão - SND	Reg.	
31/10/2018	BPCH21	1.002,615170	3,798446	-	1.006,413616	Padrão - SND	Reg.	
30/10/2018	BPCH21	1.002,396980	3,480602	-	1.005,877582	Padrão - SND	Reg.	
29/10/2018	BPCH21	1.002,178830	3,162997	-	1.005,341827	Padrão - SND	Reg.	
26/10/2018	BPCH21	1.001,960730	2,845629	-	1.004,806359	Padrão - SND	Reg.	
25/10/2018	BPCH21	1.001,742680	2,528499	-	1.004,271179	Padrão - SND	Reg.	
24/10/2018	BPCH21	1.001,524680	2,211606	-	1.003,736286	Padrão - SND	Reg.	
23/10/2018	BPCH21	1.001,306730	1,894951	-	1.003,201681	Padrão - SND	Reg.	
22/10/2018	BPCH21	1.001,088820	1,578534	-	1.002,667354	Padrão - SND	Reg.	
19/10/2018	BPCH21	1.000,870960	1,262353	-	1.002,133313	Padrão - SND	Reg.	
18/10/2018	BPCH21	1.000,653150	0,946410	-	1.001,599560	Padrão - SND	Reg.	
