PU Histórico - Gerado em 26/05/2019 21:03:10

Data do PU	Ativo	Valor Nominal	Juros	Prêmio	Preço Unitário	Critério de Cálculo	Situação	
24/05/2019	BRAM11	100,000000	358,493374	-	458,493374	Padrão - SND	Reg.	
23/05/2019	BRAM11	100,000000	358,380521	-	458,380521	Padrão - SND	Reg.	
22/05/2019	BRAM11	100,000000	358,267696	-	458,267696	Padrão - SND	Reg.	
21/05/2019	BRAM11	100,000000	358,154898	-	458,154898	Padrão - SND	Reg.	
20/05/2019	BRAM11	100,000000	358,042128	-	458,042128	Padrão - SND	Reg.	
17/05/2019	BRAM11	100,000000	357,929386	-	457,929386	Padrão - SND	Reg.	
16/05/2019	BRAM11	100,000000	357,816671	-	457,816671	Padrão - SND	Reg.	
15/05/2019	BRAM11	100,000000	357,703984	-	457,703984	Padrão - SND	Reg.	
14/05/2019	BRAM11	100,000000	357,591326	-	457,591326	Padrão - SND	Reg.	
13/05/2019	BRAM11	100,000000	357,478694	-	457,478694	Padrão - SND	Reg.	
10/05/2019	BRAM11	100,000000	357,366091	-	457,366091	Padrão - SND	Reg.	
09/05/2019	BRAM11	100,000000	357,253515	-	457,253515	Padrão - SND	Reg.	
08/05/2019	BRAM11	100,000000	357,140967	-	457,140967	Padrão - SND	Reg.	
07/05/2019	BRAM11	100,000000	357,028446	-	457,028446	Padrão - SND	Reg.	
06/05/2019	BRAM11	100,000000	356,915954	-	456,915954	Padrão - SND	Reg.	
03/05/2019	BRAM11	100,000000	356,803489	-	456,803489	Padrão - SND	Reg.	
02/05/2019	BRAM11	100,000000	356,691051	-	456,691051	Padrão - SND	Reg.	
30/04/2019	BRAM11	100,000000	356,578642	-	456,578642	Padrão - SND	Reg.	
29/04/2019	BRAM11	100,000000	356,466260	-	456,466260	Padrão - SND	Reg.	
26/04/2019	BRAM11	100,000000	356,353905	-	456,353905	Padrão - SND	Reg.	
25/04/2019	BRAM11	100,000000	356,241579	-	456,241579	Padrão - SND	Reg.	
24/04/2019	BRAM11	100,000000	356,129280	-	456,129280	Padrão - SND	Reg.	
23/04/2019	BRAM11	100,000000	356,017008	-	456,017008	Padrão - SND	Reg.	
22/04/2019	BRAM11	100,000000	355,904765	-	455,904765	Padrão - SND	Reg.	
18/04/2019	BRAM11	100,000000	355,792548	-	455,792548	Padrão - SND	Reg.	
17/04/2019	BRAM11	100,000000	355,680360	-	455,680360	Padrão - SND	Reg.	
16/04/2019	BRAM11	100,000000	355,568199	-	455,568199	Padrão - SND	Reg.	
15/04/2019	BRAM11	100,000000	355,456066	-	455,456066	Padrão - SND	Reg.	
12/04/2019	BRAM11	100,000000	355,343960	-	455,343960	Padrão - SND	Reg.	
11/04/2019	BRAM11	100,000000	355,231882	-	455,231882	Padrão - SND	Reg.	
10/04/2019	BRAM11	100,000000	355,119831	-	455,119831	Padrão - SND	Reg.	
09/04/2019	BRAM11	100,000000	355,007809	-	455,007809	Padrão - SND	Reg.	
08/04/2019	BRAM11	100,000000	354,895813	-	454,895813	Padrão - SND	Reg.	
05/04/2019	BRAM11	100,000000	354,783845	-	454,783845	Padrão - SND	Reg.	
04/04/2019	BRAM11	100,000000	354,671905	-	454,671905	Padrão - SND	Reg.	
03/04/2019	BRAM11	100,000000	354,559992	-	454,559992	Padrão - SND	Reg.	
02/04/2019	BRAM11	100,000000	354,448107	-	454,448107	Padrão - SND	Reg.	
01/04/2019	BRAM11	100,000000	354,336250	-	454,336250	Padrão - SND	Reg.	
29/03/2019	BRAM11	100,000000	354,224420	-	454,224420	Padrão - SND	Reg.	
28/03/2019	BRAM11	100,000000	354,112617	-	454,112617	Padrão - SND	Reg.	
27/03/2019	BRAM11	100,000000	354,000842	-	454,000842	Padrão - SND	Reg.	
26/03/2019	BRAM11	100,000000	353,889095	-	453,889095	Padrão - SND	Reg.	
25/03/2019	BRAM11	100,000000	353,777375	-	453,777375	Padrão - SND	Reg.	
22/03/2019	BRAM11	100,000000	353,665682	-	453,665682	Padrão - SND	Reg.	
21/03/2019	BRAM11	100,000000	353,554017	-	453,554017	Padrão - SND	Reg.	
20/03/2019	BRAM11	100,000000	353,442380	-	453,442380	Padrão - SND	Reg.	
19/03/2019	BRAM11	100,000000	353,330770	-	453,330770	Padrão - SND	Reg.	
18/03/2019	BRAM11	100,000000	353,219187	-	453,219187	Padrão - SND	Reg.	
15/03/2019	BRAM11	100,000000	353,107632	-	453,107632	Padrão - SND	Reg.	
14/03/2019	BRAM11	100,000000	352,996104	-	452,996104	Padrão - SND	Reg.	
13/03/2019	BRAM11	100,000000	352,884604	-	452,884604	Padrão - SND	Reg.	
12/03/2019	BRAM11	100,000000	352,773131	-	452,773131	Padrão - SND	Reg.	
11/03/2019	BRAM11	100,000000	352,661686	-	452,661686	Padrão - SND	Reg.	
08/03/2019	BRAM11	100,000000	352,550268	-	452,550268	Padrão - SND	Reg.	
07/03/2019	BRAM11	100,000000	352,438878	-	452,438878	Padrão - SND	Reg.	
06/03/2019	BRAM11	100,000000	352,327515	-	452,327515	Padrão - SND	Reg.	
01/03/2019	BRAM11	100,000000	352,216179	-	452,216179	Padrão - SND	Reg.	
28/02/2019	BRAM11	100,000000	352,104871	-	452,104871	Padrão - SND	Reg.	
27/02/2019	BRAM11	100,000000	351,993590	-	451,993590	Padrão - SND	Reg.	
26/02/2019	BRAM11	100,000000	351,882337	-	451,882337	Padrão - SND	Reg.	
25/02/2019	BRAM11	100,000000	351,771111	-	451,771111	Padrão - SND	Reg.	
22/02/2019	BRAM11	100,000000	351,659912	-	451,659912	Padrão - SND	Reg.	
21/02/2019	BRAM11	100,000000	351,548741	-	451,548741	Padrão - SND	Reg.	
20/02/2019	BRAM11	100,000000	351,437597	-	451,437597	Padrão - SND	Reg.	
19/02/2019	BRAM11	100,000000	351,326480	-	451,326480	Padrão - SND	Reg.	
18/02/2019	BRAM11	100,000000	351,215391	-	451,215391	Padrão - SND	Reg.	
15/02/2019	BRAM11	100,000000	351,104329	-	451,104329	Padrão - SND	Reg.	
14/02/2019	BRAM11	100,000000	350,993294	-	450,993294	Padrão - SND	Reg.	
13/02/2019	BRAM11	100,000000	350,882287	-	450,882287	Padrão - SND	Reg.	
12/02/2019	BRAM11	100,000000	350,771307	-	450,771307	Padrão - SND	Reg.	
11/02/2019	BRAM11	100,000000	350,660355	-	450,660355	Padrão - SND	Reg.	
08/02/2019	BRAM11	100,000000	350,549429	-	450,549429	Padrão - SND	Reg.	
07/02/2019	BRAM11	100,000000	350,438532	-	450,438532	Padrão - SND	Reg.	
06/02/2019	BRAM11	100,000000	350,327661	-	450,327661	Padrão - SND	Reg.	
05/02/2019	BRAM11	100,000000	350,216817	-	450,216817	Padrão - SND	Reg.	
04/02/2019	BRAM11	100,000000	350,106001	-	450,106001	Padrão - SND	Reg.	
01/02/2019	BRAM11	100,000000	349,995213	-	449,995213	Padrão - SND	Reg.	
31/01/2019	BRAM11	100,000000	349,884451	-	449,884451	Padrão - SND	Reg.	
30/01/2019	BRAM11	100,000000	349,773717	-	449,773717	Padrão - SND	Reg.	
29/01/2019	BRAM11	100,000000	349,663010	-	449,663010	Padrão - SND	Reg.	
28/01/2019	BRAM11	100,000000	349,552330	-	449,552330	Padrão - SND	Reg.	
