PU Histórico - Gerado em 26/05/2019 21:03:39

Data do PU	Ativo	Valor Nominal	Juros	Prêmio	Preço Unitário	Critério de Cálculo	Situação	
24/05/2019	BRKN11	9.400,000000	375,515609	-	9.775,515609	Padrão - SND	Reg.	
23/05/2019	BRKN11	9.400,000000	371,970718	-	9.771,970718	Padrão - SND	Reg.	
22/05/2019	BRKN11	9.400,000000	368,427097	-	9.768,427097	Padrão - SND	Reg.	
21/05/2019	BRKN11	9.400,000000	364,884744	-	9.764,884744	Padrão - SND	Reg.	
20/05/2019	BRKN11	9.400,000000	361,343746	-	9.761,343746	Padrão - SND	Reg.	
17/05/2019	BRKN11	9.400,000000	357,803912	-	9.757,803912	Padrão - SND	Reg.	
16/05/2019	BRKN11	9.400,000000	354,265442	-	9.754,265442	Padrão - SND	Reg.	
15/05/2019	BRKN11	9.400,000000	350,728232	-	9.750,728232	Padrão - SND	Reg.	
14/05/2019	BRKN11	9.400,000000	347,192384	-	9.747,192384	Padrão - SND	Reg.	
13/05/2019	BRKN11	9.400,000000	343,657796	-	9.743,657796	Padrão - SND	Reg.	
10/05/2019	BRKN11	9.400,000000	340,124364	-	9.740,124364	Padrão - SND	Reg.	
09/05/2019	BRKN11	9.400,000000	336,592305	-	9.736,592305	Padrão - SND	Reg.	
08/05/2019	BRKN11	9.400,000000	333,061590	-	9.733,061590	Padrão - SND	Reg.	
07/05/2019	BRKN11	9.400,000000	329,532040	-	9.729,532040	Padrão - SND	Reg.	
06/05/2019	BRKN11	9.400,000000	326,003853	-	9.726,003853	Padrão - SND	Reg.	
03/05/2019	BRKN11	9.400,000000	322,476926	-	9.722,476926	Padrão - SND	Reg.	
02/05/2019	BRKN11	9.400,000000	318,951259	-	9.718,951259	Padrão - SND	Reg.	
30/04/2019	BRKN11	9.400,000000	315,426851	-	9.715,426851	Padrão - SND	Reg.	
29/04/2019	BRKN11	9.400,000000	311,903703	-	9.711,903703	Padrão - SND	Reg.	
26/04/2019	BRKN11	9.400,000000	308,381908	-	9.708,381908	Padrão - SND	Reg.	
25/04/2019	BRKN11	9.400,000000	304,861364	-	9.704,861364	Padrão - SND	Reg.	
24/04/2019	BRKN11	9.400,000000	301,342089	-	9.701,342089	Padrão - SND	Reg.	
23/04/2019	BRKN11	9.400,000000	297,824073	-	9.697,824073	Padrão - SND	Reg.	
22/04/2019	BRKN11	9.400,000000	294,307307	-	9.694,307307	Padrão - SND	Reg.	
18/04/2019	BRKN11	9.400,000000	290,791895	-	9.690,791895	Padrão - SND	Reg.	
17/04/2019	BRKN11	9.400,000000	287,277752	-	9.687,277752	Padrão - SND	Reg.	
16/04/2019	BRKN11	9.400,000000	283,764850	-	9.683,764850	Padrão - SND	Reg.	
15/04/2019	BRKN11	9.400,000000	280,253217	-	9.680,253217	Padrão - SND	Reg.	
12/04/2019	BRKN11	9.400,000000	276,742824	-	9.676,742824	Padrão - SND	Reg.	
11/04/2019	BRKN11	9.400,000000	273,233786	-	9.673,233786	Padrão - SND	Reg.	
10/04/2019	BRKN11	9.400,000000	269,726006	-	9.669,726006	Padrão - SND	Reg.	
09/04/2019	BRKN11	9.400,000000	266,219393	-	9.666,219393	Padrão - SND	Reg.	
08/04/2019	BRKN11	9.400,000000	262,714123	-	9.662,714123	Padrão - SND	Reg.	
05/04/2019	BRKN11	9.400,000000	259,210217	-	9.659,210217	Padrão - SND	Reg.	
04/04/2019	BRKN11	9.400,000000	255,707448	-	9.655,707448	Padrão - SND	Reg.	
03/04/2019	BRKN11	9.400,000000	252,206042	-	9.652,206042	Padrão - SND	Reg.	
02/04/2019	BRKN11	9.400,000000	248,705792	-	9.648,705792	Padrão - SND	Reg.	
01/04/2019	BRKN11	9.400,000000	245,206887	-	9.645,206887	Padrão - SND	Reg.	
29/03/2019	BRKN11	9.400,000000	241,709231	-	9.641,709231	Padrão - SND	Reg.	
28/03/2019	BRKN11	9.400,000000	238,212939	-	9.638,212939	Padrão - SND	Reg.	
27/03/2019	BRKN11	9.400,000000	234,717793	-	9.634,717793	Padrão - SND	Reg.	
26/03/2019	BRKN11	9.400,000000	231,223992	-	9.631,223992	Padrão - SND	Reg.	
25/03/2019	BRKN11	9.400,000000	227,731347	-	9.627,731347	Padrão - SND	Reg.	
22/03/2019	BRKN11	9.400,000000	224,240055	-	9.624,240055	Padrão - SND	Reg.	
21/03/2019	BRKN11	9.400,000000	220,750014	-	9.620,750014	Padrão - SND	Reg.	
20/03/2019	BRKN11	9.400,000000	217,261222	-	9.617,261222	Padrão - SND	Reg.	
19/03/2019	BRKN11	9.400,000000	213,773775	-	9.613,773775	Padrão - SND	Reg.	
18/03/2019	BRKN11	9.400,000000	210,287475	-	9.610,287475	Padrão - SND	Reg.	
15/03/2019	BRKN11	9.400,000000	206,802538	-	9.606,802538	Padrão - SND	Reg.	
14/03/2019	BRKN11	9.400,000000	203,318832	-	9.603,318832	Padrão - SND	Reg.	
13/03/2019	BRKN11	9.400,000000	199,836377	-	9.599,836377	Padrão - SND	Reg.	
12/03/2019	BRKN11	9.400,000000	196,355190	-	9.596,355190	Padrão - SND	Reg.	
11/03/2019	BRKN11	9.400,000000	192,875235	-	9.592,875235	Padrão - SND	Reg.	
08/03/2019	BRKN11	9.400,000000	189,396624	-	9.589,396624	Padrão - SND	Reg.	
07/03/2019	BRKN11	9.400,000000	185,919169	-	9.585,919169	Padrão - SND	Reg.	
06/03/2019	BRKN11	9.400,000000	182,443058	-	9.582,443058	Padrão - SND	Reg.	
01/03/2019	BRKN11	9.400,000000	178,968189	-	9.578,968189	Padrão - SND	Reg.	
28/02/2019	BRKN11	9.400,000000	175,494569	-	9.575,494569	Padrão - SND	Reg.	
27/02/2019	BRKN11	9.400,000000	172,022200	-	9.572,022200	Padrão - SND	Reg.	
26/02/2019	BRKN11	9.400,000000	168,551071	-	9.568,551071	Padrão - SND	Reg.	
25/02/2019	BRKN11	9.400,000000	165,081193	-	9.565,081193	Padrão - SND	Reg.	
22/02/2019	BRKN11	9.400,000000	161,612658	-	9.561,612658	Padrão - SND	Reg.	
21/02/2019	BRKN11	9.400,000000	158,145271	-	9.558,145271	Padrão - SND	Reg.	
20/02/2019	BRKN11	9.400,000000	154,679218	-	9.554,679218	Padrão - SND	Reg.	
19/02/2019	BRKN11	9.400,000000	151,214416	-	9.551,214416	Padrão - SND	Reg.	
18/02/2019	BRKN11	9.400,000000	147,750864	-	9.547,750864	Padrão - SND	Reg.	
15/02/2019	BRKN11	9.400,000000	144,288543	-	9.544,288543	Padrão - SND	Reg.	
14/02/2019	BRKN11	9.400,000000	140,827472	-	9.540,827472	Padrão - SND	Reg.	
13/02/2019	BRKN11	9.400,000000	137,367746	-	9.537,367746	Padrão - SND	Reg.	
12/02/2019	BRKN11	9.400,000000	133,909157	-	9.533,909157	Padrão - SND	Reg.	
11/02/2019	BRKN11	9.400,000000	130,451912	-	9.530,451912	Padrão - SND	Reg.	
08/02/2019	BRKN11	9.400,000000	126,995908	-	9.526,995908	Padrão - SND	Reg.	
07/02/2019	BRKN11	9.400,000000	123,541051	-	9.523,541051	Padrão - SND	Reg.	
06/02/2019	BRKN11	9.400,000000	120,087529	-	9.520,087529	Padrão - SND	Reg.	
05/02/2019	BRKN11	9.400,000000	116,635247	-	9.516,635247	Padrão - SND	Reg.	
04/02/2019	BRKN11	9.400,000000	113,184310	-	9.513,184310	Padrão - SND	Reg.	
01/02/2019	BRKN11	9.400,000000	109,734519	-	9.509,734519	Padrão - SND	Reg.	
31/01/2019	BRKN11	9.400,000000	106,285960	-	9.506,285960	Padrão - SND	Reg.	
