PU Histórico - Gerado em 26/05/2019 21:03:41

Data do PU	Ativo	Valor Nominal	Juros	Prêmio	Preço Unitário	Critério de Cálculo	Situação	
24/05/2019	BRND11	1.000,000000	31,398779	-	1.031,398779	Padrão - SND	Reg.	
23/05/2019	BRND11	1.000,000000	31,079966	-	1.031,079966	Padrão - SND	Reg.	
22/05/2019	BRND11	1.000,000000	30,761239	-	1.030,761239	Padrão - SND	Reg.	
21/05/2019	BRND11	1.000,000000	30,442619	-	1.030,442619	Padrão - SND	Reg.	
20/05/2019	BRND11	1.000,000000	30,124104	-	1.030,124104	Padrão - SND	Reg.	
17/05/2019	BRND11	1.000,000000	29,805677	-	1.029,805677	Padrão - SND	Reg.	
16/05/2019	BRND11	1.000,000000	29,487356	-	1.029,487356	Padrão - SND	Reg.	
15/05/2019	BRND11	1.000,000000	29,169130	-	1.029,169130	Padrão - SND	Reg.	
14/05/2019	BRND11	1.000,000000	28,851002	-	1.028,851002	Padrão - SND	Reg.	
13/05/2019	BRND11	1.000,000000	28,532970	-	1.028,532970	Padrão - SND	Reg.	
10/05/2019	BRND11	1.000,000000	28,215035	-	1.028,215035	Padrão - SND	Reg.	
09/05/2019	BRND11	1.000,000000	27,897205	-	1.027,897205	Padrão - SND	Reg.	
08/05/2019	BRND11	1.000,000000	27,579472	-	1.027,579472	Padrão - SND	Reg.	
07/05/2019	BRND11	1.000,000000	27,261835	-	1.027,261835	Padrão - SND	Reg.	
06/05/2019	BRND11	1.000,000000	26,944294	-	1.026,944294	Padrão - SND	Reg.	
03/05/2019	BRND11	1.000,000000	26,626850	-	1.026,626850	Padrão - SND	Reg.	
02/05/2019	BRND11	1.000,000000	26,309512	-	1.026,309512	Padrão - SND	Reg.	
30/04/2019	BRND11	1.000,000000	25,992270	-	1.025,992270	Padrão - SND	Reg.	
29/04/2019	BRND11	1.000,000000	25,675125	-	1.025,675125	Padrão - SND	Reg.	
26/04/2019	BRND11	1.000,000000	25,358075	-	1.025,358075	Padrão - SND	Reg.	
25/04/2019	BRND11	1.000,000000	25,041122	-	1.025,041122	Padrão - SND	Reg.	
24/04/2019	BRND11	1.000,000000	24,724275	-	1.024,724275	Padrão - SND	Reg.	
23/04/2019	BRND11	1.000,000000	24,407524	-	1.024,407524	Padrão - SND	Reg.	
22/04/2019	BRND11	1.000,000000	24,090859	-	1.024,090859	Padrão - SND	Reg.	
18/04/2019	BRND11	1.000,000000	23,774300	-	1.023,774300	Padrão - SND	Reg.	
17/04/2019	BRND11	1.000,000000	23,457848	-	1.023,457848	Padrão - SND	Reg.	
16/04/2019	BRND11	1.000,000000	23,141482	-	1.023,141482	Padrão - SND	Reg.	
15/04/2019	BRND11	1.000,000000	22,825221	-	1.022,825221	Padrão - SND	Reg.	
12/04/2019	BRND11	1.000,000000	22,509046	-	1.022,509046	Padrão - SND	Reg.	
11/04/2019	BRND11	1.000,000000	22,192979	-	1.022,192979	Padrão - SND	Reg.	
10/04/2019	BRND11	1.000,000000	21,877007	-	1.021,877007	Padrão - SND	Reg.	
09/04/2019	BRND11	1.000,000000	21,561140	-	1.021,561140	Padrão - SND	Reg.	
08/04/2019	BRND11	1.000,000000	21,245360	-	1.021,245360	Padrão - SND	Reg.	
05/04/2019	BRND11	1.000,000000	20,929685	-	1.020,929685	Padrão - SND	Reg.	
04/04/2019	BRND11	1.000,000000	20,614097	-	1.020,614097	Padrão - SND	Reg.	
03/04/2019	BRND11	1.000,000000	20,298615	-	1.020,298615	Padrão - SND	Reg.	
02/04/2019	BRND11	1.000,000000	19,983228	-	1.019,983228	Padrão - SND	Reg.	
01/04/2019	BRND11	1.000,000000	19,667939	-	1.019,667939	Padrão - SND	Reg.	
29/03/2019	BRND11	1.000,000000	19,352754	-	1.019,352754	Padrão - SND	Reg.	
28/03/2019	BRND11	1.000,000000	19,037655	-	1.019,037655	Padrão - SND	Reg.	
27/03/2019	BRND11	1.000,000000	18,722663	-	1.018,722663	Padrão - SND	Reg.	
26/03/2019	BRND11	1.000,000000	18,407766	-	1.018,407766	Padrão - SND	Reg.	
25/03/2019	BRND11	1.000,000000	18,092965	-	1.018,092965	Padrão - SND	Reg.	
22/03/2019	BRND11	1.000,000000	17,778260	-	1.017,778260	Padrão - SND	Reg.	
21/03/2019	BRND11	1.000,000000	17,463650	-	1.017,463650	Padrão - SND	Reg.	
20/03/2019	BRND11	1.000,000000	17,149146	-	1.017,149146	Padrão - SND	Reg.	
19/03/2019	BRND11	1.000,000000	16,834728	-	1.016,834728	Padrão - SND	Reg.	
18/03/2019	BRND11	1.000,000000	16,520416	-	1.016,520416	Padrão - SND	Reg.	
15/03/2019	BRND11	1.000,000000	16,206200	-	1.016,206200	Padrão - SND	Reg.	
14/03/2019	BRND11	1.000,000000	15,892080	-	1.015,892080	Padrão - SND	Reg.	
13/03/2019	BRND11	1.000,000000	15,578055	-	1.015,578055	Padrão - SND	Reg.	
12/03/2019	BRND11	1.000,000000	15,264126	-	1.015,264126	Padrão - SND	Reg.	
11/03/2019	BRND11	1.000,000000	14,950292	-	1.014,950292	Padrão - SND	Reg.	
08/03/2019	BRND11	1.000,000000	14,636565	-	1.014,636565	Padrão - SND	Reg.	
07/03/2019	BRND11	1.000,000000	14,322923	-	1.014,322923	Padrão - SND	Reg.	
06/03/2019	BRND11	1.000,000000	14,009387	-	1.014,009387	Padrão - SND	Reg.	
01/03/2019	BRND11	1.000,000000	13,695946	-	1.013,695946	Padrão - SND	Reg.	
28/02/2019	BRND11	1.000,000000	13,382601	-	1.013,382601	Padrão - SND	Reg.	
27/02/2019	BRND11	1.000,000000	13,069352	-	1.013,069352	Padrão - SND	Reg.	
26/02/2019	BRND11	1.000,000000	12,756198	-	1.012,756198	Padrão - SND	Reg.	
25/02/2019	BRND11	1.000,000000	12,443150	-	1.012,443150	Padrão - SND	Reg.	
22/02/2019	BRND11	1.000,000000	12,130187	-	1.012,130187	Padrão - SND	Reg.	
21/02/2019	BRND11	1.000,000000	11,817330	-	1.011,817330	Padrão - SND	Reg.	
20/02/2019	BRND11	1.000,000000	11,504569	-	1.011,504569	Padrão - SND	Reg.	
19/02/2019	BRND11	1.000,000000	11,191892	-	1.011,191892	Padrão - SND	Reg.	
18/02/2019	BRND11	1.000,000000	10,879322	-	1.010,879322	Padrão - SND	Reg.	
15/02/2019	BRND11	1.000,000000	10,566847	-	1.010,566847	Padrão - SND	Reg.	
14/02/2019	BRND11	1.000,000000	10,254478	-	1.010,254478	Padrão - SND	Reg.	
13/02/2019	BRND11	1.000,000000	9,942193	-	1.009,942193	Padrão - SND	Reg.	
12/02/2019	BRND11	1.000,000000	9,630005	-	1.009,630005	Padrão - SND	Reg.	
11/02/2019	BRND11	1.000,000000	9,317921	-	1.009,317921	Padrão - SND	Reg.	
08/02/2019	BRND11	1.000,000000	9,005923	-	1.009,005923	Padrão - SND	Reg.	
07/02/2019	BRND11	1.000,000000	8,694032	-	1.008,694032	Padrão - SND	Reg.	
06/02/2019	BRND11	1.000,000000	8,382234	-	1.008,382234	Padrão - SND	Reg.	
05/02/2019	BRND11	1.000,000000	8,070532	-	1.008,070532	Padrão - SND	Reg.	
04/02/2019	BRND11	1.000,000000	7,758927	-	1.007,758927	Padrão - SND	Reg.	
01/02/2019	BRND11	1.000,000000	7,447416	-	1.007,447416	Padrão - SND	Reg.	
31/01/2019	BRND11	1.000,000000	7,136000	-	1.007,136000	Padrão - SND	Reg.	
30/01/2019	BRND11	1.000,000000	6,824680	-	1.006,824680	Padrão - SND	Reg.	
29/01/2019	BRND11	1.000,000000	6,513464	-	1.006,513464	Padrão - SND	Reg.	
28/01/2019	BRND11	1.000,000000	6,202335	-	1.006,202335	Padrão - SND	Reg.	
25/01/2019	BRND11	1.000,000000	5,891311	-	1.005,891311	Padrão - SND	Reg.	
24/01/2019	BRND11	1.000,000000	5,580382	-	1.005,580382	Padrão - SND	Reg.	
23/01/2019	BRND11	1.000,000000	5,269538	-	1.005,269538	Padrão - SND	Reg.	
22/01/2019	BRND11	1.000,000000	4,958799	-	1.004,958799	Padrão - SND	Reg.	
21/01/2019	BRND11	1.000,000000	4,648156	-	1.004,648156	Padrão - SND	Reg.	
18/01/2019	BRND11	1.000,000000	4,337608	-	1.004,337608	Padrão - SND	Reg.	
17/01/2019	BRND11	1.000,000000	4,027155	-	1.004,027155	Padrão - SND	Reg.	
16/01/2019	BRND11	1.000,000000	3,716797	-	1.003,716797	Padrão - SND	Reg.	
15/01/2019	BRND11	1.000,000000	3,406543	-	1.003,406543	Padrão - SND	Reg.	
14/01/2019	BRND11	1.000,000000	3,096376	-	1.003,096376	Padrão - SND	Reg.	
11/01/2019	BRND11	1.000,000000	2,786304	-	1.002,786304	Padrão - SND	Reg.	
10/01/2019	BRND11	1.000,000000	2,476337	-	1.002,476337	Padrão - SND	Reg.	
09/01/2019	BRND11	1.000,000000	2,166455	-	1.002,166455	Padrão - SND	Reg.	
08/01/2019	BRND11	1.000,000000	1,856677	-	1.001,856677	Padrão - SND	Reg.	
07/01/2019	BRND11	1.000,000000	1,546995	-	1.001,546995	Padrão - SND	Reg.	
04/01/2019	BRND11	1.000,000000	1,237398	-	1.001,237398	Padrão - SND	Reg.	
03/01/2019	BRND11	1.000,000000	0,927906	-	1.000,927906	Padrão - SND	Reg.	
02/01/2019	BRND11	1.000,000000	0,618509	-	1.000,618509	Padrão - SND	Reg.	
31/12/2018	BRND11	1.000,000000	0,309207	-	1.000,309207	Padrão - SND	Reg.	
28/12/2018	BRND11	1.000,000000	-  	-	1.000,000000	Padrão - SND	Reg.	
27/12/2018	BRND11	1.000,000000	-  	-	1.000,000000	Padrão - SND	Reg.	


Valores expressos em reais.
Os valores refletem a nossa interpretação da escritura de emissão, não implicando em aceitação de compromisso legal ou financeiro.
