PU Histórico - Gerado em 26/05/2019 21:03:44

Data do PU	Ativo	Valor Nominal	Juros	Prêmio	Preço Unitário	Critério de Cálculo	Situação	
24/05/2019	BRPR18	10.000,000000	319,025800	-	10.319,025800	Padrão - SND	Reg.	
23/05/2019	BRPR18	10.000,000000	315,940000	-	10.315,940000	Padrão - SND	Reg.	
22/05/2019	BRPR18	10.000,000000	312,855100	-	10.312,855100	Padrão - SND	Reg.	
21/05/2019	BRPR18	10.000,000000	309,771100	-	10.309,771100	Padrão - SND	Reg.	
20/05/2019	BRPR18	10.000,000000	306,688000	-	10.306,688000	Padrão - SND	Reg.	
17/05/2019	BRPR18	10.000,000000	303,605900	-	10.303,605900	Padrão - SND	Reg.	
16/05/2019	BRPR18	10.000,000000	300,524700	-	10.300,524700	Padrão - SND	Reg.	
15/05/2019	BRPR18	10.000,000000	297,444400	-	10.297,444400	Padrão - SND	Reg.	
14/05/2019	BRPR18	10.000,000000	294,365000	-	10.294,365000	Padrão - SND	Reg.	
13/05/2019	BRPR18	10.000,000000	291,286500	-	10.291,286500	Padrão - SND	Reg.	
10/05/2019	BRPR18	10.000,000000	288,209000	-	10.288,209000	Padrão - SND	Reg.	
09/05/2019	BRPR18	10.000,000000	285,132300	-	10.285,132300	Padrão - SND	Reg.	
08/05/2019	BRPR18	10.000,000000	282,056600	-	10.282,056600	Padrão - SND	Reg.	
07/05/2019	BRPR18	10.000,000000	278,981900	-	10.278,981900	Padrão - SND	Reg.	
06/05/2019	BRPR18	10.000,000000	275,908000	-	10.275,908000	Padrão - SND	Reg.	
03/05/2019	BRPR18	10.000,000000	272,835000	-	10.272,835000	Padrão - SND	Reg.	
02/05/2019	BRPR18	10.000,000000	269,763000	-	10.269,763000	Padrão - SND	Reg.	
30/04/2019	BRPR18	10.000,000000	266,691900	-	10.266,691900	Padrão - SND	Reg.	
29/04/2019	BRPR18	10.000,000000	263,621700	-	10.263,621700	Padrão - SND	Reg.	
26/04/2019	BRPR18	10.000,000000	260,552500	-	10.260,552500	Padrão - SND	Reg.	
25/04/2019	BRPR18	10.000,000000	257,484100	-	10.257,484100	Padrão - SND	Reg.	
24/04/2019	BRPR18	10.000,000000	254,416700	-	10.254,416700	Padrão - SND	Reg.	
23/04/2019	BRPR18	10.000,000000	251,350200	-	10.251,350200	Padrão - SND	Reg.	
22/04/2019	BRPR18	10.000,000000	248,284600	-	10.248,284600	Padrão - SND	Reg.	
18/04/2019	BRPR18	10.000,000000	245,219900	-	10.245,219900	Padrão - SND	Reg.	
17/04/2019	BRPR18	10.000,000000	242,156100	-	10.242,156100	Padrão - SND	Reg.	
16/04/2019	BRPR18	10.000,000000	239,093300	-	10.239,093300	Padrão - SND	Reg.	
15/04/2019	BRPR18	10.000,000000	236,031300	-	10.236,031300	Padrão - SND	Reg.	
12/04/2019	BRPR18	10.000,000000	232,970300	-	10.232,970300	Padrão - SND	Reg.	
11/04/2019	BRPR18	10.000,000000	229,910200	-	10.229,910200	Padrão - SND	Reg.	
10/04/2019	BRPR18	10.000,000000	226,851000	-	10.226,851000	Padrão - SND	Reg.	
09/04/2019	BRPR18	10.000,000000	223,792700	-	10.223,792700	Padrão - SND	Reg.	
08/04/2019	BRPR18	10.000,000000	220,735400	-	10.220,735400	Padrão - SND	Reg.	
05/04/2019	BRPR18	10.000,000000	217,678900	-	10.217,678900	Padrão - SND	Reg.	
04/04/2019	BRPR18	10.000,000000	214,623400	-	10.214,623400	Padrão - SND	Reg.	
03/04/2019	BRPR18	10.000,000000	211,568800	-	10.211,568800	Padrão - SND	Reg.	
02/04/2019	BRPR18	10.000,000000	208,515100	-	10.208,515100	Padrão - SND	Reg.	
01/04/2019	BRPR18	10.000,000000	205,462300	-	10.205,462300	Padrão - SND	Reg.	
29/03/2019	BRPR18	10.000,000000	202,410400	-	10.202,410400	Padrão - SND	Reg.	
28/03/2019	BRPR18	10.000,000000	199,359400	-	10.199,359400	Padrão - SND	Reg.	
27/03/2019	BRPR18	10.000,000000	196,309400	-	10.196,309400	Padrão - SND	Reg.	
26/03/2019	BRPR18	10.000,000000	193,260300	-	10.193,260300	Padrão - SND	Reg.	
25/03/2019	BRPR18	10.000,000000	190,212000	-	10.190,212000	Padrão - SND	Reg.	
22/03/2019	BRPR18	10.000,000000	187,164700	-	10.187,164700	Padrão - SND	Reg.	
21/03/2019	BRPR18	10.000,000000	184,118300	-	10.184,118300	Padrão - SND	Reg.	
20/03/2019	BRPR18	10.000,000000	181,072800	-	10.181,072800	Padrão - SND	Reg.	
19/03/2019	BRPR18	10.000,000000	178,028200	-	10.178,028200	Padrão - SND	Reg.	
18/03/2019	BRPR18	10.000,000000	174,984500	-	10.174,984500	Padrão - SND	Reg.	
15/03/2019	BRPR18	10.000,000000	171,941800	-	10.171,941800	Padrão - SND	Reg.	
14/03/2019	BRPR18	10.000,000000	168,899900	-	10.168,899900	Padrão - SND	Reg.	
13/03/2019	BRPR18	10.000,000000	165,859000	-	10.165,859000	Padrão - SND	Reg.	
12/03/2019	BRPR18	10.000,000000	162,819000	-	10.162,819000	Padrão - SND	Reg.	
11/03/2019	BRPR18	10.000,000000	159,779800	-	10.159,779800	Padrão - SND	Reg.	
08/03/2019	BRPR18	10.000,000000	156,741600	-	10.156,741600	Padrão - SND	Reg.	
07/03/2019	BRPR18	10.000,000000	153,704300	-	10.153,704300	Padrão - SND	Reg.	
06/03/2019	BRPR18	10.000,000000	150,667900	-	10.150,667900	Padrão - SND	Reg.	
01/03/2019	BRPR18	10.000,000000	147,632400	-	10.147,632400	Padrão - SND	Reg.	
28/02/2019	BRPR18	10.000,000000	144,597800	-	10.144,597800	Padrão - SND	Reg.	
27/02/2019	BRPR18	10.000,000000	141,564100	-	10.141,564100	Padrão - SND	Reg.	
26/02/2019	BRPR18	10.000,000000	138,531400	-	10.138,531400	Padrão - SND	Reg.	
25/02/2019	BRPR18	10.000,000000	135,499500	-	10.135,499500	Padrão - SND	Reg.	
22/02/2019	BRPR18	10.000,000000	132,468600	-	10.132,468600	Padrão - SND	Reg.	
21/02/2019	BRPR18	10.000,000000	129,438500	-	10.129,438500	Padrão - SND	Reg.	
20/02/2019	BRPR18	10.000,000000	126,409400	-	10.126,409400	Padrão - SND	Reg.	
19/02/2019	BRPR18	10.000,000000	123,381100	-	10.123,381100	Padrão - SND	Reg.	
18/02/2019	BRPR18	10.000,000000	120,353800	-	10.120,353800	Padrão - SND	Reg.	
15/02/2019	BRPR18	10.000,000000	117,327400	-	10.117,327400	Padrão - SND	Reg.	
14/02/2019	BRPR18	10.000,000000	114,301900	-	10.114,301900	Padrão - SND	Reg.	
13/02/2019	BRPR18	10.000,000000	111,277200	-	10.111,277200	Padrão - SND	Reg.	
12/02/2019	BRPR18	10.000,000000	108,253500	-	10.108,253500	Padrão - SND	Reg.	
11/02/2019	BRPR18	10.000,000000	105,230700	-	10.105,230700	Padrão - SND	Reg.	
08/02/2019	BRPR18	10.000,000000	102,208800	-	10.102,208800	Padrão - SND	Reg.	
07/02/2019	BRPR18	10.000,000000	99,187800	-	10.099,187800	Padrão - SND	Reg.	
06/02/2019	BRPR18	10.000,000000	96,167700	-	10.096,167700	Padrão - SND	Reg.	
05/02/2019	BRPR18	10.000,000000	93,148500	-	10.093,148500	Padrão - SND	Reg.	
04/02/2019	BRPR18	10.000,000000	90,130200	-	10.090,130200	Padrão - SND	Reg.	
01/02/2019	BRPR18	10.000,000000	87,112800	-	10.087,112800	Padrão - SND	Reg.	
31/01/2019	BRPR18	10.000,000000	84,096400	-	10.084,096400	Padrão - SND	Reg.	
30/01/2019	BRPR18	10.000,000000	81,080800	-	10.081,080800	Padrão - SND	Reg.	
29/01/2019	BRPR18	10.000,000000	78,066100	-	10.078,066100	Padrão - SND	Reg.	
28/01/2019	BRPR18	10.000,000000	75,052300	-	10.075,052300	Padrão - SND	Reg.	
25/01/2019	BRPR18	10.000,000000	72,039400	-	10.072,039400	Padrão - SND	Reg.	
24/01/2019	BRPR18	10.000,000000	69,027500	-	10.069,027500	Padrão - SND	Reg.	
23/01/2019	BRPR18	10.000,000000	66,016400	-	10.066,016400	Padrão - SND	Reg.	
22/01/2019	BRPR18	10.000,000000	63,006200	-	10.063,006200	Padrão - SND	Reg.	
21/01/2019	BRPR18	10.000,000000	59,996900	-	10.059,996900	Padrão - SND	Reg.	
18/01/2019	BRPR18	10.000,000000	56,988500	-	10.056,988500	Padrão - SND	Reg.	
17/01/2019	BRPR18	10.000,000000	53,981100	-	10.053,981100	Padrão - SND	Reg.	
16/01/2019	BRPR18	10.000,000000	50,974500	-	10.050,974500	Padrão - SND	Reg.	
15/01/2019	BRPR18	10.000,000000	47,968800	-	10.047,968800	Padrão - SND	Reg.	
14/01/2019	BRPR18	10.000,000000	44,964000	-	10.044,964000	Padrão - SND	Reg.	
11/01/2019	BRPR18	10.000,000000	41,960100	-	10.041,960100	Padrão - SND	Reg.	
10/01/2019	BRPR18	10.000,000000	38,957200	-	10.038,957200	Padrão - SND	Reg.	
09/01/2019	BRPR18	10.000,000000	35,955100	-	10.035,955100	Padrão - SND	Reg.	
08/01/2019	BRPR18	10.000,000000	32,953900	-	10.032,953900	Padrão - SND	Reg.	
07/01/2019	BRPR18	10.000,000000	29,953600	-	10.029,953600	Padrão - SND	Reg.	
04/01/2019	BRPR18	10.000,000000	26,954200	-	10.026,954200	Padrão - SND	Reg.	
03/01/2019	BRPR18	10.000,000000	23,955700	-	10.023,955700	Padrão - SND	Reg.	
02/01/2019	BRPR18	10.000,000000	20,958100	-	10.020,958100	Padrão - SND	Reg.	
31/12/2018	BRPR18	10.000,000000	17,961400	-	10.017,961400	Padrão - SND	Reg.	
28/12/2018	BRPR18	10.000,000000	14,965600	-	10.014,965600	Padrão - SND	Reg.	
27/12/2018	BRPR18	10.000,000000	11,970700	-	10.011,970700	Padrão - SND	Reg.	
26/12/2018	BRPR18	10.000,000000	8,976700	-	10.008,976700	Padrão - SND	Reg.	
24/12/2018	BRPR18	10.000,000000	5,983600	-	10.005,983600	Padrão - SND	Reg.	
21/12/2018	BRPR18	10.000,000000	2,991300	-	10.002,991300	Padrão - SND	Reg.	
20/12/2018	BRPR18	10.000,000000	-  	-	10.000,000000	Padrão - SND	Reg.	
