PU Histórico - Gerado em 26/05/2019 21:06:43

Data do PU	Ativo	Valor Nominal	Juros	Prêmio	Preço Unitário	Critério de Cálculo	Situação	
24/05/2019	BVSA12	500.000,000000	1.232.092,770000	-	1.732.092,770000	Padrão - SND	Reg.	
23/05/2019	BVSA12	500.000,000000	1.231.666,430000	-	1.731.666,430000	Padrão - SND	Reg.	
22/05/2019	BVSA12	500.000,000000	1.231.240,200000	-	1.731.240,200000	Padrão - SND	Reg.	
21/05/2019	BVSA12	500.000,000000	1.230.814,075000	-	1.730.814,075000	Padrão - SND	Reg.	
20/05/2019	BVSA12	500.000,000000	1.230.388,055000	-	1.730.388,055000	Padrão - SND	Reg.	
17/05/2019	BVSA12	500.000,000000	1.229.962,135000	-	1.729.962,135000	Padrão - SND	Reg.	
16/05/2019	BVSA12	500.000,000000	1.229.536,325000	-	1.729.536,325000	Padrão - SND	Reg.	
15/05/2019	BVSA12	500.000,000000	1.229.110,620000	-	1.729.110,620000	Padrão - SND	Reg.	
14/05/2019	BVSA12	500.000,000000	1.228.685,015000	-	1.728.685,015000	Padrão - SND	Reg.	
13/05/2019	BVSA12	500.000,000000	1.228.259,520000	-	1.728.259,520000	Padrão - SND	Reg.	
10/05/2019	BVSA12	500.000,000000	1.227.834,125000	-	1.727.834,125000	Padrão - SND	Reg.	
09/05/2019	BVSA12	500.000,000000	1.227.408,835000	-	1.727.408,835000	Padrão - SND	Reg.	
08/05/2019	BVSA12	500.000,000000	1.226.983,655000	-	1.726.983,655000	Padrão - SND	Reg.	
07/05/2019	BVSA12	500.000,000000	1.226.558,575000	-	1.726.558,575000	Padrão - SND	Reg.	
06/05/2019	BVSA12	500.000,000000	1.226.133,600000	-	1.726.133,600000	Padrão - SND	Reg.	
03/05/2019	BVSA12	500.000,000000	1.225.708,730000	-	1.725.708,730000	Padrão - SND	Reg.	
02/05/2019	BVSA12	500.000,000000	1.225.283,965000	-	1.725.283,965000	Padrão - SND	Reg.	
30/04/2019	BVSA12	500.000,000000	1.224.859,305000	-	1.724.859,305000	Padrão - SND	Reg.	
29/04/2019	BVSA12	500.000,000000	1.224.434,750000	-	1.724.434,750000	Padrão - SND	Reg.	
26/04/2019	BVSA12	500.000,000000	1.224.010,300000	-	1.724.010,300000	Padrão - SND	Reg.	
25/04/2019	BVSA12	500.000,000000	1.223.585,950000	-	1.723.585,950000	Padrão - SND	Reg.	
24/04/2019	BVSA12	500.000,000000	1.223.161,710000	-	1.723.161,710000	Padrão - SND	Reg.	
23/04/2019	BVSA12	500.000,000000	1.222.737,570000	-	1.722.737,570000	Padrão - SND	Reg.	
