PU Histórico - Gerado em 26/05/2019 21:07:12

Data do PU	Ativo	Valor Nominal	Juros	Prêmio	Preço Unitário	Critério de Cálculo	Situação	
24/05/2019	CADS13	3.673,000000	11,650907	-	3.684,650907	Padrão - SND	Reg.	
23/05/2019	CADS13	3.673,000000	10,354558	-	3.683,354558	Padrão - SND	Reg.	
22/05/2019	CADS13	3.673,000000	9,058628	-	3.682,058628	Padrão - SND	Reg.	
21/05/2019	CADS13	3.673,000000	7,763183	-	3.680,763183	Padrão - SND	Reg.	
20/05/2019	CADS13	3.673,000000	6,468193	-	3.679,468193	Padrão - SND	Reg.	
17/05/2019	CADS13	3.673,000000	5,173619	-	3.678,173619	Padrão - SND	Reg.	
16/05/2019	CADS13	3.673,000000	3,879533	-	3.676,879533	Padrão - SND	Reg.	
15/05/2019	CADS13	3.673,000000	2,585902	-	3.675,585902	Padrão - SND	Reg.	
14/05/2019	CADS13	3.673,000000	1,292727	-	3.674,292727	Padrão - SND	Reg.	
13/05/2019	CADS13	3.673,000000	-  	-	3.673,000000	Padrão - SND	Reg.	
10/05/2019	CADS13	4.006,000000	25,454749	-	4.031,454749	Padrão - SND	Reg.	
09/05/2019	CADS13	4.006,000000	24,036332	-	4.030,036332	Padrão - SND	Reg.	
08/05/2019	CADS13	4.006,000000	22,618453	-	4.028,618453	Padrão - SND	Reg.	
07/05/2019	CADS13	4.006,000000	21,201066	-	4.027,201066	Padrão - SND	Reg.	
06/05/2019	CADS13	4.006,000000	19,784180	-	4.025,784180	Padrão - SND	Reg.	
03/05/2019	CADS13	4.006,000000	18,367782	-	4.024,367782	Padrão - SND	Reg.	
02/05/2019	CADS13	4.006,000000	16,951890	-	4.022,951890	Padrão - SND	Reg.	
30/04/2019	CADS13	4.006,000000	15,536522	-	4.021,536522	Padrão - SND	Reg.	
29/04/2019	CADS13	4.006,000000	14,121615	-	4.020,121615	Padrão - SND	Reg.	
26/04/2019	CADS13	4.006,000000	12,707196	-	4.018,707196	Padrão - SND	Reg.	
25/04/2019	CADS13	4.006,000000	11,293319	-	4.017,293319	Padrão - SND	Reg.	
24/04/2019	CADS13	4.006,000000	9,879898	-	4.015,879898	Padrão - SND	Reg.	
23/04/2019	CADS13	4.006,000000	8,467005	-	4.014,467005	Padrão - SND	Reg.	
22/04/2019	CADS13	4.006,000000	7,054610	-	4.013,054610	Padrão - SND	Reg.	
18/04/2019	CADS13	4.006,000000	5,642667	-	4.011,642667	Padrão - SND	Reg.	
17/04/2019	CADS13	4.006,000000	4,231257	-	4.010,231257	Padrão - SND	Reg.	
16/04/2019	CADS13	4.006,000000	2,820344	-	4.008,820344	Padrão - SND	Reg.	
15/04/2019	CADS13	4.006,000000	1,409928	-	4.007,409928	Padrão - SND	Reg.	
12/04/2019	CADS13	4.006,000000	-  	-	4.006,000000	Padrão - SND	Reg.	
11/04/2019	CADS13	4.339,000000	33,721211	-	4.372,721211	Padrão - SND	Reg.	
10/04/2019	CADS13	4.339,000000	32,182788	-	4.371,182788	Padrão - SND	Reg.	
09/04/2019	CADS13	4.339,000000	30,644851	-	4.369,644851	Padrão - SND	Reg.	
08/04/2019	CADS13	4.339,000000	29,107500	-	4.368,107500	Padrão - SND	Reg.	
05/04/2019	CADS13	4.339,000000	27,570683	-	4.366,570683	Padrão - SND	Reg.	
04/04/2019	CADS13	4.339,000000	26,034364	-	4.365,034364	Padrão - SND	Reg.	
03/04/2019	CADS13	4.339,000000	24,498619	-	4.363,498619	Padrão - SND	Reg.	
02/04/2019	CADS13	4.339,000000	22,963416	-	4.361,963416	Padrão - SND	Reg.	
01/04/2019	CADS13	4.339,000000	21,428746	-	4.360,428746	Padrão - SND	Reg.	
29/03/2019	CADS13	4.339,000000	19,894610	-	4.358,894610	Padrão - SND	Reg.	
28/03/2019	CADS13	4.339,000000	18,361021	-	4.357,361021	Padrão - SND	Reg.	
27/03/2019	CADS13	4.339,000000	16,828000	-	4.355,828000	Padrão - SND	Reg.	
26/03/2019	CADS13	4.339,000000	15,295478	-	4.354,295478	Padrão - SND	Reg.	
25/03/2019	CADS13	4.339,000000	13,763490	-	4.352,763490	Padrão - SND	Reg.	
22/03/2019	CADS13	4.339,000000	12,232084	-	4.351,232084	Padrão - SND	Reg.	
21/03/2019	CADS13	4.339,000000	10,701167	-	4.349,701167	Padrão - SND	Reg.	
20/03/2019	CADS13	4.339,000000	9,170828	-	4.348,170828	Padrão - SND	Reg.	
19/03/2019	CADS13	4.339,000000	7,641027	-	4.346,641027	Padrão - SND	Reg.	
18/03/2019	CADS13	4.339,000000	6,111716	-	4.345,111716	Padrão - SND	Reg.	
15/03/2019	CADS13	4.339,000000	4,582982	-	4.343,582982	Padrão - SND	Reg.	
14/03/2019	CADS13	4.339,000000	3,054786	-	4.342,054786	Padrão - SND	Reg.	
13/03/2019	CADS13	4.339,000000	1,527128	-	4.340,527128	Padrão - SND	Reg.	
12/03/2019	CADS13	4.339,000000	-  	-	4.339,000000	Padrão - SND	Reg.	
11/03/2019	CADS13	4.672,000000	28,032388	-	4.700,032388	Padrão - SND	Reg.	
08/03/2019	CADS13	4.672,000000	26,378785	-	4.698,378785	Padrão - SND	Reg.	
07/03/2019	CADS13	4.672,000000	24,725756	-	4.696,725756	Padrão - SND	Reg.	
06/03/2019	CADS13	4.672,000000	23,073312	-	4.695,073312	Padrão - SND	Reg.	
01/03/2019	CADS13	4.672,000000	21,421438	-	4.693,421438	Padrão - SND	Reg.	
28/02/2019	CADS13	4.672,000000	19,770152	-	4.691,770152	Padrão - SND	Reg.	
27/02/2019	CADS13	4.672,000000	18,119478	-	4.690,119478	Padrão - SND	Reg.	
26/02/2019	CADS13	4.672,000000	16,469342	-	4.688,469342	Padrão - SND	Reg.	
25/02/2019	CADS13	4.672,000000	14,819776	-	4.686,819776	Padrão - SND	Reg.	
22/02/2019	CADS13	4.672,000000	13,170840	-	4.685,170840	Padrão - SND	Reg.	
21/02/2019	CADS13	4.672,000000	11,522437	-	4.683,522437	Padrão - SND	Reg.	
20/02/2019	CADS13	4.672,000000	9,874650	-	4.681,874650	Padrão - SND	Reg.	
19/02/2019	CADS13	4.672,000000	8,227443	-	4.680,227443	Padrão - SND	Reg.	
18/02/2019	CADS13	4.672,000000	6,580764	-	4.678,580764	Padrão - SND	Reg.	
15/02/2019	CADS13	4.672,000000	4,934707	-	4.676,934707	Padrão - SND	Reg.	
14/02/2019	CADS13	4.672,000000	3,289228	-	4.675,289228	Padrão - SND	Reg.	
13/02/2019	CADS13	4.672,000000	1,644329	-	4.673,644329	Padrão - SND	Reg.	
12/02/2019	CADS13	4.672,000000	-  	-	4.672,000000	Padrão - SND	Reg.	
11/02/2019	CADS13	5.005,000000	35,348578	-	5.040,348578	Padrão - SND	Reg.	
08/02/2019	CADS13	5.005,000000	33,575257	-	5.038,575257	Padrão - SND	Reg.	
07/02/2019	CADS13	5.005,000000	31,802551	-	5.036,802551	Padrão - SND	Reg.	
06/02/2019	CADS13	5.005,000000	30,030415	-	5.035,030415	Padrão - SND	Reg.	
05/02/2019	CADS13	5.005,000000	28,258946	-	5.033,258946	Padrão - SND	Reg.	
04/02/2019	CADS13	5.005,000000	26,488102	-	5.031,488102	Padrão - SND	Reg.	
01/02/2019	CADS13	5.005,000000	24,717878	-	5.029,717878	Padrão - SND	Reg.	
31/01/2019	CADS13	5.005,000000	22,948265	-	5.027,948265	Padrão - SND	Reg.	
30/01/2019	CADS13	5.005,000000	21,179278	-	5.026,179278	Padrão - SND	Reg.	
29/01/2019	CADS13	5.005,000000	19,410957	-	5.024,410957	Padrão - SND	Reg.	
28/01/2019	CADS13	5.005,000000	17,643201	-	5.022,643201	Padrão - SND	Reg.	
25/01/2019	CADS13	5.005,000000	15,876065	-	5.020,876065	Padrão - SND	Reg.	
24/01/2019	CADS13	5.005,000000	14,109601	-	5.019,109600	Padrão - SND	Reg.	
23/01/2019	CADS13	5.005,000000	12,343701	-	5.017,343701	Padrão - SND	Reg.	
22/01/2019	CADS13	5.005,000000	10,578473	-	5.015,578473	Padrão - SND	Reg.	
21/01/2019	CADS13	5.005,000000	8,813855	-	5.013,813855	Padrão - SND	Reg.	
18/01/2019	CADS13	5.005,000000	7,049813	-	5.012,049813	Padrão - SND	Reg.	
17/01/2019	CADS13	5.005,000000	5,286431	-	5.010,286431	Padrão - SND	Reg.	
16/01/2019	CADS13	5.005,000000	3,523670	-	5.008,523670	Padrão - SND	Reg.	
15/01/2019	CADS13	5.005,000000	1,761530	-	5.006,761530	Padrão - SND	Reg.	
14/01/2019	CADS13	5.005,000000	-  	-	5.005,000000	Padrão - SND	Reg.	
11/01/2019	CADS13	5.338,000000	37,700442	-	5.375,700442	Padrão - SND	Reg.	
10/01/2019	CADS13	5.338,000000	35,809135	-	5.373,809135	Padrão - SND	Reg.	
09/01/2019	CADS13	5.338,000000	33,918485	-	5.371,918485	Padrão - SND	Reg.	
08/01/2019	CADS13	5.338,000000	32,028443	-	5.370,028443	Padrão - SND	Reg.	
07/01/2019	CADS13	5.338,000000	30,139111	-	5.368,139111	Padrão - SND	Reg.	
04/01/2019	CADS13	5.338,000000	28,250447	-	5.366,250447	Padrão - SND	Reg.	
03/01/2019	CADS13	5.338,000000	26,362444	-	5.364,362444	Padrão - SND	Reg.	
02/01/2019	CADS13	5.338,000000	24,475093	-	5.362,475093	Padrão - SND	Reg.	
31/12/2018	CADS13	5.338,000000	22,588409	-	5.360,588409	Padrão - SND	Reg.	
28/12/2018	CADS13	5.338,000000	20,702435	-	5.358,702435	Padrão - SND	Reg.	
27/12/2018	CADS13	5.338,000000	18,817064	-	5.356,817064	Padrão - SND	Reg.	
26/12/2018	CADS13	5.338,000000	16,932355	-	5.354,932355	Padrão - SND	Reg.	
24/12/2018	CADS13	5.338,000000	15,048361	-	5.353,048361	Padrão - SND	Reg.	
21/12/2018	CADS13	5.338,000000	13,164971	-	5.351,164971	Padrão - SND	Reg.	
20/12/2018	CADS13	5.338,000000	11,282295	-	5.349,282295	Padrão - SND	Reg.	
19/12/2018	CADS13	5.338,000000	9,400271	-	5.347,400271	Padrão - SND	Reg.	
18/12/2018	CADS13	5.338,000000	7,518861	-	5.345,518861	Padrão - SND	Reg.	
17/12/2018	CADS13	5.338,000000	5,638156	-	5.343,638156	Padrão - SND	Reg.	
14/12/2018	CADS13	5.338,000000	3,758112	-	5.341,758112	Padrão - SND	Reg.	
13/12/2018	CADS13	5.338,000000	1,878730	-	5.339,878730	Padrão - SND	Reg.	
12/12/2018	CADS13	5.338,000000	-  	-	5.338,000000	Padrão - SND	Reg.	
11/12/2018	CADS13	5.671,000000	40,052305	-	5.711,052305	Padrão - SND	Reg.	
10/12/2018	CADS13	5.671,000000	38,043013	-	5.709,043013	Padrão - SND	Reg.	
07/12/2018	CADS13	5.671,000000	36,034419	-	5.707,034419	Padrão - SND	Reg.	
06/12/2018	CADS13	5.671,000000	34,026471	-	5.705,026471	Padrão - SND	Reg.	
05/12/2018	CADS13	5.671,000000	32,019277	-	5.703,019277	Padrão - SND	Reg.	
04/12/2018	CADS13	5.671,000000	30,012792	-	5.701,012792	Padrão - SND	Reg.	
03/12/2018	CADS13	5.671,000000	28,007010	-	5.699,007010	Padrão - SND	Reg.	
30/11/2018	CADS13	5.671,000000	26,001921	-	5.697,001921	Padrão - SND	Reg.	
29/11/2018	CADS13	5.671,000000	23,997540	-	5.694,997540	Padrão - SND	Reg.	
28/11/2018	CADS13	5.671,000000	21,993913	-	5.692,993913	Padrão - SND	Reg.	
27/11/2018	CADS13	5.671,000000	19,990927	-	5.690,990927	Padrão - SND	Reg.	
26/11/2018	CADS13	5.671,000000	17,988645	-	5.688,988645	Padrão - SND	Reg.	
23/11/2018	CADS13	5.671,000000	15,987122	-	5.686,987122	Padrão - SND	Reg.	
22/11/2018	CADS13	5.671,000000	13,986240	-	5.684,986240	Padrão - SND	Reg.	
21/11/2018	CADS13	5.671,000000	11,986118	-	5.682,986118	Padrão - SND	Reg.	
20/11/2018	CADS13	5.671,000000	9,986688	-	5.680,986688	Padrão - SND	Reg.	
19/11/2018	CADS13	5.671,000000	7,987910	-	5.678,987910	Padrão - SND	Reg.	
16/11/2018	CADS13	5.671,000000	5,989880	-	5.676,989880	Padrão - SND	Reg.	
14/11/2018	CADS13	5.671,000000	3,992554	-	5.674,992554	Padrão - SND	Reg.	
13/11/2018	CADS13	5.671,000000	1,995931	-	5.672,995931	Padrão - SND	Reg.	
12/11/2018	CADS13	5.671,000000	-  	-	5.671,000000	Não Padrão - SND	Reg.	
09/11/2018	CADS13	6.004,000000	27,634947	-	6.031,634947	Não Padrão - SND	Reg.	
08/11/2018	CADS13	6.004,000000	27,634947	-	6.031,634947	Não Padrão - SND	Reg.	
07/11/2018	CADS13	6.004,000000	27,634947	-	6.031,634947	Não Padrão - SND	Reg.	
06/11/2018	CADS13	6.004,000000	27,634947	-	6.031,634947	Não Padrão - SND	Reg.	
05/11/2018	CADS13	6.004,000000	27,634947	-	6.031,634947	Não Padrão - SND	Reg.	
01/11/2018	CADS13	6.004,000000	27,634947	-	6.031,634947	Não Padrão - SND	Reg.	
31/10/2018	CADS13	6.004,000000	27,634947	-	6.031,634947	Padrão - SND	Reg.	
30/10/2018	CADS13	6.004,000000	25,327232	-	6.029,327232	Padrão - SND	Reg.	
29/10/2018	CADS13	6.004,000000	23,020327	-	6.027,020327	Padrão - SND	Reg.	
26/10/2018	CADS13	6.004,000000	20,714304	-	6.024,714304	Padrão - SND	Reg.	
25/10/2018	CADS13	6.004,000000	18,409219	-	6.022,409219	Padrão - SND	Reg.	
24/10/2018	CADS13	6.004,000000	16,104955	-	6.020,104955	Padrão - SND	Reg.	
23/10/2018	CADS13	6.004,000000	13,801623	-	6.017,801623	Padrão - SND	Reg.	
22/10/2018	CADS13	6.004,000000	11,499173	-	6.015,499173	Padrão - SND	Reg.	
19/10/2018	CADS13	6.004,000000	9,197534	-	6.013,197534	Padrão - SND	Reg.	
18/10/2018	CADS13	6.004,000000	6,896843	-	6.010,896843	Padrão - SND	Reg.	
17/10/2018	CADS13	6.004,000000	4,597011	-	6.008,597011	Padrão - SND	Reg.	
16/10/2018	CADS13	6.004,000000	2,298073	-	6.006,298073	Padrão - SND	Reg.	
15/10/2018	CADS13	6.004,000000	-  	-	6.004,000000	Padrão - SND	Reg.	
11/10/2018	CADS13	6.337,000000	51,100839	-	6.388,100839	Padrão - SND	Reg.	
10/10/2018	CADS13	6.337,000000	48,656652	-	6.385,656652	Padrão - SND	Reg.	
09/10/2018	CADS13	6.337,000000	46,213447	-	6.383,213447	Padrão - SND	Reg.	
08/10/2018	CADS13	6.337,000000	43,771186	-	6.380,771186	Padrão - SND	Reg.	
05/10/2018	CADS13	6.337,000000	41,329775	-	6.378,329775	Padrão - SND	Reg.	
04/10/2018	CADS13	6.337,000000	38,889371	-	6.375,889371	Padrão - SND	Reg.	
03/10/2018	CADS13	6.337,000000	36,449885	-	6.373,449885	Padrão - SND	Reg.	
02/10/2018	CADS13	6.337,000000	34,011395	-	6.371,011395	Padrão - SND	Reg.	
01/10/2018	CADS13	6.337,000000	31,573773	-	6.368,573773	Padrão - SND	Reg.	
28/09/2018	CADS13	6.337,000000	29,139421	-	6.366,139421	Padrão - SND	Reg.	
27/09/2018	CADS13	6.337,000000	26,706063	-	6.363,706063	Padrão - SND	Reg.	
26/09/2018	CADS13	6.337,000000	24,273562	-	6.361,273562	Padrão - SND	Reg.	
25/09/2018	CADS13	6.337,000000	21,842061	-	6.358,842061	Padrão - SND	Reg.	
24/09/2018	CADS13	6.337,000000	19,411416	-	6.356,411416	Padrão - SND	Reg.	
21/09/2018	CADS13	6.337,000000	16,981753	-	6.353,981753	Padrão - SND	Reg.	
20/09/2018	CADS13	6.337,000000	14,553022	-	6.351,553022	Padrão - SND	Reg.	
19/09/2018	CADS13	6.337,000000	12,125159	-	6.349,125159	Padrão - SND	Reg.	
18/09/2018	CADS13	6.337,000000	9,698278	-	6.346,698278	Padrão - SND	Reg.	
17/09/2018	CADS13	6.337,000000	7,272322	-	6.344,272322	Padrão - SND	Reg.	
14/09/2018	CADS13	6.337,000000	4,847292	-	6.341,847292	Padrão - SND	Reg.	
13/09/2018	CADS13	6.337,000000	2,423186	-	6.339,423186	Padrão - SND	Reg.	
12/09/2018	CADS13	6.337,000000	-  	-	6.337,000000	Padrão - SND	Reg.	
11/09/2018	CADS13	6.670,000000	51,196092	-	6.721,196092	Padrão - SND	Reg.	
10/09/2018	CADS13	6.670,000000	48,626981	-	6.718,626981	Padrão - SND	Reg.	
06/09/2018	CADS13	6.670,000000	46,058858	-	6.716,058858	Padrão - SND	Reg.	
05/09/2018	CADS13	6.670,000000	43,491702	-	6.713,491702	Padrão - SND	Reg.	
04/09/2018	CADS13	6.670,000000	40,925526	-	6.710,925526	Padrão - SND	Reg.	
03/09/2018	CADS13	6.670,000000	38,360331	-	6.708,360331	Padrão - SND	Reg.	
31/08/2018	CADS13	6.670,000000	35,796102	-	6.705,796102	Padrão - SND	Reg.	
30/08/2018	CADS13	6.670,000000	33,232928	-	6.703,232928	Padrão - SND	Reg.	
