PU Histórico - Gerado em 26/05/2019 21:07:28

Data do PU	Ativo	Valor Nominal	Juros	Prêmio	Preço Unitário	Critério de Cálculo	Situação	
24/05/2019	CART22	1.369,406341	34,911715	-	1.404,318056	Padrão - SND	Reg.	
23/05/2019	CART22	1.369,406341	34,584410	-	1.403,990751	Padrão - SND	Reg.	
22/05/2019	CART22	1.369,406341	34,257182	-	1.403,663523	Padrão - SND	Reg.	
21/05/2019	CART22	1.369,406341	33,930031	-	1.403,336372	Padrão - SND	Reg.	
20/05/2019	CART22	1.369,406341	33,602955	-	1.403,009296	Padrão - SND	Reg.	
17/05/2019	CART22	1.369,406341	33,275956	-	1.402,682297	Padrão - SND	Reg.	
16/05/2019	CART22	1.369,406341	32,949032	-	1.402,355373	Padrão - SND	Reg.	
15/05/2019	CART22	1.369,406341	32,622185	-	1.402,028526	Padrão - SND	Reg.	
14/05/2019	CART22	1.369,017238	32,286238	-	1.401,303476	Padrão - SND	Reg.	
13/05/2019	CART22	1.368,628243	31,950555	-	1.400,578798	Padrão - SND	Reg.	
10/05/2019	CART22	1.361,645379	31,462773	-	1.393,108152	Padrão - SND	Reg.	
09/05/2019	CART22	1.361,645379	31,138082	-	1.392,783461	Padrão - SND	Reg.	
08/05/2019	CART22	1.361,645379	30,813465	-	1.392,458844	Padrão - SND	Reg.	
07/05/2019	CART22	1.361,645379	30,488925	-	1.392,134304	Padrão - SND	Reg.	
06/05/2019	CART22	1.361,645379	30,164460	-	1.391,809839	Padrão - SND	Reg.	
03/05/2019	CART22	1.361,645379	29,840071	-	1.391,485450	Padrão - SND	Reg.	
02/05/2019	CART22	1.361,645379	29,515757	-	1.391,161136	Padrão - SND	Reg.	
30/04/2019	CART22	1.361,645379	29,191520	-	1.390,836899	Padrão - SND	Reg.	
29/04/2019	CART22	1.361,645379	28,867357	-	1.390,512736	Padrão - SND	Reg.	
26/04/2019	CART22	1.361,645379	28,543270	-	1.390,188649	Padrão - SND	Reg.	
25/04/2019	CART22	1.361,645379	28,219258	-	1.389,864637	Padrão - SND	Reg.	
24/04/2019	CART22	1.361,645379	27,895323	-	1.389,540702	Padrão - SND	Reg.	
23/04/2019	CART22	1.361,645379	27,571463	-	1.389,216842	Padrão - SND	Reg.	
22/04/2019	CART22	1.361,645379	27,247678	-	1.388,893057	Padrão - SND	Reg.	
