PU Histórico - Gerado em 26/05/2019 21:07:59

Data do PU	Ativo	Valor Nominal	Juros	Prêmio	Preço Unitário	Critério de Cálculo	Situação	
24/05/2019	CBLT11	1.000,000000	1,276457	-	1.001,276457	Padrão - SND	Reg.	
23/05/2019	CBLT11	1.000,000000	0,957191	-	1.000,957191	Padrão - SND	Reg.	
22/05/2019	CBLT11	1.000,000000	0,638026	-	1.000,638026	Padrão - SND	Reg.	
21/05/2019	CBLT11	1.000,000000	0,318963	-	1.000,318963	Padrão - SND	Reg.	
20/05/2019	CBLT11	1.000,000000	-  	-	1.000,000000	Padrão - SND	Reg.	
17/05/2019	CBLT11	1.000,000000	5,756920	-	1.005,756920	Padrão - SND	Reg.	
16/05/2019	CBLT11	1.000,000000	5,436216	-	1.005,436216	Padrão - SND	Reg.	
15/05/2019	CBLT11	1.000,000000	5,115623	-	1.005,115623	Padrão - SND	Reg.	
14/05/2019	CBLT11	1.000,000000	4,795132	-	1.004,795132	Padrão - SND	Reg.	
13/05/2019	CBLT11	1.000,000000	4,474743	-	1.004,474743	Padrão - SND	Reg.	
10/05/2019	CBLT11	1.000,000000	4,154455	-	1.004,154455	Padrão - SND	Reg.	
09/05/2019	CBLT11	1.000,000000	3,834267	-	1.003,834267	Padrão - SND	Reg.	
08/05/2019	CBLT11	1.000,000000	3,514192	-	1.003,514192	Padrão - SND	Reg.	
07/05/2019	CBLT11	1.000,000000	3,194207	-	1.003,194207	Padrão - SND	Reg.	
06/05/2019	CBLT11	1.000,000000	2,874324	-	1.002,874324	Padrão - SND	Reg.	
03/05/2019	CBLT11	1.000,000000	2,554552	-	1.002,554552	Padrão - SND	Reg.	
02/05/2019	CBLT11	1.000,000000	2,234871	-	1.002,234871	Padrão - SND	Reg.	
30/04/2019	CBLT11	1.000,000000	1,915301	-	1.001,915301	Padrão - SND	Reg.	
29/04/2019	CBLT11	1.000,000000	1,595833	-	1.001,595833	Padrão - SND	Reg.	
26/04/2019	CBLT11	1.000,000000	1,276457	-	1.001,276457	Padrão - SND	Reg.	
25/04/2019	CBLT11	1.000,000000	0,957190	-	1.000,957190	Padrão - SND	Reg.	
24/04/2019	CBLT11	1.000,000000	0,638026	-	1.000,638026	Padrão - SND	Reg.	
23/04/2019	CBLT11	1.000,000000	0,318963	-	1.000,318963	Padrão - SND	Reg.	
22/04/2019	CBLT11	1.000,000000	-  	-	1.000,000000	Padrão - SND	Reg.	
18/04/2019	CBLT11	1.000,000000	7,040720	-	1.007,040720	Padrão - SND	Reg.	
17/04/2019	CBLT11	1.000,000000	6,719620	-	1.006,719620	Padrão - SND	Reg.	
16/04/2019	CBLT11	1.000,000000	6,398613	-	1.006,398613	Padrão - SND	Reg.	
15/04/2019	CBLT11	1.000,000000	6,077716	-	1.006,077716	Padrão - SND	Reg.	
12/04/2019	CBLT11	1.000,000000	5,756921	-	1.005,756921	Padrão - SND	Reg.	
11/04/2019	CBLT11	1.000,000000	5,436216	-	1.005,436216	Padrão - SND	Reg.	
10/04/2019	CBLT11	1.000,000000	5,115624	-	1.005,115624	Padrão - SND	Reg.	
09/04/2019	CBLT11	1.000,000000	4,795133	-	1.004,795133	Padrão - SND	Reg.	
08/04/2019	CBLT11	1.000,000000	4,474743	-	1.004,474743	Padrão - SND	Reg.	
05/04/2019	CBLT11	1.000,000000	4,154455	-	1.004,154455	Padrão - SND	Reg.	
04/04/2019	CBLT11	1.000,000000	3,834268	-	1.003,834268	Padrão - SND	Reg.	
03/04/2019	CBLT11	1.000,000000	3,514192	-	1.003,514192	Padrão - SND	Reg.	
02/04/2019	CBLT11	1.000,000000	3,194208	-	1.003,194208	Padrão - SND	Reg.	
01/04/2019	CBLT11	1.000,000000	2,874324	-	1.002,874324	Padrão - SND	Reg.	
29/03/2019	CBLT11	1.000,000000	2,554553	-	1.002,554553	Padrão - SND	Reg.	
28/03/2019	CBLT11	1.000,000000	2,234871	-	1.002,234871	Padrão - SND	Reg.	
27/03/2019	CBLT11	1.000,000000	1,915302	-	1.001,915302	Padrão - SND	Reg.	
26/03/2019	CBLT11	1.000,000000	1,595834	-	1.001,595834	Padrão - SND	Reg.	
25/03/2019	CBLT11	1.000,000000	1,276457	-	1.001,276457	Padrão - SND	Reg.	
22/03/2019	CBLT11	1.000,000000	0,957191	-	1.000,957191	Padrão - SND	Reg.	
21/03/2019	CBLT11	1.000,000000	0,638026	-	1.000,638026	Padrão - SND	Reg.	
20/03/2019	CBLT11	1.000,000000	0,318963	-	1.000,318963	Padrão - SND	Reg.	
19/03/2019	CBLT11	1.000,000000	-  	-	1.000,000000	Padrão - SND	Reg.	
18/03/2019	CBLT11	1.000,000000	5,436216	-	1.005,436216	Padrão - SND	Reg.	
15/03/2019	CBLT11	1.000,000000	5,115624	-	1.005,115624	Padrão - SND	Reg.	
14/03/2019	CBLT11	1.000,000000	4,795133	-	1.004,795133	Padrão - SND	Reg.	
13/03/2019	CBLT11	1.000,000000	4,474744	-	1.004,474744	Padrão - SND	Reg.	
12/03/2019	CBLT11	1.000,000000	4,154455	-	1.004,154455	Padrão - SND	Reg.	
11/03/2019	CBLT11	1.000,000000	3,834268	-	1.003,834268	Padrão - SND	Reg.	
08/03/2019	CBLT11	1.000,000000	3,514192	-	1.003,514192	Padrão - SND	Reg.	
07/03/2019	CBLT11	1.000,000000	3,194208	-	1.003,194208	Padrão - SND	Reg.	
06/03/2019	CBLT11	1.000,000000	2,874325	-	1.002,874325	Padrão - SND	Reg.	
01/03/2019	CBLT11	1.000,000000	2,554553	-	1.002,554553	Padrão - SND	Reg.	
28/02/2019	CBLT11	1.000,000000	2,234871	-	1.002,234871	Padrão - SND	Reg.	
27/02/2019	CBLT11	1.000,000000	1,915302	-	1.001,915302	Padrão - SND	Reg.	
26/02/2019	CBLT11	1.000,000000	1,595834	-	1.001,595834	Padrão - SND	Reg.	
25/02/2019	CBLT11	1.000,000000	1,276457	-	1.001,276457	Padrão - SND	Reg.	
22/02/2019	CBLT11	1.000,000000	0,957191	-	1.000,957191	Padrão - SND	Reg.	
21/02/2019	CBLT11	1.000,000000	0,638026	-	1.000,638026	Padrão - SND	Reg.	
20/02/2019	CBLT11	1.000,000000	0,318963	-	1.000,318963	Padrão - SND	Reg.	
19/02/2019	CBLT11	1.000,000000	-  	-	1.000,000000	Padrão - SND	Reg.	
18/02/2019	CBLT11	1.000,000000	6,398613	-	1.006,398613	Padrão - SND	Reg.	
15/02/2019	CBLT11	1.000,000000	6,077715	-	1.006,077715	Padrão - SND	Reg.	
14/02/2019	CBLT11	1.000,000000	5,756921	-	1.005,756921	Padrão - SND	Reg.	
13/02/2019	CBLT11	1.000,000000	5,436216	-	1.005,436216	Padrão - SND	Reg.	
12/02/2019	CBLT11	1.000,000000	5,115624	-	1.005,115624	Padrão - SND	Reg.	
11/02/2019	CBLT11	1.000,000000	4,795133	-	1.004,795133	Padrão - SND	Reg.	
08/02/2019	CBLT11	1.000,000000	4,474743	-	1.004,474743	Padrão - SND	Reg.	
07/02/2019	CBLT11	1.000,000000	4,154455	-	1.004,154455	Padrão - SND	Reg.	
06/02/2019	CBLT11	1.000,000000	3,834268	-	1.003,834268	Padrão - SND	Reg.	
05/02/2019	CBLT11	1.000,000000	3,514192	-	1.003,514192	Padrão - SND	Reg.	
04/02/2019	CBLT11	1.000,000000	3,194208	-	1.003,194208	Padrão - SND	Reg.	
01/02/2019	CBLT11	1.000,000000	2,874324	-	1.002,874324	Padrão - SND	Reg.	
31/01/2019	CBLT11	1.000,000000	2,554552	-	1.002,554552	Padrão - SND	Reg.	
30/01/2019	CBLT11	1.000,000000	2,234871	-	1.002,234871	Padrão - SND	Reg.	
29/01/2019	CBLT11	1.000,000000	1,915302	-	1.001,915302	Padrão - SND	Reg.	
28/01/2019	CBLT11	1.000,000000	1,595834	-	1.001,595834	Padrão - SND	Reg.	
25/01/2019	CBLT11	1.000,000000	1,276457	-	1.001,276457	Padrão - SND	Reg.	
24/01/2019	CBLT11	1.000,000000	0,957190	-	1.000,957190	Padrão - SND	Reg.	
23/01/2019	CBLT11	1.000,000000	0,638026	-	1.000,638026	Padrão - SND	Reg.	
22/01/2019	CBLT11	1.000,000000	0,318963	-	1.000,318963	Padrão - SND	Reg.	
21/01/2019	CBLT11	1.000,000000	-  	-	1.000,000000	Padrão - SND	Reg.	
18/01/2019	CBLT11	1.000,000000	6,398613	-	1.006,398613	Padrão - SND	Reg.	
17/01/2019	CBLT11	1.000,000000	6,077715	-	1.006,077715	Padrão - SND	Reg.	
16/01/2019	CBLT11	1.000,000000	5,756921	-	1.005,756921	Padrão - SND	Reg.	
15/01/2019	CBLT11	1.000,000000	5,436216	-	1.005,436216	Padrão - SND	Reg.	
14/01/2019	CBLT11	1.000,000000	5,115624	-	1.005,115624	Padrão - SND	Reg.	
11/01/2019	CBLT11	1.000,000000	4,795133	-	1.004,795133	Padrão - SND	Reg.	
10/01/2019	CBLT11	1.000,000000	4,474743	-	1.004,474743	Padrão - SND	Reg.	
09/01/2019	CBLT11	1.000,000000	4,154455	-	1.004,154455	Padrão - SND	Reg.	
08/01/2019	CBLT11	1.000,000000	3,834268	-	1.003,834268	Padrão - SND	Reg.	
07/01/2019	CBLT11	1.000,000000	3,514192	-	1.003,514192	Padrão - SND	Reg.	
04/01/2019	CBLT11	1.000,000000	3,194208	-	1.003,194208	Padrão - SND	Reg.	
03/01/2019	CBLT11	1.000,000000	2,874324	-	1.002,874324	Padrão - SND	Reg.	
02/01/2019	CBLT11	1.000,000000	2,554552	-	1.002,554552	Padrão - SND	Reg.	
31/12/2018	CBLT11	1.000,000000	2,234871	-	1.002,234871	Padrão - SND	Reg.	
28/12/2018	CBLT11	1.000,000000	1,915302	-	1.001,915302	Padrão - SND	Reg.	
27/12/2018	CBLT11	1.000,000000	1,595834	-	1.001,595834	Padrão - SND	Reg.	
26/12/2018	CBLT11	1.000,000000	1,276457	-	1.001,276457	Padrão - SND	Reg.	
24/12/2018	CBLT11	1.000,000000	0,957190	-	1.000,957190	Padrão - SND	Reg.	
21/12/2018	CBLT11	1.000,000000	0,638026	-	1.000,638026	Padrão - SND	Reg.	
20/12/2018	CBLT11	1.000,000000	0,318963	-	1.000,318963	Padrão - SND	Reg.	
19/12/2018	CBLT11	1.000,000000	-  	-	1.000,000000	Padrão - SND	Reg.	
18/12/2018	CBLT11	1.000,000000	6,719620	-	1.006,719620	Padrão - SND	Reg.	
17/12/2018	CBLT11	1.000,000000	6,398613	-	1.006,398613	Padrão - SND	Reg.	
14/12/2018	CBLT11	1.000,000000	6,077716	-	1.006,077716	Padrão - SND	Reg.	
13/12/2018	CBLT11	1.000,000000	5,756921	-	1.005,756921	Padrão - SND	Reg.	
12/12/2018	CBLT11	1.000,000000	5,436216	-	1.005,436216	Padrão - SND	Reg.	
11/12/2018	CBLT11	1.000,000000	5,115624	-	1.005,115624	Padrão - SND	Reg.	
10/12/2018	CBLT11	1.000,000000	4,795133	-	1.004,795133	Padrão - SND	Reg.	
07/12/2018	CBLT11	1.000,000000	4,474743	-	1.004,474743	Padrão - SND	Reg.	
06/12/2018	CBLT11	1.000,000000	4,154455	-	1.004,154455	Padrão - SND	Reg.	
05/12/2018	CBLT11	1.000,000000	3,834268	-	1.003,834268	Padrão - SND	Reg.	
04/12/2018	CBLT11	1.000,000000	3,514192	-	1.003,514192	Padrão - SND	Reg.	
03/12/2018	CBLT11	1.000,000000	3,194208	-	1.003,194208	Padrão - SND	Reg.	
30/11/2018	CBLT11	1.000,000000	2,874324	-	1.002,874324	Padrão - SND	Reg.	
29/11/2018	CBLT11	1.000,000000	2,554553	-	1.002,554553	Padrão - SND	Reg.	
28/11/2018	CBLT11	1.000,000000	2,234871	-	1.002,234871	Padrão - SND	Reg.	
27/11/2018	CBLT11	1.000,000000	1,915302	-	1.001,915302	Padrão - SND	Reg.	
26/11/2018	CBLT11	1.000,000000	1,595834	-	1.001,595834	Padrão - SND	Reg.	
23/11/2018	CBLT11	1.000,000000	1,276457	-	1.001,276457	Padrão - SND	Reg.	
22/11/2018	CBLT11	1.000,000000	0,957191	-	1.000,957191	Padrão - SND	Reg.	
21/11/2018	CBLT11	1.000,000000	0,638026	-	1.000,638026	Padrão - SND	Reg.	
20/11/2018	CBLT11	1.000,000000	0,318963	-	1.000,318963	Padrão - SND	Reg.	
19/11/2018	CBLT11	1.000,000000	-  	-	1.000,000000	Padrão - SND	Reg.	
16/11/2018	CBLT11	1.000,000000	3,194208	-	1.003,194208	Padrão - SND	Reg.	
14/11/2018	CBLT11	1.000,000000	2,874324	-	1.002,874324	Padrão - SND	Reg.	
13/11/2018	CBLT11	1.000,000000	2,554552	-	1.002,554552	Padrão - SND	Reg.	
12/11/2018	CBLT11	1.000,000000	2,234871	-	1.002,234871	Padrão - SND	Reg.	
09/11/2018	CBLT11	1.000,000000	1,915302	-	1.001,915302	Padrão - SND	Reg.	
08/11/2018	CBLT11	1.000,000000	1,595834	-	1.001,595834	Padrão - SND	Reg.	
07/11/2018	CBLT11	1.000,000000	1,276457	-	1.001,276457	Padrão - SND	Reg.	
06/11/2018	CBLT11	1.000,000000	0,957190	-	1.000,957190	Padrão - SND	Reg.	
05/11/2018	CBLT11	1.000,000000	0,638026	-	1.000,638026	Padrão - SND	Reg.	
01/11/2018	CBLT11	1.000,000000	0,318963	-	1.000,318963	Padrão - SND	Reg.	
31/10/2018	CBLT11	1.000,000000	-  	-	1.000,000000	Padrão - SND	Reg.	
30/10/2018	CBLT11	1.000,000000	-  	-	1.000,000000	Padrão - SND	Reg.	


Valores expressos em reais.
Os valores refletem a nossa interpretação da escritura de emissão, não implicando em aceitação de compromisso legal ou financeiro.
