PU Histórico - Gerado em 26/05/2019 21:08:23

Data do PU	Ativo	Valor Nominal	Juros	Prêmio	Preço Unitário	Critério de Cálculo	Situação	
24/05/2019	CCCI12	5.001,000000	32,668082	-	5.033,668082	Padrão - SND	Reg.	
23/05/2019	CCCI12	5.001,000000	31,243297	-	5.032,243297	Padrão - SND	Reg.	
22/05/2019	CCCI12	5.001,000000	29,818912	-	5.030,818912	Padrão - SND	Reg.	
21/05/2019	CCCI12	5.001,000000	28,394977	-	5.029,394977	Padrão - SND	Reg.	
20/05/2019	CCCI12	5.001,000000	26,971393	-	5.027,971393	Padrão - SND	Reg.	
17/05/2019	CCCI12	5.001,000000	25,548208	-	5.026,548208	Padrão - SND	Reg.	
16/05/2019	CCCI12	5.001,000000	24,125474	-	5.025,125474	Padrão - SND	Reg.	
15/05/2019	CCCI12	5.001,000000	22,703089	-	5.023,703089	Padrão - SND	Reg.	
14/05/2019	CCCI12	5.001,000000	21,281155	-	5.022,281155	Padrão - SND	Reg.	
13/05/2019	CCCI12	5.001,000000	19,859571	-	5.020,859571	Padrão - SND	Reg.	
10/05/2019	CCCI12	5.001,000000	18,438436	-	5.019,438436	Padrão - SND	Reg.	
09/05/2019	CCCI12	5.001,000000	17,017702	-	5.018,017702	Padrão - SND	Reg.	
08/05/2019	CCCI12	5.001,000000	15,597318	-	5.016,597318	Padrão - SND	Reg.	
07/05/2019	CCCI12	5.001,000000	14,177384	-	5.015,177384	Padrão - SND	Reg.	
06/05/2019	CCCI12	5.001,000000	12,757851	-	5.013,757851	Padrão - SND	Reg.	
03/05/2019	CCCI12	5.001,000000	11,338717	-	5.012,338717	Padrão - SND	Reg.	
02/05/2019	CCCI12	5.001,000000	9,919933	-	5.010,919933	Padrão - SND	Reg.	
30/04/2019	CCCI12	5.001,000000	8,501599	-	5.009,501599	Padrão - SND	Reg.	
29/04/2019	CCCI12	5.001,000000	7,083666	-	5.008,083666	Padrão - SND	Reg.	
26/04/2019	CCCI12	5.001,000000	5,666133	-	5.006,666133	Padrão - SND	Reg.	
25/04/2019	CCCI12	5.001,000000	4,248999	-	5.005,248999	Padrão - SND	Reg.	
24/04/2019	CCCI12	5.001,000000	2,832266	-	5.003,832266	Padrão - SND	Reg.	
23/04/2019	CCCI12	5.001,000000	1,415933	-	5.002,415933	Padrão - SND	Reg.	
22/04/2019	CCCI12	5.001,000000	-  	-	5.001,000000	Padrão - SND	Reg.	
18/04/2019	CCCI12	6.668,000000	488,664046	-	7.156,664046	Padrão - SND	Reg.	
17/04/2019	CCCI12	6.668,000000	486,638308	-	7.154,638308	Padrão - SND	Reg.	
16/04/2019	CCCI12	6.668,000000	484,613236	-	7.152,613236	Padrão - SND	Reg.	
15/04/2019	CCCI12	6.668,000000	482,588631	-	7.150,588631	Padrão - SND	Reg.	
12/04/2019	CCCI12	6.668,000000	480,564693	-	7.148,564693	Padrão - SND	Reg.	
11/04/2019	CCCI12	6.668,000000	478,541289	-	7.146,541289	Padrão - SND	Reg.	
10/04/2019	CCCI12	6.668,000000	476,518484	-	7.144,518484	Padrão - SND	Reg.	
09/04/2019	CCCI12	6.668,000000	474,496213	-	7.142,496213	Padrão - SND	Reg.	
08/04/2019	CCCI12	6.668,000000	472,474542	-	7.140,474542	Padrão - SND	Reg.	
05/04/2019	CCCI12	6.668,000000	470,453405	-	7.138,453405	Padrão - SND	Reg.	
04/04/2019	CCCI12	6.668,000000	468,432867	-	7.136,432867	Padrão - SND	Reg.	
03/04/2019	CCCI12	6.668,000000	466,412930	-	7.134,412930	Padrão - SND	Reg.	
02/04/2019	CCCI12	6.668,000000	464,393526	-	7.132,393526	Padrão - SND	Reg.	
01/04/2019	CCCI12	6.668,000000	462,374656	-	7.130,374656	Padrão - SND	Reg.	
29/03/2019	CCCI12	6.668,000000	460,356452	-	7.128,356452	Padrão - SND	Reg.	
28/03/2019	CCCI12	6.668,000000	458,338782	-	7.126,338782	Padrão - SND	Reg.	
27/03/2019	CCCI12	6.668,000000	456,321646	-	7.124,321646	Padrão - SND	Reg.	
26/03/2019	CCCI12	6.668,000000	454,305109	-	7.122,305109	Padrão - SND	Reg.	
25/03/2019	CCCI12	6.668,000000	452,289173	-	7.120,289173	Padrão - SND	Reg.	
22/03/2019	CCCI12	6.668,000000	450,273770	-	7.118,273770	Padrão - SND	Reg.	
21/03/2019	CCCI12	6.668,000000	448,258900	-	7.116,258900	Padrão - SND	Reg.	
20/03/2019	CCCI12	6.668,000000	446,244631	-	7.114,244631	Padrão - SND	Reg.	
19/03/2019	CCCI12	6.668,000000	444,230961	-	7.112,230961	Padrão - SND	Reg.	
18/03/2019	CCCI12	6.668,000000	442,217892	-	7.110,217892	Padrão - SND	Reg.	
15/03/2019	CCCI12	6.668,000000	440,205290	-	7.108,205290	Padrão - SND	Reg.	
14/03/2019	CCCI12	6.668,000000	438,193354	-	7.106,193354	Padrão - SND	Reg.	
13/03/2019	CCCI12	6.668,000000	436,181952	-	7.104,181952	Padrão - SND	Reg.	
12/03/2019	CCCI12	6.668,000000	434,171083	-	7.102,171083	Padrão - SND	Reg.	
11/03/2019	CCCI12	6.668,000000	432,160814	-	7.100,160814	Padrão - SND	Reg.	
08/03/2019	CCCI12	6.668,000000	430,151146	-	7.098,151146	Padrão - SND	Reg.	
07/03/2019	CCCI12	6.668,000000	428,142011	-	7.096,142011	Padrão - SND	Reg.	
06/03/2019	CCCI12	6.668,000000	426,133409	-	7.094,133409	Padrão - SND	Reg.	
01/03/2019	CCCI12	6.668,000000	424,125408	-	7.092,125408	Padrão - SND	Reg.	
28/02/2019	CCCI12	6.668,000000	422,118006	-	7.090,118006	Padrão - SND	Reg.	
27/02/2019	CCCI12	6.668,000000	420,111138	-	7.088,111138	Padrão - SND	Reg.	
26/02/2019	CCCI12	6.668,000000	418,104870	-	7.086,104870	Padrão - SND	Reg.	
25/02/2019	CCCI12	6.668,000000	416,099136	-	7.084,099136	Padrão - SND	Reg.	
22/02/2019	CCCI12	6.668,000000	414,094002	-	7.082,094002	Padrão - SND	Reg.	
21/02/2019	CCCI12	6.668,000000	412,089401	-	7.080,089401	Padrão - SND	Reg.	
20/02/2019	CCCI12	6.668,000000	410,085400	-	7.078,085400	Padrão - SND	Reg.	
19/02/2019	CCCI12	6.668,000000	408,081933	-	7.076,081933	Padrão - SND	Reg.	
18/02/2019	CCCI12	6.668,000000	406,079066	-	7.074,079066	Padrão - SND	Reg.	
15/02/2019	CCCI12	6.668,000000	404,076732	-	7.072,076732	Padrão - SND	Reg.	
14/02/2019	CCCI12	6.668,000000	402,074998	-	7.070,074998	Padrão - SND	Reg.	
13/02/2019	CCCI12	6.668,000000	400,073798	-	7.068,073798	Padrão - SND	Reg.	
12/02/2019	CCCI12	6.668,000000	398,073198	-	7.066,073198	Padrão - SND	Reg.	
11/02/2019	CCCI12	6.668,000000	396,073132	-	7.064,073132	Padrão - SND	Reg.	
08/02/2019	CCCI12	6.668,000000	394,073665	-	7.062,073665	Padrão - SND	Reg.	
07/02/2019	CCCI12	6.668,000000	392,074732	-	7.060,074732	Padrão - SND	Reg.	
06/02/2019	CCCI12	6.668,000000	390,076399	-	7.058,076399	Padrão - SND	Reg.	
05/02/2019	CCCI12	6.668,000000	388,078600	-	7.056,078600	Padrão - SND	Reg.	
04/02/2019	CCCI12	6.668,000000	386,081400	-	7.054,081400	Padrão - SND	Reg.	
01/02/2019	CCCI12	6.668,000000	384,084734	-	7.052,084734	Padrão - SND	Reg.	
31/01/2019	CCCI12	6.668,000000	382,088602	-	7.050,088602	Padrão - SND	Reg.	
30/01/2019	CCCI12	6.668,000000	380,093070	-	7.048,093070	Padrão - SND	Reg.	
29/01/2019	CCCI12	6.668,000000	378,098137	-	7.046,098137	Padrão - SND	Reg.	
28/01/2019	CCCI12	6.668,000000	376,103739	-	7.044,103739	Padrão - SND	Reg.	
25/01/2019	CCCI12	6.668,000000	374,109873	-	7.042,109873	Padrão - SND	Reg.	
24/01/2019	CCCI12	6.668,000000	372,116608	-	7.040,116608	Padrão - SND	Reg.	
23/01/2019	CCCI12	6.668,000000	370,123943	-	7.038,123943	Padrão - SND	Reg.	
22/01/2019	CCCI12	6.668,000000	368,131811	-	7.036,131811	Padrão - SND	Reg.	
21/01/2019	CCCI12	6.668,000000	366,140213	-	7.034,140213	Padrão - SND	Reg.	
18/01/2019	CCCI12	6.668,000000	364,149215	-	7.032,149215	Padrão - SND	Reg.	
17/01/2019	CCCI12	6.668,000000	362,158750	-	7.030,158750	Padrão - SND	Reg.	
16/01/2019	CCCI12	6.668,000000	360,168886	-	7.028,168886	Padrão - SND	Reg.	
15/01/2019	CCCI12	6.668,000000	358,179554	-	7.026,179554	Padrão - SND	Reg.	
14/01/2019	CCCI12	6.668,000000	356,190757	-	7.024,190757	Padrão - SND	Reg.	
11/01/2019	CCCI12	6.668,000000	354,202559	-	7.022,202559	Padrão - SND	Reg.	
10/01/2019	CCCI12	6.668,000000	352,214962	-	7.020,214962	Padrão - SND	Reg.	
09/01/2019	CCCI12	6.668,000000	350,227898	-	7.018,227898	Padrão - SND	Reg.	
08/01/2019	CCCI12	6.668,000000	348,241367	-	7.016,241367	Padrão - SND	Reg.	
07/01/2019	CCCI12	6.668,000000	346,255437	-	7.014,255437	Padrão - SND	Reg.	
04/01/2019	CCCI12	6.668,000000	344,270040	-	7.012,270040	Padrão - SND	Reg.	
03/01/2019	CCCI12	6.668,000000	342,285243	-	7.010,285243	Padrão - SND	Reg.	
02/01/2019	CCCI12	6.668,000000	340,300979	-	7.008,300979	Padrão - SND	Reg.	
31/12/2018	CCCI12	6.668,000000	338,317249	-	7.006,317249	Padrão - SND	Reg.	
28/12/2018	CCCI12	6.668,000000	336,334120	-	7.004,334120	Padrão - SND	Reg.	
