PU Histórico - Gerado em 26/05/2019 21:08:42

Data do PU	Ativo	Valor Nominal	Juros	Prêmio	Preço Unitário	Critério de Cálculo	Situação	
24/05/2019	CCGR22	140.001,120000	6.354,832698	-	146.355,952698	Padrão - SND	Reg.	
23/05/2019	CCGR22	140.001,120000	6.298,835470	-	146.299,955470	Padrão - SND	Reg.	
22/05/2019	CCGR22	140.001,120000	6.242,859242	-	146.243,979242	Padrão - SND	Reg.	
21/05/2019	CCGR22	140.001,120000	6.186,905415	-	146.188,025415	Padrão - SND	Reg.	
20/05/2019	CCGR22	140.001,120000	6.130,971327	-	146.132,091327	Padrão - SND	Reg.	
17/05/2019	CCGR22	140.001,120000	6.075,059780	-	146.076,179780	Padrão - SND	Reg.	
16/05/2019	CCGR22	140.001,120000	6.019,170773	-	146.020,290773	Padrão - SND	Reg.	
15/05/2019	CCGR22	140.001,120000	5.963,301226	-	145.964,421226	Padrão - SND	Reg.	
14/05/2019	CCGR22	140.001,120000	5.907,454219	-	145.908,574219	Padrão - SND	Reg.	
13/05/2019	CCGR22	140.001,120000	5.851,628353	-	145.852,748353	Padrão - SND	Reg.	
10/05/2019	CCGR22	140.001,120000	5.795,823346	-	145.796,943346	Padrão - SND	Reg.	
09/05/2019	CCGR22	140.001,120000	5.740,039480	-	145.741,159480	Padrão - SND	Reg.	
08/05/2019	CCGR22	140.001,120000	5.684,278154	-	145.685,398154	Padrão - SND	Reg.	
07/05/2019	CCGR22	140.001,120000	5.628,536428	-	145.629,656428	Padrão - SND	Reg.	
06/05/2019	CCGR22	140.001,120000	5.572,817102	-	145.573,937102	Padrão - SND	Reg.	
03/05/2019	CCGR22	140.001,120000	5.517,118637	-	145.518,238637	Padrão - SND	Reg.	
02/05/2019	CCGR22	140.001,120000	5.461,442711	-	145.462,562711	Padrão - SND	Reg.	
30/04/2019	CCGR22	140.001,120000	5.405,787786	-	145.406,907786	Padrão - SND	Reg.	
29/04/2019	CCGR22	140.001,120000	5.350,152601	-	145.351,272601	Padrão - SND	Reg.	
26/04/2019	CCGR22	140.001,120000	5.294,539676	-	145.295,659676	Padrão - SND	Reg.	
25/04/2019	CCGR22	140.001,120000	5.238,949151	-	145.240,069151	Padrão - SND	Reg.	
24/04/2019	CCGR22	140.001,120000	5.183,378087	-	145.184,498087	Padrão - SND	Reg.	
23/04/2019	CCGR22	140.001,120000	5.127,829562	-	145.128,949562	Padrão - SND	Reg.	
22/04/2019	CCGR22	140.001,120000	5.072,302038	-	145.073,422038	Padrão - SND	Reg.	
18/04/2019	CCGR22	140.001,120000	5.016,795374	-	145.017,915374	Padrão - SND	Reg.	
17/04/2019	CCGR22	140.001,120000	4.961,309710	-	144.962,429710	Padrão - SND	Reg.	
16/04/2019	CCGR22	140.001,120000	4.905,844906	-	144.906,964906	Padrão - SND	Reg.	
15/04/2019	CCGR22	140.001,120000	4.850,402643	-	144.851,522643	Padrão - SND	Reg.	
12/04/2019	CCGR22	140.001,120000	4.794,981240	-	144.796,101240	Padrão - SND	Reg.	
11/04/2019	CCGR22	140.001,120000	4.739,580696	-	144.740,700696	Padrão - SND	Reg.	
10/04/2019	CCGR22	140.001,120000	4.684,201153	-	144.685,321153	Padrão - SND	Reg.	
09/04/2019	CCGR22	140.001,120000	4.628,842470	-	144.629,962470	Padrão - SND	Reg.	
08/04/2019	CCGR22	140.001,120000	4.573,506188	-	144.574,626188	Padrão - SND	Reg.	
05/04/2019	CCGR22	140.001,120000	4.518,190765	-	144.519,310765	Padrão - SND	Reg.	
04/04/2019	CCGR22	140.001,120000	4.462,896203	-	144.464,016203	Padrão - SND	Reg.	
03/04/2019	CCGR22	140.001,120000	4.407,622501	-	144.408,742501	Padrão - SND	Reg.	
02/04/2019	CCGR22	140.001,120000	4.352,369799	-	144.353,489799	Padrão - SND	Reg.	
01/04/2019	CCGR22	140.001,120000	4.297,139497	-	144.298,259497	Padrão - SND	Reg.	
29/03/2019	CCGR22	140.001,120000	4.241,929915	-	144.243,049915	Padrão - SND	Reg.	
28/03/2019	CCGR22	140.001,120000	4.186,739794	-	144.187,859794	Padrão - SND	Reg.	
27/03/2019	CCGR22	140.001,120000	4.131,572072	-	144.132,692072	Padrão - SND	Reg.	
26/03/2019	CCGR22	140.001,120000	4.076,426611	-	144.077,546611	Padrão - SND	Reg.	
25/03/2019	CCGR22	140.001,120000	4.021,300470	-	144.022,420470	Padrão - SND	Reg.	
