PU Histórico - Gerado em 26/05/2019 21:09:20

Data do PU	Ativo	Valor Nominal	Juros	Prêmio	Preço Unitário	Critério de Cálculo	Situação	
24/05/2019	CCRDB1	1.000,000000	1,987801	-	1.001,987801	Padrão - SND	Reg.	
23/05/2019	CCRDB1	1.000,000000	1,703591	-	1.001,703591	Padrão - SND	Reg.	
22/05/2019	CCRDB1	1.000,000000	1,419461	-	1.001,419461	Padrão - SND	Reg.	
21/05/2019	CCRDB1	1.000,000000	1,135401	-	1.001,135401	Padrão - SND	Reg.	
20/05/2019	CCRDB1	1.000,000000	0,851431	-	1.000,851431	Padrão - SND	Reg.	
17/05/2019	CCRDB1	1.000,000000	0,567541	-	1.000,567541	Padrão - SND	Reg.	
16/05/2019	CCRDB1	1.000,000000	0,283730	-	1.000,283730	Padrão - SND	Reg.	
15/05/2019	CCRDB1	1.000,000000	-  	-	1.000,000000	Padrão - SND	Reg.	
14/05/2019	CCRDB1	1.000,000000	34,922464	-	1.034,922464	Padrão - SND	Reg.	
13/05/2019	CCRDB1	1.000,000000	34,628911	-	1.034,628911	Padrão - SND	Reg.	
10/05/2019	CCRDB1	1.000,000000	34,335437	-	1.034,335437	Padrão - SND	Reg.	
09/05/2019	CCRDB1	1.000,000000	34,042044	-	1.034,042044	Padrão - SND	Reg.	
08/05/2019	CCRDB1	1.000,000000	33,748743	-	1.033,748743	Padrão - SND	Reg.	
07/05/2019	CCRDB1	1.000,000000	33,455521	-	1.033,455521	Padrão - SND	Reg.	
06/05/2019	CCRDB1	1.000,000000	33,162381	-	1.033,162381	Padrão - SND	Reg.	
03/05/2019	CCRDB1	1.000,000000	32,869321	-	1.032,869321	Padrão - SND	Reg.	
02/05/2019	CCRDB1	1.000,000000	32,576353	-	1.032,576353	Padrão - SND	Reg.	
30/04/2019	CCRDB1	1.000,000000	32,283456	-	1.032,283456	Padrão - SND	Reg.	
29/04/2019	CCRDB1	1.000,000000	31,990648	-	1.031,990648	Padrão - SND	Reg.	
26/04/2019	CCRDB1	1.000,000000	31,697931	-	1.031,697931	Padrão - SND	Reg.	
25/04/2019	CCRDB1	1.000,000000	31,405287	-	1.031,405287	Padrão - SND	Reg.	
24/04/2019	CCRDB1	1.000,000000	31,112732	-	1.031,112732	Padrão - SND	Reg.	
23/04/2019	CCRDB1	1.000,000000	30,820258	-	1.030,820258	Padrão - SND	Reg.	
