PU Histórico - Gerado em 26/05/2019 21:09:25

Data do PU	Ativo	Valor Nominal	Juros	Prêmio	Preço Unitário	Critério de Cálculo	Situação	
24/05/2019	CCRDD1	1.066,019150	1,726835	-	1.067,745985	Padrão - SND	Reg.	
23/05/2019	CCRDD1	1.065,755760	1,479608	-	1.067,235368	Padrão - SND	Reg.	
22/05/2019	CCRDD1	1.065,492430	1,232560	-	1.066,724990	Padrão - SND	Reg.	
21/05/2019	CCRDD1	1.065,229170	0,985690	-	1.066,214860	Padrão - SND	Reg.	
20/05/2019	CCRDD1	1.064,965980	0,738999	-	1.065,704979	Padrão - SND	Reg.	
17/05/2019	CCRDD1	1.064,702850	0,492488	-	1.065,195338	Padrão - SND	Reg.	
16/05/2019	CCRDD1	1.064,439770	0,246155	-	1.064,685925	Padrão - SND	Reg.	
15/05/2019	CCRDD1	1.064,176780	-  	-	1.064,176780	Padrão - SND	Reg.	
14/05/2019	CCRDD1	1.063,874420	30,185728	-	1.094,060148	Padrão - SND	Reg.	
13/05/2019	CCRDD1	1.063,572130	29,924277	-	1.093,496407	Padrão - SND	Reg.	
10/05/2019	CCRDD1	1.064,887220	29,708150	-	1.094,595370	Padrão - SND	Reg.	
09/05/2019	CCRDD1	1.064,489480	29,444079	-	1.093,933559	Padrão - SND	Reg.	
08/05/2019	CCRDD1	1.064,091880	29,180260	-	1.093,272140	Padrão - SND	Reg.	
07/05/2019	CCRDD1	1.063,694430	28,916692	-	1.092,611122	Padrão - SND	Reg.	
06/05/2019	CCRDD1	1.063,297130	28,653374	-	1.091,950504	Padrão - SND	Reg.	
03/05/2019	CCRDD1	1.062,899970	28,390308	-	1.091,290278	Padrão - SND	Reg.	
02/05/2019	CCRDD1	1.062,502970	28,127492	-	1.090,630462	Padrão - SND	Reg.	
30/04/2019	CCRDD1	1.062,106110	27,864928	-	1.089,971038	Padrão - SND	Reg.	
29/04/2019	CCRDD1	1.061,709400	27,602614	-	1.089,312014	Padrão - SND	Reg.	
26/04/2019	CCRDD1	1.061,312840	27,340550	-	1.088,653390	Padrão - SND	Reg.	
25/04/2019	CCRDD1	1.060,916430	27,078737	-	1.087,995167	Padrão - SND	Reg.	
