PU Histórico - Gerado em 26/05/2019 21:09:27

Data do PU	Ativo	Valor Nominal	Juros	Prêmio	Preço Unitário	Critério de Cálculo	Situação	
24/05/2019	CDAE16	540.490,000000	3.449,487173	-	543.939,487173	Padrão - SND	Reg.	
23/05/2019	CDAE16	540.490,000000	3.257,268930	-	543.747,268930	Padrão - SND	Reg.	
22/05/2019	CDAE16	540.490,000000	3.065,123114	-	543.555,123114	Padrão - SND	Reg.	
21/05/2019	CDAE16	540.490,000000	2.873,045399	-	543.363,045399	Padrão - SND	Reg.	
20/05/2019	CDAE16	540.490,000000	2.681,034165	-	543.171,034165	Padrão - SND	Reg.	
17/05/2019	CDAE16	540.490,000000	2.489,091572	-	542.979,091572	Padrão - SND	Reg.	
16/05/2019	CDAE16	540.490,000000	2.297,216001	-	542.787,216001	Padrão - SND	Reg.	
15/05/2019	CDAE16	540.490,000000	2.105,412315	-	542.595,412315	Padrão - SND	Reg.	
14/05/2019	CDAE16	540.490,000000	1.913,671325	-	542.403,671325	Padrão - SND	Reg.	
13/05/2019	CDAE16	540.490,000000	1.721,997357	-	542.211,997357	Padrão - SND	Reg.	
10/05/2019	CDAE16	540.490,000000	1.530,396354	-	542.020,396354	Padrão - SND	Reg.	
09/05/2019	CDAE16	540.490,000000	1.338,857508	-	541.828,857508	Padrão - SND	Reg.	
08/05/2019	CDAE16	540.490,000000	1.147,391628	-	541.637,391628	Padrão - SND	Reg.	
07/05/2019	CDAE16	540.490,000000	955,992228	-	541.445,992228	Padrão - SND	Reg.	
06/05/2019	CDAE16	540.490,000000	764,654985	-	541.254,654985	Padrão - SND	Reg.	
03/05/2019	CDAE16	540.490,000000	573,390167	-	541.063,390167	Padrão - SND	Reg.	
02/05/2019	CDAE16	540.490,000000	382,192910	-	540.872,192910	Padrão - SND	Reg.	
30/04/2019	CDAE16	540.490,000000	191,062675	-	540.681,062675	Padrão - SND	Reg.	
29/04/2019	CDAE16	540.490,000000	-  	-	540.490,000000	Padrão - SND	Reg.	
26/04/2019	CDAE16	567.520,000000	3.823,893008	-	571.343,893008	Padrão - SND	Reg.	
25/04/2019	CDAE16	567.520,000000	3.621,996633	-	571.141,996633	Padrão - SND	Reg.	
24/04/2019	CDAE16	567.520,000000	3.420,164955	-	570.940,164955	Padrão - SND	Reg.	
23/04/2019	CDAE16	567.520,000000	3.218,410460	-	570.738,410460	Padrão - SND	Reg.	
22/04/2019	CDAE16	567.520,000000	3.016,726338	-	570.536,726338	Padrão - SND	Reg.	
18/04/2019	CDAE16	567.520,000000	2.815,113155	-	570.335,113155	Padrão - SND	Reg.	
17/04/2019	CDAE16	567.520,000000	2.613,570912	-	570.133,570912	Padrão - SND	Reg.	
16/04/2019	CDAE16	567.520,000000	2.412,099610	-	569.932,099610	Padrão - SND	Reg.	
15/04/2019	CDAE16	567.520,000000	2.210,704355	-	569.730,704355	Padrão - SND	Reg.	
12/04/2019	CDAE16	567.520,000000	2.009,374365	-	569.529,374365	Padrão - SND	Reg.	
11/04/2019	CDAE16	567.520,000000	1.808,114747	-	569.328,114747	Padrão - SND	Reg.	
10/04/2019	CDAE16	567.520,000000	1.606,931745	-	569.126,931745	Padrão - SND	Reg.	
09/04/2019	CDAE16	567.520,000000	1.405,813440	-	568.925,813440	Padrão - SND	Reg.	
08/04/2019	CDAE16	567.520,000000	1.204,772317	-	568.724,772317	Padrão - SND	Reg.	
05/04/2019	CDAE16	567.520,000000	1.003,801568	-	568.523,801568	Padrão - SND	Reg.	
04/04/2019	CDAE16	567.520,000000	802,895515	-	568.322,895515	Padrão - SND	Reg.	
03/04/2019	CDAE16	567.520,000000	602,065510	-	568.122,065510	Padrão - SND	Reg.	
02/04/2019	CDAE16	567.520,000000	401,306445	-	567.921,306445	Padrão - SND	Reg.	
01/04/2019	CDAE16	567.520,000000	200,617752	-	567.720,617752	Padrão - SND	Reg.	
29/03/2019	CDAE16	567.520,000000	-  	-	567.520,000000	Padrão - SND	Reg.	
28/03/2019	CDAE16	594.550,000000	3.794,506093	-	598.344,506093	Padrão - SND	Reg.	
27/03/2019	CDAE16	594.550,000000	3.583,061520	-	598.133,061520	Padrão - SND	Reg.	
26/03/2019	CDAE16	594.550,000000	3.371,697806	-	597.921,697806	Padrão - SND	Reg.	
25/03/2019	CDAE16	594.550,000000	3.160,407817	-	597.710,407817	Padrão - SND	Reg.	
22/03/2019	CDAE16	594.550,000000	2.949,192145	-	597.499,192145	Padrão - SND	Reg.	
21/03/2019	CDAE16	594.550,000000	2.738,050793	-	597.288,050793	Padrão - SND	Reg.	
20/03/2019	CDAE16	594.550,000000	2.526,983759	-	597.076,983759	Padrão - SND	Reg.	
19/03/2019	CDAE16	594.550,000000	2.315,996395	-	596.865,996395	Padrão - SND	Reg.	
18/03/2019	CDAE16	594.550,000000	2.105,076810	-	596.655,076810	Padrão - SND	Reg.	
15/03/2019	CDAE16	594.550,000000	1.894,232138	-	596.444,232138	Padrão - SND	Reg.	
14/03/2019	CDAE16	594.550,000000	1.683,467136	-	596.233,467136	Padrão - SND	Reg.	
13/03/2019	CDAE16	594.550,000000	1.472,769912	-	596.022,769912	Padrão - SND	Reg.	
12/03/2019	CDAE16	594.550,000000	1.262,153548	-	595.812,153548	Padrão - SND	Reg.	
11/03/2019	CDAE16	594.550,000000	1.051,610907	-	595.601,610907	Padrão - SND	Reg.	
08/03/2019	CDAE16	594.550,000000	841,136045	-	595.391,136045	Padrão - SND	Reg.	
07/03/2019	CDAE16	594.550,000000	630,740853	-	595.180,740853	Padrão - SND	Reg.	
06/03/2019	CDAE16	594.550,000000	420,419980	-	594.970,419980	Padrão - SND	Reg.	
01/03/2019	CDAE16	594.550,000000	210,172830	-	594.760,172830	Padrão - SND	Reg.	
28/02/2019	CDAE16	594.550,000000	-  	-	594.550,000000	Padrão - SND	Reg.	
27/02/2019	CDAE16	621.580,000000	4.630,639847	-	626.210,639847	Padrão - SND	Reg.	
26/02/2019	CDAE16	621.580,000000	4.409,350529	-	625.989,350529	Padrão - SND	Reg.	
25/02/2019	CDAE16	621.580,000000	4.188,144504	-	625.768,144504	Padrão - SND	Reg.	
