PU Histórico - Gerado em 26/05/2019 21:09:33

Data do PU	Ativo	Valor Nominal	Juros	Prêmio	Preço Unitário	Critério de Cálculo	Situação	
24/05/2019	CEAD11	1.018,635442	28,542130	-	1.047,177572	Padrão - SND	Reg.	
23/05/2019	CEAD11	1.018,507207	28,270658	-	1.046,777865	Padrão - SND	Reg.	
22/05/2019	CEAD11	1.018,378983	27,999321	-	1.046,378304	Padrão - SND	Reg.	
21/05/2019	CEAD11	1.018,250768	27,728121	-	1.045,978890	Padrão - SND	Reg.	
20/05/2019	CEAD11	1.018,122574	27,457057	-	1.045,579631	Padrão - SND	Reg.	
17/05/2019	CEAD11	1.017,994399	27,186130	-	1.045,180529	Padrão - SND	Reg.	
16/05/2019	CEAD11	1.017,866234	26,915339	-	1.044,781574	Padrão - SND	Reg.	
15/05/2019	CEAD11	1.017,738100	26,644685	-	1.044,382784	Padrão - SND	Reg.	
14/05/2019	CEAD11	1.017,448920	26,369991	-	1.043,818911	Padrão - SND	Reg.	
13/05/2019	CEAD11	1.017,159820	26,095520	-	1.043,255340	Padrão - SND	Reg.	
10/05/2019	CEAD11	1.017,214849	25,830008	-	1.043,044858	Padrão - SND	Reg.	
09/05/2019	CEAD11	1.016,905591	25,555381	-	1.042,460972	Padrão - SND	Reg.	
08/05/2019	CEAD11	1.016,596423	25,280985	-	1.041,877408	Padrão - SND	Reg.	
07/05/2019	CEAD11	1.016,287345	25,006823	-	1.041,294168	Padrão - SND	Reg.	
06/05/2019	CEAD11	1.015,978356	24,732894	-	1.040,711249	Padrão - SND	Reg.	
03/05/2019	CEAD11	1.015,669476	24,459196	-	1.040,128672	Padrão - SND	Reg.	
02/05/2019	CEAD11	1.015,360686	24,185731	-	1.039,546418	Padrão - SND	Reg.	
30/04/2019	CEAD11	1.015,051996	23,912498	-	1.038,964495	Padrão - SND	Reg.	
29/04/2019	CEAD11	1.014,743385	23,639497	-	1.038,382883	Padrão - SND	Reg.	
26/04/2019	CEAD11	1.014,434874	23,366727	-	1.037,801601	Padrão - SND	Reg.	
25/04/2019	CEAD11	1.013,879451	23,088565	-	1.036,968015	Padrão - SND	Reg.	
24/04/2019	CEAD11	1.013,606477	22,817119	-	1.036,423596	Padrão - SND	Reg.	
23/04/2019	CEAD11	1.013,333573	22,545885	-	1.035,879458	Padrão - SND	Reg.	
22/04/2019	CEAD11	1.013,060749	22,274864	-	1.035,335613	Padrão - SND	Reg.	
18/04/2019	CEAD11	1.012,787995	22,004055	-	1.034,792050	Padrão - SND	Reg.	
17/04/2019	CEAD11	1.012,515320	21,733457	-	1.034,248777	Padrão - SND	Reg.	
16/04/2019	CEAD11	1.012,242705	21,463071	-	1.033,705776	Padrão - SND	Reg.	
15/04/2019	CEAD11	1.011,970180	21,192897	-	1.033,163077	Padrão - SND	Reg.	
12/04/2019	CEAD11	1.011,610193	20,921125	-	1.032,531318	Padrão - SND	Reg.	
11/04/2019	CEAD11	1.011,250327	20,649610	-	1.031,899937	Padrão - SND	Reg.	
10/04/2019	CEAD11	1.009,428715	20,348885	-	1.029,777600	Padrão - SND	Reg.	
09/04/2019	CEAD11	1.009,150765	20,079892	-	1.029,230657	Padrão - SND	Reg.	
08/04/2019	CEAD11	1.008,872884	19,811114	-	1.028,683997	Padrão - SND	Reg.	
05/04/2019	CEAD11	1.008,595092	19,542550	-	1.028,137642	Padrão - SND	Reg.	
04/04/2019	CEAD11	1.008,317361	19,274199	-	1.027,591560	Padrão - SND	Reg.	
03/04/2019	CEAD11	1.008,039728	19,006063	-	1.027,045791	Padrão - SND	Reg.	
02/04/2019	CEAD11	1.007,762146	18,738139	-	1.026,500285	Padrão - SND	Reg.	
01/04/2019	CEAD11	1.007,484663	18,470428	-	1.025,955091	Padrão - SND	Reg.	
29/03/2019	CEAD11	1.007,207250	18,202931	-	1.025,410181	Padrão - SND	Reg.	
28/03/2019	CEAD11	1.006,929907	17,935647	-	1.024,865554	Padrão - SND	Reg.	
27/03/2019	CEAD11	1.006,652633	17,668576	-	1.024,321209	Padrão - SND	Reg.	
26/03/2019	CEAD11	1.006,008445	17,395371	-	1.023,403815	Padrão - SND	Reg.	
