PU Histórico - Gerado em 26/05/2019 21:09:40

Data do PU	Ativo	Valor Nominal	Juros	Prêmio	Preço Unitário	Critério de Cálculo	Situação	
24/05/2019	CEAR25	1.064,116840	26,913856	-	1.091,030696	Padrão - SND	Reg.	
23/05/2019	CEAR25	1.063,853920	26,654970	-	1.090,508890	Padrão - SND	Reg.	
22/05/2019	CEAR25	1.063,591050	26,396269	-	1.089,987319	Padrão - SND	Reg.	
21/05/2019	CEAR25	1.063,328270	26,137752	-	1.089,466022	Padrão - SND	Reg.	
20/05/2019	CEAR25	1.063,065550	25,879420	-	1.088,944970	Padrão - SND	Reg.	
17/05/2019	CEAR25	1.062,802890	25,621271	-	1.088,424161	Padrão - SND	Reg.	
16/05/2019	CEAR25	1.062,540280	25,363307	-	1.087,903587	Padrão - SND	Reg.	
15/05/2019	CEAR25	1.062,277760	25,105527	-	1.087,383287	Padrão - SND	Reg.	
14/05/2019	CEAR25	1.061,975940	24,847011	-	1.086,822951	Padrão - SND	Reg.	
13/05/2019	CEAR25	1.061,674180	24,588697	-	1.086,262877	Padrão - SND	Reg.	
10/05/2019	CEAR25	1.062,986930	24,367593	-	1.087,354523	Padrão - SND	Reg.	
09/05/2019	CEAR25	1.062,589900	24,107139	-	1.086,697039	Padrão - SND	Reg.	
08/05/2019	CEAR25	1.062,193010	23,846932	-	1.086,039942	Padrão - SND	Reg.	
07/05/2019	CEAR25	1.061,796270	23,586974	-	1.085,383244	Padrão - SND	Reg.	
06/05/2019	CEAR25	1.061,399670	23,327265	-	1.084,726935	Padrão - SND	Reg.	
03/05/2019	CEAR25	1.061,003230	23,067805	-	1.084,071035	Padrão - SND	Reg.	
02/05/2019	CEAR25	1.060,606930	22,808594	-	1.083,415524	Padrão - SND	Reg.	
30/04/2019	CEAR25	1.060,210780	22,549630	-	1.082,760411	Padrão - SND	Reg.	
29/04/2019	CEAR25	1.059,814780	22,290916	-	1.082,105696	Padrão - SND	Reg.	
26/04/2019	CEAR25	1.059,418930	22,032448	-	1.081,451378	Padrão - SND	Reg.	
25/04/2019	CEAR25	1.059,023220	21,774229	-	1.080,797449	Padrão - SND	Reg.	
24/04/2019	CEAR25	1.058,627660	21,516258	-	1.080,143918	Padrão - SND	Reg.	
23/04/2019	CEAR25	1.058,232250	21,258533	-	1.079,490783	Padrão - SND	Reg.	
22/04/2019	CEAR25	1.057,836990	21,001057	-	1.078,838047	Padrão - SND	Reg.	
18/04/2019	CEAR25	1.057,441880	20,743827	-	1.078,185707	Padrão - SND	Reg.	
17/04/2019	CEAR25	1.057,046910	20,486844	-	1.077,533754	Padrão - SND	Reg.	
16/04/2019	CEAR25	1.056,652090	20,230108	-	1.076,882198	Padrão - SND	Reg.	
15/04/2019	CEAR25	1.056,257420	19,973619	-	1.076,231039	Padrão - SND	Reg.	
12/04/2019	CEAR25	1.055,881680	19,717726	-	1.075,599406	Padrão - SND	Reg.	
11/04/2019	CEAR25	1.055,506070	19,462070	-	1.074,968140	Padrão - SND	Reg.	
10/04/2019	CEAR25	1.052,257270	19,154347	-	1.071,411617	Padrão - SND	Reg.	
09/04/2019	CEAR25	1.052,042320	18,902724	-	1.070,945044	Padrão - SND	Reg.	
08/04/2019	CEAR25	1.051,827420	18,651259	-	1.070,478679	Padrão - SND	Reg.	
05/04/2019	CEAR25	1.051,612550	18,399954	-	1.070,012504	Padrão - SND	Reg.	
04/04/2019	CEAR25	1.051,397730	18,148808	-	1.069,546538	Padrão - SND	Reg.	
03/04/2019	CEAR25	1.051,182960	17,897822	-	1.069,080782	Padrão - SND	Reg.	
02/04/2019	CEAR25	1.050,968230	17,646994	-	1.068,615224	Padrão - SND	Reg.	
01/04/2019	CEAR25	1.050,753540	17,396324	-	1.068,149864	Padrão - SND	Reg.	
29/03/2019	CEAR25	1.050,538890	17,145814	-	1.067,684704	Padrão - SND	Reg.	
28/03/2019	CEAR25	1.050,324290	16,895462	-	1.067,219752	Padrão - SND	Reg.	
27/03/2019	CEAR25	1.050,109740	16,645268	-	1.066,755008	Padrão - SND	Reg.	
26/03/2019	CEAR25	1.049,895230	16,395234	-	1.066,290464	Padrão - SND	Reg.	
25/03/2019	CEAR25	1.049,680760	16,145358	-	1.065,826118	Padrão - SND	Reg.	
22/03/2019	CEAR25	1.049,466330	15,895640	-	1.065,361970	Padrão - SND	Reg.	
21/03/2019	CEAR25	1.049,251950	15,646081	-	1.064,898031	Padrão - SND	Reg.	
20/03/2019	CEAR25	1.049,037610	15,396680	-	1.064,434290	Padrão - SND	Reg.	
19/03/2019	CEAR25	1.048,823320	15,147437	-	1.063,970757	Padrão - SND	Reg.	
18/03/2019	CEAR25	1.048,609070	14,898352	-	1.063,507422	Padrão - SND	Reg.	
15/03/2019	CEAR25	1.048,394870	14,649425	-	1.063,044295	Padrão - SND	Reg.	
14/03/2019	CEAR25	1.048,145020	14,400166	-	1.062,545186	Padrão - SND	Reg.	
13/03/2019	CEAR25	1.047,895220	14,151082	-	1.062,046302	Padrão - SND	Reg.	
12/03/2019	CEAR25	1.046,689310	13,889483	-	1.060,578793	Padrão - SND	Reg.	
11/03/2019	CEAR25	1.046,503570	13,641806	-	1.060,145376	Padrão - SND	Reg.	
08/03/2019	CEAR25	1.046,317860	13,394273	-	1.059,712133	Padrão - SND	Reg.	
07/03/2019	CEAR25	1.046,132190	13,146882	-	1.059,279072	Padrão - SND	Reg.	
06/03/2019	CEAR25	1.045,946540	12,899638	-	1.058,846178	Padrão - SND	Reg.	
01/03/2019	CEAR25	1.045,760940	12,652536	-	1.058,413476	Padrão - SND	Reg.	
28/02/2019	CEAR25	1.045,575360	12,405578	-	1.057,980938	Padrão - SND	Reg.	
27/02/2019	CEAR25	1.045,389820	12,158765	-	1.057,548585	Padrão - SND	Reg.	
26/02/2019	CEAR25	1.045,204300	11,912094	-	1.057,116394	Padrão - SND	Reg.	
25/02/2019	CEAR25	1.045,018820	11,665568	-	1.056,684388	Padrão - SND	Reg.	
22/02/2019	CEAR25	1.044,833370	11,419186	-	1.056,252556	Padrão - SND	Reg.	
21/02/2019	CEAR25	1.044,647960	11,172947	-	1.055,820907	Padrão - SND	Reg.	
20/02/2019	CEAR25	1.044,462580	10,926851	-	1.055,389431	Padrão - SND	Reg.	
19/02/2019	CEAR25	1.044,277230	10,680899	-	1.054,958129	Padrão - SND	Reg.	
18/02/2019	CEAR25	1.044,091920	10,435090	-	1.054,527010	Padrão - SND	Reg.	
15/02/2019	CEAR25	1.043,906640	10,189424	-	1.054,096064	Padrão - SND	Reg.	
14/02/2019	CEAR25	1.043,761670	9,944286	-	1.053,705956	Padrão - SND	Reg.	
13/02/2019	CEAR25	1.043,616710	9,699271	-	1.053,315981	Padrão - SND	Reg.	
12/02/2019	CEAR25	1.043,471770	9,454381	-	1.052,926151	Padrão - SND	Reg.	
11/02/2019	CEAR25	1.043,326840	9,209615	-	1.052,536455	Padrão - SND	Reg.	
08/02/2019	CEAR25	1.041,798630	8,953085	-	1.050,751715	Padrão - SND	Reg.	
07/02/2019	CEAR25	1.041,730730	8,709534	-	1.050,440264	Padrão - SND	Reg.	
06/02/2019	CEAR25	1.041,662850	8,466070	-	1.050,128920	Padrão - SND	Reg.	
05/02/2019	CEAR25	1.041,594960	8,222694	-	1.049,817654	Padrão - SND	Reg.	
04/02/2019	CEAR25	1.041,527080	7,979407	-	1.049,506487	Padrão - SND	Reg.	
01/02/2019	CEAR25	1.041,459210	7,736206	-	1.049,195416	Padrão - SND	Reg.	
31/01/2019	CEAR25	1.041,391330	7,493094	-	1.048,884424	Padrão - SND	Reg.	
30/01/2019	CEAR25	1.041,323460	7,250069	-	1.048,573529	Padrão - SND	Reg.	
29/01/2019	CEAR25	1.041,255600	7,007132	-	1.048,262732	Padrão - SND	Reg.	
28/01/2019	CEAR25	1.041,187740	6,764282	-	1.047,952022	Padrão - SND	Reg.	
25/01/2019	CEAR25	1.041,119880	6,521521	-	1.047,641401	Padrão - SND	Reg.	
24/01/2019	CEAR25	1.041,052030	6,278847	-	1.047,330877	Padrão - SND	Reg.	
23/01/2019	CEAR25	1.040,984180	6,036260	-	1.047,020440	Padrão - SND	Reg.	
22/01/2019	CEAR25	1.040,916340	5,793762	-	1.046,710102	Padrão - SND	Reg.	
21/01/2019	CEAR25	1.040,848500	5,551351	-	1.046,399851	Padrão - SND	Reg.	
18/01/2019	CEAR25	1.040,780670	5,309027	-	1.046,089697	Padrão - SND	Reg.	
17/01/2019	CEAR25	1.040,712840	5,066791	-	1.045,779631	Padrão - SND	Reg.	
16/01/2019	CEAR25	1.040,645020	4,824643	-	1.045,469663	Padrão - SND	Reg.	
15/01/2019	CEAR25	1.040,577200	4,582581	-	1.045,159781	Padrão - SND	Reg.	
14/01/2019	CEAR25	1.040,495110	4,340548	-	1.044,835658	Padrão - SND	Reg.	
11/01/2019	CEAR25	1.037,065680	4,085422	-	1.041,151102	Padrão - SND	Reg.	
10/01/2019	CEAR25	1.037,180450	3,845084	-	1.041,025534	Padrão - SND	Reg.	
09/01/2019	CEAR25	1.037,295240	3,604748	-	1.040,899988	Padrão - SND	Reg.	
08/01/2019	CEAR25	1.037,410040	3,364414	-	1.040,774454	Padrão - SND	Reg.	
07/01/2019	CEAR25	1.037,524850	3,124084	-	1.040,648934	Padrão - SND	Reg.	
04/01/2019	CEAR25	1.037,639680	2,883755	-	1.040,523435	Padrão - SND	Reg.	
03/01/2019	CEAR25	1.037,754510	2,643428	-	1.040,397938	Padrão - SND	Reg.	
02/01/2019	CEAR25	1.037,869360	2,403105	-	1.040,272465	Padrão - SND	Reg.	
31/12/2018	CEAR25	1.037,984230	2,162783	-	1.040,147013	Padrão - SND	Reg.	
28/12/2018	CEAR25	1.038,099100	1,922465	-	1.040,021565	Padrão - SND	Reg.	
27/12/2018	CEAR25	1.038,213990	1,682149	-	1.039,896139	Padrão - SND	Reg.	
26/12/2018	CEAR25	1.038,328890	1,441834	-	1.039,770724	Padrão - SND	Reg.	
24/12/2018	CEAR25	1.038,443810	1,201522	-	1.039,645332	Padrão - SND	Reg.	
21/12/2018	CEAR25	1.038,558730	0,961213	-	1.039,519943	Padrão - SND	Reg.	
20/12/2018	CEAR25	1.038,673670	0,720906	-	1.039,394576	Padrão - SND	Reg.	
19/12/2018	CEAR25	1.038,788630	0,480602	-	1.039,269232	Padrão - SND	Reg.	
18/12/2018	CEAR25	1.038,903590	0,240299	-	1.039,143889	Padrão - SND	Reg.	
17/12/2018	CEAR25	1.039,018570	-  	-	1.039,018570	Padrão - SND	Reg.	
14/12/2018	CEAR25	1.039,122610	30,726156	-	1.069,848766	Padrão - SND	Reg.	
13/12/2018	CEAR25	1.039,226670	30,481809	-	1.069,708479	Padrão - SND	Reg.	
12/12/2018	CEAR25	1.039,330720	30,237468	-	1.069,568188	Padrão - SND	Reg.	
11/12/2018	CEAR25	1.039,434790	29,993136	-	1.069,427926	Padrão - SND	Reg.	
10/12/2018	CEAR25	1.039,538870	29,748811	-	1.069,287681	Padrão - SND	Reg.	
07/12/2018	CEAR25	1.044,549600	29,643743	-	1.074,193343	Padrão - SND	Reg.	
06/12/2018	CEAR25	1.044,326330	29,389055	-	1.073,715385	Padrão - SND	Reg.	
05/12/2018	CEAR25	1.044,103110	29,134532	-	1.073,237642	Padrão - SND	Reg.	
04/12/2018	CEAR25	1.043,879940	28,880173	-	1.072,760113	Padrão - SND	Reg.	
03/12/2018	CEAR25	1.043,656810	28,625980	-	1.072,282790	Padrão - SND	Reg.	
30/11/2018	CEAR25	1.043,433730	28,371951	-	1.071,805681	Padrão - SND	Reg.	
29/11/2018	CEAR25	1.043,210700	28,118088	-	1.071,328788	Padrão - SND	Reg.	
28/11/2018	CEAR25	1.042,987720	27,864388	-	1.070,852108	Padrão - SND	Reg.	
27/11/2018	CEAR25	1.042,764790	27,610853	-	1.070,375643	Padrão - SND	Reg.	
26/11/2018	CEAR25	1.042,541900	27,357483	-	1.069,899383	Padrão - SND	Reg.	
23/11/2018	CEAR25	1.042,319060	27,104276	-	1.069,423336	Padrão - SND	Reg.	
22/11/2018	CEAR25	1.042,096260	26,851234	-	1.068,947494	Padrão - SND	Reg.	
21/11/2018	CEAR25	1.041,873510	26,598355	-	1.068,471865	Padrão - SND	Reg.	
20/11/2018	CEAR25	1.041,650820	26,345641	-	1.067,996461	Padrão - SND	Reg.	
19/11/2018	CEAR25	1.041,428170	26,093090	-	1.067,521260	Padrão - SND	Reg.	
16/11/2018	CEAR25	1.041,205570	25,840704	-	1.067,046274	Padrão - SND	Reg.	
14/11/2018	CEAR25	1.040,993130	25,588730	-	1.066,581860	Padrão - SND	Reg.	
13/11/2018	CEAR25	1.040,780730	25,336915	-	1.066,117645	Padrão - SND	Reg.	
12/11/2018	CEAR25	1.040,568380	25,085259	-	1.065,653639	Padrão - SND	Reg.	
09/11/2018	CEAR25	1.040,356070	24,833760	-	1.065,189830	Padrão - SND	Reg.	
08/11/2018	CEAR25	1.040,143810	24,582421	-	1.064,726231	Padrão - SND	Reg.	
07/11/2018	CEAR25	1.040,157780	24,336532	-	1.064,494312	Padrão - SND	Reg.	
06/11/2018	CEAR25	1.039,931420	24,085128	-	1.064,016548	Padrão - SND	Reg.	
05/11/2018	CEAR25	1.039,705100	23,833889	-	1.063,538989	Padrão - SND	Reg.	
01/11/2018	CEAR25	1.039,478850	23,582815	-	1.063,061665	Padrão - SND	Reg.	
31/10/2018	CEAR25	1.039,252630	23,331905	-	1.062,584535	Padrão - SND	Reg.	
30/10/2018	CEAR25	1.039,026470	23,081161	-	1.062,107631	Padrão - SND	Reg.	
29/10/2018	CEAR25	1.038,800350	22,830582	-	1.061,630932	Padrão - SND	Reg.	
26/10/2018	CEAR25	1.038,574280	22,580166	-	1.061,154446	Padrão - SND	Reg.	
25/10/2018	CEAR25	1.038,348260	22,329916	-	1.060,678176	Padrão - SND	Reg.	
24/10/2018	CEAR25	1.038,122290	22,079830	-	1.060,202120	Padrão - SND	Reg.	
23/10/2018	CEAR25	1.037,896380	21,829910	-	1.059,726290	Padrão - SND	Reg.	
22/10/2018	CEAR25	1.037,670510	21,580153	-	1.059,250663	Padrão - SND	Reg.	
19/10/2018	CEAR25	1.037,444690	21,330561	-	1.058,775251	Padrão - SND	Reg.	
18/10/2018	CEAR25	1.037,218920	21,081132	-	1.058,300052	Padrão - SND	Reg.	
17/10/2018	CEAR25	1.036,993190	20,831868	-	1.057,825058	Padrão - SND	Reg.	
16/10/2018	CEAR25	1.036,767520	20,582768	-	1.057,350288	Padrão - SND	Reg.	
15/10/2018	CEAR25	1.036,541900	20,333833	-	1.056,875733	Padrão - SND	Reg.	
11/10/2018	CEAR25	1.036,280710	20,084370	-	1.056,365080	Padrão - SND	Reg.	
10/10/2018	CEAR25	1.036,019590	19,835089	-	1.055,854679	Padrão - SND	Reg.	
09/10/2018	CEAR25	1.035,758530	19,585989	-	1.055,344519	Padrão - SND	Reg.	
08/10/2018	CEAR25	1.035,497550	19,337069	-	1.054,834619	Padrão - SND	Reg.	
05/10/2018	CEAR25	1.030,907140	19,008500	-	1.049,915640	Padrão - SND	Reg.	
04/10/2018	CEAR25	1.030,955930	18,766597	-	1.049,722527	Padrão - SND	Reg.	
03/10/2018	CEAR25	1.031,004730	18,524728	-	1.049,529458	Padrão - SND	Reg.	
02/10/2018	CEAR25	1.031,053550	18,282892	-	1.049,336442	Padrão - SND	Reg.	
01/10/2018	CEAR25	1.031,102350	18,041090	-	1.049,143440	Padrão - SND	Reg.	
28/09/2018	CEAR25	1.031,151170	17,799320	-	1.048,950490	Padrão - SND	Reg.	
27/09/2018	CEAR25	1.031,199970	17,557584	-	1.048,757554	Padrão - SND	Reg.	
26/09/2018	CEAR25	1.031,248800	17,315881	-	1.048,564681	Padrão - SND	Reg.	
25/09/2018	CEAR25	1.031,297610	17,074211	-	1.048,371821	Padrão - SND	Reg.	
24/09/2018	CEAR25	1.031,346430	16,832574	-	1.048,179004	Padrão - SND	Reg.	
21/09/2018	CEAR25	1.031,395250	16,590970	-	1.047,986220	Padrão - SND	Reg.	
20/09/2018	CEAR25	1.031,444080	16,349399	-	1.047,793479	Padrão - SND	Reg.	
19/09/2018	CEAR25	1.031,492900	16,107862	-	1.047,600762	Padrão - SND	Reg.	
18/09/2018	CEAR25	1.031,541740	15,866358	-	1.047,408098	Padrão - SND	Reg.	
17/09/2018	CEAR25	1.031,590570	15,624887	-	1.047,215457	Padrão - SND	Reg.	
14/09/2018	CEAR25	1.031,632750	15,383350	-	1.047,016100	Padrão - SND	Reg.	
13/09/2018	CEAR25	1.031,674930	15,141849	-	1.046,816779	Padrão - SND	Reg.	
12/09/2018	CEAR25	1.031,717110	14,900383	-	1.046,617493	Padrão - SND	Reg.	
11/09/2018	CEAR25	1.031,759290	14,658955	-	1.046,418245	Padrão - SND	Reg.	
10/09/2018	CEAR25	1.031,801470	14,417563	-	1.046,219033	Padrão - SND	Reg.	
06/09/2018	CEAR25	1.034,996240	14,219519	-	1.049,215759	Padrão - SND	Reg.	
05/09/2018	CEAR25	1.034,841230	13,974797	-	1.048,816027	Padrão - SND	Reg.	
04/09/2018	CEAR25	1.034,686240	13,730204	-	1.048,416444	Padrão - SND	Reg.	
03/09/2018	CEAR25	1.034,531270	13,485740	-	1.048,017010	Padrão - SND	Reg.	
31/08/2018	CEAR25	1.034,376330	13,241405	-	1.047,617735	Padrão - SND	Reg.	
30/08/2018	CEAR25	1.034,221410	12,997199	-	1.047,218609	Padrão - SND	Reg.	
29/08/2018	CEAR25	1.034,066510	12,753122	-	1.046,819632	Padrão - SND	Reg.	
28/08/2018	CEAR25	1.033,911650	12,509173	-	1.046,420823	Padrão - SND	Reg.	
27/08/2018	CEAR25	1.033,756790	12,265353	-	1.046,022143	Padrão - SND	Reg.	
24/08/2018	CEAR25	1.033,601960	12,021662	-	1.045,623622	Padrão - SND	Reg.	
23/08/2018	CEAR25	1.033,447160	11,778100	-	1.045,225260	Padrão - SND	Reg.	
22/08/2018	CEAR25	1.033,292380	11,534666	-	1.044,827046	Padrão - SND	Reg.	
21/08/2018	CEAR25	1.033,137620	11,291360	-	1.044,428980	Padrão - SND	Reg.	
20/08/2018	CEAR25	1.032,982880	11,048184	-	1.044,031064	Padrão - SND	Reg.	
17/08/2018	CEAR25	1.032,828170	10,805135	-	1.043,633305	Padrão - SND	Reg.	
16/08/2018	CEAR25	1.032,673490	10,562215	-	1.043,235705	Padrão - SND	Reg.	
15/08/2018	CEAR25	1.032,518830	10,319424	-	1.042,838254	Padrão - SND	Reg.	
14/08/2018	CEAR25	1.032,364180	10,076760	-	1.042,440940	Padrão - SND	Reg.	
13/08/2018	CEAR25	1.032,209570	9,834225	-	1.042,043795	Padrão - SND	Reg.	
10/08/2018	CEAR25	1.032,054970	9,591818	-	1.041,646788	Padrão - SND	Reg.	
09/08/2018	CEAR25	1.031,900400	9,349539	-	1.041,249939	Padrão - SND	Reg.	
08/08/2018	CEAR25	1.039,127800	9,172549	-	1.048,300349	Padrão - SND	Reg.	
07/08/2018	CEAR25	1.038,536540	8,925051	-	1.047,461591	Padrão - SND	Reg.	
06/08/2018	CEAR25	1.037,945620	8,677888	-	1.046,623508	Padrão - SND	Reg.	
03/08/2018	CEAR25	1.037,355030	8,431058	-	1.045,786088	Padrão - SND	Reg.	
02/08/2018	CEAR25	1.036,764790	8,184563	-	1.044,949353	Padrão - SND	Reg.	
01/08/2018	CEAR25	1.036,174880	7,938402	-	1.044,113282	Padrão - SND	Reg.	
31/07/2018	CEAR25	1.035,585290	7,692573	-	1.043,277863	Padrão - SND	Reg.	
30/07/2018	CEAR25	1.034,996060	7,447078	-	1.042,443138	Padrão - SND	Reg.	
27/07/2018	CEAR25	1.034,407160	7,201915	-	1.041,609075	Padrão - SND	Reg.	
26/07/2018	CEAR25	1.033,818580	6,957084	-	1.040,775664	Padrão - SND	Reg.	
25/07/2018	CEAR25	1.033,230340	6,712585	-	1.039,942925	Padrão - SND	Reg.	
24/07/2018	CEAR25	1.032,642450	6,468419	-	1.039,110869	Padrão - SND	Reg.	
23/07/2018	CEAR25	1.032,054880	6,224583	-	1.038,279463	Padrão - SND	Reg.	
20/07/2018	CEAR25	1.031,467640	5,981079	-	1.037,448719	Padrão - SND	Reg.	
19/07/2018	CEAR25	1.030,880740	5,737904	-	1.036,618644	Padrão - SND	Reg.	
18/07/2018	CEAR25	1.030,294180	5,495060	-	1.035,789240	Padrão - SND	Reg.	
17/07/2018	CEAR25	1.029,707950	5,252545	-	1.034,960495	Padrão - SND	Reg.	
16/07/2018	CEAR25	1.029,122060	5,010361	-	1.034,132421	Padrão - SND	Reg.	
13/07/2018	CEAR25	1.028,508620	4,768376	-	1.033,276996	Padrão - SND	Reg.	
12/07/2018	CEAR25	1.027,895540	4,526733	-	1.032,422273	Padrão - SND	Reg.	
11/07/2018	CEAR25	1.027,282830	4,285432	-	1.031,568262	Padrão - SND	Reg.	
10/07/2018	CEAR25	1.026,670490	4,044471	-	1.030,714961	Padrão - SND	Reg.	
09/07/2018	CEAR25	1.026,058510	3,803852	-	1.029,862362	Padrão - SND	Reg.	
06/07/2018	CEAR25	1.019,218820	3,541930	-	1.022,760750	Padrão - SND	Reg.	
05/07/2018	CEAR25	1.019,025060	3,304790	-	1.022,329850	Padrão - SND	Reg.	
04/07/2018	CEAR25	1.018,831340	3,067796	-	1.021,899136	Padrão - SND	Reg.	
03/07/2018	CEAR25	1.018,637660	2,830946	-	1.021,468606	Padrão - SND	Reg.	
02/07/2018	CEAR25	1.018,444010	2,594240	-	1.021,038250	Padrão - SND	Reg.	
29/06/2018	CEAR25	1.018,250400	2,357678	-	1.020,608078	Padrão - SND	Reg.	
28/06/2018	CEAR25	1.018,056820	2,121262	-	1.020,178082	Padrão - SND	Reg.	
27/06/2018	CEAR25	1.017,863280	1,884990	-	1.019,748270	Padrão - SND	Reg.	
26/06/2018	CEAR25	1.017,669790	1,648862	-	1.019,318652	Padrão - SND	Reg.	
25/06/2018	CEAR25	1.017,476320	1,412878	-	1.018,889198	Padrão - SND	Reg.	
22/06/2018	CEAR25	1.017,282900	1,177038	-	1.018,459938	Padrão - SND	Reg.	
21/06/2018	CEAR25	1.017,089510	0,941343	-	1.018,030853	Padrão - SND	Reg.	
20/06/2018	CEAR25	1.016,896160	0,705791	-	1.017,601951	Padrão - SND	Reg.	
19/06/2018	CEAR25	1.016,702840	0,470384	-	1.017,173224	Padrão - SND	Reg.	
18/06/2018	CEAR25	1.016,509560	0,235120	-	1.016,744680	Padrão - SND	Reg.	
15/06/2018	CEAR25	1.016,316330	-  	-	1.016,316330	Padrão - SND	Reg.	
14/06/2018	CEAR25	1.016,131900	27,629589	-	1.043,761489	Padrão - SND	Reg.	
13/06/2018	CEAR25	1.015,947510	27,383252	-	1.043,330762	Padrão - SND	Reg.	
12/06/2018	CEAR25	1.015,763160	27,137058	-	1.042,900218	Padrão - SND	Reg.	
11/06/2018	CEAR25	1.015,578830	26,891009	-	1.042,469839	Padrão - SND	Reg.	
08/06/2018	CEAR25	1.013,986810	26,608165	-	1.040,594975	Padrão - SND	Reg.	
07/06/2018	CEAR25	1.013,885550	26,364896	-	1.040,250446	Padrão - SND	Reg.	
06/06/2018	CEAR25	1.013,784300	26,121732	-	1.039,906032	Padrão - SND	Reg.	
