PU Histórico - Gerado em 26/05/2019 21:10:00

Data do PU	Ativo	Valor Nominal	Juros	Prêmio	Preço Unitário	Critério de Cálculo	Situação	
24/05/2019	CEEBA2	10.000,000000	50,641300	-	10.050,641300	Padrão - SND	Reg.	
23/05/2019	CEEBA2	10.000,000000	47,969600	-	10.047,969600	Padrão - SND	Reg.	
22/05/2019	CEEBA2	10.000,000000	45,298600	-	10.045,298600	Padrão - SND	Reg.	
21/05/2019	CEEBA2	10.000,000000	42,628300	-	10.042,628300	Padrão - SND	Reg.	
20/05/2019	CEEBA2	10.000,000000	39,958700	-	10.039,958700	Padrão - SND	Reg.	
17/05/2019	CEEBA2	10.000,000000	37,289800	-	10.037,289800	Padrão - SND	Reg.	
16/05/2019	CEEBA2	10.000,000000	34,621700	-	10.034,621700	Padrão - SND	Reg.	
15/05/2019	CEEBA2	10.000,000000	31,954200	-	10.031,954200	Padrão - SND	Reg.	
14/05/2019	CEEBA2	10.000,000000	29,287500	-	10.029,287500	Padrão - SND	Reg.	
13/05/2019	CEEBA2	10.000,000000	26,621400	-	10.026,621400	Padrão - SND	Reg.	
10/05/2019	CEEBA2	10.000,000000	23,956100	-	10.023,956100	Padrão - SND	Reg.	
09/05/2019	CEEBA2	10.000,000000	21,291500	-	10.021,291500	Padrão - SND	Reg.	
08/05/2019	CEEBA2	10.000,000000	18,627600	-	10.018,627600	Padrão - SND	Reg.	
07/05/2019	CEEBA2	10.000,000000	15,964400	-	10.015,964400	Padrão - SND	Reg.	
06/05/2019	CEEBA2	10.000,000000	13,301900	-	10.013,301900	Padrão - SND	Reg.	
03/05/2019	CEEBA2	10.000,000000	10,640100	-	10.010,640100	Padrão - SND	Reg.	
02/05/2019	CEEBA2	10.000,000000	7,979000	-	10.007,979000	Padrão - SND	Reg.	
30/04/2019	CEEBA2	10.000,000000	5,318600	-	10.005,318600	Padrão - SND	Reg.	
29/04/2019	CEEBA2	10.000,000000	2,659000	-	10.002,659000	Padrão - SND	Reg.	
26/04/2019	CEEBA2	10.000,000000	-  	-	10.000,000000	Padrão - SND	Reg.	
25/04/2019	CEEBA2	10.000,000000	-  	-	10.000,000000	Padrão - SND	Reg.	


Valores expressos em reais.
Os valores refletem a nossa interpretação da escritura de emissão, não implicando em aceitação de compromisso legal ou financeiro.
