PU Histórico - Gerado em 26/05/2019 21:10:07

Data do PU	Ativo	Valor Nominal	Juros	Prêmio	Preço Unitário	Critério de Cálculo	Situação	
24/05/2019	CELP25	1.000,000000	5,966215	-	1.005,966215	Padrão - SND	Reg.	
23/05/2019	CELP25	1.000,000000	5,667065	-	1.005,667065	Padrão - SND	Reg.	
22/05/2019	CELP25	1.000,000000	5,368002	-	1.005,368002	Padrão - SND	Reg.	
21/05/2019	CELP25	1.000,000000	5,069018	-	1.005,069018	Padrão - SND	Reg.	
20/05/2019	CELP25	1.000,000000	4,770132	-	1.004,770132	Padrão - SND	Reg.	
17/05/2019	CELP25	1.000,000000	4,471334	-	1.004,471334	Padrão - SND	Reg.	
16/05/2019	CELP25	1.000,000000	4,172624	-	1.004,172624	Padrão - SND	Reg.	
15/05/2019	CELP25	1.000,000000	3,874001	-	1.003,874001	Padrão - SND	Reg.	
14/05/2019	CELP25	1.000,000000	3,575468	-	1.003,575468	Padrão - SND	Reg.	
13/05/2019	CELP25	1.000,000000	3,277031	-	1.003,277031	Padrão - SND	Reg.	
10/05/2019	CELP25	1.000,000000	2,978674	-	1.002,978674	Padrão - SND	Reg.	
09/05/2019	CELP25	1.000,000000	2,680403	-	1.002,680403	Padrão - SND	Reg.	
08/05/2019	CELP25	1.000,000000	2,382231	-	1.002,382231	Padrão - SND	Reg.	
07/05/2019	CELP25	1.000,000000	2,084137	-	1.002,084137	Padrão - SND	Reg.	
06/05/2019	CELP25	1.000,000000	1,786141	-	1.001,786141	Padrão - SND	Reg.	
03/05/2019	CELP25	1.000,000000	1,488233	-	1.001,488233	Padrão - SND	Reg.	
02/05/2019	CELP25	1.000,000000	1,190402	-	1.001,190402	Padrão - SND	Reg.	
30/04/2019	CELP25	1.000,000000	0,892670	-	1.000,892670	Padrão - SND	Reg.	
29/04/2019	CELP25	1.000,000000	0,595025	-	1.000,595025	Padrão - SND	Reg.	
26/04/2019	CELP25	1.000,000000	0,297469	-	1.000,297469	Padrão - SND	Reg.	
25/04/2019	CELP25	1.000,000000	-  	-	1.000,000000	Padrão - SND	Reg.	
24/04/2019	CELP25	1.000,000000	36,952157	-	1.036,952157	Padrão - SND	Reg.	
23/04/2019	CELP25	1.000,000000	36,643792	-	1.036,643792	Padrão - SND	Reg.	
22/04/2019	CELP25	1.000,000000	36,335516	-	1.036,335516	Padrão - SND	Reg.	
18/04/2019	CELP25	1.000,000000	36,027329	-	1.036,027329	Padrão - SND	Reg.	
17/04/2019	CELP25	1.000,000000	35,719231	-	1.035,719231	Padrão - SND	Reg.	
16/04/2019	CELP25	1.000,000000	35,411233	-	1.035,411233	Padrão - SND	Reg.	
15/04/2019	CELP25	1.000,000000	35,103324	-	1.035,103324	Padrão - SND	Reg.	
12/04/2019	CELP25	1.000,000000	34,795504	-	1.034,795504	Padrão - SND	Reg.	
11/04/2019	CELP25	1.000,000000	34,487773	-	1.034,487773	Padrão - SND	Reg.	
10/04/2019	CELP25	1.000,000000	34,180141	-	1.034,180141	Padrão - SND	Reg.	
09/04/2019	CELP25	1.000,000000	33,872589	-	1.033,872589	Padrão - SND	Reg.	
08/04/2019	CELP25	1.000,000000	33,565135	-	1.033,565135	Padrão - SND	Reg.	
05/04/2019	CELP25	1.000,000000	33,257781	-	1.033,257781	Padrão - SND	Reg.	
04/04/2019	CELP25	1.000,000000	32,950507	-	1.032,950507	Padrão - SND	Reg.	
03/04/2019	CELP25	1.000,000000	32,643331	-	1.032,643331	Padrão - SND	Reg.	
02/04/2019	CELP25	1.000,000000	32,336244	-	1.032,336244	Padrão - SND	Reg.	
01/04/2019	CELP25	1.000,000000	32,029247	-	1.032,029247	Padrão - SND	Reg.	
29/03/2019	CELP25	1.000,000000	31,722338	-	1.031,722338	Padrão - SND	Reg.	
28/03/2019	CELP25	1.000,000000	31,415529	-	1.031,415529	Padrão - SND	Reg.	
27/03/2019	CELP25	1.000,000000	31,108798	-	1.031,108798	Padrão - SND	Reg.	
26/03/2019	CELP25	1.000,000000	30,802167	-	1.030,802167	Padrão - SND	Reg.	
25/03/2019	CELP25	1.000,000000	30,495624	-	1.030,495624	Padrão - SND	Reg.	
22/03/2019	CELP25	1.000,000000	30,189182	-	1.030,189182	Padrão - SND	Reg.	
21/03/2019	CELP25	1.000,000000	29,882827	-	1.029,882827	Padrão - SND	Reg.	
20/03/2019	CELP25	1.000,000000	29,576552	-	1.029,576552	Padrão - SND	Reg.	
19/03/2019	CELP25	1.000,000000	29,270376	-	1.029,270376	Padrão - SND	Reg.	
18/03/2019	CELP25	1.000,000000	28,964299	-	1.028,964299	Padrão - SND	Reg.	
15/03/2019	CELP25	1.000,000000	28,658301	-	1.028,658301	Padrão - SND	Reg.	
14/03/2019	CELP25	1.000,000000	28,352401	-	1.028,352401	Padrão - SND	Reg.	
13/03/2019	CELP25	1.000,000000	28,046591	-	1.028,046591	Padrão - SND	Reg.	
12/03/2019	CELP25	1.000,000000	27,740869	-	1.027,740869	Padrão - SND	Reg.	
11/03/2019	CELP25	1.000,000000	27,435238	-	1.027,435238	Padrão - SND	Reg.	
08/03/2019	CELP25	1.000,000000	27,129693	-	1.027,129693	Padrão - SND	Reg.	
07/03/2019	CELP25	1.000,000000	26,824249	-	1.026,824249	Padrão - SND	Reg.	
06/03/2019	CELP25	1.000,000000	26,518893	-	1.026,518893	Padrão - SND	Reg.	
01/03/2019	CELP25	1.000,000000	26,213627	-	1.026,213627	Padrão - SND	Reg.	
28/02/2019	CELP25	1.000,000000	25,908448	-	1.025,908448	Padrão - SND	Reg.	
27/02/2019	CELP25	1.000,000000	25,603359	-	1.025,603359	Padrão - SND	Reg.	
26/02/2019	CELP25	1.000,000000	25,298369	-	1.025,298369	Padrão - SND	Reg.	
25/02/2019	CELP25	1.000,000000	24,993467	-	1.024,993467	Padrão - SND	Reg.	
22/02/2019	CELP25	1.000,000000	24,688655	-	1.024,688655	Padrão - SND	Reg.	
21/02/2019	CELP25	1.000,000000	24,383931	-	1.024,383931	Padrão - SND	Reg.	
20/02/2019	CELP25	1.000,000000	24,079296	-	1.024,079296	Padrão - SND	Reg.	
19/02/2019	CELP25	1.000,000000	23,774760	-	1.023,774760	Padrão - SND	Reg.	
18/02/2019	CELP25	1.000,000000	23,470312	-	1.023,470312	Padrão - SND	Reg.	
15/02/2019	CELP25	1.000,000000	23,165943	-	1.023,165943	Padrão - SND	Reg.	
14/02/2019	CELP25	1.000,000000	22,861674	-	1.022,861674	Padrão - SND	Reg.	
13/02/2019	CELP25	1.000,000000	22,557503	-	1.022,557503	Padrão - SND	Reg.	
12/02/2019	CELP25	1.000,000000	22,253410	-	1.022,253410	Padrão - SND	Reg.	
11/02/2019	CELP25	1.000,000000	21,949416	-	1.021,949416	Padrão - SND	Reg.	
08/02/2019	CELP25	1.000,000000	21,645502	-	1.021,645502	Padrão - SND	Reg.	
07/02/2019	CELP25	1.000,000000	21,341685	-	1.021,341685	Padrão - SND	Reg.	
06/02/2019	CELP25	1.000,000000	21,037957	-	1.021,037957	Padrão - SND	Reg.	
05/02/2019	CELP25	1.000,000000	20,734328	-	1.020,734328	Padrão - SND	Reg.	
04/02/2019	CELP25	1.000,000000	20,430778	-	1.020,430778	Padrão - SND	Reg.	
01/02/2019	CELP25	1.000,000000	20,127326	-	1.020,127326	Padrão - SND	Reg.	
31/01/2019	CELP25	1.000,000000	19,823953	-	1.019,823953	Padrão - SND	Reg.	
30/01/2019	CELP25	1.000,000000	19,520679	-	1.019,520679	Padrão - SND	Reg.	
29/01/2019	CELP25	1.000,000000	19,217493	-	1.019,217493	Padrão - SND	Reg.	
28/01/2019	CELP25	1.000,000000	18,914395	-	1.018,914395	Padrão - SND	Reg.	
25/01/2019	CELP25	1.000,000000	18,611397	-	1.018,611397	Padrão - SND	Reg.	
24/01/2019	CELP25	1.000,000000	18,308477	-	1.018,308477	Padrão - SND	Reg.	
23/01/2019	CELP25	1.000,000000	18,005655	-	1.018,005655	Padrão - SND	Reg.	
22/01/2019	CELP25	1.000,000000	17,702923	-	1.017,702923	Padrão - SND	Reg.	
21/01/2019	CELP25	1.000,000000	17,400278	-	1.017,400278	Padrão - SND	Reg.	
18/01/2019	CELP25	1.000,000000	17,097722	-	1.017,097722	Padrão - SND	Reg.	
17/01/2019	CELP25	1.000,000000	16,795254	-	1.016,795254	Padrão - SND	Reg.	
16/01/2019	CELP25	1.000,000000	16,492885	-	1.016,492885	Padrão - SND	Reg.	
15/01/2019	CELP25	1.000,000000	16,190595	-	1.016,190595	Padrão - SND	Reg.	
14/01/2019	CELP25	1.000,000000	15,888404	-	1.015,888404	Padrão - SND	Reg.	
11/01/2019	CELP25	1.000,000000	15,586301	-	1.015,586301	Padrão - SND	Reg.	
10/01/2019	CELP25	1.000,000000	15,284285	-	1.015,284285	Padrão - SND	Reg.	
09/01/2019	CELP25	1.000,000000	14,982359	-	1.014,982359	Padrão - SND	Reg.	
08/01/2019	CELP25	1.000,000000	14,680521	-	1.014,680521	Padrão - SND	Reg.	
07/01/2019	CELP25	1.000,000000	14,378771	-	1.014,378771	Padrão - SND	Reg.	
04/01/2019	CELP25	1.000,000000	14,077119	-	1.014,077119	Padrão - SND	Reg.	
03/01/2019	CELP25	1.000,000000	13,775547	-	1.013,775547	Padrão - SND	Reg.	
02/01/2019	CELP25	1.000,000000	13,474073	-	1.013,474073	Padrão - SND	Reg.	
31/12/2018	CELP25	1.000,000000	13,172687	-	1.013,172687	Padrão - SND	Reg.	
28/12/2018	CELP25	1.000,000000	12,871388	-	1.012,871388	Padrão - SND	Reg.	
27/12/2018	CELP25	1.000,000000	12,570180	-	1.012,570180	Padrão - SND	Reg.	
26/12/2018	CELP25	1.000,000000	12,269059	-	1.012,269059	Padrão - SND	Reg.	
24/12/2018	CELP25	1.000,000000	11,968035	-	1.011,968035	Padrão - SND	Reg.	
21/12/2018	CELP25	1.000,000000	11,667092	-	1.011,667092	Padrão - SND	Reg.	
20/12/2018	CELP25	1.000,000000	11,366246	-	1.011,366246	Padrão - SND	Reg.	
19/12/2018	CELP25	1.000,000000	11,065488	-	1.011,065488	Padrão - SND	Reg.	
18/12/2018	CELP25	1.000,000000	10,764808	-	1.010,764808	Padrão - SND	Reg.	
17/12/2018	CELP25	1.000,000000	10,464227	-	1.010,464227	Padrão - SND	Reg.	
14/12/2018	CELP25	1.000,000000	10,163735	-	1.010,163735	Padrão - SND	Reg.	
13/12/2018	CELP25	1.000,000000	9,863340	-	1.009,863340	Padrão - SND	Reg.	
12/12/2018	CELP25	1.000,000000	9,563023	-	1.009,563023	Padrão - SND	Reg.	
11/12/2018	CELP25	1.000,000000	9,262795	-	1.009,262795	Padrão - SND	Reg.	
10/12/2018	CELP25	1.000,000000	8,962665	-	1.008,962665	Padrão - SND	Reg.	
07/12/2018	CELP25	1.000,000000	8,662613	-	1.008,662613	Padrão - SND	Reg.	
06/12/2018	CELP25	1.000,000000	8,362659	-	1.008,362659	Padrão - SND	Reg.	
05/12/2018	CELP25	1.000,000000	8,062794	-	1.008,062794	Padrão - SND	Reg.	
04/12/2018	CELP25	1.000,000000	7,763017	-	1.007,763017	Padrão - SND	Reg.	
03/12/2018	CELP25	1.000,000000	7,463328	-	1.007,463328	Padrão - SND	Reg.	
30/11/2018	CELP25	1.000,000000	7,163728	-	1.007,163728	Padrão - SND	Reg.	
29/11/2018	CELP25	1.000,000000	6,864214	-	1.006,864214	Padrão - SND	Reg.	
28/11/2018	CELP25	1.000,000000	6,564790	-	1.006,564790	Padrão - SND	Reg.	
27/11/2018	CELP25	1.000,000000	6,265464	-	1.006,265464	Padrão - SND	Reg.	
26/11/2018	CELP25	1.000,000000	5,966215	-	1.005,966215	Padrão - SND	Reg.	
23/11/2018	CELP25	1.000,000000	5,667065	-	1.005,667065	Padrão - SND	Reg.	
22/11/2018	CELP25	1.000,000000	5,368002	-	1.005,368002	Padrão - SND	Reg.	
21/11/2018	CELP25	1.000,000000	5,069018	-	1.005,069018	Padrão - SND	Reg.	
20/11/2018	CELP25	1.000,000000	4,770132	-	1.004,770132	Padrão - SND	Reg.	
19/11/2018	CELP25	1.000,000000	4,471334	-	1.004,471334	Padrão - SND	Reg.	
16/11/2018	CELP25	1.000,000000	4,172624	-	1.004,172624	Padrão - SND	Reg.	
14/11/2018	CELP25	1.000,000000	3,874001	-	1.003,874001	Padrão - SND	Reg.	
13/11/2018	CELP25	1.000,000000	3,575468	-	1.003,575468	Padrão - SND	Reg.	
12/11/2018	CELP25	1.000,000000	3,277031	-	1.003,277031	Padrão - SND	Reg.	
09/11/2018	CELP25	1.000,000000	2,978674	-	1.002,978674	Padrão - SND	Reg.	
08/11/2018	CELP25	1.000,000000	2,680403	-	1.002,680403	Padrão - SND	Reg.	
07/11/2018	CELP25	1.000,000000	2,382231	-	1.002,382231	Padrão - SND	Reg.	
06/11/2018	CELP25	1.000,000000	2,084137	-	1.002,084137	Padrão - SND	Reg.	
05/11/2018	CELP25	1.000,000000	1,786141	-	1.001,786141	Padrão - SND	Reg.	
01/11/2018	CELP25	1.000,000000	1,488233	-	1.001,488233	Padrão - SND	Reg.	
31/10/2018	CELP25	1.000,000000	1,190402	-	1.001,190402	Padrão - SND	Reg.	
30/10/2018	CELP25	1.000,000000	0,892670	-	1.000,892670	Padrão - SND	Reg.	
29/10/2018	CELP25	1.000,000000	0,595025	-	1.000,595025	Padrão - SND	Reg.	
26/10/2018	CELP25	1.000,000000	0,297469	-	1.000,297469	Padrão - SND	Reg.	
25/10/2018	CELP25	1.000,000000	-  	-	1.000,000000	Padrão - SND	Reg.	
24/10/2018	CELP25	1.000,000000	33,221849	-	1.033,221849	Padrão - SND	Reg.	
23/10/2018	CELP25	1.000,000000	32,914587	-	1.032,914587	Padrão - SND	Reg.	
22/10/2018	CELP25	1.000,000000	32,607422	-	1.032,607422	Padrão - SND	Reg.	
19/10/2018	CELP25	1.000,000000	32,300348	-	1.032,300348	Padrão - SND	Reg.	
18/10/2018	CELP25	1.000,000000	31,993362	-	1.031,993362	Padrão - SND	Reg.	
17/10/2018	CELP25	1.000,000000	31,686465	-	1.031,686465	Padrão - SND	Reg.	
16/10/2018	CELP25	1.000,000000	31,379658	-	1.031,379658	Padrão - SND	Reg.	
15/10/2018	CELP25	1.000,000000	31,072949	-	1.031,072949	Padrão - SND	Reg.	
11/10/2018	CELP25	1.000,000000	30,766330	-	1.030,766330	Padrão - SND	Reg.	
10/10/2018	CELP25	1.000,000000	30,459799	-	1.030,459799	Padrão - SND	Reg.	
09/10/2018	CELP25	1.000,000000	30,153359	-	1.030,153359	Padrão - SND	Reg.	
08/10/2018	CELP25	1.000,000000	29,847016	-	1.029,847016	Padrão - SND	Reg.	
05/10/2018	CELP25	1.000,000000	29,540752	-	1.029,540752	Padrão - SND	Reg.	
04/10/2018	CELP25	1.000,000000	29,234588	-	1.029,234588	Padrão - SND	Reg.	
03/10/2018	CELP25	1.000,000000	28,928513	-	1.028,928513	Padrão - SND	Reg.	
02/10/2018	CELP25	1.000,000000	28,622536	-	1.028,622536	Padrão - SND	Reg.	
01/10/2018	CELP25	1.000,000000	28,316639	-	1.028,316639	Padrão - SND	Reg.	
28/09/2018	CELP25	1.000,000000	28,011223	-	1.028,011223	Padrão - SND	Reg.	
27/09/2018	CELP25	1.000,000000	27,705895	-	1.027,705895	Padrão - SND	Reg.	
26/09/2018	CELP25	1.000,000000	27,400656	-	1.027,400656	Padrão - SND	Reg.	
25/09/2018	CELP25	1.000,000000	27,095506	-	1.027,095506	Padrão - SND	Reg.	
24/09/2018	CELP25	1.000,000000	26,790445	-	1.026,790445	Padrão - SND	Reg.	
21/09/2018	CELP25	1.000,000000	26,485473	-	1.026,485473	Padrão - SND	Reg.	
20/09/2018	CELP25	1.000,000000	26,180600	-	1.026,180600	Padrão - SND	Reg.	
19/09/2018	CELP25	1.000,000000	25,875815	-	1.025,875815	Padrão - SND	Reg.	
18/09/2018	CELP25	1.000,000000	25,571119	-	1.025,571119	Padrão - SND	Reg.	
17/09/2018	CELP25	1.000,000000	25,266512	-	1.025,266512	Padrão - SND	Reg.	
14/09/2018	CELP25	1.000,000000	24,961994	-	1.024,961994	Padrão - SND	Reg.	
13/09/2018	CELP25	1.000,000000	24,657574	-	1.024,657574	Padrão - SND	Reg.	
12/09/2018	CELP25	1.000,000000	24,353234	-	1.024,353234	Padrão - SND	Reg.	
11/09/2018	CELP25	1.000,000000	24,048992	-	1.024,048992	Padrão - SND	Reg.	
10/09/2018	CELP25	1.000,000000	23,744839	-	1.023,744839	Padrão - SND	Reg.	
06/09/2018	CELP25	1.000,000000	23,440774	-	1.023,440774	Padrão - SND	Reg.	
05/09/2018	CELP25	1.000,000000	23,136808	-	1.023,136808	Padrão - SND	Reg.	
04/09/2018	CELP25	1.000,000000	22,832922	-	1.022,832922	Padrão - SND	Reg.	
03/09/2018	CELP25	1.000,000000	22,529133	-	1.022,529133	Padrão - SND	Reg.	
31/08/2018	CELP25	1.000,000000	22,225433	-	1.022,225433	Padrão - SND	Reg.	
30/08/2018	CELP25	1.000,000000	21,921813	-	1.021,921813	Padrão - SND	Reg.	
29/08/2018	CELP25	1.000,000000	21,618291	-	1.021,618291	Padrão - SND	Reg.	
28/08/2018	CELP25	1.000,000000	21,314867	-	1.021,314867	Padrão - SND	Reg.	
27/08/2018	CELP25	1.000,000000	21,011522	-	1.021,011522	Padrão - SND	Reg.	
24/08/2018	CELP25	1.000,000000	20,708276	-	1.020,708276	Padrão - SND	Reg.	
23/08/2018	CELP25	1.000,000000	20,405108	-	1.020,405108	Padrão - SND	Reg.	
22/08/2018	CELP25	1.000,000000	20,102040	-	1.020,102040	Padrão - SND	Reg.	
21/08/2018	CELP25	1.000,000000	19,799059	-	1.019,799059	Padrão - SND	Reg.	
20/08/2018	CELP25	1.000,000000	19,496167	-	1.019,496167	Padrão - SND	Reg.	
17/08/2018	CELP25	1.000,000000	19,193364	-	1.019,193364	Padrão - SND	Reg.	
16/08/2018	CELP25	1.000,000000	18,890659	-	1.018,890659	Padrão - SND	Reg.	
15/08/2018	CELP25	1.000,000000	18,588033	-	1.018,588033	Padrão - SND	Reg.	
14/08/2018	CELP25	1.000,000000	18,285505	-	1.018,285505	Padrão - SND	Reg.	
13/08/2018	CELP25	1.000,000000	17,983066	-	1.017,983066	Padrão - SND	Reg.	
10/08/2018	CELP25	1.000,000000	17,680706	-	1.017,680706	Padrão - SND	Reg.	
09/08/2018	CELP25	1.000,000000	17,378443	-	1.017,378443	Padrão - SND	Reg.	
08/08/2018	CELP25	1.000,000000	17,076280	-	1.017,076280	Padrão - SND	Reg.	
07/08/2018	CELP25	1.000,000000	16,774194	-	1.016,774194	Padrão - SND	Reg.	
06/08/2018	CELP25	1.000,000000	16,472197	-	1.016,472197	Padrão - SND	Reg.	
03/08/2018	CELP25	1.000,000000	16,170299	-	1.016,170299	Padrão - SND	Reg.	
02/08/2018	CELP25	1.000,000000	15,868480	-	1.015,868480	Padrão - SND	Reg.	
