PU Histórico - Gerado em 26/05/2019 21:10:12

Data do PU	Ativo	Valor Nominal	Juros	Prêmio	Preço Unitário	Critério de Cálculo	Situação	
24/05/2019	CEMA18	10.000,000000	127,234300	-	10.127,234300	Padrão - SND	Reg.	
23/05/2019	CEMA18	10.000,000000	124,567100	-	10.124,567100	Padrão - SND	Reg.	
22/05/2019	CEMA18	10.000,000000	121,900700	-	10.121,900700	Padrão - SND	Reg.	
21/05/2019	CEMA18	10.000,000000	119,234900	-	10.119,234900	Padrão - SND	Reg.	
20/05/2019	CEMA18	10.000,000000	116,569900	-	10.116,569900	Padrão - SND	Reg.	
17/05/2019	CEMA18	10.000,000000	113,905500	-	10.113,905500	Padrão - SND	Reg.	
16/05/2019	CEMA18	10.000,000000	111,241900	-	10.111,241900	Padrão - SND	Reg.	
15/05/2019	CEMA18	10.000,000000	108,579000	-	10.108,579000	Padrão - SND	Reg.	
14/05/2019	CEMA18	10.000,000000	105,916700	-	10.105,916700	Padrão - SND	Reg.	
13/05/2019	CEMA18	10.000,000000	103,255200	-	10.103,255200	Padrão - SND	Reg.	
10/05/2019	CEMA18	10.000,000000	100,594300	-	10.100,594300	Padrão - SND	Reg.	
09/05/2019	CEMA18	10.000,000000	97,934200	-	10.097,934200	Padrão - SND	Reg.	
08/05/2019	CEMA18	10.000,000000	95,274800	-	10.095,274800	Padrão - SND	Reg.	
07/05/2019	CEMA18	10.000,000000	92,616000	-	10.092,616000	Padrão - SND	Reg.	
06/05/2019	CEMA18	10.000,000000	89,958000	-	10.089,958000	Padrão - SND	Reg.	
03/05/2019	CEMA18	10.000,000000	87,300600	-	10.087,300600	Padrão - SND	Reg.	
02/05/2019	CEMA18	10.000,000000	84,644000	-	10.084,644000	Padrão - SND	Reg.	
30/04/2019	CEMA18	10.000,000000	81,988100	-	10.081,988100	Padrão - SND	Reg.	
29/04/2019	CEMA18	10.000,000000	79,332800	-	10.079,332800	Padrão - SND	Reg.	
26/04/2019	CEMA18	10.000,000000	76,678300	-	10.076,678300	Padrão - SND	Reg.	
25/04/2019	CEMA18	10.000,000000	74,024400	-	10.074,024400	Padrão - SND	Reg.	
24/04/2019	CEMA18	10.000,000000	71,371300	-	10.071,371300	Padrão - SND	Reg.	
23/04/2019	CEMA18	10.000,000000	68,718900	-	10.068,718900	Padrão - SND	Reg.	
22/04/2019	CEMA18	10.000,000000	66,067100	-	10.066,067100	Padrão - SND	Reg.	
18/04/2019	CEMA18	10.000,000000	63,416100	-	10.063,416100	Padrão - SND	Reg.	
17/04/2019	CEMA18	10.000,000000	60,765700	-	10.060,765700	Padrão - SND	Reg.	
16/04/2019	CEMA18	10.000,000000	58,116100	-	10.058,116100	Padrão - SND	Reg.	
15/04/2019	CEMA18	10.000,000000	55,467100	-	10.055,467100	Padrão - SND	Reg.	
12/04/2019	CEMA18	10.000,000000	52,818900	-	10.052,818900	Padrão - SND	Reg.	
11/04/2019	CEMA18	10.000,000000	50,171300	-	10.050,171300	Padrão - SND	Reg.	
10/04/2019	CEMA18	10.000,000000	47,524400	-	10.047,524400	Padrão - SND	Reg.	
09/04/2019	CEMA18	10.000,000000	44,878300	-	10.044,878300	Padrão - SND	Reg.	
08/04/2019	CEMA18	10.000,000000	42,232800	-	10.042,232800	Padrão - SND	Reg.	
05/04/2019	CEMA18	10.000,000000	39,588100	-	10.039,588100	Padrão - SND	Reg.	
04/04/2019	CEMA18	10.000,000000	36,944000	-	10.036,944000	Padrão - SND	Reg.	
03/04/2019	CEMA18	10.000,000000	34,300600	-	10.034,300600	Padrão - SND	Reg.	
02/04/2019	CEMA18	10.000,000000	31,657900	-	10.031,657900	Padrão - SND	Reg.	
01/04/2019	CEMA18	10.000,000000	29,015900	-	10.029,015900	Padrão - SND	Reg.	
29/03/2019	CEMA18	10.000,000000	26,374700	-	10.026,374700	Padrão - SND	Reg.	
28/03/2019	CEMA18	10.000,000000	23,734100	-	10.023,734100	Padrão - SND	Reg.	
27/03/2019	CEMA18	10.000,000000	21,094200	-	10.021,094200	Padrão - SND	Reg.	
26/03/2019	CEMA18	10.000,000000	18,455000	-	10.018,455000	Padrão - SND	Reg.	
25/03/2019	CEMA18	10.000,000000	15,816500	-	10.015,816500	Padrão - SND	Reg.	
22/03/2019	CEMA18	10.000,000000	13,178600	-	10.013,178600	Padrão - SND	Reg.	
21/03/2019	CEMA18	10.000,000000	10,541500	-	10.010,541500	Padrão - SND	Reg.	
20/03/2019	CEMA18	10.000,000000	7,905100	-	10.007,905100	Padrão - SND	Reg.	
19/03/2019	CEMA18	10.000,000000	5,269400	-	10.005,269400	Padrão - SND	Reg.	
18/03/2019	CEMA18	10.000,000000	2,634300	-	10.002,634300	Padrão - SND	Reg.	
15/03/2019	CEMA18	10.000,000000	-  	-	10.000,000000	Padrão - SND	Reg.	
14/03/2019	CEMA18	10.000,000000	323,805600	-	10.323,805600	Padrão - SND	Reg.	
13/03/2019	CEMA18	10.000,000000	321,086700	-	10.321,086700	Padrão - SND	Reg.	
12/03/2019	CEMA18	10.000,000000	318,368500	-	10.318,368500	Padrão - SND	Reg.	
11/03/2019	CEMA18	10.000,000000	315,651000	-	10.315,651000	Padrão - SND	Reg.	
08/03/2019	CEMA18	10.000,000000	312,934200	-	10.312,934200	Padrão - SND	Reg.	
07/03/2019	CEMA18	10.000,000000	310,218100	-	10.310,218100	Padrão - SND	Reg.	
06/03/2019	CEMA18	10.000,000000	307,502800	-	10.307,502800	Padrão - SND	Reg.	
01/03/2019	CEMA18	10.000,000000	304,788100	-	10.304,788100	Padrão - SND	Reg.	
28/02/2019	CEMA18	10.000,000000	302,074200	-	10.302,074200	Padrão - SND	Reg.	
27/02/2019	CEMA18	10.000,000000	299,361000	-	10.299,361000	Padrão - SND	Reg.	
26/02/2019	CEMA18	10.000,000000	296,648500	-	10.296,648500	Padrão - SND	Reg.	
25/02/2019	CEMA18	10.000,000000	293,936800	-	10.293,936800	Padrão - SND	Reg.	
22/02/2019	CEMA18	10.000,000000	291,225700	-	10.291,225700	Padrão - SND	Reg.	
21/02/2019	CEMA18	10.000,000000	288,515400	-	10.288,515400	Padrão - SND	Reg.	
20/02/2019	CEMA18	10.000,000000	285,805700	-	10.285,805700	Padrão - SND	Reg.	
19/02/2019	CEMA18	10.000,000000	283,096800	-	10.283,096800	Padrão - SND	Reg.	
18/02/2019	CEMA18	10.000,000000	280,388600	-	10.280,388600	Padrão - SND	Reg.	
15/02/2019	CEMA18	10.000,000000	277,681100	-	10.277,681100	Padrão - SND	Reg.	
14/02/2019	CEMA18	10.000,000000	274,974300	-	10.274,974300	Padrão - SND	Reg.	
13/02/2019	CEMA18	10.000,000000	272,268300	-	10.272,268300	Padrão - SND	Reg.	
12/02/2019	CEMA18	10.000,000000	269,562900	-	10.269,562900	Padrão - SND	Reg.	
11/02/2019	CEMA18	10.000,000000	266,858300	-	10.266,858300	Padrão - SND	Reg.	
08/02/2019	CEMA18	10.000,000000	264,154400	-	10.264,154400	Padrão - SND	Reg.	
07/02/2019	CEMA18	10.000,000000	261,451100	-	10.261,451100	Padrão - SND	Reg.	
06/02/2019	CEMA18	10.000,000000	258,748600	-	10.258,748600	Padrão - SND	Reg.	
05/02/2019	CEMA18	10.000,000000	256,046900	-	10.256,046900	Padrão - SND	Reg.	
04/02/2019	CEMA18	10.000,000000	253,345800	-	10.253,345800	Padrão - SND	Reg.	
01/02/2019	CEMA18	10.000,000000	250,645400	-	10.250,645400	Padrão - SND	Reg.	
31/01/2019	CEMA18	10.000,000000	247,945700	-	10.247,945700	Padrão - SND	Reg.	
30/01/2019	CEMA18	10.000,000000	245,246800	-	10.245,246800	Padrão - SND	Reg.	
29/01/2019	CEMA18	10.000,000000	242,548600	-	10.242,548600	Padrão - SND	Reg.	
28/01/2019	CEMA18	10.000,000000	239,851000	-	10.239,851000	Padrão - SND	Reg.	
25/01/2019	CEMA18	10.000,000000	237,154200	-	10.237,154200	Padrão - SND	Reg.	
24/01/2019	CEMA18	10.000,000000	234,458100	-	10.234,458100	Padrão - SND	Reg.	
23/01/2019	CEMA18	10.000,000000	231,762700	-	10.231,762700	Padrão - SND	Reg.	
22/01/2019	CEMA18	10.000,000000	229,068000	-	10.229,068000	Padrão - SND	Reg.	
21/01/2019	CEMA18	10.000,000000	226,374100	-	10.226,374100	Padrão - SND	Reg.	
18/01/2019	CEMA18	10.000,000000	223,680800	-	10.223,680800	Padrão - SND	Reg.	
17/01/2019	CEMA18	10.000,000000	220,988200	-	10.220,988200	Padrão - SND	Reg.	
16/01/2019	CEMA18	10.000,000000	218,296400	-	10.218,296400	Padrão - SND	Reg.	
15/01/2019	CEMA18	10.000,000000	215,605300	-	10.215,605300	Padrão - SND	Reg.	
