PU Histórico - Gerado em 26/05/2019 21:10:50

Data do PU	Ativo	Valor Nominal	Juros	Prêmio	Preço Unitário	Critério de Cálculo	Situação	
24/05/2019	CERA14	1,000000	0,017586	-	1,017586	Padrão - SND	Reg.	
23/05/2019	CERA14	1,000000	0,017263	-	1,017263	Padrão - SND	Reg.	
22/05/2019	CERA14	1,000000	0,016941	-	1,016941	Padrão - SND	Reg.	
21/05/2019	CERA14	1,000000	0,016619	-	1,016619	Padrão - SND	Reg.	
20/05/2019	CERA14	1,000000	0,016296	-	1,016296	Padrão - SND	Reg.	
17/05/2019	CERA14	1,000000	0,015974	-	1,015974	Padrão - SND	Reg.	
16/05/2019	CERA14	1,000000	0,015652	-	1,015652	Padrão - SND	Reg.	
15/05/2019	CERA14	1,000000	0,015331	-	1,015331	Padrão - SND	Reg.	
14/05/2019	CERA14	1,000000	0,015009	-	1,015009	Padrão - SND	Reg.	
13/05/2019	CERA14	1,000000	0,014687	-	1,014687	Padrão - SND	Reg.	
10/05/2019	CERA14	1,000000	0,014366	-	1,014366	Padrão - SND	Reg.	
09/05/2019	CERA14	1,000000	0,014044	-	1,014044	Padrão - SND	Reg.	
08/05/2019	CERA14	1,000000	0,013723	-	1,013723	Padrão - SND	Reg.	
07/05/2019	CERA14	1,000000	0,013401	-	1,013401	Padrão - SND	Reg.	
06/05/2019	CERA14	1,000000	0,013080	-	1,013080	Padrão - SND	Reg.	
03/05/2019	CERA14	1,000000	0,012759	-	1,012759	Padrão - SND	Reg.	
02/05/2019	CERA14	1,000000	0,012438	-	1,012438	Padrão - SND	Reg.	
30/04/2019	CERA14	1,000000	0,012117	-	1,012117	Padrão - SND	Reg.	
29/04/2019	CERA14	1,000000	0,011797	-	1,011797	Padrão - SND	Reg.	
26/04/2019	CERA14	1,000000	0,011476	-	1,011476	Padrão - SND	Reg.	
25/04/2019	CERA14	1,000000	0,011155	-	1,011155	Padrão - SND	Reg.	
24/04/2019	CERA14	1,000000	0,010835	-	1,010835	Padrão - SND	Reg.	
23/04/2019	CERA14	1,000000	0,010515	-	1,010515	Padrão - SND	Reg.	
22/04/2019	CERA14	1,000000	0,010194	-	1,010194	Padrão - SND	Reg.	
18/04/2019	CERA14	1,000000	0,009874	-	1,009874	Padrão - SND	Reg.	
17/04/2019	CERA14	1,000000	0,009554	-	1,009554	Padrão - SND	Reg.	
16/04/2019	CERA14	1,000000	0,009234	-	1,009234	Padrão - SND	Reg.	
15/04/2019	CERA14	1,000000	0,008914	-	1,008914	Padrão - SND	Reg.	
12/04/2019	CERA14	1,000000	0,008595	-	1,008595	Padrão - SND	Reg.	
11/04/2019	CERA14	1,000000	0,008275	-	1,008275	Padrão - SND	Reg.	
10/04/2019	CERA14	1,000000	0,007956	-	1,007956	Padrão - SND	Reg.	
09/04/2019	CERA14	1,000000	0,007636	-	1,007636	Padrão - SND	Reg.	
08/04/2019	CERA14	1,000000	0,007317	-	1,007317	Padrão - SND	Reg.	
05/04/2019	CERA14	1,000000	0,006998	-	1,006998	Padrão - SND	Reg.	
04/04/2019	CERA14	1,000000	0,006678	-	1,006678	Padrão - SND	Reg.	
03/04/2019	CERA14	1,000000	0,006359	-	1,006359	Padrão - SND	Reg.	
02/04/2019	CERA14	1,000000	0,006040	-	1,006040	Padrão - SND	Reg.	
01/04/2019	CERA14	1,000000	0,005722	-	1,005722	Padrão - SND	Reg.	
29/03/2019	CERA14	1,000000	0,005403	-	1,005403	Padrão - SND	Reg.	
28/03/2019	CERA14	1,000000	0,005084	-	1,005084	Padrão - SND	Reg.	
27/03/2019	CERA14	1,000000	0,004766	-	1,004766	Padrão - SND	Reg.	
26/03/2019	CERA14	1,000000	0,004447	-	1,004447	Padrão - SND	Reg.	
25/03/2019	CERA14	1,000000	0,004129	-	1,004129	Padrão - SND	Reg.	
22/03/2019	CERA14	1,000000	0,003811	-	1,003811	Padrão - SND	Reg.	
21/03/2019	CERA14	1,000000	0,003493	-	1,003493	Padrão - SND	Reg.	
20/03/2019	CERA14	1,000000	0,003175	-	1,003175	Padrão - SND	Reg.	
19/03/2019	CERA14	1,000000	0,002857	-	1,002857	Padrão - SND	Reg.	
18/03/2019	CERA14	1,000000	0,002539	-	1,002539	Padrão - SND	Reg.	
15/03/2019	CERA14	1,000000	0,002221	-	1,002221	Padrão - SND	Reg.	
14/03/2019	CERA14	1,000000	0,001904	-	1,001904	Padrão - SND	Reg.	
13/03/2019	CERA14	1,000000	0,001586	-	1,001586	Padrão - SND	Reg.	
12/03/2019	CERA14	1,000000	0,001269	-	1,001269	Padrão - SND	Reg.	
11/03/2019	CERA14	1,000000	0,000951	-	1,000951	Padrão - SND	Reg.	
08/03/2019	CERA14	1,000000	0,000634	-	1,000634	Padrão - SND	Reg.	
07/03/2019	CERA14	1,000000	0,000317	-	1,000317	Padrão - SND	Reg.	
06/03/2019	CERA14	1,000000	-  	-	1,000000	Padrão - SND	Reg.	
01/03/2019	CERA14	1,000000	0,037119	-	1,037119	Padrão - SND	Reg.	
28/02/2019	CERA14	1,000000	0,036790	-	1,036790	Padrão - SND	Reg.	
27/02/2019	CERA14	1,000000	0,036462	-	1,036462	Padrão - SND	Reg.	
26/02/2019	CERA14	1,000000	0,036133	-	1,036133	Padrão - SND	Reg.	
25/02/2019	CERA14	1,000000	0,035805	-	1,035805	Padrão - SND	Reg.	
22/02/2019	CERA14	1,000000	0,035477	-	1,035477	Padrão - SND	Reg.	
21/02/2019	CERA14	1,000000	0,035149	-	1,035149	Padrão - SND	Reg.	
20/02/2019	CERA14	1,000000	0,034820	-	1,034820	Padrão - SND	Reg.	
19/02/2019	CERA14	1,000000	0,034493	-	1,034493	Padrão - SND	Reg.	
