PU Histórico - Gerado em 26/05/2019 21:11:18

Data do PU	Ativo	Valor Nominal	Juros	Prêmio	Preço Unitário	Critério de Cálculo	Situação	
24/05/2019	CHPT41	979,402737	18,368117	-	997,770854	Padrão - SND	Reg.	
23/05/2019	CHPT41	979,279444	18,040647	-	997,320091	Padrão - SND	Reg.	
22/05/2019	CHPT41	979,156160	17,713366	-	996,869526	Padrão - SND	Reg.	
21/05/2019	CHPT41	979,032876	17,386273	-	996,419149	Padrão - SND	Reg.	
20/05/2019	CHPT41	978,909621	17,059368	-	995,968989	Padrão - SND	Reg.	
17/05/2019	CHPT41	978,786385	16,732651	-	995,519036	Padrão - SND	Reg.	
16/05/2019	CHPT41	978,663159	16,406121	-	995,069281	Padrão - SND	Reg.	
15/05/2019	CHPT41	978,539953	16,079779	-	994,619732	Padrão - SND	Reg.	
14/05/2019	CHPT41	978,261921	15,751132	-	994,013053	Padrão - SND	Reg.	
13/05/2019	CHPT41	977,983947	15,422776	-	993,406722	Padrão - SND	Reg.	
10/05/2019	CHPT41	978,036853	15,099817	-	993,136670	Padrão - SND	Reg.	
09/05/2019	CHPT41	977,739509	14,771638	-	992,511146	Padrão - SND	Reg.	
08/05/2019	CHPT41	977,442251	14,443761	-	991,886012	Padrão - SND	Reg.	
07/05/2019	CHPT41	977,145071	14,116188	-	991,261260	Padrão - SND	Reg.	
06/05/2019	CHPT41	976,847987	13,788919	-	990,636906	Padrão - SND	Reg.	
03/05/2019	CHPT41	976,551000	13,461952	-	990,012952	Padrão - SND	Reg.	
02/05/2019	CHPT41	976,254109	13,135288	-	989,389397	Padrão - SND	Reg.	
30/04/2019	CHPT41	975,957304	12,808927	-	988,766231	Padrão - SND	Reg.	
29/04/2019	CHPT41	975,660577	12,482868	-	988,143445	Padrão - SND	Reg.	
26/04/2019	CHPT41	975,363946	12,157111	-	987,521057	Padrão - SND	Reg.	
25/04/2019	CHPT41	974,829922	11,828773	-	986,658695	Padrão - SND	Reg.	
24/04/2019	CHPT41	974,567453	11,504099	-	986,071552	Padrão - SND	Reg.	
23/04/2019	CHPT41	974,305071	11,179703	-	985,484775	Padrão - SND	Reg.	
22/04/2019	CHPT41	974,042748	10,855587	-	984,898334	Padrão - SND	Reg.	
18/04/2019	CHPT41	973,780501	10,531749	-	984,312249	Padrão - SND	Reg.	
17/04/2019	CHPT41	973,518331	10,208188	-	983,726519	Padrão - SND	Reg.	
16/04/2019	CHPT41	973,256210	9,884906	-	983,141115	Padrão - SND	Reg.	
15/04/2019	CHPT41	972,994184	9,561901	-	982,556085	Padrão - SND	Reg.	
12/04/2019	CHPT41	972,648059	9,238375	-	981,886433	Padrão - SND	Reg.	
11/04/2019	CHPT41	972,302058	8,915181	-	981,217240	Padrão - SND	Reg.	
10/04/2019	CHPT41	970,550605	8,579895	-	979,130500	Padrão - SND	Reg.	
09/04/2019	CHPT41	970,283357	8,258499	-	978,541855	Padrão - SND	Reg.	
08/04/2019	CHPT41	970,016185	7,937382	-	977,953567	Padrão - SND	Reg.	
05/04/2019	CHPT41	969,749082	7,616545	-	977,365627	Padrão - SND	Reg.	
04/04/2019	CHPT41	969,482055	7,295988	-	976,778043	Padrão - SND	Reg.	
03/04/2019	CHPT41	969,215115	6,975712	-	976,190827	Padrão - SND	Reg.	
02/04/2019	CHPT41	968,948223	6,655714	-	975,603937	Padrão - SND	Reg.	
01/04/2019	CHPT41	968,681428	6,335996	-	975,017424	Padrão - SND	Reg.	
29/03/2019	CHPT41	968,414700	6,016557	-	974,431257	Padrão - SND	Reg.	
28/03/2019	CHPT41	968,148030	5,697397	-	973,845427	Padrão - SND	Reg.	
27/03/2019	CHPT41	967,881447	5,378515	-	973,259962	Padrão - SND	Reg.	
26/03/2019	CHPT41	967,262059	5,058068	-	972,320127	Padrão - SND	Reg.	
25/03/2019	CHPT41	967,046108	4,740106	-	971,786214	Padrão - SND	Reg.	
22/03/2019	CHPT41	966,830205	4,422391	-	971,252595	Padrão - SND	Reg.	
21/03/2019	CHPT41	966,614349	4,104919	-	970,719269	Padrão - SND	Reg.	
20/03/2019	CHPT41	966,398552	3,787692	-	970,186244	Padrão - SND	Reg.	
19/03/2019	CHPT41	966,182793	3,470710	-	969,653504	Padrão - SND	Reg.	
18/03/2019	CHPT41	965,967083	3,153972	-	969,121055	Padrão - SND	Reg.	
15/03/2019	CHPT41	965,751430	2,837478	-	968,588908	Padrão - SND	Reg.	
14/03/2019	CHPT41	965,521274	2,521190	-	968,042464	Padrão - SND	Reg.	
13/03/2019	CHPT41	965,291166	2,205157	-	967,496322	Padrão - SND	Reg.	
12/03/2019	CHPT41	964,772936	1,888811	-	966,661747	Padrão - SND	Reg.	
11/03/2019	CHPT41	964,591022	1,573456	-	966,164478	Padrão - SND	Reg.	
08/03/2019	CHPT41	964,409146	1,258322	-	965,667469	Padrão - SND	Reg.	
07/03/2019	CHPT41	964,227309	0,943410	-	965,170719	Padrão - SND	Reg.	
06/03/2019	CHPT41	964,045501	0,628719	-	964,674220	Padrão - SND	Reg.	
