PU Histórico - Gerado em 26/05/2019 21:11:24

Data do PU	Ativo	Valor Nominal	Juros	Prêmio	Preço Unitário	Critério de Cálculo	Situação	
24/05/2019	CHSU11	979,883170	39,422147	-	1.019,305317	Padrão - SND	Reg.	
23/05/2019	CHSU11	979,759817	39,085010	-	1.018,844826	Padrão - SND	Reg.	
22/05/2019	CHSU11	979,636473	38,748065	-	1.018,384537	Padrão - SND	Reg.	
21/05/2019	CHSU11	979,513128	38,411312	-	1.017,924440	Padrão - SND	Reg.	
20/05/2019	CHSU11	979,389813	38,074752	-	1.017,464565	Padrão - SND	Reg.	
17/05/2019	CHSU11	979,266517	37,738384	-	1.017,004901	Padrão - SND	Reg.	
16/05/2019	CHSU11	979,143231	37,402207	-	1.016,545438	Padrão - SND	Reg.	
15/05/2019	CHSU11	979,019963	37,066223	-	1.016,086187	Padrão - SND	Reg.	
14/05/2019	CHSU11	978,741787	36,724618	-	1.015,466406	Padrão - SND	Reg.	
13/05/2019	CHSU11	978,463688	36,383313	-	1.014,847001	Padrão - SND	Reg.	
10/05/2019	CHSU11	978,516615	36,054500	-	1.014,571115	Padrão - SND	Reg.	
09/05/2019	CHSU11	978,219129	35,712966	-	1.013,932094	Padrão - SND	Reg.	
08/05/2019	CHSU11	977,921718	35,371743	-	1.013,293462	Padrão - SND	Reg.	
07/05/2019	CHSU11	977,624404	35,030833	-	1.012,655237	Padrão - SND	Reg.	
06/05/2019	CHSU11	977,327166	34,690234	-	1.012,017400	Padrão - SND	Reg.	
03/05/2019	CHSU11	977,030034	34,349946	-	1.011,379980	Padrão - SND	Reg.	
02/05/2019	CHSU11	976,732988	34,009970	-	1.010,742958	Padrão - SND	Reg.	
30/04/2019	CHSU11	976,436048	33,670305	-	1.010,106353	Padrão - SND	Reg.	
29/04/2019	CHSU11	976,139175	33,330950	-	1.009,470124	Padrão - SND	Reg.	
26/04/2019	CHSU11	975,842407	32,991906	-	1.008,834313	Padrão - SND	Reg.	
25/04/2019	CHSU11	975,308118	32,645218	-	1.007,953335	Padrão - SND	Reg.	
24/04/2019	CHSU11	975,045523	32,308001	-	1.007,353523	Padrão - SND	Reg.	
23/04/2019	CHSU11	974,783004	31,971069	-	1.006,754074	Padrão - SND	Reg.	
22/04/2019	CHSU11	974,520553	31,634424	-	1.006,154977	Padrão - SND	Reg.	
18/04/2019	CHSU11	974,258178	31,298065	-	1.005,556244	Padrão - SND	Reg.	
17/04/2019	CHSU11	973,995871	30,961991	-	1.004,957863	Padrão - SND	Reg.	
16/04/2019	CHSU11	973,733631	30,626204	-	1.004,359835	Padrão - SND	Reg.	
15/04/2019	CHSU11	973,471477	30,290701	-	1.003,762178	Padrão - SND	Reg.	
12/04/2019	CHSU11	973,125176	29,952891	-	1.003,078067	Padrão - SND	Reg.	
11/04/2019	CHSU11	972,779009	29,615425	-	1.002,394434	Padrão - SND	Reg.	
10/04/2019	CHSU11	971,026688	29,235961	-	1.000,262649	Padrão - SND	Reg.	
09/04/2019	CHSU11	970,759318	28,901991	-	999,661309	Padrão - SND	Reg.	
08/04/2019	CHSU11	970,492015	28,568308	-	999,060323	Padrão - SND	Reg.	
05/04/2019	CHSU11	970,224779	28,234914	-	998,459693	Padrão - SND	Reg.	
04/04/2019	CHSU11	969,957620	27,901807	-	997,859427	Padrão - SND	Reg.	
03/04/2019	CHSU11	969,690547	27,568987	-	997,259534	Padrão - SND	Reg.	
02/04/2019	CHSU11	969,423532	27,236454	-	996,659986	Padrão - SND	Reg.	
01/04/2019	CHSU11	969,156603	26,904208	-	996,060811	Padrão - SND	Reg.	
29/03/2019	CHSU11	968,889741	26,572249	-	995,461990	Padrão - SND	Reg.	
28/03/2019	CHSU11	968,622947	26,240576	-	994,863522	Padrão - SND	Reg.	
27/03/2019	CHSU11	968,356229	25,909190	-	994,265419	Padrão - SND	Reg.	
26/03/2019	CHSU11	967,736546	25,568762	-	993,305307	Padrão - SND	Reg.	
25/03/2019	CHSU11	967,520483	25,239383	-	992,759865	Padrão - SND	Reg.	
22/03/2019	CHSU11	967,304477	24,910256	-	992,214733	Padrão - SND	Reg.	
21/03/2019	CHSU11	967,088510	24,581379	-	991,669889	Padrão - SND	Reg.	
20/03/2019	CHSU11	966,872610	24,252755	-	991,125365	Padrão - SND	Reg.	
