PU Histórico - Gerado em 26/05/2019 21:11:51

Data do PU	Ativo	Valor Nominal	Juros	Prêmio	Preço Unitário	Critério de Cálculo	Situação	
24/05/2019	CINL11	930.004,000000	2.494,615759	-	932.498,615759	Padrão - SND	Reg.	
23/05/2019	CINL11	930.004,000000	2.137,835535	-	932.141,835535	Padrão - SND	Reg.	
22/05/2019	CINL11	930.004,000000	1.781,192021	-	931.785,192021	Padrão - SND	Reg.	
21/05/2019	CINL11	930.004,000000	1.424,674058	-	931.428,674058	Padrão - SND	Reg.	
20/05/2019	CINL11	930.004,000000	1.068,303035	-	931.072,303035	Padrão - SND	Reg.	
17/05/2019	CINL11	930.004,000000	712,065003	-	930.716,065003	Padrão - SND	Reg.	
16/05/2019	CINL11	930.004,000000	355,965541	-	930.359,965541	Padrão - SND	Reg.	
15/05/2019	CINL11	930.004,000000	-  	-	930.004,000000	Padrão - SND	Reg.	
14/05/2019	CINL11	935.560,000000	6.827,231324	-	942.387,231324	Padrão - SND	Reg.	
13/05/2019	CINL11	935.560,000000	6.466,668371	-	942.026,668371	Padrão - SND	Reg.	
10/05/2019	CINL11	935.560,000000	6.106,232655	-	941.666,232655	Padrão - SND	Reg.	
09/05/2019	CINL11	935.560,000000	5.745,941950	-	941.305,941950	Padrão - SND	Reg.	
08/05/2019	CINL11	935.560,000000	5.385,789708	-	940.945,789708	Padrão - SND	Reg.	
07/05/2019	CINL11	935.560,000000	5.025,774058	-	940.585,774058	Padrão - SND	Reg.	
06/05/2019	CINL11	935.560,000000	4.665,895935	-	940.225,895935	Padrão - SND	Reg.	
03/05/2019	CINL11	935.560,000000	4.306,154403	-	939.866,154403	Padrão - SND	Reg.	
02/05/2019	CINL11	935.560,000000	3.946,559755	-	939.506,559755	Padrão - SND	Reg.	
30/04/2019	CINL11	935.560,000000	3.587,091407	-	939.147,091407	Padrão - SND	Reg.	
29/04/2019	CINL11	935.560,000000	3.227,761523	-	938.787,761523	Padrão - SND	Reg.	
26/04/2019	CINL11	935.560,000000	2.868,576650	-	938.428,576650	Padrão - SND	Reg.	
25/04/2019	CINL11	935.560,000000	2.509,519013	-	938.069,519013	Padrão - SND	Reg.	
24/04/2019	CINL11	935.560,000000	2.150,607323	-	937.710,607323	Padrão - SND	Reg.	
23/04/2019	CINL11	935.560,000000	1.791,833161	-	937.351,833161	Padrão - SND	Reg.	
22/04/2019	CINL11	935.560,000000	1.433,186235	-	936.993,186235	Padrão - SND	Reg.	
18/04/2019	CINL11	935.560,000000	1.074,685256	-	936.634,685256	Padrão - SND	Reg.	
17/04/2019	CINL11	935.560,000000	716,319934	-	936.276,319934	Padrão - SND	Reg.	
16/04/2019	CINL11	935.560,000000	358,092139	-	935.918,092139	Padrão - SND	Reg.	
15/04/2019	CINL11	935.560,000000	-  	-	935.560,000000	Padrão - SND	Reg.	
