PU Histórico - Gerado em 26/05/2019 21:12:11

Data do PU	Ativo	Valor Nominal	Juros	Prêmio	Preço Unitário	Critério de Cálculo	Situação	
24/05/2019	CLMO24	1.000.000,000000	788,660000	-	1.000.788,660000	Padrão - SND	Reg.	
23/05/2019	CLMO24	1.000.000,000000	525,710000	-	1.000.525,710000	Padrão - SND	Reg.	
22/05/2019	CLMO24	1.000.000,000000	262,820000	-	1.000.262,820000	Padrão - SND	Reg.	
21/05/2019	CLMO24	1.000.000,000000	-  	-	1.000.000,000000	Padrão - SND	Reg.	
20/05/2019	CLMO24	1.000.000,000000	32.579,090000	-	1.032.579,090000	Padrão - SND	Reg.	
17/05/2019	CLMO24	1.000.000,000000	32.307,780000	-	1.032.307,780000	Padrão - SND	Reg.	
16/05/2019	CLMO24	1.000.000,000000	32.036,540000	-	1.032.036,540000	Padrão - SND	Reg.	
15/05/2019	CLMO24	1.000.000,000000	31.765,380000	-	1.031.765,380000	Padrão - SND	Reg.	
14/05/2019	CLMO24	1.000.000,000000	31.494,280000	-	1.031.494,280000	Padrão - SND	Reg.	
13/05/2019	CLMO24	1.000.000,000000	31.223,260000	-	1.031.223,260000	Padrão - SND	Reg.	
10/05/2019	CLMO24	1.000.000,000000	30.952,300000	-	1.030.952,300000	Padrão - SND	Reg.	
09/05/2019	CLMO24	1.000.000,000000	30.681,420000	-	1.030.681,420000	Padrão - SND	Reg.	
08/05/2019	CLMO24	1.000.000,000000	30.410,610000	-	1.030.410,610000	Padrão - SND	Reg.	
07/05/2019	CLMO24	1.000.000,000000	30.139,870000	-	1.030.139,870000	Padrão - SND	Reg.	
06/05/2019	CLMO24	1.000.000,000000	29.869,200000	-	1.029.869,200000	Padrão - SND	Reg.	
03/05/2019	CLMO24	1.000.000,000000	29.598,600000	-	1.029.598,600000	Padrão - SND	Reg.	
02/05/2019	CLMO24	1.000.000,000000	29.328,080000	-	1.029.328,080000	Padrão - SND	Reg.	
30/04/2019	CLMO24	1.000.000,000000	29.057,620000	-	1.029.057,620000	Padrão - SND	Reg.	
29/04/2019	CLMO24	1.000.000,000000	28.787,240000	-	1.028.787,240000	Padrão - SND	Reg.	
26/04/2019	CLMO24	1.000.000,000000	28.516,920000	-	1.028.516,920000	Padrão - SND	Reg.	
25/04/2019	CLMO24	1.000.000,000000	28.246,680000	-	1.028.246,680000	Padrão - SND	Reg.	
24/04/2019	CLMO24	1.000.000,000000	27.976,510000	-	1.027.976,510000	Padrão - SND	Reg.	
23/04/2019	CLMO24	1.000.000,000000	27.706,410000	-	1.027.706,410000	Padrão - SND	Reg.	
22/04/2019	CLMO24	1.000.000,000000	27.436,380000	-	1.027.436,380000	Padrão - SND	Reg.	
18/04/2019	CLMO24	1.000.000,000000	27.166,420000	-	1.027.166,420000	Padrão - SND	Reg.	
17/04/2019	CLMO24	1.000.000,000000	26.896,530000	-	1.026.896,530000	Padrão - SND	Reg.	
16/04/2019	CLMO24	1.000.000,000000	26.626,720000	-	1.026.626,720000	Padrão - SND	Reg.	
15/04/2019	CLMO24	1.000.000,000000	26.356,970000	-	1.026.356,970000	Padrão - SND	Reg.	
12/04/2019	CLMO24	1.000.000,000000	26.087,300000	-	1.026.087,300000	Padrão - SND	Reg.	
11/04/2019	CLMO24	1.000.000,000000	25.817,690000	-	1.025.817,690000	Padrão - SND	Reg.	
10/04/2019	CLMO24	1.000.000,000000	25.548,160000	-	1.025.548,160000	Padrão - SND	Reg.	
09/04/2019	CLMO24	1.000.000,000000	25.278,700000	-	1.025.278,700000	Padrão - SND	Reg.	
08/04/2019	CLMO24	1.000.000,000000	25.009,310000	-	1.025.009,310000	Padrão - SND	Reg.	
05/04/2019	CLMO24	1.000.000,000000	24.739,990000	-	1.024.739,990000	Padrão - SND	Reg.	
04/04/2019	CLMO24	1.000.000,000000	24.470,740000	-	1.024.470,740000	Padrão - SND	Reg.	
03/04/2019	CLMO24	1.000.000,000000	24.201,560000	-	1.024.201,560000	Padrão - SND	Reg.	
02/04/2019	CLMO24	1.000.000,000000	23.932,450000	-	1.023.932,450000	Padrão - SND	Reg.	
01/04/2019	CLMO24	1.000.000,000000	23.663,410000	-	1.023.663,410000	Padrão - SND	Reg.	
29/03/2019	CLMO24	1.000.000,000000	23.394,440000	-	1.023.394,440000	Padrão - SND	Reg.	
28/03/2019	CLMO24	1.000.000,000000	23.125,550000	-	1.023.125,550000	Padrão - SND	Reg.	
27/03/2019	CLMO24	1.000.000,000000	22.856,720000	-	1.022.856,720000	Padrão - SND	Reg.	
26/03/2019	CLMO24	1.000.000,000000	22.587,970000	-	1.022.587,970000	Padrão - SND	Reg.	
25/03/2019	CLMO24	1.000.000,000000	22.319,280000	-	1.022.319,280000	Padrão - SND	Reg.	
22/03/2019	CLMO24	1.000.000,000000	22.050,670000	-	1.022.050,670000	Padrão - SND	Reg.	
21/03/2019	CLMO24	1.000.000,000000	21.782,130000	-	1.021.782,130000	Padrão - SND	Reg.	
20/03/2019	CLMO24	1.000.000,000000	21.513,650000	-	1.021.513,650000	Padrão - SND	Reg.	
19/03/2019	CLMO24	1.000.000,000000	21.245,250000	-	1.021.245,250000	Padrão - SND	Reg.	
18/03/2019	CLMO24	1.000.000,000000	20.976,920000	-	1.020.976,920000	Padrão - SND	Reg.	
15/03/2019	CLMO24	1.000.000,000000	20.708,660000	-	1.020.708,660000	Padrão - SND	Reg.	
14/03/2019	CLMO24	1.000.000,000000	20.440,470000	-	1.020.440,470000	Padrão - SND	Reg.	
13/03/2019	CLMO24	1.000.000,000000	20.172,350000	-	1.020.172,350000	Padrão - SND	Reg.	
12/03/2019	CLMO24	1.000.000,000000	19.904,300000	-	1.019.904,300000	Padrão - SND	Reg.	
11/03/2019	CLMO24	1.000.000,000000	19.636,320000	-	1.019.636,320000	Padrão - SND	Reg.	
08/03/2019	CLMO24	1.000.000,000000	19.368,410000	-	1.019.368,410000	Padrão - SND	Reg.	
07/03/2019	CLMO24	1.000.000,000000	19.100,570000	-	1.019.100,570000	Padrão - SND	Reg.	
06/03/2019	CLMO24	1.000.000,000000	18.832,800000	-	1.018.832,800000	Padrão - SND	Reg.	
01/03/2019	CLMO24	1.000.000,000000	18.565,110000	-	1.018.565,110000	Padrão - SND	Reg.	
28/02/2019	CLMO24	1.000.000,000000	18.297,480000	-	1.018.297,480000	Padrão - SND	Reg.	
27/02/2019	CLMO24	1.000.000,000000	18.029,920000	-	1.018.029,920000	Padrão - SND	Reg.	
26/02/2019	CLMO24	1.000.000,000000	17.762,430000	-	1.017.762,430000	Padrão - SND	Reg.	
25/02/2019	CLMO24	1.000.000,000000	17.495,020000	-	1.017.495,020000	Padrão - SND	Reg.	
22/02/2019	CLMO24	1.000.000,000000	17.227,670000	-	1.017.227,670000	Padrão - SND	Reg.	
21/02/2019	CLMO24	1.000.000,000000	16.960,400000	-	1.016.960,400000	Padrão - SND	Reg.	
20/02/2019	CLMO24	1.000.000,000000	16.693,190000	-	1.016.693,190000	Padrão - SND	Reg.	
19/02/2019	CLMO24	1.000.000,000000	16.426,050000	-	1.016.426,050000	Padrão - SND	Reg.	
18/02/2019	CLMO24	1.000.000,000000	16.158,990000	-	1.016.158,990000	Padrão - SND	Reg.	
15/02/2019	CLMO24	1.000.000,000000	15.891,990000	-	1.015.891,990000	Padrão - SND	Reg.	
14/02/2019	CLMO24	1.000.000,000000	15.625,070000	-	1.015.625,070000	Padrão - SND	Reg.	
13/02/2019	CLMO24	1.000.000,000000	15.358,210000	-	1.015.358,210000	Padrão - SND	Reg.	
12/02/2019	CLMO24	1.000.000,000000	15.091,430000	-	1.015.091,430000	Padrão - SND	Reg.	
11/02/2019	CLMO24	1.000.000,000000	14.824,710000	-	1.014.824,710000	Padrão - SND	Reg.	
08/02/2019	CLMO24	1.000.000,000000	14.558,070000	-	1.014.558,070000	Padrão - SND	Reg.	
07/02/2019	CLMO24	1.000.000,000000	14.291,500000	-	1.014.291,500000	Padrão - SND	Reg.	
06/02/2019	CLMO24	1.000.000,000000	14.024,990000	-	1.014.024,990000	Padrão - SND	Reg.	
05/02/2019	CLMO24	1.000.000,000000	13.758,560000	-	1.013.758,560000	Padrão - SND	Reg.	
04/02/2019	CLMO24	1.000.000,000000	13.492,190000	-	1.013.492,190000	Padrão - SND	Reg.	
01/02/2019	CLMO24	1.000.000,000000	13.225,900000	-	1.013.225,900000	Padrão - SND	Reg.	
31/01/2019	CLMO24	1.000.000,000000	12.959,670000	-	1.012.959,670000	Padrão - SND	Reg.	
30/01/2019	CLMO24	1.000.000,000000	12.693,520000	-	1.012.693,520000	Padrão - SND	Reg.	
29/01/2019	CLMO24	1.000.000,000000	12.427,430000	-	1.012.427,430000	Padrão - SND	Reg.	
28/01/2019	CLMO24	1.000.000,000000	12.161,420000	-	1.012.161,420000	Padrão - SND	Reg.	
25/01/2019	CLMO24	1.000.000,000000	11.895,470000	-	1.011.895,470000	Padrão - SND	Reg.	
24/01/2019	CLMO24	1.000.000,000000	11.629,600000	-	1.011.629,600000	Padrão - SND	Reg.	
23/01/2019	CLMO24	1.000.000,000000	11.363,790000	-	1.011.363,790000	Padrão - SND	Reg.	
22/01/2019	CLMO24	1.000.000,000000	11.098,060000	-	1.011.098,060000	Padrão - SND	Reg.	
21/01/2019	CLMO24	1.000.000,000000	10.832,390000	-	1.010.832,390000	Padrão - SND	Reg.	
18/01/2019	CLMO24	1.000.000,000000	10.566,800000	-	1.010.566,800000	Padrão - SND	Reg.	
17/01/2019	CLMO24	1.000.000,000000	10.301,270000	-	1.010.301,270000	Padrão - SND	Reg.	
16/01/2019	CLMO24	1.000.000,000000	10.035,820000	-	1.010.035,820000	Padrão - SND	Reg.	
