PU Histórico - Gerado em 26/05/2019 21:12:30

Data do PU	Ativo	Valor Nominal	Juros	Prêmio	Preço Unitário	Critério de Cálculo	Situação	
24/05/2019	CMDT23	961,819966	11,639604	-	973,459570	Padrão - SND	Reg.	
23/05/2019	CMDT23	961,582323	11,459368	-	973,041690	Padrão - SND	Reg.	
22/05/2019	CMDT23	961,344727	11,279252	-	972,623979	Padrão - SND	Reg.	
21/05/2019	CMDT23	961,107206	11,099257	-	972,206463	Padrão - SND	Reg.	
20/05/2019	CMDT23	960,869733	10,919382	-	971,789115	Padrão - SND	Reg.	
17/05/2019	CMDT23	960,632325	10,739628	-	971,371954	Padrão - SND	Reg.	
16/05/2019	CMDT23	960,394965	10,559995	-	970,954960	Padrão - SND	Reg.	
15/05/2019	CMDT23	960,157681	10,380482	-	970,538162	Padrão - SND	Reg.	
14/05/2019	CMDT23	959,884871	10,200710	-	970,085581	Padrão - SND	Reg.	
13/05/2019	CMDT23	959,612128	10,021073	-	969,633201	Padrão - SND	Reg.	
10/05/2019	CMDT23	960,798683	9,856539	-	970,655222	Padrão - SND	Reg.	
09/05/2019	CMDT23	960,439812	9,676030	-	970,115842	Padrão - SND	Reg.	
08/05/2019	CMDT23	960,081074	9,495687	-	969,576760	Padrão - SND	Reg.	
07/05/2019	CMDT23	959,722477	9,315509	-	969,037985	Padrão - SND	Reg.	
06/05/2019	CMDT23	959,364011	9,135497	-	968,499508	Padrão - SND	Reg.	
03/05/2019	CMDT23	959,005678	8,955651	-	967,961329	Padrão - SND	Reg.	
02/05/2019	CMDT23	958,647478	8,775969	-	967,423447	Padrão - SND	Reg.	
30/04/2019	CMDT23	958,289409	8,596453	-	966,885862	Padrão - SND	Reg.	
29/04/2019	CMDT23	957,931481	8,417102	-	966,348583	Padrão - SND	Reg.	
26/04/2019	CMDT23	957,573677	8,237914	-	965,811591	Padrão - SND	Reg.	
25/04/2019	CMDT23	957,216014	8,058893	-	965,274906	Padrão - SND	Reg.	
24/04/2019	CMDT23	956,858483	7,880036	-	964,738519	Padrão - SND	Reg.	
23/04/2019	CMDT23	956,501084	7,701343	-	964,202427	Padrão - SND	Reg.	
22/04/2019	CMDT23	956,143817	7,522815	-	963,666632	Padrão - SND	Reg.	
18/04/2019	CMDT23	955,786692	7,344451	-	963,131143	Padrão - SND	Reg.	
17/04/2019	CMDT23	955,429689	7,166252	-	962,595941	Padrão - SND	Reg.	
16/04/2019	CMDT23	955,072828	6,988216	-	962,061045	Padrão - SND	Reg.	
15/04/2019	CMDT23	954,716099	6,810344	-	961,526444	Padrão - SND	Reg.	
12/04/2019	CMDT23	954,376477	6,632754	-	961,009231	Padrão - SND	Reg.	
11/04/2019	CMDT23	954,036977	6,455321	-	960,492299	Padrão - SND	Reg.	
10/04/2019	CMDT23	951,100491	6,260950	-	957,361441	Padrão - SND	Reg.	
09/04/2019	CMDT23	950,906204	6,085237	-	956,991440	Padrão - SND	Reg.	
08/04/2019	CMDT23	950,711964	5,909626	-	956,621589	Padrão - SND	Reg.	
05/04/2019	CMDT23	950,517752	5,734118	-	956,251871	Padrão - SND	Reg.	
04/04/2019	CMDT23	950,323588	5,558714	-	955,882303	Padrão - SND	Reg.	
03/04/2019	CMDT23	950,129462	5,383414	-	955,512875	Padrão - SND	Reg.	
02/04/2019	CMDT23	949,935373	5,208215	-	955,143588	Padrão - SND	Reg.	
01/04/2019	CMDT23	949,741322	5,033121	-	954,774443	Padrão - SND	Reg.	
29/03/2019	CMDT23	949,547309	4,858129	-	954,405438	Padrão - SND	Reg.	
28/03/2019	CMDT23	949,353342	4,683241	-	954,036583	Padrão - SND	Reg.	
27/03/2019	CMDT23	949,159414	4,508455	-	953,667869	Padrão - SND	Reg.	
26/03/2019	CMDT23	948,965523	4,333772	-	953,299295	Padrão - SND	Reg.	
25/03/2019	CMDT23	948,771671	4,159192	-	952,930863	Padrão - SND	Reg.	
22/03/2019	CMDT23	948,577855	3,984715	-	952,562570	Padrão - SND	Reg.	
21/03/2019	CMDT23	948,384087	3,810340	-	952,194427	Padrão - SND	Reg.	
20/03/2019	CMDT23	948,190348	3,636068	-	951,826416	Padrão - SND	Reg.	
19/03/2019	CMDT23	947,996655	3,461899	-	951,458554	Padrão - SND	Reg.	
18/03/2019	CMDT23	947,803001	3,287832	-	951,090832	Padrão - SND	Reg.	
15/03/2019	CMDT23	947,609402	3,113868	-	950,723271	Padrão - SND	Reg.	
