PU Histórico - Gerado em 26/05/2019 21:12:47

Data do PU	Ativo	Valor Nominal	Juros	Prêmio	Preço Unitário	Critério de Cálculo	Situação	
24/05/2019	CMGD15	10.000,000000	25,275100	-	10.025,275100	Padrão - SND	Reg.	
23/05/2019	CMGD15	10.000,000000	21,660500	-	10.021,660500	Padrão - SND	Reg.	
22/05/2019	CMGD15	10.000,000000	18,047200	-	10.018,047200	Padrão - SND	Reg.	
21/05/2019	CMGD15	10.000,000000	14,435100	-	10.014,435100	Padrão - SND	Reg.	
20/05/2019	CMGD15	10.000,000000	10,824400	-	10.010,824400	Padrão - SND	Reg.	
17/05/2019	CMGD15	10.000,000000	7,215000	-	10.007,215000	Padrão - SND	Reg.	
16/05/2019	CMGD15	10.000,000000	3,606800	-	10.003,606800	Padrão - SND	Reg.	
15/05/2019	CMGD15	10.000,000000	-  	-	10.000,000000	Padrão - SND	Reg.	
14/05/2019	CMGD15	10.000,000000	68,752700	-	10.068,752700	Padrão - SND	Reg.	
13/05/2019	CMGD15	10.000,000000	65,122400	-	10.065,122400	Padrão - SND	Reg.	
10/05/2019	CMGD15	10.000,000000	61,493400	-	10.061,493400	Padrão - SND	Reg.	
09/05/2019	CMGD15	10.000,000000	57,865700	-	10.057,865700	Padrão - SND	Reg.	
08/05/2019	CMGD15	10.000,000000	54,239300	-	10.054,239300	Padrão - SND	Reg.	
07/05/2019	CMGD15	10.000,000000	50,614200	-	10.050,614200	Padrão - SND	Reg.	
06/05/2019	CMGD15	10.000,000000	46,990400	-	10.046,990400	Padrão - SND	Reg.	
03/05/2019	CMGD15	10.000,000000	43,367900	-	10.043,367900	Padrão - SND	Reg.	
02/05/2019	CMGD15	10.000,000000	39,746800	-	10.039,746800	Padrão - SND	Reg.	
30/04/2019	CMGD15	10.000,000000	36,126900	-	10.036,126900	Padrão - SND	Reg.	
29/04/2019	CMGD15	10.000,000000	32,508300	-	10.032,508300	Padrão - SND	Reg.	
26/04/2019	CMGD15	10.000,000000	28,891100	-	10.028,891100	Padrão - SND	Reg.	
25/04/2019	CMGD15	10.000,000000	25,275100	-	10.025,275100	Padrão - SND	Reg.	
24/04/2019	CMGD15	10.000,000000	21,660500	-	10.021,660500	Padrão - SND	Reg.	
23/04/2019	CMGD15	10.000,000000	18,047200	-	10.018,047200	Padrão - SND	Reg.	
22/04/2019	CMGD15	10.000,000000	14,435100	-	10.014,435100	Padrão - SND	Reg.	
18/04/2019	CMGD15	10.000,000000	10,824400	-	10.010,824400	Padrão - SND	Reg.	
17/04/2019	CMGD15	10.000,000000	7,215000	-	10.007,215000	Padrão - SND	Reg.	
16/04/2019	CMGD15	10.000,000000	3,606800	-	10.003,606800	Padrão - SND	Reg.	
15/04/2019	CMGD15	10.000,000000	-  	-	10.000,000000	Padrão - SND	Reg.	
