PU Histórico - Gerado em 26/05/2019 21:12:54

Data do PU	Ativo	Valor Nominal	Juros	Prêmio	Preço Unitário	Critério de Cálculo	Situação	
24/05/2019	CMPO12	400,000000	0,750721	-	400,750721	Padrão - SND	Reg.	
23/05/2019	CMPO12	400,000000	0,600461	-	400,600461	Padrão - SND	Reg.	
22/05/2019	CMPO12	400,000000	0,450262	-	400,450262	Padrão - SND	Reg.	
21/05/2019	CMPO12	400,000000	0,300118	-	400,300118	Padrão - SND	Reg.	
20/05/2019	CMPO12	400,000000	0,150031	-	400,150031	Padrão - SND	Reg.	
17/05/2019	CMPO12	400,000000	-  	-	400,000000	Padrão - SND	Reg.	
16/05/2019	CMPO12	400,000000	18,725464	-	418,725464	Padrão - SND	Reg.	
15/05/2019	CMPO12	400,000000	18,568470	-	418,568470	Padrão - SND	Reg.	
14/05/2019	CMPO12	400,000000	18,411534	-	418,411534	Padrão - SND	Reg.	
13/05/2019	CMPO12	400,000000	18,254656	-	418,254656	Padrão - SND	Reg.	
10/05/2019	CMPO12	400,000000	18,097835	-	418,097835	Padrão - SND	Reg.	
09/05/2019	CMPO12	400,000000	17,941076	-	417,941076	Padrão - SND	Reg.	
08/05/2019	CMPO12	400,000000	17,784375	-	417,784375	Padrão - SND	Reg.	
07/05/2019	CMPO12	400,000000	17,627731	-	417,627731	Padrão - SND	Reg.	
06/05/2019	CMPO12	400,000000	17,471146	-	417,471146	Padrão - SND	Reg.	
03/05/2019	CMPO12	400,000000	17,314622	-	417,314622	Padrão - SND	Reg.	
02/05/2019	CMPO12	400,000000	17,158152	-	417,158152	Padrão - SND	Reg.	
30/04/2019	CMPO12	400,000000	17,001744	-	417,001744	Padrão - SND	Reg.	
29/04/2019	CMPO12	400,000000	16,845398	-	416,845398	Padrão - SND	Reg.	
26/04/2019	CMPO12	400,000000	16,689105	-	416,689105	Padrão - SND	Reg.	
25/04/2019	CMPO12	400,000000	16,532874	-	416,532874	Padrão - SND	Reg.	
24/04/2019	CMPO12	400,000000	16,376701	-	416,376701	Padrão - SND	Reg.	
23/04/2019	CMPO12	400,000000	16,220585	-	416,220585	Padrão - SND	Reg.	
22/04/2019	CMPO12	400,000000	16,064527	-	416,064527	Padrão - SND	Reg.	
18/04/2019	CMPO12	400,000000	15,908531	-	415,908531	Padrão - SND	Reg.	
17/04/2019	CMPO12	400,000000	15,752588	-	415,752588	Padrão - SND	Reg.	
16/04/2019	CMPO12	400,000000	15,596707	-	415,596707	Padrão - SND	Reg.	
15/04/2019	CMPO12	400,000000	15,440883	-	415,440883	Padrão - SND	Reg.	
12/04/2019	CMPO12	400,000000	15,285122	-	415,285122	Padrão - SND	Reg.	
11/04/2019	CMPO12	400,000000	15,129417	-	415,129417	Padrão - SND	Reg.	
10/04/2019	CMPO12	400,000000	14,973766	-	414,973766	Padrão - SND	Reg.	
09/04/2019	CMPO12	400,000000	14,818176	-	414,818176	Padrão - SND	Reg.	
08/04/2019	CMPO12	400,000000	14,662649	-	414,662649	Padrão - SND	Reg.	
05/04/2019	CMPO12	400,000000	14,507174	-	414,507174	Padrão - SND	Reg.	
04/04/2019	CMPO12	400,000000	14,351762	-	414,351762	Padrão - SND	Reg.	
03/04/2019	CMPO12	400,000000	14,196406	-	414,196406	Padrão - SND	Reg.	
02/04/2019	CMPO12	400,000000	14,041108	-	414,041108	Padrão - SND	Reg.	
01/04/2019	CMPO12	400,000000	13,885868	-	413,885868	Padrão - SND	Reg.	
29/03/2019	CMPO12	400,000000	13,730685	-	413,730685	Padrão - SND	Reg.	
28/03/2019	CMPO12	400,000000	13,575563	-	413,575563	Padrão - SND	Reg.	
27/03/2019	CMPO12	400,000000	13,420498	-	413,420498	Padrão - SND	Reg.	
26/03/2019	CMPO12	400,000000	13,265492	-	413,265492	Padrão - SND	Reg.	
25/03/2019	CMPO12	400,000000	13,110542	-	413,110542	Padrão - SND	Reg.	
22/03/2019	CMPO12	400,000000	12,955650	-	412,955650	Padrão - SND	Reg.	
21/03/2019	CMPO12	400,000000	12,800819	-	412,800819	Padrão - SND	Reg.	
20/03/2019	CMPO12	400,000000	12,646045	-	412,646045	Padrão - SND	Reg.	
19/03/2019	CMPO12	400,000000	12,491329	-	412,491329	Padrão - SND	Reg.	
18/03/2019	CMPO12	400,000000	12,336670	-	412,336670	Padrão - SND	Reg.	
15/03/2019	CMPO12	400,000000	12,182068	-	412,182068	Padrão - SND	Reg.	
14/03/2019	CMPO12	400,000000	12,027528	-	412,027528	Padrão - SND	Reg.	
13/03/2019	CMPO12	400,000000	11,873044	-	411,873044	Padrão - SND	Reg.	
12/03/2019	CMPO12	400,000000	11,718614	-	411,718614	Padrão - SND	Reg.	
11/03/2019	CMPO12	400,000000	11,564245	-	411,564245	Padrão - SND	Reg.	
08/03/2019	CMPO12	400,000000	11,409937	-	411,409937	Padrão - SND	Reg.	
07/03/2019	CMPO12	400,000000	11,255683	-	411,255683	Padrão - SND	Reg.	
06/03/2019	CMPO12	400,000000	11,101489	-	411,101489	Padrão - SND	Reg.	
01/03/2019	CMPO12	400,000000	10,947349	-	410,947349	Padrão - SND	Reg.	
28/02/2019	CMPO12	400,000000	10,793270	-	410,793270	Padrão - SND	Reg.	
27/02/2019	CMPO12	400,000000	10,639248	-	410,639248	Padrão - SND	Reg.	
26/02/2019	CMPO12	400,000000	10,485287	-	410,485287	Padrão - SND	Reg.	
25/02/2019	CMPO12	400,000000	10,331379	-	410,331379	Padrão - SND	Reg.	
22/02/2019	CMPO12	400,000000	10,177532	-	410,177532	Padrão - SND	Reg.	
21/02/2019	CMPO12	400,000000	10,023738	-	410,023738	Padrão - SND	Reg.	
20/02/2019	CMPO12	400,000000	9,870005	-	409,870005	Padrão - SND	Reg.	
19/02/2019	CMPO12	400,000000	9,716330	-	409,716330	Padrão - SND	Reg.	
18/02/2019	CMPO12	400,000000	9,562710	-	409,562710	Padrão - SND	Reg.	
15/02/2019	CMPO12	400,000000	9,409153	-	409,409153	Padrão - SND	Reg.	
14/02/2019	CMPO12	400,000000	9,255648	-	409,255648	Padrão - SND	Reg.	
13/02/2019	CMPO12	400,000000	9,102204	-	409,102204	Padrão - SND	Reg.	
12/02/2019	CMPO12	400,000000	8,948817	-	408,948817	Padrão - SND	Reg.	
11/02/2019	CMPO12	400,000000	8,795487	-	408,795487	Padrão - SND	Reg.	
08/02/2019	CMPO12	400,000000	8,642214	-	408,642214	Padrão - SND	Reg.	
07/02/2019	CMPO12	400,000000	8,488998	-	408,488998	Padrão - SND	Reg.	
06/02/2019	CMPO12	400,000000	8,335842	-	408,335842	Padrão - SND	Reg.	
05/02/2019	CMPO12	400,000000	8,182740	-	408,182740	Padrão - SND	Reg.	
04/02/2019	CMPO12	400,000000	8,029698	-	408,029698	Padrão - SND	Reg.	
01/02/2019	CMPO12	400,000000	7,876713	-	407,876713	Padrão - SND	Reg.	
31/01/2019	CMPO12	400,000000	7,723785	-	407,723785	Padrão - SND	Reg.	
30/01/2019	CMPO12	400,000000	7,570914	-	407,570914	Padrão - SND	Reg.	
