PU Histórico - Gerado em 26/05/2019 21:14:06

Data do PU	Ativo	Valor Nominal	Juros	Prêmio	Preço Unitário	Critério de Cálculo	Situação	
24/05/2019	CPCO15	1.000,000000	18,791620	-	1.018,791620	Padrão - SND	Reg.	
23/05/2019	CPCO15	1.000,000000	18,531830	-	1.018,531830	Padrão - SND	Reg.	
22/05/2019	CPCO15	1.000,000000	18,272110	-	1.018,272110	Padrão - SND	Reg.	
21/05/2019	CPCO15	1.000,000000	18,012450	-	1.018,012450	Padrão - SND	Reg.	
20/05/2019	CPCO15	1.000,000000	17,752860	-	1.017,752860	Padrão - SND	Reg.	
17/05/2019	CPCO15	1.000,000000	17,493330	-	1.017,493330	Padrão - SND	Reg.	
16/05/2019	CPCO15	1.000,000000	17,233870	-	1.017,233870	Padrão - SND	Reg.	
15/05/2019	CPCO15	1.000,000000	16,974480	-	1.016,974480	Padrão - SND	Reg.	
14/05/2019	CPCO15	1.000,000000	16,715150	-	1.016,715150	Padrão - SND	Reg.	
13/05/2019	CPCO15	1.000,000000	16,455890	-	1.016,455890	Padrão - SND	Reg.	
10/05/2019	CPCO15	1.000,000000	16,196700	-	1.016,196700	Padrão - SND	Reg.	
09/05/2019	CPCO15	1.000,000000	15,937570	-	1.015,937570	Padrão - SND	Reg.	
08/05/2019	CPCO15	1.000,000000	15,678510	-	1.015,678510	Padrão - SND	Reg.	
07/05/2019	CPCO15	1.000,000000	15,419510	-	1.015,419510	Padrão - SND	Reg.	
06/05/2019	CPCO15	1.000,000000	15,160580	-	1.015,160580	Padrão - SND	Reg.	
03/05/2019	CPCO15	1.000,000000	14,901720	-	1.014,901720	Padrão - SND	Reg.	
02/05/2019	CPCO15	1.000,000000	14,642920	-	1.014,642920	Padrão - SND	Reg.	
30/04/2019	CPCO15	1.000,000000	14,384190	-	1.014,384190	Padrão - SND	Reg.	
29/04/2019	CPCO15	1.000,000000	14,125520	-	1.014,125520	Padrão - SND	Reg.	
26/04/2019	CPCO15	1.000,000000	13,866920	-	1.013,866920	Padrão - SND	Reg.	
25/04/2019	CPCO15	1.000,000000	13,608390	-	1.013,608390	Padrão - SND	Reg.	
24/04/2019	CPCO15	1.000,000000	13,349920	-	1.013,349920	Padrão - SND	Reg.	
23/04/2019	CPCO15	1.000,000000	13,091520	-	1.013,091520	Padrão - SND	Reg.	
22/04/2019	CPCO15	1.000,000000	12,833180	-	1.012,833180	Padrão - SND	Reg.	
18/04/2019	CPCO15	1.000,000000	12,574910	-	1.012,574910	Padrão - SND	Reg.	
17/04/2019	CPCO15	1.000,000000	12,316710	-	1.012,316710	Padrão - SND	Reg.	
16/04/2019	CPCO15	1.000,000000	12,058570	-	1.012,058570	Padrão - SND	Reg.	
15/04/2019	CPCO15	1.000,000000	11,800490	-	1.011,800490	Padrão - SND	Reg.	
12/04/2019	CPCO15	1.000,000000	11,542490	-	1.011,542490	Padrão - SND	Reg.	
11/04/2019	CPCO15	1.000,000000	11,284550	-	1.011,284550	Padrão - SND	Reg.	
10/04/2019	CPCO15	1.000,000000	11,026670	-	1.011,026670	Padrão - SND	Reg.	
09/04/2019	CPCO15	1.000,000000	10,768860	-	1.010,768860	Padrão - SND	Reg.	
08/04/2019	CPCO15	1.000,000000	10,511120	-	1.010,511120	Padrão - SND	Reg.	
05/04/2019	CPCO15	1.000,000000	10,253440	-	1.010,253440	Padrão - SND	Reg.	
04/04/2019	CPCO15	1.000,000000	9,995820	-	1.009,995820	Padrão - SND	Reg.	
03/04/2019	CPCO15	1.000,000000	9,738280	-	1.009,738280	Padrão - SND	Reg.	
02/04/2019	CPCO15	1.000,000000	9,480800	-	1.009,480800	Padrão - SND	Reg.	
01/04/2019	CPCO15	1.000,000000	9,223380	-	1.009,223380	Padrão - SND	Reg.	
29/03/2019	CPCO15	1.000,000000	8,966030	-	1.008,966030	Padrão - SND	Reg.	
28/03/2019	CPCO15	1.000,000000	8,708750	-	1.008,708750	Padrão - SND	Reg.	
27/03/2019	CPCO15	1.000,000000	8,451530	-	1.008,451530	Padrão - SND	Reg.	
26/03/2019	CPCO15	1.000,000000	8,194370	-	1.008,194370	Padrão - SND	Reg.	
25/03/2019	CPCO15	1.000,000000	7,937290	-	1.007,937290	Padrão - SND	Reg.	
22/03/2019	CPCO15	1.000,000000	7,680260	-	1.007,680260	Padrão - SND	Reg.	
21/03/2019	CPCO15	1.000,000000	7,423310	-	1.007,423310	Padrão - SND	Reg.	
20/03/2019	CPCO15	1.000,000000	7,166420	-	1.007,166420	Padrão - SND	Reg.	
19/03/2019	CPCO15	1.000,000000	6,909590	-	1.006,909590	Padrão - SND	Reg.	
18/03/2019	CPCO15	1.000,000000	6,652830	-	1.006,652830	Padrão - SND	Reg.	
15/03/2019	CPCO15	1.000,000000	6,396140	-	1.006,396140	Padrão - SND	Reg.	
14/03/2019	CPCO15	1.000,000000	6,139510	-	1.006,139510	Padrão - SND	Reg.	
13/03/2019	CPCO15	1.000,000000	5,882940	-	1.005,882940	Padrão - SND	Reg.	
12/03/2019	CPCO15	1.000,000000	5,626440	-	1.005,626440	Padrão - SND	Reg.	
11/03/2019	CPCO15	1.000,000000	5,370010	-	1.005,370010	Padrão - SND	Reg.	
08/03/2019	CPCO15	1.000,000000	5,113640	-	1.005,113640	Padrão - SND	Reg.	
07/03/2019	CPCO15	1.000,000000	4,857340	-	1.004,857340	Padrão - SND	Reg.	
06/03/2019	CPCO15	1.000,000000	4,601100	-	1.004,601100	Padrão - SND	Reg.	
01/03/2019	CPCO15	1.000,000000	4,344930	-	1.004,344930	Padrão - SND	Reg.	
28/02/2019	CPCO15	1.000,000000	4,088830	-	1.004,088830	Padrão - SND	Reg.	
27/02/2019	CPCO15	1.000,000000	3,832790	-	1.003,832790	Padrão - SND	Reg.	
26/02/2019	CPCO15	1.000,000000	3,576810	-	1.003,576810	Padrão - SND	Reg.	
25/02/2019	CPCO15	1.000,000000	3,320900	-	1.003,320900	Padrão - SND	Reg.	
22/02/2019	CPCO15	1.000,000000	3,065060	-	1.003,065060	Padrão - SND	Reg.	
21/02/2019	CPCO15	1.000,000000	2,809280	-	1.002,809280	Padrão - SND	Reg.	
20/02/2019	CPCO15	1.000,000000	2,553560	-	1.002,553560	Padrão - SND	Reg.	
19/02/2019	CPCO15	1.000,000000	2,297910	-	1.002,297910	Padrão - SND	Reg.	
18/02/2019	CPCO15	1.000,000000	2,042330	-	1.002,042330	Padrão - SND	Reg.	
15/02/2019	CPCO15	1.000,000000	1,786810	-	1.001,786810	Padrão - SND	Reg.	
14/02/2019	CPCO15	1.000,000000	1,531360	-	1.001,531360	Padrão - SND	Reg.	
13/02/2019	CPCO15	1.000,000000	1,275970	-	1.001,275970	Padrão - SND	Reg.	
12/02/2019	CPCO15	1.000,000000	1,020640	-	1.001,020640	Padrão - SND	Reg.	
11/02/2019	CPCO15	1.000,000000	0,765380	-	1.000,765380	Padrão - SND	Reg.	
08/02/2019	CPCO15	1.000,000000	0,510190	-	1.000,510190	Padrão - SND	Reg.	
07/02/2019	CPCO15	1.000,000000	0,255060	-	1.000,255060	Padrão - SND	Reg.	
06/02/2019	CPCO15	1.000,000000	-  	-	1.000,000000	Padrão - SND	Reg.	
05/02/2019	CPCO15	1.000,000000	-  	-	1.000,000000	Padrão - SND	Reg.	


Valores expressos em reais.
Os valores refletem a nossa interpretação da escritura de emissão, não implicando em aceitação de compromisso legal ou financeiro.
