PU Histórico - Gerado em 26/05/2019 21:14:17

Data do PU	Ativo	Valor Nominal	Juros	Prêmio	Preço Unitário	Critério de Cálculo	Situação	
24/05/2019	CPES13	5.901,750000	4,658918	-	5.906,408918	Padrão - SND	Reg.	
23/05/2019	CPES13	5.901,750000	2,329002	-	5.904,079002	Padrão - SND	Reg.	
22/05/2019	CPES13	5.901,750000	-  	-	5.901,750000	Padrão - SND	Reg.	
21/05/2019	CPES13	6.065,680000	48,053748	-	6.113,733748	Padrão - SND	Reg.	
20/05/2019	CPES13	6.065,680000	45,642064	-	6.111,322064	Padrão - SND	Reg.	
17/05/2019	CPES13	6.065,680000	43,231333	-	6.108,911333	Padrão - SND	Reg.	
16/05/2019	CPES13	6.065,680000	40,821487	-	6.106,501487	Padrão - SND	Reg.	
15/05/2019	CPES13	6.065,680000	38,412635	-	6.104,092635	Padrão - SND	Reg.	
14/05/2019	CPES13	6.065,680000	36,004742	-	6.101,684742	Padrão - SND	Reg.	
13/05/2019	CPES13	6.065,680000	33,597789	-	6.099,277789	Padrão - SND	Reg.	
10/05/2019	CPES13	6.065,680000	31,191783	-	6.096,871783	Padrão - SND	Reg.	
09/05/2019	CPES13	6.065,680000	28,786716	-	6.094,466716	Padrão - SND	Reg.	
08/05/2019	CPES13	6.065,680000	26,382663	-	6.092,062663	Padrão - SND	Reg.	
07/05/2019	CPES13	6.065,680000	23,979489	-	6.089,659489	Padrão - SND	Reg.	
06/05/2019	CPES13	6.065,680000	21,577255	-	6.087,257255	Padrão - SND	Reg.	
03/05/2019	CPES13	6.065,680000	19,176023	-	6.084,856023	Padrão - SND	Reg.	
02/05/2019	CPES13	6.065,680000	16,775681	-	6.082,455681	Padrão - SND	Reg.	
30/04/2019	CPES13	6.065,680000	14,376341	-	6.080,056341	Padrão - SND	Reg.	
29/04/2019	CPES13	6.065,680000	11,977935	-	6.077,657935	Padrão - SND	Reg.	
26/04/2019	CPES13	6.065,680000	9,580420	-	6.075,260420	Padrão - SND	Reg.	
25/04/2019	CPES13	6.065,680000	7,183900	-	6.072,863900	Padrão - SND	Reg.	
24/04/2019	CPES13	6.065,680000	4,788327	-	6.070,468327	Padrão - SND	Reg.	
23/04/2019	CPES13	6.065,680000	2,393693	-	6.068,073693	Padrão - SND	Reg.	
22/04/2019	CPES13	6.065,680000	-  	-	6.065,680000	Padrão - SND	Reg.	
18/04/2019	CPES13	6.229,610000	46,875579	-	6.276,485579	Padrão - SND	Reg.	
17/04/2019	CPES13	6.229,610000	44,399689	-	6.274,009689	Padrão - SND	Reg.	
16/04/2019	CPES13	6.229,610000	41,924715	-	6.271,534715	Padrão - SND	Reg.	
15/04/2019	CPES13	6.229,610000	39,450768	-	6.269,060768	Padrão - SND	Reg.	
12/04/2019	CPES13	6.229,610000	36,977800	-	6.266,587800	Padrão - SND	Reg.	
11/04/2019	CPES13	6.229,610000	34,505797	-	6.264,115797	Padrão - SND	Reg.	
10/04/2019	CPES13	6.229,610000	32,034766	-	6.261,644766	Padrão - SND	Reg.	
09/04/2019	CPES13	6.229,610000	29,564701	-	6.259,174701	Padrão - SND	Reg.	
08/04/2019	CPES13	6.229,610000	27,095670	-	6.256,705670	Padrão - SND	Reg.	
05/04/2019	CPES13	6.229,610000	24,627555	-	6.254,237555	Padrão - SND	Reg.	
04/04/2019	CPES13	6.229,610000	22,160399	-	6.251,770399	Padrão - SND	Reg.	
03/04/2019	CPES13	6.229,610000	19,694270	-	6.249,304270	Padrão - SND	Reg.	
02/04/2019	CPES13	6.229,610000	17,229052	-	6.246,839052	Padrão - SND	Reg.	
01/04/2019	CPES13	6.229,610000	14,764873	-	6.244,374873	Padrão - SND	Reg.	
29/03/2019	CPES13	6.229,610000	12,301648	-	6.241,911648	Padrão - SND	Reg.	
28/03/2019	CPES13	6.229,610000	9,839339	-	6.239,449339	Padrão - SND	Reg.	
27/03/2019	CPES13	6.229,610000	7,378051	-	6.236,988051	Padrão - SND	Reg.	
26/03/2019	CPES13	6.229,610000	4,917735	-	6.234,527735	Padrão - SND	Reg.	
25/03/2019	CPES13	6.229,610000	2,458385	-	6.232,068385	Padrão - SND	Reg.	
22/03/2019	CPES13	6.229,610000	-  	-	6.229,610000	Padrão - SND	Reg.	
21/03/2019	CPES13	6.393,540000	43,027955	-	6.436,567955	Padrão - SND	Reg.	
20/03/2019	CPES13	6.393,540000	40,488908	-	6.434,028908	Padrão - SND	Reg.	
