PU Histórico - Gerado em 26/05/2019 21:14:27

Data do PU	Ativo	Valor Nominal	Juros	Prêmio	Preço Unitário	Critério de Cálculo	Situação	
24/05/2019	CPFP18	1.083,437960	14,726667	-	1.098,164627	Padrão - SND	Reg.	
23/05/2019	CPFP18	1.083,301570	14,500223	-	1.097,801793	Padrão - SND	Reg.	
22/05/2019	CPFP18	1.083,165190	14,273883	-	1.097,439073	Padrão - SND	Reg.	
21/05/2019	CPFP18	1.083,028820	14,047644	-	1.097,076464	Padrão - SND	Reg.	
20/05/2019	CPFP18	1.082,892470	13,821508	-	1.096,713978	Padrão - SND	Reg.	
17/05/2019	CPFP18	1.082,756140	13,595475	-	1.096,351615	Padrão - SND	Reg.	
16/05/2019	CPFP18	1.082,619820	13,369545	-	1.095,989365	Padrão - SND	Reg.	
15/05/2019	CPFP18	1.082,483530	13,143716	-	1.095,627246	Padrão - SND	Reg.	
14/05/2019	CPFP18	1.082,175960	12,915946	-	1.095,091906	Padrão - SND	Reg.	
13/05/2019	CPFP18	1.081,868470	12,688351	-	1.094,556821	Padrão - SND	Reg.	
10/05/2019	CPFP18	1.081,926990	12,465145	-	1.094,392135	Padrão - SND	Reg.	
09/05/2019	CPFP18	1.081,598060	12,237577	-	1.093,835637	Padrão - SND	Reg.	
08/05/2019	CPFP18	1.081,269220	12,010192	-	1.093,279412	Padrão - SND	Reg.	
07/05/2019	CPFP18	1.080,940490	11,782990	-	1.092,723480	Padrão - SND	Reg.	
06/05/2019	CPFP18	1.080,611840	11,555970	-	1.092,167810	Padrão - SND	Reg.	
03/05/2019	CPFP18	1.080,283310	11,329133	-	1.091,612443	Padrão - SND	Reg.	
02/05/2019	CPFP18	1.079,954870	11,102479	-	1.091,057349	Padrão - SND	Reg.	
30/04/2019	CPFP18	1.079,626540	10,876008	-	1.090,502548	Padrão - SND	Reg.	
29/04/2019	CPFP18	1.079,298300	10,649718	-	1.089,948018	Padrão - SND	Reg.	
26/04/2019	CPFP18	1.078,970160	10,423610	-	1.089,393770	Padrão - SND	Reg.	
25/04/2019	CPFP18	1.078,379410	10,195202	-	1.088,574612	Padrão - SND	Reg.	
24/04/2019	CPFP18	1.078,089070	9,969860	-	1.088,058930	Padrão - SND	Reg.	
23/04/2019	CPFP18	1.077,798810	9,744685	-	1.087,543495	Padrão - SND	Reg.	
22/04/2019	CPFP18	1.077,508620	9,519676	-	1.087,028296	Padrão - SND	Reg.	
18/04/2019	CPFP18	1.077,218510	9,294832	-	1.086,513342	Padrão - SND	Reg.	
17/04/2019	CPFP18	1.076,928490	9,070155	-	1.085,998645	Padrão - SND	Reg.	
16/04/2019	CPFP18	1.076,638530	8,845643	-	1.085,484173	Padrão - SND	Reg.	
15/04/2019	CPFP18	1.076,348670	8,621297	-	1.084,969967	Padrão - SND	Reg.	
12/04/2019	CPFP18	1.075,965780	8,396389	-	1.084,362169	Padrão - SND	Reg.	
11/04/2019	CPFP18	1.075,583030	8,171687	-	1.083,754717	Padrão - SND	Reg.	
10/04/2019	CPFP18	1.073,645530	7,935695	-	1.081,581225	Padrão - SND	Reg.	
09/04/2019	CPFP18	1.073,349900	7,712345	-	1.081,062245	Padrão - SND	Reg.	
08/04/2019	CPFP18	1.073,054340	7,489163	-	1.080,543503	Padrão - SND	Reg.	
05/04/2019	CPFP18	1.072,758870	7,266148	-	1.080,025018	Padrão - SND	Reg.	
04/04/2019	CPFP18	1.072,463480	7,043300	-	1.079,506780	Padrão - SND	Reg.	
03/04/2019	CPFP18	1.072,168180	6,820619	-	1.078,988799	Padrão - SND	Reg.	
02/04/2019	CPFP18	1.071,872940	6,598107	-	1.078,471047	Padrão - SND	Reg.	
01/04/2019	CPFP18	1.071,577800	6,375760	-	1.077,953560	Padrão - SND	Reg.	
29/03/2019	CPFP18	1.071,282740	6,153582	-	1.077,436322	Padrão - SND	Reg.	
28/03/2019	CPFP18	1.070,987750	5,931569	-	1.076,919319	Padrão - SND	Reg.	
27/03/2019	CPFP18	1.070,692850	5,709724	-	1.076,402574	Padrão - SND	Reg.	
26/03/2019	CPFP18	1.070,007670	5,486045	-	1.075,493715	Padrão - SND	Reg.	
25/03/2019	CPFP18	1.069,768780	5,264888	-	1.075,033668	Padrão - SND	Reg.	
22/03/2019	CPFP18	1.069,529940	5,043875	-	1.074,573815	Padrão - SND	Reg.	
21/03/2019	CPFP18	1.069,291160	4,823006	-	1.074,114166	Padrão - SND	Reg.	
20/03/2019	CPFP18	1.069,052440	4,602279	-	1.073,654719	Padrão - SND	Reg.	
19/03/2019	CPFP18	1.068,813760	4,381696	-	1.073,195456	Padrão - SND	Reg.	
18/03/2019	CPFP18	1.068,575140	4,161256	-	1.072,736396	Padrão - SND	Reg.	
15/03/2019	CPFP18	1.068,336570	3,940959	-	1.072,277529	Padrão - SND	Reg.	
14/03/2019	CPFP18	1.068,081970	3,720749	-	1.071,802719	Padrão - SND	Reg.	
13/03/2019	CPFP18	1.067,827420	3,500689	-	1.071,328109	Padrão - SND	Reg.	
12/03/2019	CPFP18	1.066,776110	3,278329	-	1.070,054439	Padrão - SND	Reg.	
11/03/2019	CPFP18	1.066,574960	3,058884	-	1.069,633844	Padrão - SND	Reg.	
08/03/2019	CPFP18	1.066,373860	2,839566	-	1.069,213426	Padrão - SND	Reg.	
07/03/2019	CPFP18	1.066,172800	2,620376	-	1.068,793176	Padrão - SND	Reg.	
06/03/2019	CPFP18	1.065,971770	2,401311	-	1.068,373081	Padrão - SND	Reg.	
01/03/2019	CPFP18	1.065,770780	2,182376	-	1.067,953156	Padrão - SND	Reg.	
28/02/2019	CPFP18	1.065,569830	1,963567	-	1.067,533397	Padrão - SND	Reg.	
27/02/2019	CPFP18	1.065,368910	1,744886	-	1.067,113796	Padrão - SND	Reg.	
26/02/2019	CPFP18	1.065,168040	1,526330	-	1.066,694370	Padrão - SND	Reg.	
25/02/2019	CPFP18	1.064,967200	1,307903	-	1.066,275103	Padrão - SND	Reg.	
22/02/2019	CPFP18	1.064,766400	1,089602	-	1.065,856002	Padrão - SND	Reg.	
21/02/2019	CPFP18	1.064,565630	0,871428	-	1.065,437058	Padrão - SND	Reg.	
20/02/2019	CPFP18	1.064,364910	0,653381	-	1.065,018291	Padrão - SND	Reg.	
19/02/2019	CPFP18	1.064,164220	0,435460	-	1.064,599680	Padrão - SND	Reg.	
18/02/2019	CPFP18	1.063,963580	0,217667	-	1.064,181247	Padrão - SND	Reg.	
15/02/2019	CPFP18	1.063,762970	-  	-	1.063,762970	Padrão - SND	Reg.	
14/02/2019	CPFP18	1.063,615240	27,547383	-	1.091,162623	Padrão - SND	Reg.	
13/02/2019	CPFP18	1.063,467520	27,320402	-	1.090,787922	Padrão - SND	Reg.	
12/02/2019	CPFP18	1.063,319820	27,093529	-	1.090,413349	Padrão - SND	Reg.	
11/02/2019	CPFP18	1.063,172140	26,866765	-	1.090,038905	Padrão - SND	Reg.	
08/02/2019	CPFP18	1.063,605260	26,654664	-	1.090,259924	Padrão - SND	Reg.	
07/02/2019	CPFP18	1.063,425270	26,427189	-	1.089,852459	Padrão - SND	Reg.	
06/02/2019	CPFP18	1.063,245320	26,199837	-	1.089,445157	Padrão - SND	Reg.	
05/02/2019	CPFP18	1.063,065400	25,972607	-	1.089,038007	Padrão - SND	Reg.	
04/02/2019	CPFP18	1.062,885500	25,745498	-	1.088,630998	Padrão - SND	Reg.	
