PU Histórico - Gerado em 26/05/2019 21:14:37

Data do PU	Ativo	Valor Nominal	Juros	Prêmio	Preço Unitário	Critério de Cálculo	Situação	
24/05/2019	CPGE16	6.667,000000	114,991969	-	6.781,991969	Padrão - SND	Reg.	
23/05/2019	CPGE16	6.667,000000	113,121582	-	6.780,121582	Padrão - SND	Reg.	
22/05/2019	CPGE16	6.667,000000	111,251762	-	6.778,251762	Padrão - SND	Reg.	
21/05/2019	CPGE16	6.667,000000	109,382449	-	6.776,382449	Padrão - SND	Reg.	
20/05/2019	CPGE16	6.667,000000	107,513649	-	6.774,513649	Padrão - SND	Reg.	
17/05/2019	CPGE16	6.667,000000	105,645349	-	6.772,645349	Padrão - SND	Reg.	
16/05/2019	CPGE16	6.667,000000	103,777555	-	6.770,777555	Padrão - SND	Reg.	
15/05/2019	CPGE16	6.667,000000	101,910329	-	6.768,910329	Padrão - SND	Reg.	
14/05/2019	CPGE16	6.667,000000	100,043555	-	6.767,043555	Padrão - SND	Reg.	
13/05/2019	CPGE16	6.667,000000	98,177342	-	6.765,177342	Padrão - SND	Reg.	
10/05/2019	CPGE16	6.667,000000	96,311635	-	6.763,311635	Padrão - SND	Reg.	
09/05/2019	CPGE16	6.667,000000	94,446429	-	6.761,446429	Padrão - SND	Reg.	
08/05/2019	CPGE16	6.667,000000	92,581736	-	6.759,581736	Padrão - SND	Reg.	
07/05/2019	CPGE16	6.667,000000	90,717549	-	6.757,717549	Padrão - SND	Reg.	
06/05/2019	CPGE16	6.667,000000	88,853862	-	6.755,853862	Padrão - SND	Reg.	
03/05/2019	CPGE16	6.667,000000	86,990756	-	6.753,990756	Padrão - SND	Reg.	
02/05/2019	CPGE16	6.667,000000	85,128076	-	6.752,128076	Padrão - SND	Reg.	
30/04/2019	CPGE16	6.667,000000	83,265976	-	6.750,265976	Padrão - SND	Reg.	
29/04/2019	CPGE16	6.667,000000	81,404377	-	6.748,404377	Padrão - SND	Reg.	
26/04/2019	CPGE16	6.667,000000	79,543284	-	6.746,543284	Padrão - SND	Reg.	
25/04/2019	CPGE16	6.667,000000	77,682704	-	6.744,682704	Padrão - SND	Reg.	
24/04/2019	CPGE16	6.667,000000	75,822611	-	6.742,822611	Padrão - SND	Reg.	
23/04/2019	CPGE16	6.667,000000	73,963105	-	6.740,963105	Padrão - SND	Reg.	
22/04/2019	CPGE16	6.667,000000	72,104032	-	6.739,104032	Padrão - SND	Reg.	
18/04/2019	CPGE16	6.667,000000	70,245525	-	6.737,245525	Padrão - SND	Reg.	
17/04/2019	CPGE16	6.667,000000	68,387539	-	6.735,387539	Padrão - SND	Reg.	
16/04/2019	CPGE16	6.667,000000	66,529980	-	6.733,529980	Padrão - SND	Reg.	
15/04/2019	CPGE16	6.667,000000	64,672987	-	6.731,672987	Padrão - SND	Reg.	
12/04/2019	CPGE16	6.667,000000	62,816501	-	6.729,816501	Padrão - SND	Reg.	
11/04/2019	CPGE16	6.667,000000	60,960595	-	6.727,960595	Padrão - SND	Reg.	
10/04/2019	CPGE16	6.667,000000	59,105122	-	6.726,105122	Padrão - SND	Reg.	
09/04/2019	CPGE16	6.667,000000	57,250156	-	6.724,250156	Padrão - SND	Reg.	
08/04/2019	CPGE16	6.667,000000	55,395750	-	6.722,395750	Padrão - SND	Reg.	
05/04/2019	CPGE16	6.667,000000	53,541790	-	6.720,541790	Padrão - SND	Reg.	
04/04/2019	CPGE16	6.667,000000	51,688411	-	6.718,688411	Padrão - SND	Reg.	
03/04/2019	CPGE16	6.667,000000	49,835525	-	6.716,835525	Padrão - SND	Reg.	
02/04/2019	CPGE16	6.667,000000	47,983139	-	6.714,983139	Padrão - SND	Reg.	
01/04/2019	CPGE16	6.667,000000	46,131266	-	6.713,131266	Padrão - SND	Reg.	
