PU Histórico - Gerado em 26/05/2019 21:14:55

Data do PU	Ativo	Valor Nominal	Juros	Prêmio	Preço Unitário	Critério de Cálculo	Situação	
24/05/2019	CPGT12	5.000,000000	330,540750	-	5.330,540750	Padrão - SND	Reg.	
23/05/2019	CPGT12	5.000,000000	328,953250	-	5.328,953250	Padrão - SND	Reg.	
22/05/2019	CPGT12	5.000,000000	327,366200	-	5.327,366200	Padrão - SND	Reg.	
21/05/2019	CPGT12	5.000,000000	325,779650	-	5.325,779650	Padrão - SND	Reg.	
20/05/2019	CPGT12	5.000,000000	324,193550	-	5.324,193550	Padrão - SND	Reg.	
17/05/2019	CPGT12	5.000,000000	322,607950	-	5.322,607950	Padrão - SND	Reg.	
16/05/2019	CPGT12	5.000,000000	321,022800	-	5.321,022800	Padrão - SND	Reg.	
15/05/2019	CPGT12	5.000,000000	319,438150	-	5.319,438150	Padrão - SND	Reg.	
14/05/2019	CPGT12	5.000,000000	317,853950	-	5.317,853950	Padrão - SND	Reg.	
13/05/2019	CPGT12	5.000,000000	316,270200	-	5.316,270200	Padrão - SND	Reg.	
10/05/2019	CPGT12	5.000,000000	314,686950	-	5.314,686950	Padrão - SND	Reg.	
09/05/2019	CPGT12	5.000,000000	313,104150	-	5.313,104150	Padrão - SND	Reg.	
08/05/2019	CPGT12	5.000,000000	311,521850	-	5.311,521850	Padrão - SND	Reg.	
07/05/2019	CPGT12	5.000,000000	309,940000	-	5.309,940000	Padrão - SND	Reg.	
06/05/2019	CPGT12	5.000,000000	308,358650	-	5.308,358650	Padrão - SND	Reg.	
03/05/2019	CPGT12	5.000,000000	306,777750	-	5.306,777750	Padrão - SND	Reg.	
02/05/2019	CPGT12	5.000,000000	305,197300	-	5.305,197300	Padrão - SND	Reg.	
30/04/2019	CPGT12	5.000,000000	303,617350	-	5.303,617350	Padrão - SND	Reg.	
29/04/2019	CPGT12	5.000,000000	302,037850	-	5.302,037850	Padrão - SND	Reg.	
26/04/2019	CPGT12	5.000,000000	300,458850	-	5.300,458850	Padrão - SND	Reg.	
25/04/2019	CPGT12	5.000,000000	298,880300	-	5.298,880300	Padrão - SND	Reg.	
24/04/2019	CPGT12	5.000,000000	297,302250	-	5.297,302250	Padrão - SND	Reg.	
23/04/2019	CPGT12	5.000,000000	295,724600	-	5.295,724600	Padrão - SND	Reg.	
22/04/2019	CPGT12	5.000,000000	294,147500	-	5.294,147500	Padrão - SND	Reg.	
18/04/2019	CPGT12	5.000,000000	292,570800	-	5.292,570800	Padrão - SND	Reg.	
17/04/2019	CPGT12	5.000,000000	290,994600	-	5.290,994600	Padrão - SND	Reg.	
16/04/2019	CPGT12	5.000,000000	289,418900	-	5.289,418900	Padrão - SND	Reg.	
15/04/2019	CPGT12	5.000,000000	287,843650	-	5.287,843650	Padrão - SND	Reg.	
12/04/2019	CPGT12	5.000,000000	286,268850	-	5.286,268850	Padrão - SND	Reg.	
11/04/2019	CPGT12	5.000,000000	284,694500	-	5.284,694500	Padrão - SND	Reg.	
10/04/2019	CPGT12	5.000,000000	283,120650	-	5.283,120650	Padrão - SND	Reg.	
09/04/2019	CPGT12	5.000,000000	281,547300	-	5.281,547300	Padrão - SND	Reg.	
08/04/2019	CPGT12	5.000,000000	279,974350	-	5.279,974350	Padrão - SND	Reg.	
05/04/2019	CPGT12	5.000,000000	278,401900	-	5.278,401900	Padrão - SND	Reg.	
04/04/2019	CPGT12	5.000,000000	276,829950	-	5.276,829950	Padrão - SND	Reg.	
03/04/2019	CPGT12	5.000,000000	275,258450	-	5.275,258450	Padrão - SND	Reg.	
02/04/2019	CPGT12	5.000,000000	273,687400	-	5.273,687400	Padrão - SND	Reg.	
01/04/2019	CPGT12	5.000,000000	272,116800	-	5.272,116800	Padrão - SND	Reg.	
29/03/2019	CPGT12	5.000,000000	270,546700	-	5.270,546700	Padrão - SND	Reg.	
28/03/2019	CPGT12	5.000,000000	268,977050	-	5.268,977050	Padrão - SND	Reg.	
27/03/2019	CPGT12	5.000,000000	267,407900	-	5.267,407900	Padrão - SND	Reg.	
26/03/2019	CPGT12	5.000,000000	265,839200	-	5.265,839200	Padrão - SND	Reg.	
25/03/2019	CPGT12	5.000,000000	264,270950	-	5.264,270950	Padrão - SND	Reg.	
22/03/2019	CPGT12	5.000,000000	262,703200	-	5.262,703200	Padrão - SND	Reg.	
21/03/2019	CPGT12	5.000,000000	261,135900	-	5.261,135900	Padrão - SND	Reg.	
20/03/2019	CPGT12	5.000,000000	259,569050	-	5.259,569050	Padrão - SND	Reg.	
19/03/2019	CPGT12	5.000,000000	258,002700	-	5.258,002700	Padrão - SND	Reg.	
18/03/2019	CPGT12	5.000,000000	256,436800	-	5.256,436800	Padrão - SND	Reg.	
15/03/2019	CPGT12	5.000,000000	254,871350	-	5.254,871350	Padrão - SND	Reg.	
14/03/2019	CPGT12	5.000,000000	253,306350	-	5.253,306350	Padrão - SND	Reg.	
13/03/2019	CPGT12	5.000,000000	251,741850	-	5.251,741850	Padrão - SND	Reg.	
12/03/2019	CPGT12	5.000,000000	250,177850	-	5.250,177850	Padrão - SND	Reg.	
11/03/2019	CPGT12	5.000,000000	248,614250	-	5.248,614250	Padrão - SND	Reg.	
08/03/2019	CPGT12	5.000,000000	247,051150	-	5.247,051150	Padrão - SND	Reg.	
07/03/2019	CPGT12	5.000,000000	245,488500	-	5.245,488500	Padrão - SND	Reg.	
06/03/2019	CPGT12	5.000,000000	243,926350	-	5.243,926350	Padrão - SND	Reg.	
01/03/2019	CPGT12	5.000,000000	242,364600	-	5.242,364600	Padrão - SND	Reg.	
28/02/2019	CPGT12	5.000,000000	240,803400	-	5.240,803400	Padrão - SND	Reg.	
27/02/2019	CPGT12	5.000,000000	239,242600	-	5.239,242600	Padrão - SND	Reg.	
26/02/2019	CPGT12	5.000,000000	237,682300	-	5.237,682300	Padrão - SND	Reg.	
25/02/2019	CPGT12	5.000,000000	236,122450	-	5.236,122450	Padrão - SND	Reg.	
22/02/2019	CPGT12	5.000,000000	234,563050	-	5.234,563050	Padrão - SND	Reg.	
21/02/2019	CPGT12	5.000,000000	233,004100	-	5.233,004100	Padrão - SND	Reg.	
20/02/2019	CPGT12	5.000,000000	231,445650	-	5.231,445650	Padrão - SND	Reg.	
19/02/2019	CPGT12	5.000,000000	229,887650	-	5.229,887650	Padrão - SND	Reg.	
18/02/2019	CPGT12	5.000,000000	228,330150	-	5.228,330150	Padrão - SND	Reg.	
15/02/2019	CPGT12	5.000,000000	226,773050	-	5.226,773050	Padrão - SND	Reg.	
14/02/2019	CPGT12	5.000,000000	225,216450	-	5.225,216450	Padrão - SND	Reg.	
13/02/2019	CPGT12	5.000,000000	223,660350	-	5.223,660350	Padrão - SND	Reg.	
12/02/2019	CPGT12	5.000,000000	222,104650	-	5.222,104650	Padrão - SND	Reg.	
11/02/2019	CPGT12	5.000,000000	220,549450	-	5.220,549450	Padrão - SND	Reg.	
08/02/2019	CPGT12	5.000,000000	218,994700	-	5.218,994700	Padrão - SND	Reg.	
07/02/2019	CPGT12	5.000,000000	217,440400	-	5.217,440400	Padrão - SND	Reg.	
06/02/2019	CPGT12	5.000,000000	215,886600	-	5.215,886600	Padrão - SND	Reg.	
05/02/2019	CPGT12	5.000,000000	214,333200	-	5.214,333200	Padrão - SND	Reg.	
04/02/2019	CPGT12	5.000,000000	212,780350	-	5.212,780350	Padrão - SND	Reg.	
01/02/2019	CPGT12	5.000,000000	211,227900	-	5.211,227900	Padrão - SND	Reg.	
31/01/2019	CPGT12	5.000,000000	209,675900	-	5.209,675900	Padrão - SND	Reg.	
30/01/2019	CPGT12	5.000,000000	208,124400	-	5.208,124400	Padrão - SND	Reg.	
29/01/2019	CPGT12	5.000,000000	206,573350	-	5.206,573350	Padrão - SND	Reg.	
28/01/2019	CPGT12	5.000,000000	205,022750	-	5.205,022750	Padrão - SND	Reg.	
25/01/2019	CPGT12	5.000,000000	203,472650	-	5.203,472650	Padrão - SND	Reg.	
24/01/2019	CPGT12	5.000,000000	201,923000	-	5.201,923000	Padrão - SND	Reg.	
23/01/2019	CPGT12	5.000,000000	200,373800	-	5.200,373800	Padrão - SND	Reg.	
22/01/2019	CPGT12	5.000,000000	198,825050	-	5.198,825050	Padrão - SND	Reg.	
21/01/2019	CPGT12	5.000,000000	197,276750	-	5.197,276750	Padrão - SND	Reg.	
18/01/2019	CPGT12	5.000,000000	195,728950	-	5.195,728950	Padrão - SND	Reg.	
17/01/2019	CPGT12	5.000,000000	194,181600	-	5.194,181600	Padrão - SND	Reg.	
16/01/2019	CPGT12	5.000,000000	192,634700	-	5.192,634700	Padrão - SND	Reg.	
15/01/2019	CPGT12	5.000,000000	191,088250	-	5.191,088250	Padrão - SND	Reg.	
14/01/2019	CPGT12	5.000,000000	189,542300	-	5.189,542300	Padrão - SND	Reg.	
11/01/2019	CPGT12	5.000,000000	187,996750	-	5.187,996750	Padrão - SND	Reg.	
10/01/2019	CPGT12	5.000,000000	186,451700	-	5.186,451700	Padrão - SND	Reg.	
09/01/2019	CPGT12	5.000,000000	184,907100	-	5.184,907100	Padrão - SND	Reg.	
08/01/2019	CPGT12	5.000,000000	183,363000	-	5.183,363000	Padrão - SND	Reg.	
07/01/2019	CPGT12	5.000,000000	181,819300	-	5.181,819300	Padrão - SND	Reg.	
04/01/2019	CPGT12	5.000,000000	180,276100	-	5.180,276100	Padrão - SND	Reg.	
03/01/2019	CPGT12	5.000,000000	178,733350	-	5.178,733350	Padrão - SND	Reg.	
02/01/2019	CPGT12	5.000,000000	177,191050	-	5.177,191050	Padrão - SND	Reg.	
31/12/2018	CPGT12	5.000,000000	175,649200	-	5.175,649200	Padrão - SND	Reg.	
28/12/2018	CPGT12	5.000,000000	174,107850	-	5.174,107850	Padrão - SND	Reg.	
27/12/2018	CPGT12	5.000,000000	172,566900	-	5.172,566900	Padrão - SND	Reg.	
26/12/2018	CPGT12	5.000,000000	171,026450	-	5.171,026450	Padrão - SND	Reg.	
24/12/2018	CPGT12	5.000,000000	169,486450	-	5.169,486450	Padrão - SND	Reg.	
21/12/2018	CPGT12	5.000,000000	167,946900	-	5.167,946900	Padrão - SND	Reg.	
20/12/2018	CPGT12	5.000,000000	166,407850	-	5.166,407850	Padrão - SND	Reg.	
19/12/2018	CPGT12	5.000,000000	164,869200	-	5.164,869200	Padrão - SND	Reg.	
18/12/2018	CPGT12	5.000,000000	163,331050	-	5.163,331050	Padrão - SND	Reg.	
17/12/2018	CPGT12	5.000,000000	161,793350	-	5.161,793350	Padrão - SND	Reg.	
14/12/2018	CPGT12	5.000,000000	160,256100	-	5.160,256100	Padrão - SND	Reg.	
13/12/2018	CPGT12	5.000,000000	158,719300	-	5.158,719300	Padrão - SND	Reg.	
12/12/2018	CPGT12	5.000,000000	157,182950	-	5.157,182950	Padrão - SND	Reg.	
11/12/2018	CPGT12	5.000,000000	155,647050	-	5.155,647050	Padrão - SND	Reg.	
10/12/2018	CPGT12	5.000,000000	154,111650	-	5.154,111650	Padrão - SND	Reg.	
07/12/2018	CPGT12	5.000,000000	152,576700	-	5.152,576700	Padrão - SND	Reg.	
06/12/2018	CPGT12	5.000,000000	151,042200	-	5.151,042200	Padrão - SND	Reg.	
05/12/2018	CPGT12	5.000,000000	149,508150	-	5.149,508150	Padrão - SND	Reg.	
04/12/2018	CPGT12	5.000,000000	147,974550	-	5.147,974550	Padrão - SND	Reg.	
03/12/2018	CPGT12	5.000,000000	146,441400	-	5.146,441400	Padrão - SND	Reg.	
30/11/2018	CPGT12	5.000,000000	144,908750	-	5.144,908750	Padrão - SND	Reg.	
29/11/2018	CPGT12	5.000,000000	143,376500	-	5.143,376500	Padrão - SND	Reg.	
28/11/2018	CPGT12	5.000,000000	141,844750	-	5.141,844750	Padrão - SND	Reg.	
27/11/2018	CPGT12	5.000,000000	140,313450	-	5.140,313450	Padrão - SND	Reg.	
26/11/2018	CPGT12	5.000,000000	138,782600	-	5.138,782600	Padrão - SND	Reg.	
23/11/2018	CPGT12	5.000,000000	137,252200	-	5.137,252200	Padrão - SND	Reg.	
22/11/2018	CPGT12	5.000,000000	135,722250	-	5.135,722250	Padrão - SND	Reg.	
21/11/2018	CPGT12	5.000,000000	134,192750	-	5.134,192750	Padrão - SND	Reg.	
20/11/2018	CPGT12	5.000,000000	132,663700	-	5.132,663700	Padrão - SND	Reg.	
19/11/2018	CPGT12	5.000,000000	131,135150	-	5.131,135150	Padrão - SND	Reg.	
16/11/2018	CPGT12	5.000,000000	129,607050	-	5.129,607050	Padrão - SND	Reg.	
14/11/2018	CPGT12	5.000,000000	128,079350	-	5.128,079350	Padrão - SND	Reg.	
13/11/2018	CPGT12	5.000,000000	126,552150	-	5.126,552150	Padrão - SND	Reg.	
12/11/2018	CPGT12	5.000,000000	125,025400	-	5.125,025400	Padrão - SND	Reg.	
09/11/2018	CPGT12	5.000,000000	123,499100	-	5.123,499100	Padrão - SND	Reg.	
