PU Histórico - Gerado em 26/05/2019 21:15:06

Data do PU	Ativo	Valor Nominal	Juros	Prêmio	Preço Unitário	Critério de Cálculo	Situação	
24/05/2019	CPIS11	1.000,000000	27,940350	-	1.027,940350	Padrão - SND	Reg.	
23/05/2019	CPIS11	1.000,000000	27,662670	-	1.027,662670	Padrão - SND	Reg.	
22/05/2019	CPIS11	1.000,000000	27,385060	-	1.027,385060	Padrão - SND	Reg.	
21/05/2019	CPIS11	1.000,000000	27,107530	-	1.027,107530	Padrão - SND	Reg.	
20/05/2019	CPIS11	1.000,000000	26,830080	-	1.026,830080	Padrão - SND	Reg.	
17/05/2019	CPIS11	1.000,000000	26,552700	-	1.026,552700	Padrão - SND	Reg.	
16/05/2019	CPIS11	1.000,000000	26,275400	-	1.026,275400	Padrão - SND	Reg.	
15/05/2019	CPIS11	1.000,000000	25,998170	-	1.025,998170	Padrão - SND	Reg.	
14/05/2019	CPIS11	1.000,000000	25,721010	-	1.025,721010	Padrão - SND	Reg.	
13/05/2019	CPIS11	1.000,000000	25,443930	-	1.025,443930	Padrão - SND	Reg.	
10/05/2019	CPIS11	1.000,000000	25,166930	-	1.025,166930	Padrão - SND	Reg.	
09/05/2019	CPIS11	1.000,000000	24,890000	-	1.024,890000	Padrão - SND	Reg.	
08/05/2019	CPIS11	1.000,000000	24,613140	-	1.024,613140	Padrão - SND	Reg.	
07/05/2019	CPIS11	1.000,000000	24,336360	-	1.024,336360	Padrão - SND	Reg.	
06/05/2019	CPIS11	1.000,000000	24,059660	-	1.024,059660	Padrão - SND	Reg.	
03/05/2019	CPIS11	1.000,000000	23,783030	-	1.023,783030	Padrão - SND	Reg.	
02/05/2019	CPIS11	1.000,000000	23,506470	-	1.023,506470	Padrão - SND	Reg.	
30/04/2019	CPIS11	1.000,000000	23,229990	-	1.023,229990	Padrão - SND	Reg.	
29/04/2019	CPIS11	1.000,000000	22,953580	-	1.022,953580	Padrão - SND	Reg.	
26/04/2019	CPIS11	1.000,000000	22,677250	-	1.022,677250	Padrão - SND	Reg.	
25/04/2019	CPIS11	1.000,000000	22,400990	-	1.022,400990	Padrão - SND	Reg.	
24/04/2019	CPIS11	1.000,000000	22,124810	-	1.022,124810	Padrão - SND	Reg.	
23/04/2019	CPIS11	1.000,000000	21,848700	-	1.021,848700	Padrão - SND	Reg.	
22/04/2019	CPIS11	1.000,000000	21,572670	-	1.021,572670	Padrão - SND	Reg.	
18/04/2019	CPIS11	1.000,000000	21,296710	-	1.021,296710	Padrão - SND	Reg.	
17/04/2019	CPIS11	1.000,000000	21,020830	-	1.021,020830	Padrão - SND	Reg.	
16/04/2019	CPIS11	1.000,000000	20,745020	-	1.020,745020	Padrão - SND	Reg.	
15/04/2019	CPIS11	1.000,000000	20,469280	-	1.020,469280	Padrão - SND	Reg.	
12/04/2019	CPIS11	1.000,000000	20,193620	-	1.020,193620	Padrão - SND	Reg.	
11/04/2019	CPIS11	1.000,000000	19,918030	-	1.019,918030	Padrão - SND	Reg.	
10/04/2019	CPIS11	1.000,000000	19,642520	-	1.019,642520	Padrão - SND	Reg.	
09/04/2019	CPIS11	1.000,000000	19,367080	-	1.019,367080	Padrão - SND	Reg.	
08/04/2019	CPIS11	1.000,000000	19,091720	-	1.019,091720	Padrão - SND	Reg.	
05/04/2019	CPIS11	1.000,000000	18,816430	-	1.018,816430	Padrão - SND	Reg.	
04/04/2019	CPIS11	1.000,000000	18,541220	-	1.018,541220	Padrão - SND	Reg.	
03/04/2019	CPIS11	1.000,000000	18,266080	-	1.018,266080	Padrão - SND	Reg.	
02/04/2019	CPIS11	1.000,000000	17,991010	-	1.017,991010	Padrão - SND	Reg.	
01/04/2019	CPIS11	1.000,000000	17,716020	-	1.017,716020	Padrão - SND	Reg.	
29/03/2019	CPIS11	1.000,000000	17,441100	-	1.017,441100	Padrão - SND	Reg.	
28/03/2019	CPIS11	1.000,000000	17,166260	-	1.017,166260	Padrão - SND	Reg.	
27/03/2019	CPIS11	1.000,000000	16,891490	-	1.016,891490	Padrão - SND	Reg.	
26/03/2019	CPIS11	1.000,000000	16,616800	-	1.016,616800	Padrão - SND	Reg.	
25/03/2019	CPIS11	1.000,000000	16,342180	-	1.016,342180	Padrão - SND	Reg.	
22/03/2019	CPIS11	1.000,000000	16,067630	-	1.016,067630	Padrão - SND	Reg.	
21/03/2019	CPIS11	1.000,000000	15,793160	-	1.015,793160	Padrão - SND	Reg.	
20/03/2019	CPIS11	1.000,000000	15,518760	-	1.015,518760	Padrão - SND	Reg.	
