PU Histórico - Gerado em 26/05/2019 21:15:17

Data do PU	Ativo	Valor Nominal	Juros	Prêmio	Preço Unitário	Critério de Cálculo	Situação	
24/05/2019	CPLE17	1.000,000000	25,212060	-	1.025,212060	Padrão - SND	Reg.	
23/05/2019	CPLE17	1.000,000000	24,911790	-	1.024,911790	Padrão - SND	Reg.	
22/05/2019	CPLE17	1.000,000000	24,611600	-	1.024,611600	Padrão - SND	Reg.	
21/05/2019	CPLE17	1.000,000000	24,311500	-	1.024,311500	Padrão - SND	Reg.	
20/05/2019	CPLE17	1.000,000000	24,011480	-	1.024,011480	Padrão - SND	Reg.	
17/05/2019	CPLE17	1.000,000000	23,711560	-	1.023,711560	Padrão - SND	Reg.	
16/05/2019	CPLE17	1.000,000000	23,411720	-	1.023,411720	Padrão - SND	Reg.	
15/05/2019	CPLE17	1.000,000000	23,111970	-	1.023,111970	Padrão - SND	Reg.	
14/05/2019	CPLE17	1.000,000000	22,812310	-	1.022,812310	Padrão - SND	Reg.	
13/05/2019	CPLE17	1.000,000000	22,512740	-	1.022,512740	Padrão - SND	Reg.	
10/05/2019	CPLE17	1.000,000000	22,213250	-	1.022,213250	Padrão - SND	Reg.	
09/05/2019	CPLE17	1.000,000000	21,913850	-	1.021,913850	Padrão - SND	Reg.	
08/05/2019	CPLE17	1.000,000000	21,614540	-	1.021,614540	Padrão - SND	Reg.	
07/05/2019	CPLE17	1.000,000000	21,315320	-	1.021,315320	Padrão - SND	Reg.	
06/05/2019	CPLE17	1.000,000000	21,016190	-	1.021,016190	Padrão - SND	Reg.	
03/05/2019	CPLE17	1.000,000000	20,717140	-	1.020,717140	Padrão - SND	Reg.	
02/05/2019	CPLE17	1.000,000000	20,418180	-	1.020,418180	Padrão - SND	Reg.	
30/04/2019	CPLE17	1.000,000000	20,119300	-	1.020,119300	Padrão - SND	Reg.	
29/04/2019	CPLE17	1.000,000000	19,820520	-	1.019,820520	Padrão - SND	Reg.	
26/04/2019	CPLE17	1.000,000000	19,521820	-	1.019,521820	Padrão - SND	Reg.	
25/04/2019	CPLE17	1.000,000000	19,223210	-	1.019,223210	Padrão - SND	Reg.	
24/04/2019	CPLE17	1.000,000000	18,924690	-	1.018,924690	Padrão - SND	Reg.	
