PU Histórico - Gerado em 26/05/2019 21:15:20

Data do PU	Ativo	Valor Nominal	Juros	Prêmio	Preço Unitário	Critério de Cálculo	Situação	
24/05/2019	CPNA11	470.593,000000	11.151,669615	-	481.744,669615	Padrão - SND	Reg.	
23/05/2019	CPNA11	470.593,000000	10.963,661124	-	481.556,661124	Padrão - SND	Reg.	
22/05/2019	CPNA11	470.593,000000	10.775,725574	-	481.368,725574	Padrão - SND	Reg.	
21/05/2019	CPNA11	470.593,000000	10.587,862025	-	481.180,862025	Padrão - SND	Reg.	
20/05/2019	CPNA11	470.593,000000	10.400,071417	-	480.993,071417	Padrão - SND	Reg.	
17/05/2019	CPNA11	470.593,000000	10.212,357987	-	480.805,357987	Padrão - SND	Reg.	
16/05/2019	CPNA11	470.593,000000	10.024,712323	-	480.617,712323	Padrão - SND	Reg.	
15/05/2019	CPNA11	470.593,000000	9.837,144777	-	480.430,144777	Padrão - SND	Reg.	
14/05/2019	CPNA11	470.593,000000	9.649,648761	-	480.242,648761	Padrão - SND	Reg.	
13/05/2019	CPNA11	470.593,000000	9.462,225686	-	480.055,225686	Padrão - SND	Reg.	
10/05/2019	CPNA11	470.593,000000	9.274,875084	-	479.867,875084	Padrão - SND	Reg.	
09/05/2019	CPNA11	470.593,000000	9.087,596952	-	479.680,596952	Padrão - SND	Reg.	
08/05/2019	CPNA11	470.593,000000	8.900,391292	-	479.493,391292	Padrão - SND	Reg.	
07/05/2019	CPNA11	470.593,000000	8.713,262809	-	479.306,262809	Padrão - SND	Reg.	
06/05/2019	CPNA11	470.593,000000	8.526,202092	-	479.119,202092	Padrão - SND	Reg.	
03/05/2019	CPNA11	470.593,000000	8.339,218551	-	478.932,218551	Padrão - SND	Reg.	
02/05/2019	CPNA11	470.593,000000	8.152,307482	-	478.745,307482	Padrão - SND	Reg.	
30/04/2019	CPNA11	470.593,000000	7.965,468414	-	478.558,468414	Padrão - SND	Reg.	
29/04/2019	CPNA11	470.593,000000	7.778,701817	-	478.371,701817	Padrão - SND	Reg.	
26/04/2019	CPNA11	470.593,000000	7.592,007692	-	478.185,007692	Padrão - SND	Reg.	
25/04/2019	CPNA11	470.593,000000	7.405,390744	-	477.998,390744	Padrão - SND	Reg.	
24/04/2019	CPNA11	470.593,000000	7.218,840619	-	477.811,840619	Padrão - SND	Reg.	
23/04/2019	CPNA11	470.593,000000	7.032,367673	-	477.625,367673	Padrão - SND	Reg.	
22/04/2019	CPNA11	470.593,000000	6.845,967197	-	477.438,967197	Padrão - SND	Reg.	
18/04/2019	CPNA11	470.593,000000	6.659,634016	-	477.252,634016	Padrão - SND	Reg.	
17/04/2019	CPNA11	470.593,000000	6.473,378013	-	477.066,378013	Padrão - SND	Reg.	
16/04/2019	CPNA11	470.593,000000	6.287,194010	-	476.880,194010	Padrão - SND	Reg.	
15/04/2019	CPNA11	470.593,000000	6.101,087185	-	476.694,087185	Padrão - SND	Reg.	
12/04/2019	CPNA11	470.593,000000	5.915,047183	-	476.508,047183	Padrão - SND	Reg.	
11/04/2019	CPNA11	470.593,000000	5.729,079653	-	476.322,079653	Padrão - SND	Reg.	
10/04/2019	CPNA11	470.593,000000	5.543,188830	-	476.136,188830	Padrão - SND	Reg.	
09/04/2019	CPNA11	470.593,000000	5.357,365302	-	475.950,365302	Padrão - SND	Reg.	
08/04/2019	CPNA11	470.593,000000	5.171,618480	-	475.764,618480	Padrão - SND	Reg.	
05/04/2019	CPNA11	470.593,000000	4.985,943659	-	475.578,943659	Padrão - SND	Reg.	
04/04/2019	CPNA11	470.593,000000	4.800,340838	-	475.393,340838	Padrão - SND	Reg.	
03/04/2019	CPNA11	470.593,000000	4.614,810489	-	475.207,810489	Padrão - SND	Reg.	
02/04/2019	CPNA11	470.593,000000	4.429,351200	-	475.022,351200	Padrão - SND	Reg.	
01/04/2019	CPNA11	470.593,000000	4.243,963911	-	474.836,963911	Padrão - SND	Reg.	
29/03/2019	CPNA11	470.593,000000	4.058,649564	-	474.651,649564	Padrão - SND	Reg.	
28/03/2019	CPNA11	470.593,000000	3.873,410983	-	474.466,410983	Padrão - SND	Reg.	
27/03/2019	CPNA11	470.593,000000	3.688,239696	-	474.281,239696	Padrão - SND	Reg.	
26/03/2019	CPNA11	470.593,000000	3.503,144645	-	474.096,144645	Padrão - SND	Reg.	
25/03/2019	CPNA11	470.593,000000	3.318,122066	-	473.911,122066	Padrão - SND	Reg.	
22/03/2019	CPNA11	470.593,000000	3.133,166311	-	473.726,166311	Padrão - SND	Reg.	
21/03/2019	CPNA11	470.593,000000	2.948,286792	-	473.541,286792	Padrão - SND	Reg.	
20/03/2019	CPNA11	470.593,000000	2.763,479274	-	473.356,479274	Padrão - SND	Reg.	
19/03/2019	CPNA11	470.593,000000	2.578,743286	-	473.171,743286	Padrão - SND	Reg.	
18/03/2019	CPNA11	470.593,000000	2.394,079299	-	472.987,079299	Padrão - SND	Reg.	
15/03/2019	CPNA11	470.593,000000	2.209,486841	-	472.802,486841	Padrão - SND	Reg.	
14/03/2019	CPNA11	470.593,000000	2.024,971091	-	472.617,971091	Padrão - SND	Reg.	
13/03/2019	CPNA11	470.593,000000	1.840,521694	-	472.433,521694	Padrão - SND	Reg.	
12/03/2019	CPNA11	470.593,000000	1.656,144298	-	472.249,144298	Padrão - SND	Reg.	
11/03/2019	CPNA11	470.593,000000	1.471,843138	-	472.064,843138	Padrão - SND	Reg.	
08/03/2019	CPNA11	470.593,000000	1.287,608802	-	471.880,608802	Padrão - SND	Reg.	
07/03/2019	CPNA11	470.593,000000	1.103,450702	-	471.696,450702	Padrão - SND	Reg.	
06/03/2019	CPNA11	470.593,000000	919,364132	-	471.512,364132	Padrão - SND	Reg.	
01/03/2019	CPNA11	470.593,000000	735,344857	-	471.328,344857	Padrão - SND	Reg.	
28/02/2019	CPNA11	470.593,000000	551,401818	-	471.144,401818	Padrão - SND	Reg.	
27/02/2019	CPNA11	470.593,000000	367,529368	-	470.960,529368	Padrão - SND	Reg.	
26/02/2019	CPNA11	470.593,000000	183,728919	-	470.776,728919	Padrão - SND	Reg.	
25/02/2019	CPNA11	470.593,000000	-  	-	470.593,000000	Padrão - SND	Reg.	
22/02/2019	CPNA11	529.416,000000	12.968,870809	-	542.384,870809	Padrão - SND	Reg.	
21/02/2019	CPNA11	529.416,000000	12.757,192821	-	542.173,192821	Padrão - SND	Reg.	
20/02/2019	CPNA11	529.416,000000	12.545,601658	-	541.961,601658	Padrão - SND	Reg.	
19/02/2019	CPNA11	529.416,000000	12.334,092554	-	541.750,092554	Padrão - SND	Reg.	
18/02/2019	CPNA11	529.416,000000	12.122,665510	-	541.538,665510	Padrão - SND	Reg.	
15/02/2019	CPNA11	529.416,000000	11.911,319996	-	541.327,319996	Padrão - SND	Reg.	
14/02/2019	CPNA11	529.416,000000	11.700,055482	-	541.116,055482	Padrão - SND	Reg.	
13/02/2019	CPNA11	529.416,000000	11.488,878322	-	540.904,878322	Padrão - SND	Reg.	
12/02/2019	CPNA11	529.416,000000	11.277,777927	-	540.693,777927	Padrão - SND	Reg.	
11/02/2019	CPNA11	529.416,000000	11.066,764357	-	540.482,764357	Padrão - SND	Reg.	
08/02/2019	CPNA11	529.416,000000	10.855,831787	-	540.271,831787	Padrão - SND	Reg.	
07/02/2019	CPNA11	529.416,000000	10.644,981277	-	540.060,981277	Padrão - SND	Reg.	
06/02/2019	CPNA11	529.416,000000	10.434,212826	-	539.850,212826	Padrão - SND	Reg.	
05/02/2019	CPNA11	529.416,000000	10.223,525376	-	539.639,525376	Padrão - SND	Reg.	
04/02/2019	CPNA11	529.416,000000	10.012,919456	-	539.428,919456	Padrão - SND	Reg.	
01/02/2019	CPNA11	529.416,000000	9.802,400360	-	539.218,400360	Padrão - SND	Reg.	
31/01/2019	CPNA11	529.416,000000	9.591,957500	-	539.007,957500	Padrão - SND	Reg.	
30/01/2019	CPNA11	529.416,000000	9.381,600935	-	538.797,600935	Padrão - SND	Reg.	
29/01/2019	CPNA11	529.416,000000	9.171,326429	-	538.587,326429	Padrão - SND	Reg.	
28/01/2019	CPNA11	529.416,000000	8.961,133453	-	538.377,133453	Padrão - SND	Reg.	
25/01/2019	CPNA11	529.416,000000	8.751,020949	-	538.167,020949	Padrão - SND	Reg.	
24/01/2019	CPNA11	529.416,000000	8.540,991033	-	537.956,991033	Padrão - SND	Reg.	
23/01/2019	CPNA11	529.416,000000	8.331,046883	-	537.747,046883	Padrão - SND	Reg.	
22/01/2019	CPNA11	529.416,000000	8.121,178439	-	537.537,178439	Padrão - SND	Reg.	
21/01/2019	CPNA11	529.416,000000	7.911,396820	-	537.327,396820	Padrão - SND	Reg.	
18/01/2019	CPNA11	529.416,000000	7.701,697260	-	537.117,697260	Padrão - SND	Reg.	
17/01/2019	CPNA11	529.416,000000	7.492,072877	-	536.908,072877	Padrão - SND	Reg.	
16/01/2019	CPNA11	529.416,000000	7.282,534789	-	536.698,534789	Padrão - SND	Reg.	
15/01/2019	CPNA11	529.416,000000	7.073,078231	-	536.489,078231	Padrão - SND	Reg.	
14/01/2019	CPNA11	529.416,000000	6.863,708497	-	536.279,708497	Padrão - SND	Reg.	
11/01/2019	CPNA11	529.416,000000	6.654,413941	-	536.070,413941	Padrão - SND	Reg.	
10/01/2019	CPNA11	529.416,000000	6.445,200914	-	535.861,200914	Padrão - SND	Reg.	
09/01/2019	CPNA11	529.416,000000	6.236,074182	-	535.652,074182	Padrão - SND	Reg.	
