PU Histórico - Gerado em 26/05/2019 21:15:26

Data do PU	Ativo	Valor Nominal	Juros	Prêmio	Preço Unitário	Critério de Cálculo	Situação	
24/05/2019	CPQB13	794.673,000000	6.475,585251	-	801.148,585251	Padrão - SND	Reg.	
23/05/2019	CPQB13	794.673,000000	6.093,213239	-	800.766,213239	Padrão - SND	Reg.	
22/05/2019	CPQB13	794.673,000000	5.711,023206	-	800.384,023206	Padrão - SND	Reg.	
21/05/2019	CPQB13	794.673,000000	5.329,014359	-	800.002,014359	Padrão - SND	Reg.	
20/05/2019	CPQB13	794.673,000000	4.947,187492	-	799.620,187492	Padrão - SND	Reg.	
17/05/2019	CPQB13	794.673,000000	4.565,541810	-	799.238,541810	Padrão - SND	Reg.	
16/05/2019	CPQB13	794.673,000000	4.184,086850	-	798.857,086850	Padrão - SND	Reg.	
15/05/2019	CPQB13	794.673,000000	3.802,804334	-	798.475,804334	Padrão - SND	Reg.	
14/05/2019	CPQB13	794.673,000000	3.421,702209	-	798.094,702209	Padrão - SND	Reg.	
13/05/2019	CPQB13	794.673,000000	3.040,791600	-	797.713,791600	Padrão - SND	Reg.	
10/05/2019	CPQB13	794.673,000000	2.660,053435	-	797.333,053435	Padrão - SND	Reg.	
09/05/2019	CPQB13	794.673,000000	2.279,503607	-	796.952,503607	Padrão - SND	Reg.	
08/05/2019	CPQB13	794.673,000000	1.899,135760	-	796.572,135760	Padrão - SND	Reg.	
07/05/2019	CPQB13	794.673,000000	1.518,940356	-	796.191,940356	Padrão - SND	Reg.	
06/05/2019	CPQB13	794.673,000000	1.138,934085	-	795.811,934085	Padrão - SND	Reg.	
03/05/2019	CPQB13	794.673,000000	759,108999	-	795.432,108999	Padrão - SND	Reg.	
02/05/2019	CPQB13	794.673,000000	379,464304	-	795.052,464304	Padrão - SND	Reg.	
30/04/2019	CPQB13	794.673,000000	-  	-	794.673,000000	Padrão - SND	Reg.	
29/04/2019	CPQB13	796.007,000000	7.253,038274	-	803.260,038274	Padrão - SND	Reg.	
26/04/2019	CPQB13	796.007,000000	6.869,659811	-	802.876,659811	Padrão - SND	Reg.	
25/04/2019	CPQB13	796.007,000000	6.486,455673	-	802.493,455673	Padrão - SND	Reg.	
24/04/2019	CPQB13	796.007,000000	6.103,440985	-	802.110,440985	Padrão - SND	Reg.	
23/04/2019	CPQB13	796.007,000000	5.720,609378	-	801.727,609378	Padrão - SND	Reg.	
22/04/2019	CPQB13	796.007,000000	5.337,960057	-	801.344,960057	Padrão - SND	Reg.	
18/04/2019	CPQB13	796.007,000000	4.955,492226	-	800.962,492226	Padrão - SND	Reg.	
17/04/2019	CPQB13	796.007,000000	4.573,205884	-	800.580,205884	Padrão - SND	Reg.	
16/04/2019	CPQB13	796.007,000000	4.191,109788	-	800.198,109788	Padrão - SND	Reg.	
15/04/2019	CPQB13	796.007,000000	3.809,188018	-	799.816,188018	Padrão - SND	Reg.	
12/04/2019	CPQB13	796.007,000000	3.427,446145	-	799.434,446145	Padrão - SND	Reg.	
11/04/2019	CPQB13	796.007,000000	3.045,896109	-	799.052,896109	Padrão - SND	Reg.	
10/04/2019	CPQB13	796.007,000000	2.664,518011	-	798.671,518011	Padrão - SND	Reg.	
09/04/2019	CPQB13	796.007,000000	2.283,330159	-	798.290,330159	Padrão - SND	Reg.	
08/04/2019	CPQB13	796.007,000000	1.902,323797	-	797.909,323797	Padrão - SND	Reg.	
05/04/2019	CPQB13	796.007,000000	1.521,490168	-	797.528,490168	Padrão - SND	Reg.	
04/04/2019	CPQB13	796.007,000000	1.140,845988	-	797.147,845988	Padrão - SND	Reg.	
03/04/2019	CPQB13	796.007,000000	760,383299	-	796.767,383299	Padrão - SND	Reg.	
02/04/2019	CPQB13	796.007,000000	380,101303	-	796.387,101303	Padrão - SND	Reg.	
01/04/2019	CPQB13	796.007,000000	-  	-	796.007,000000	Padrão - SND	Reg.	
29/03/2019	CPQB13	797.341,000000	7.265,193385	-	804.606,193385	Padrão - SND	Reg.	
28/03/2019	CPQB13	797.341,000000	6.881,172431	-	804.222,172431	Padrão - SND	Reg.	
27/03/2019	CPQB13	797.341,000000	6.497,326095	-	803.838,326095	Padrão - SND	Reg.	
26/03/2019	CPQB13	797.341,000000	6.113,669526	-	803.454,669526	Padrão - SND	Reg.	
25/03/2019	CPQB13	797.341,000000	5.730,196346	-	803.071,196346	Padrão - SND	Reg.	
22/03/2019	CPQB13	797.341,000000	5.346,905756	-	802.687,905756	Padrão - SND	Reg.	
21/03/2019	CPQB13	797.341,000000	4.963,796960	-	802.304,796960	Padrão - SND	Reg.	
20/03/2019	CPQB13	797.341,000000	4.580,869958	-	801.921,869958	Padrão - SND	Reg.	
19/03/2019	CPQB13	797.341,000000	4.198,133521	-	801.539,133521	Padrão - SND	Reg.	
18/03/2019	CPQB13	797.341,000000	3.815,571701	-	801.156,571701	Padrão - SND	Reg.	
15/03/2019	CPQB13	797.341,000000	3.433,190080	-	800.774,190080	Padrão - SND	Reg.	
14/03/2019	CPQB13	797.341,000000	3.051,000619	-	800.392,000619	Padrão - SND	Reg.	
13/03/2019	CPQB13	797.341,000000	2.668,983383	-	800.009,983383	Padrão - SND	Reg.	
12/03/2019	CPQB13	797.341,000000	2.287,156712	-	799.628,156712	Padrão - SND	Reg.	
11/03/2019	CPQB13	797.341,000000	1.905,511834	-	799.246,511834	Padrão - SND	Reg.	
08/03/2019	CPQB13	797.341,000000	1.524,039979	-	798.865,039979	Padrão - SND	Reg.	
07/03/2019	CPQB13	797.341,000000	1.142,757892	-	798.483,757892	Padrão - SND	Reg.	
06/03/2019	CPQB13	797.341,000000	761,657598	-	798.102,657598	Padrão - SND	Reg.	
01/03/2019	CPQB13	797.341,000000	380,738301	-	797.721,738301	Padrão - SND	Reg.	
28/02/2019	CPQB13	797.341,000000	-  	-	797.341,000000	Padrão - SND	Reg.	
27/02/2019	CPQB13	798.674,000000	7.662,186041	-	806.336,186041	Padrão - SND	Reg.	
26/02/2019	CPQB13	798.674,000000	7.277,340182	-	805.951,340182	Padrão - SND	Reg.	
25/02/2019	CPQB13	798.674,000000	6.892,677220	-	805.566,677220	Padrão - SND	Reg.	
22/02/2019	CPQB13	798.674,000000	6.508,188368	-	805.182,188368	Padrão - SND	Reg.	
21/02/2019	CPQB13	798.674,000000	6.123,891198	-	804.797,891198	Padrão - SND	Reg.	
20/02/2019	CPQB13	798.674,000000	5.739,776925	-	804.413,776925	Padrão - SND	Reg.	
19/02/2019	CPQB13	798.674,000000	5.355,844749	-	804.029,844749	Padrão - SND	Reg.	
18/02/2019	CPQB13	798.674,000000	4.972,095469	-	803.646,095469	Padrão - SND	Reg.	
15/02/2019	CPQB13	798.674,000000	4.588,528287	-	803.262,528287	Padrão - SND	Reg.	
14/02/2019	CPQB13	798.674,000000	4.205,152787	-	802.879,152787	Padrão - SND	Reg.	
13/02/2019	CPQB13	798.674,000000	3.821,950599	-	802.495,950599	Padrão - SND	Reg.	
12/02/2019	CPQB13	798.674,000000	3.438,929711	-	802.112,929711	Padrão - SND	Reg.	
11/02/2019	CPQB13	798.674,000000	3.056,101302	-	801.730,101302	Padrão - SND	Reg.	
08/02/2019	CPQB13	798.674,000000	2.673,446206	-	801.347,446206	Padrão - SND	Reg.	
07/02/2019	CPQB13	798.674,000000	2.290,980396	-	800.964,980396	Padrão - SND	Reg.	
06/02/2019	CPQB13	798.674,000000	1.908,697481	-	800.582,697481	Padrão - SND	Reg.	
05/02/2019	CPQB13	798.674,000000	1.526,587880	-	800.200,587880	Padrão - SND	Reg.	
04/02/2019	CPQB13	798.674,000000	1.144,668362	-	799.818,668362	Padrão - SND	Reg.	
01/02/2019	CPQB13	798.674,000000	762,930942	-	799.436,930942	Padrão - SND	Reg.	
31/01/2019	CPQB13	798.674,000000	381,374822	-	799.055,374822	Padrão - SND	Reg.	
30/01/2019	CPQB13	798.674,000000	-  	-	798.674,000000	Padrão - SND	Reg.	
