PU Histórico - Gerado em 26/05/2019 21:15:36

Data do PU	Ativo	Valor Nominal	Juros	Prêmio	Preço Unitário	Critério de Cálculo	Situação	
24/05/2019	CPSC13	1.184,383699	2,856726	-	1.187,240425	Padrão - SND	Reg.	
23/05/2019	CPSC13	1.184,383699	2,448205	-	1.186,831904	Padrão - SND	Reg.	
22/05/2019	CPSC13	1.184,383699	2,039825	-	1.186,423524	Padrão - SND	Reg.	
21/05/2019	CPSC13	1.184,383699	1,631570	-	1.186,015269	Padrão - SND	Reg.	
20/05/2019	CPSC13	1.184,383699	1,223468	-	1.185,607167	Padrão - SND	Reg.	
17/05/2019	CPSC13	1.184,383699	0,815506	-	1.185,199205	Padrão - SND	Reg.	
16/05/2019	CPSC13	1.184,383699	0,407683	-	1.184,791381	Padrão - SND	Reg.	
15/05/2019	CPSC13	1.184,383699	-  	-	1.184,383699	Padrão - SND	Reg.	
14/05/2019	CPSC13	1.301,314626	8,537138	-	1.309,851764	Padrão - SND	Reg.	
13/05/2019	CPSC13	1.301,314626	8,086428	-	1.309,401053	Padrão - SND	Reg.	
10/05/2019	CPSC13	1.301,314626	7,635855	-	1.308,950481	Padrão - SND	Reg.	
09/05/2019	CPSC13	1.301,314626	7,185452	-	1.308,500078	Padrão - SND	Reg.	
08/05/2019	CPSC13	1.301,314626	6,735201	-	1.308,049827	Padrão - SND	Reg.	
07/05/2019	CPSC13	1.301,314626	6,285105	-	1.307,599731	Padrão - SND	Reg.	
06/05/2019	CPSC13	1.301,314626	5,835164	-	1.307,149790	Padrão - SND	Reg.	
03/05/2019	CPSC13	1.301,314626	5,385375	-	1.306,700001	Padrão - SND	Reg.	
02/05/2019	CPSC13	1.301,314626	4,935752	-	1.306,250378	Padrão - SND	Reg.	
30/04/2019	CPSC13	1.301,314626	4,486272	-	1.305,800898	Padrão - SND	Reg.	
29/04/2019	CPSC13	1.301,314626	4,036945	-	1.305,351571	Padrão - SND	Reg.	
26/04/2019	CPSC13	1.301,314626	3,587784	-	1.304,902410	Padrão - SND	Reg.	
25/04/2019	CPSC13	1.301,314626	3,138763	-	1.304,453389	Padrão - SND	Reg.	
24/04/2019	CPSC13	1.301,314626	2,689910	-	1.304,004536	Padrão - SND	Reg.	
23/04/2019	CPSC13	1.301,314626	2,241211	-	1.303,555837	Padrão - SND	Reg.	
22/04/2019	CPSC13	1.301,314626	1,792651	-	1.303,107277	Padrão - SND	Reg.	
18/04/2019	CPSC13	1.301,314626	1,344258	-	1.302,658884	Padrão - SND	Reg.	
