PU Histórico - Gerado em 26/05/2019 21:15:54

Data do PU	Ativo	Valor Nominal	Juros	Prêmio	Preço Unitário	Critério de Cálculo	Situação	
24/05/2019	CRBP11	1.000,000000	40,949622	-	1.040,949622	Padrão - SND	Reg.	
23/05/2019	CRBP11	1.000,000000	40,625822	-	1.040,625822	Padrão - SND	Reg.	
22/05/2019	CRBP11	1.000,000000	40,302120	-	1.040,302120	Padrão - SND	Reg.	
21/05/2019	CRBP11	1.000,000000	39,978516	-	1.039,978516	Padrão - SND	Reg.	
20/05/2019	CRBP11	1.000,000000	39,655021	-	1.039,655021	Padrão - SND	Reg.	
17/05/2019	CRBP11	1.000,000000	39,331624	-	1.039,331624	Padrão - SND	Reg.	
16/05/2019	CRBP11	1.000,000000	39,008324	-	1.039,008324	Padrão - SND	Reg.	
15/05/2019	CRBP11	1.000,000000	38,685124	-	1.038,685124	Padrão - SND	Reg.	
14/05/2019	CRBP11	1.000,000000	38,362030	-	1.038,362030	Padrão - SND	Reg.	
13/05/2019	CRBP11	1.000,000000	38,039036	-	1.038,039036	Padrão - SND	Reg.	
10/05/2019	CRBP11	1.000,000000	37,716139	-	1.037,716139	Padrão - SND	Reg.	
09/05/2019	CRBP11	1.000,000000	37,393340	-	1.037,393340	Padrão - SND	Reg.	
08/05/2019	CRBP11	1.000,000000	37,070649	-	1.037,070649	Padrão - SND	Reg.	
07/05/2019	CRBP11	1.000,000000	36,748056	-	1.036,748056	Padrão - SND	Reg.	
06/05/2019	CRBP11	1.000,000000	36,425562	-	1.036,425562	Padrão - SND	Reg.	
03/05/2019	CRBP11	1.000,000000	36,103165	-	1.036,103165	Padrão - SND	Reg.	
02/05/2019	CRBP11	1.000,000000	35,780877	-	1.035,780877	Padrão - SND	Reg.	
30/04/2019	CRBP11	1.000,000000	35,458676	-	1.035,458676	Padrão - SND	Reg.	
29/04/2019	CRBP11	1.000,000000	35,136583	-	1.035,136583	Padrão - SND	Reg.	
26/04/2019	CRBP11	1.000,000000	34,814597	-	1.034,814597	Padrão - SND	Reg.	
25/04/2019	CRBP11	1.000,000000	34,492700	-	1.034,492700	Padrão - SND	Reg.	
24/04/2019	CRBP11	1.000,000000	34,170911	-	1.034,170911	Padrão - SND	Reg.	
23/04/2019	CRBP11	1.000,000000	33,849220	-	1.033,849220	Padrão - SND	Reg.	
22/04/2019	CRBP11	1.000,000000	33,527626	-	1.033,527626	Padrão - SND	Reg.	
18/04/2019	CRBP11	1.000,000000	33,206130	-	1.033,206130	Padrão - SND	Reg.	
17/04/2019	CRBP11	1.000,000000	32,884743	-	1.032,884743	Padrão - SND	Reg.	
16/04/2019	CRBP11	1.000,000000	32,563442	-	1.032,563442	Padrão - SND	Reg.	
15/04/2019	CRBP11	1.000,000000	32,242250	-	1.032,242250	Padrão - SND	Reg.	
12/04/2019	CRBP11	1.000,000000	31,921156	-	1.031,921156	Padrão - SND	Reg.	
11/04/2019	CRBP11	1.000,000000	31,600169	-	1.031,600169	Padrão - SND	Reg.	
10/04/2019	CRBP11	1.000,000000	31,279280	-	1.031,279280	Padrão - SND	Reg.	
09/04/2019	CRBP11	1.000,000000	30,958478	-	1.030,958478	Padrão - SND	Reg.	
08/04/2019	CRBP11	1.000,000000	30,637785	-	1.030,637785	Padrão - SND	Reg.	
05/04/2019	CRBP11	1.000,000000	30,317199	-	1.030,317199	Padrão - SND	Reg.	
04/04/2019	CRBP11	1.000,000000	29,996701	-	1.029,996701	Padrão - SND	Reg.	
03/04/2019	CRBP11	1.000,000000	29,676310	-	1.029,676310	Padrão - SND	Reg.	
02/04/2019	CRBP11	1.000,000000	29,356017	-	1.029,356017	Padrão - SND	Reg.	
01/04/2019	CRBP11	1.000,000000	29,035822	-	1.029,035822	Padrão - SND	Reg.	
29/03/2019	CRBP11	1.000,000000	28,715724	-	1.028,715724	Padrão - SND	Reg.	
28/03/2019	CRBP11	1.000,000000	28,395724	-	1.028,395724	Padrão - SND	Reg.	
27/03/2019	CRBP11	1.000,000000	28,075832	-	1.028,075832	Padrão - SND	Reg.	
26/03/2019	CRBP11	1.000,000000	27,756036	-	1.027,756036	Padrão - SND	Reg.	
25/03/2019	CRBP11	1.000,000000	27,436340	-	1.027,436340	Padrão - SND	Reg.	
22/03/2019	CRBP11	1.000,000000	27,116740	-	1.027,116740	Padrão - SND	Reg.	
21/03/2019	CRBP11	1.000,000000	26,797237	-	1.026,797237	Padrão - SND	Reg.	
20/03/2019	CRBP11	1.000,000000	26,477842	-	1.026,477842	Padrão - SND	Reg.	
19/03/2019	CRBP11	1.000,000000	26,158545	-	1.026,158545	Padrão - SND	Reg.	
18/03/2019	CRBP11	1.000,000000	25,839345	-	1.025,839345	Padrão - SND	Reg.	
15/03/2019	CRBP11	1.000,000000	25,520243	-	1.025,520243	Padrão - SND	Reg.	
14/03/2019	CRBP11	1.000,000000	25,201238	-	1.025,201238	Padrão - SND	Reg.	
13/03/2019	CRBP11	1.000,000000	24,882341	-	1.024,882341	Padrão - SND	Reg.	
12/03/2019	CRBP11	1.000,000000	24,563540	-	1.024,563540	Padrão - SND	Reg.	
11/03/2019	CRBP11	1.000,000000	24,244827	-	1.024,244827	Padrão - SND	Reg.	
08/03/2019	CRBP11	1.000,000000	23,926222	-	1.023,926222	Padrão - SND	Reg.	
07/03/2019	CRBP11	1.000,000000	23,607724	-	1.023,607724	Padrão - SND	Reg.	
06/03/2019	CRBP11	1.000,000000	23,289313	-	1.023,289313	Padrão - SND	Reg.	
01/03/2019	CRBP11	1.000,000000	22,971009	-	1.022,971009	Padrão - SND	Reg.	
28/02/2019	CRBP11	1.000,000000	22,652794	-	1.022,652794	Padrão - SND	Reg.	
27/02/2019	CRBP11	1.000,000000	22,334685	-	1.022,334685	Padrão - SND	Reg.	
26/02/2019	CRBP11	1.000,000000	22,016674	-	1.022,016674	Padrão - SND	Reg.	
25/02/2019	CRBP11	1.000,000000	21,698769	-	1.021,698769	Padrão - SND	Reg.	
22/02/2019	CRBP11	1.000,000000	21,380953	-	1.021,380953	Padrão - SND	Reg.	
21/02/2019	CRBP11	1.000,000000	21,063243	-	1.021,063243	Padrão - SND	Reg.	
20/02/2019	CRBP11	1.000,000000	20,745621	-	1.020,745621	Padrão - SND	Reg.	
19/02/2019	CRBP11	1.000,000000	20,428105	-	1.020,428105	Padrão - SND	Reg.	
18/02/2019	CRBP11	1.000,000000	20,110688	-	1.020,110688	Padrão - SND	Reg.	
15/02/2019	CRBP11	1.000,000000	19,793366	-	1.019,793366	Padrão - SND	Reg.	
14/02/2019	CRBP11	1.000,000000	19,476152	-	1.019,476152	Padrão - SND	Reg.	
13/02/2019	CRBP11	1.000,000000	19,159026	-	1.019,159026	Padrão - SND	Reg.	
12/02/2019	CRBP11	1.000,000000	18,842006	-	1.018,842006	Padrão - SND	Reg.	
11/02/2019	CRBP11	1.000,000000	18,525084	-	1.018,525084	Padrão - SND	Reg.	
08/02/2019	CRBP11	1.000,000000	18,208259	-	1.018,208259	Padrão - SND	Reg.	
07/02/2019	CRBP11	1.000,000000	17,891531	-	1.017,891531	Padrão - SND	Reg.	
06/02/2019	CRBP11	1.000,000000	17,574899	-	1.017,574899	Padrão - SND	Reg.	
05/02/2019	CRBP11	1.000,000000	17,258376	-	1.017,258376	Padrão - SND	Reg.	
04/02/2019	CRBP11	1.000,000000	16,941939	-	1.016,941939	Padrão - SND	Reg.	
01/02/2019	CRBP11	1.000,000000	16,625609	-	1.016,625609	Padrão - SND	Reg.	
31/01/2019	CRBP11	1.000,000000	16,309376	-	1.016,309376	Padrão - SND	Reg.	
30/01/2019	CRBP11	1.000,000000	15,993240	-	1.015,993240	Padrão - SND	Reg.	
29/01/2019	CRBP11	1.000,000000	15,677200	-	1.015,677200	Padrão - SND	Reg.	
28/01/2019	CRBP11	1.000,000000	15,361259	-	1.015,361259	Padrão - SND	Reg.	
25/01/2019	CRBP11	1.000,000000	15,045414	-	1.015,045414	Padrão - SND	Reg.	
24/01/2019	CRBP11	1.000,000000	14,729675	-	1.014,729675	Padrão - SND	Reg.	
23/01/2019	CRBP11	1.000,000000	14,414024	-	1.014,414024	Padrão - SND	Reg.	
22/01/2019	CRBP11	1.000,000000	14,098480	-	1.014,098480	Padrão - SND	Reg.	
21/01/2019	CRBP11	1.000,000000	13,783032	-	1.013,783032	Padrão - SND	Reg.	
18/01/2019	CRBP11	1.000,000000	13,467681	-	1.013,467681	Padrão - SND	Reg.	
17/01/2019	CRBP11	1.000,000000	13,152428	-	1.013,152428	Padrão - SND	Reg.	
16/01/2019	CRBP11	1.000,000000	12,837271	-	1.012,837271	Padrão - SND	Reg.	
