PU Histórico - Gerado em 26/05/2019 21:15:59

Data do PU	Ativo	Valor Nominal	Juros	Prêmio	Preço Unitário	Critério de Cálculo	Situação	
24/05/2019	CRED11	88.028,714160	101,119288	-	88.129,833448	Padrão - SND	Reg.	
23/05/2019	CRED11	88.028,714160	67,399889	-	88.096,114049	Padrão - SND	Reg.	
22/05/2019	CRED11	88.028,714160	33,693607	-	88.062,407767	Padrão - SND	Reg.	
21/05/2019	CRED11	88.028,714160	-  	-	88.028,714160	Padrão - SND	Reg.	
20/05/2019	CRED11	100.000,000000	9.825,711600	-	109.825,711600	Padrão - SND	Reg.	
17/05/2019	CRED11	100.000,000000	9.783,691500	-	109.783,691500	Padrão - SND	Reg.	
16/05/2019	CRED11	100.000,000000	9.741,686900	-	109.741,686900	Padrão - SND	Reg.	
15/05/2019	CRED11	100.000,000000	9.699,699100	-	109.699,699100	Padrão - SND	Reg.	
14/05/2019	CRED11	100.000,000000	9.657,726800	-	109.657,726800	Padrão - SND	Reg.	
13/05/2019	CRED11	100.000,000000	9.615,770100	-	109.615,770100	Padrão - SND	Reg.	
10/05/2019	CRED11	100.000,000000	9.573,830200	-	109.573,830200	Padrão - SND	Reg.	
09/05/2019	CRED11	100.000,000000	9.531,906800	-	109.531,906800	Padrão - SND	Reg.	
08/05/2019	CRED11	100.000,000000	9.489,998000	-	109.489,998000	Padrão - SND	Reg.	
07/05/2019	CRED11	100.000,000000	9.448,105900	-	109.448,105900	Padrão - SND	Reg.	
06/05/2019	CRED11	100.000,000000	9.406,230400	-	109.406,230400	Padrão - SND	Reg.	
03/05/2019	CRED11	100.000,000000	9.364,370400	-	109.364,370400	Padrão - SND	Reg.	
02/05/2019	CRED11	100.000,000000	9.322,526100	-	109.322,526100	Padrão - SND	Reg.	
30/04/2019	CRED11	100.000,000000	9.280,698300	-	109.280,698300	Padrão - SND	Reg.	
29/04/2019	CRED11	100.000,000000	9.238,887200	-	109.238,887200	Padrão - SND	Reg.	
26/04/2019	CRED11	100.000,000000	9.197,090600	-	109.197,090600	Padrão - SND	Reg.	
25/04/2019	CRED11	100.000,000000	9.155,310500	-	109.155,310500	Padrão - SND	Reg.	
24/04/2019	CRED11	100.000,000000	9.113,547100	-	109.113,547100	Padrão - SND	Reg.	
23/04/2019	CRED11	100.000,000000	9.071,799400	-	109.071,799400	Padrão - SND	Reg.	
