PU Histórico - Gerado em 26/05/2019 21:16:43

Data do PU	Ativo	Valor Nominal	Juros	Prêmio	Preço Unitário	Critério de Cálculo	Situação	
24/05/2019	CRUM22	363.650,000000	458,613561	-	364.108,613561	Padrão - SND	Reg.	
23/05/2019	CRUM22	363.650,000000	343,907442	-	363.993,907441	Padrão - SND	Reg.	
22/05/2019	CRUM22	363.650,000000	229,234050	-	363.879,234050	Padrão - SND	Reg.	
21/05/2019	CRUM22	363.650,000000	114,600661	-	363.764,600661	Padrão - SND	Reg.	
20/05/2019	CRUM22	363.650,000000	-  	-	363.650,000000	Padrão - SND	Reg.	
17/05/2019	CRUM22	363.650,000000	2.068,321196	-	365.718,321195	Padrão - SND	Reg.	
16/05/2019	CRUM22	363.650,000000	1.953,105966	-	365.603,105966	Padrão - SND	Reg.	
15/05/2019	CRUM22	363.650,000000	1.837,927101	-	365.487,927101	Padrão - SND	Reg.	
14/05/2019	CRUM22	363.650,000000	1.722,784602	-	365.372,784602	Padrão - SND	Reg.	
13/05/2019	CRUM22	363.650,000000	1.607,678467	-	365.257,678468	Padrão - SND	Reg.	
10/05/2019	CRUM22	363.650,000000	1.492,608698	-	365.142,608698	Padrão - SND	Reg.	
09/05/2019	CRUM22	363.650,000000	1.377,575294	-	365.027,575293	Padrão - SND	Reg.	
08/05/2019	CRUM22	363.650,000000	1.262,578254	-	364.912,578254	Padrão - SND	Reg.	
07/05/2019	CRUM22	363.650,000000	1.147,617579	-	364.797,617580	Padrão - SND	Reg.	
06/05/2019	CRUM22	363.650,000000	1.032,693270	-	364.682,693270	Padrão - SND	Reg.	
03/05/2019	CRUM22	363.650,000000	917,805325	-	364.567,805326	Padrão - SND	Reg.	
02/05/2019	CRUM22	363.650,000000	802,953746	-	364.452,953746	Padrão - SND	Reg.	
30/04/2019	CRUM22	363.650,000000	688,138531	-	364.338,138532	Padrão - SND	Reg.	
29/04/2019	CRUM22	363.650,000000	573,356046	-	364.223,356046	Padrão - SND	Reg.	
