PU Histórico - Gerado em 26/05/2019 21:17:47

Data do PU	Ativo	Valor Nominal	Juros	Prêmio	Preço Unitário	Critério de Cálculo	Situação	
24/05/2019	CSUL11	1,000000	0,013620	-	1,013620	Padrão - SND	Reg.	
23/05/2019	CSUL11	1,000000	0,013268	-	1,013268	Padrão - SND	Reg.	
22/05/2019	CSUL11	1,000000	0,012917	-	1,012917	Padrão - SND	Reg.	
21/05/2019	CSUL11	1,000000	0,012565	-	1,012565	Padrão - SND	Reg.	
20/05/2019	CSUL11	1,000000	0,012214	-	1,012214	Padrão - SND	Reg.	
17/05/2019	CSUL11	1,000000	0,011863	-	1,011863	Padrão - SND	Reg.	
16/05/2019	CSUL11	1,000000	0,011512	-	1,011512	Padrão - SND	Reg.	
15/05/2019	CSUL11	1,000000	0,011162	-	1,011162	Padrão - SND	Reg.	
14/05/2019	CSUL11	1,000000	0,010811	-	1,010811	Padrão - SND	Reg.	
13/05/2019	CSUL11	1,000000	0,010460	-	1,010460	Padrão - SND	Reg.	
10/05/2019	CSUL11	1,000000	0,010110	-	1,010110	Padrão - SND	Reg.	
09/05/2019	CSUL11	1,000000	0,009760	-	1,009760	Padrão - SND	Reg.	
08/05/2019	CSUL11	1,000000	0,009409	-	1,009409	Padrão - SND	Reg.	
07/05/2019	CSUL11	1,000000	0,009059	-	1,009059	Padrão - SND	Reg.	
06/05/2019	CSUL11	1,000000	0,008709	-	1,008709	Padrão - SND	Reg.	
03/05/2019	CSUL11	1,000000	0,008360	-	1,008360	Padrão - SND	Reg.	
02/05/2019	CSUL11	1,000000	0,008010	-	1,008010	Padrão - SND	Reg.	
30/04/2019	CSUL11	1,000000	0,007660	-	1,007660	Padrão - SND	Reg.	
29/04/2019	CSUL11	1,000000	0,007311	-	1,007311	Padrão - SND	Reg.	
26/04/2019	CSUL11	1,000000	0,006961	-	1,006961	Padrão - SND	Reg.	
25/04/2019	CSUL11	1,000000	0,006612	-	1,006612	Padrão - SND	Reg.	
24/04/2019	CSUL11	1,000000	0,006263	-	1,006263	Padrão - SND	Reg.	
23/04/2019	CSUL11	1,000000	0,005914	-	1,005914	Padrão - SND	Reg.	
22/04/2019	CSUL11	1,000000	0,005565	-	1,005565	Padrão - SND	Reg.	
18/04/2019	CSUL11	1,000000	0,005217	-	1,005217	Padrão - SND	Reg.	
17/04/2019	CSUL11	1,000000	0,004868	-	1,004868	Padrão - SND	Reg.	
16/04/2019	CSUL11	1,000000	0,004519	-	1,004519	Padrão - SND	Reg.	
15/04/2019	CSUL11	1,000000	0,004171	-	1,004171	Padrão - SND	Reg.	
12/04/2019	CSUL11	1,000000	0,003823	-	1,003823	Padrão - SND	Reg.	
11/04/2019	CSUL11	1,000000	0,003475	-	1,003475	Padrão - SND	Reg.	
10/04/2019	CSUL11	1,000000	0,003127	-	1,003127	Padrão - SND	Reg.	
09/04/2019	CSUL11	1,000000	0,002779	-	1,002779	Padrão - SND	Reg.	
08/04/2019	CSUL11	1,000000	0,002431	-	1,002431	Padrão - SND	Reg.	
05/04/2019	CSUL11	1,000000	0,002083	-	1,002083	Padrão - SND	Reg.	
04/04/2019	CSUL11	1,000000	0,001736	-	1,001736	Padrão - SND	Reg.	
03/04/2019	CSUL11	1,000000	0,001388	-	1,001388	Padrão - SND	Reg.	
02/04/2019	CSUL11	1,000000	0,001041	-	1,001041	Padrão - SND	Reg.	
01/04/2019	CSUL11	1,000000	0,000694	-	1,000694	Padrão - SND	Reg.	
29/03/2019	CSUL11	1,000000	0,000347	-	1,000347	Padrão - SND	Reg.	
28/03/2019	CSUL11	1,000000	-  	-	1,000000	Padrão - SND	Reg.	
27/03/2019	CSUL11	1,000000	0,021030	-	1,021030	Padrão - SND	Reg.	
26/03/2019	CSUL11	1,000000	0,020676	-	1,020676	Padrão - SND	Reg.	
25/03/2019	CSUL11	1,000000	0,020322	-	1,020322	Padrão - SND	Reg.	
22/03/2019	CSUL11	1,000000	0,019968	-	1,019968	Padrão - SND	Reg.	
21/03/2019	CSUL11	1,000000	0,019614	-	1,019614	Padrão - SND	Reg.	
20/03/2019	CSUL11	1,000000	0,019261	-	1,019261	Padrão - SND	Reg.	
19/03/2019	CSUL11	1,000000	0,018907	-	1,018907	Padrão - SND	Reg.	
18/03/2019	CSUL11	1,000000	0,018554	-	1,018554	Padrão - SND	Reg.	
15/03/2019	CSUL11	1,000000	0,018201	-	1,018201	Padrão - SND	Reg.	
14/03/2019	CSUL11	1,000000	0,017848	-	1,017848	Padrão - SND	Reg.	
13/03/2019	CSUL11	1,000000	0,017495	-	1,017495	Padrão - SND	Reg.	
12/03/2019	CSUL11	1,000000	0,017142	-	1,017142	Padrão - SND	Reg.	
11/03/2019	CSUL11	1,000000	0,016789	-	1,016789	Padrão - SND	Reg.	
08/03/2019	CSUL11	1,000000	0,016436	-	1,016436	Padrão - SND	Reg.	
07/03/2019	CSUL11	1,000000	0,016084	-	1,016084	Padrão - SND	Reg.	
06/03/2019	CSUL11	1,000000	0,015731	-	1,015731	Padrão - SND	Reg.	
01/03/2019	CSUL11	1,000000	0,015379	-	1,015379	Padrão - SND	Reg.	
28/02/2019	CSUL11	1,000000	0,015027	-	1,015027	Padrão - SND	Reg.	
27/02/2019	CSUL11	1,000000	0,014675	-	1,014675	Padrão - SND	Reg.	
26/02/2019	CSUL11	1,000000	0,014323	-	1,014323	Padrão - SND	Reg.	
25/02/2019	CSUL11	1,000000	0,013971	-	1,013971	Padrão - SND	Reg.	
22/02/2019	CSUL11	1,000000	0,013620	-	1,013620	Padrão - SND	Reg.	
21/02/2019	CSUL11	1,000000	0,013268	-	1,013268	Padrão - SND	Reg.	
20/02/2019	CSUL11	1,000000	0,012917	-	1,012917	Padrão - SND	Reg.	
19/02/2019	CSUL11	1,000000	0,012565	-	1,012565	Padrão - SND	Reg.	
18/02/2019	CSUL11	1,000000	0,012214	-	1,012214	Padrão - SND	Reg.	
15/02/2019	CSUL11	1,000000	0,011863	-	1,011863	Padrão - SND	Reg.	
14/02/2019	CSUL11	1,000000	0,011512	-	1,011512	Padrão - SND	Reg.	
13/02/2019	CSUL11	1,000000	0,011162	-	1,011162	Padrão - SND	Reg.	
12/02/2019	CSUL11	1,000000	0,010811	-	1,010811	Padrão - SND	Reg.	
11/02/2019	CSUL11	1,000000	0,010460	-	1,010460	Padrão - SND	Reg.	
08/02/2019	CSUL11	1,000000	0,010110	-	1,010110	Padrão - SND	Reg.	
07/02/2019	CSUL11	1,000000	0,009760	-	1,009760	Padrão - SND	Reg.	
06/02/2019	CSUL11	1,000000	0,009409	-	1,009409	Padrão - SND	Reg.	
05/02/2019	CSUL11	1,000000	0,009059	-	1,009059	Padrão - SND	Reg.	
04/02/2019	CSUL11	1,000000	0,008709	-	1,008709	Padrão - SND	Reg.	
01/02/2019	CSUL11	1,000000	0,008360	-	1,008360	Padrão - SND	Reg.	
31/01/2019	CSUL11	1,000000	0,008010	-	1,008010	Padrão - SND	Reg.	
30/01/2019	CSUL11	1,000000	0,007660	-	1,007660	Padrão - SND	Reg.	
29/01/2019	CSUL11	1,000000	0,007311	-	1,007311	Padrão - SND	Reg.	
28/01/2019	CSUL11	1,000000	0,006961	-	1,006961	Padrão - SND	Reg.	
25/01/2019	CSUL11	1,000000	0,006612	-	1,006612	Padrão - SND	Reg.	
24/01/2019	CSUL11	1,000000	0,006263	-	1,006263	Padrão - SND	Reg.	
23/01/2019	CSUL11	1,000000	0,005914	-	1,005914	Padrão - SND	Reg.	
22/01/2019	CSUL11	1,000000	0,005565	-	1,005565	Padrão - SND	Reg.	
21/01/2019	CSUL11	1,000000	0,005217	-	1,005217	Padrão - SND	Reg.	
18/01/2019	CSUL11	1,000000	0,004868	-	1,004868	Padrão - SND	Reg.	
17/01/2019	CSUL11	1,000000	0,004519	-	1,004519	Padrão - SND	Reg.	
16/01/2019	CSUL11	1,000000	0,004171	-	1,004171	Padrão - SND	Reg.	
15/01/2019	CSUL11	1,000000	0,003823	-	1,003823	Padrão - SND	Reg.	
14/01/2019	CSUL11	1,000000	0,003475	-	1,003475	Padrão - SND	Reg.	
11/01/2019	CSUL11	1,000000	0,003127	-	1,003127	Padrão - SND	Reg.	
10/01/2019	CSUL11	1,000000	0,002779	-	1,002779	Padrão - SND	Reg.	
09/01/2019	CSUL11	1,000000	0,002431	-	1,002431	Padrão - SND	Reg.	
08/01/2019	CSUL11	1,000000	0,002083	-	1,002083	Padrão - SND	Reg.	
07/01/2019	CSUL11	1,000000	0,001736	-	1,001736	Padrão - SND	Reg.	
04/01/2019	CSUL11	1,000000	0,001388	-	1,001388	Padrão - SND	Reg.	
03/01/2019	CSUL11	1,000000	0,001041	-	1,001041	Padrão - SND	Reg.	
02/01/2019	CSUL11	1,000000	0,000694	-	1,000694	Padrão - SND	Reg.	
31/12/2018	CSUL11	1,000000	0,000347	-	1,000347	Padrão - SND	Reg.	
28/12/2018	CSUL11	1,000000	-  	-	1,000000	Padrão - SND	Reg.	
27/12/2018	CSUL11	1,000000	0,015027	-	1,015027	Padrão - SND	Reg.	
26/12/2018	CSUL11	1,000000	0,014675	-	1,014675	Padrão - SND	Reg.	
24/12/2018	CSUL11	1,000000	0,014323	-	1,014323	Padrão - SND	Reg.	
21/12/2018	CSUL11	1,000000	0,013971	-	1,013971	Padrão - SND	Reg.	
20/12/2018	CSUL11	1,000000	0,013620	-	1,013620	Padrão - SND	Reg.	
19/12/2018	CSUL11	1,000000	0,013268	-	1,013268	Padrão - SND	Reg.	
18/12/2018	CSUL11	1,000000	0,012917	-	1,012917	Padrão - SND	Reg.	
17/12/2018	CSUL11	1,000000	0,012565	-	1,012565	Padrão - SND	Reg.	
14/12/2018	CSUL11	1,000000	0,012214	-	1,012214	Padrão - SND	Reg.	
13/12/2018	CSUL11	1,000000	0,011863	-	1,011863	Padrão - SND	Reg.	
12/12/2018	CSUL11	1,000000	0,011512	-	1,011512	Padrão - SND	Reg.	
11/12/2018	CSUL11	1,000000	0,011162	-	1,011162	Padrão - SND	Reg.	
10/12/2018	CSUL11	1,000000	0,010811	-	1,010811	Padrão - SND	Reg.	
07/12/2018	CSUL11	1,000000	0,010460	-	1,010460	Padrão - SND	Reg.	
06/12/2018	CSUL11	1,000000	0,010110	-	1,010110	Padrão - SND	Reg.	
05/12/2018	CSUL11	1,000000	0,009760	-	1,009760	Padrão - SND	Reg.	
