PU Histórico - Gerado em 26/05/2019 21:18:12

Data do PU	Ativo	Valor Nominal	Juros	Prêmio	Preço Unitário	Critério de Cálculo	Situação	
24/05/2019	CTEE15	1.082,209450	14,019581	-	1.096,229031	Padrão - SND	Reg.	
23/05/2019	CTEE15	1.082,073210	13,804076	-	1.095,877286	Padrão - SND	Reg.	
22/05/2019	CTEE15	1.081,936980	13,588666	-	1.095,525646	Padrão - SND	Reg.	
21/05/2019	CTEE15	1.081,800770	13,373353	-	1.095,174123	Padrão - SND	Reg.	
20/05/2019	CTEE15	1.081,664570	13,158135	-	1.094,822705	Padrão - SND	Reg.	
17/05/2019	CTEE15	1.081,528400	12,943013	-	1.094,471413	Padrão - SND	Reg.	
16/05/2019	CTEE15	1.081,392230	12,727985	-	1.094,120215	Padrão - SND	Reg.	
15/05/2019	CTEE15	1.081,256090	12,513055	-	1.093,769145	Padrão - SND	Reg.	
14/05/2019	CTEE15	1.080,948880	12,296272	-	1.093,245152	Padrão - SND	Reg.	
13/05/2019	CTEE15	1.080,641730	12,079653	-	1.092,721383	Padrão - SND	Reg.	
10/05/2019	CTEE15	1.080,700190	11,867212	-	1.092,567402	Padrão - SND	Reg.	
09/05/2019	CTEE15	1.080,371630	11,650616	-	1.092,022246	Padrão - SND	Reg.	
08/05/2019	CTEE15	1.080,043170	11,434192	-	1.091,477362	Padrão - SND	Reg.	
07/05/2019	CTEE15	1.079,714800	11,217940	-	1.090,932740	Padrão - SND	Reg.	
06/05/2019	CTEE15	1.079,386530	11,001860	-	1.090,388390	Padrão - SND	Reg.	
03/05/2019	CTEE15	1.079,058370	10,785951	-	1.089,844321	Padrão - SND	Reg.	
02/05/2019	CTEE15	1.078,730310	10,570215	-	1.089,300525	Padrão - SND	Reg.	
30/04/2019	CTEE15	1.078,402350	10,354650	-	1.088,757000	Padrão - SND	Reg.	
29/04/2019	CTEE15	1.078,074480	10,139256	-	1.088,213736	Padrão - SND	Reg.	
26/04/2019	CTEE15	1.077,746710	9,924034	-	1.087,670744	Padrão - SND	Reg.	
25/04/2019	CTEE15	1.077,156630	9,706618	-	1.086,863248	Padrão - SND	Reg.	
24/04/2019	CTEE15	1.076,866610	9,492121	-	1.086,358731	Padrão - SND	Reg.	
23/04/2019	CTEE15	1.076,576680	9,277781	-	1.085,854461	Padrão - SND	Reg.	
22/04/2019	CTEE15	1.076,286830	9,063595	-	1.085,350425	Padrão - SND	Reg.	
18/04/2019	CTEE15	1.075,997050	8,849567	-	1.084,846617	Padrão - SND	Reg.	
17/04/2019	CTEE15	1.075,707360	8,635694	-	1.084,343054	Padrão - SND	Reg.	
16/04/2019	CTEE15	1.075,417730	8,421976	-	1.083,839706	Padrão - SND	Reg.	
15/04/2019	CTEE15	1.075,128200	8,208415	-	1.083,336615	Padrão - SND	Reg.	
12/04/2019	CTEE15	1.074,745740	7,994317	-	1.082,740057	Padrão - SND	Reg.	
11/04/2019	CTEE15	1.074,363420	7,780411	-	1.082,143831	Padrão - SND	Reg.	
10/04/2019	CTEE15	1.072,428110	7,555756	-	1.079,983866	Padrão - SND	Reg.	
