PU Histórico - Gerado em 26/05/2019 21:18:19

Data do PU	Ativo	Valor Nominal	Juros	Prêmio	Preço Unitário	Critério de Cálculo	Situação	
24/05/2019	CTEL11	11.846,893100	97,656321	-	11.944,549421	Padrão - SND	Reg.	
23/05/2019	CTEL11	11.845,401800	94,013258	-	11.939,415058	Padrão - SND	Reg.	
22/05/2019	CTEL11	11.843,910500	90,372235	-	11.934,282735	Padrão - SND	Reg.	
21/05/2019	CTEL11	11.842,419300	86,733216	-	11.929,152516	Padrão - SND	Reg.	
20/05/2019	CTEL11	11.840,928400	83,096213	-	11.924,024613	Padrão - SND	Reg.	
17/05/2019	CTEL11	11.839,437700	79,461239	-	11.918,898939	Padrão - SND	Reg.	
16/05/2019	CTEL11	11.837,947200	75,828279	-	11.913,775479	Padrão - SND	Reg.	
15/05/2019	CTEL11	11.836,456800	72,197320	-	11.908,654120	Padrão - SND	Reg.	
14/05/2019	CTEL11	11.833,093700	68,557537	-	11.901,651237	Padrão - SND	Reg.	
13/05/2019	CTEL11	11.829,731400	64,920903	-	11.894,652303	Padrão - SND	Reg.	
10/05/2019	CTEL11	11.830,371400	61,308179	-	11.891,679579	Padrão - SND	Reg.	
09/05/2019	CTEL11	11.826,774600	57,675502	-	11.884,450102	Padrão - SND	Reg.	
08/05/2019	CTEL11	11.823,179000	54,046116	-	11.877,225116	Padrão - SND	Reg.	
07/05/2019	CTEL11	11.819,584400	50,420030	-	11.870,004430	Padrão - SND	Reg.	
06/05/2019	CTEL11	11.815,990800	46,797243	-	11.862,788043	Padrão - SND	Reg.	
03/05/2019	CTEL11	11.812,398500	43,177754	-	11.855,576254	Padrão - SND	Reg.	
02/05/2019	CTEL11	11.808,807100	39,561559	-	11.848,368659	Padrão - SND	Reg.	
30/04/2019	CTEL11	11.805,217000	35,948657	-	11.841,165657	Padrão - SND	Reg.	
29/04/2019	CTEL11	11.801,627800	32,339033	-	11.833,966833	Padrão - SND	Reg.	
26/04/2019	CTEL11	11.798,039800	28,732698	-	11.826,772498	Padrão - SND	Reg.	
25/04/2019	CTEL11	11.791,580200	25,123518	-	11.816,703718	Padrão - SND	Reg.	
24/04/2019	CTEL11	11.788,405400	21,525381	-	11.809,930781	Padrão - SND	Reg.	
23/04/2019	CTEL11	11.785,231600	17,930252	-	11.803,161852	Padrão - SND	Reg.	
22/04/2019	CTEL11	11.782,058500	14,338164	-	11.796,396664	Padrão - SND	Reg.	
18/04/2019	CTEL11	11.778,886300	10,749094	-	11.789,635394	Padrão - SND	Reg.	
17/04/2019	CTEL11	11.775,715100	7,163038	-	11.782,878138	Padrão - SND	Reg.	
16/04/2019	CTEL11	11.772,544500	3,580007	-	11.776,124507	Padrão - SND	Reg.	
15/04/2019	CTEL11	11.769,375000	-  	-	11.769,375000	Padrão - SND	Reg.	
12/04/2019	CTEL11	11.765,188300	448,330713	-	12.213,519013	Padrão - SND	Reg.	
11/04/2019	CTEL11	11.761,003100	444,459574	-	12.205,462674	Padrão - SND	Reg.	
10/04/2019	CTEL11	11.739,817400	439,955093	-	12.179,772493	Padrão - SND	Reg.	
09/04/2019	CTEL11	11.736,584800	436,132242	-	12.172,717042	Padrão - SND	Reg.	
08/04/2019	CTEL11	11.733,353000	432,312587	-	12.165,665587	Padrão - SND	Reg.	
05/04/2019	CTEL11	11.730,122200	428,496132	-	12.158,618332	Padrão - SND	Reg.	
04/04/2019	CTEL11	11.726,892200	424,682869	-	12.151,575069	Padrão - SND	Reg.	
03/04/2019	CTEL11	11.723,663200	420,872791	-	12.144,535991	Padrão - SND	Reg.	
02/04/2019	CTEL11	11.720,435000	417,065913	-	12.137,500913	Padrão - SND	Reg.	
01/04/2019	CTEL11	11.717,207800	413,262216	-	12.130,470016	Padrão - SND	Reg.	
29/03/2019	CTEL11	11.713,981400	409,461704	-	12.123,443104	Padrão - SND	Reg.	
28/03/2019	CTEL11	11.710,755800	405,664363	-	12.116,420163	Padrão - SND	Reg.	
27/03/2019	CTEL11	11.707,531200	401,870211	-	12.109,401411	Padrão - SND	Reg.	
26/03/2019	CTEL11	11.700,039100	397,934066	-	12.097,973166	Padrão - SND	Reg.	
25/03/2019	CTEL11	11.697,426900	394,168183	-	12.091,595083	Padrão - SND	Reg.	
22/03/2019	CTEL11	11.694,815300	390,405084	-	12.085,220384	Padrão - SND	Reg.	
21/03/2019	CTEL11	11.692,204400	386,644772	-	12.078,849172	Padrão - SND	Reg.	
20/03/2019	CTEL11	11.689,594100	382,887219	-	12.072,481319	Padrão - SND	Reg.	
19/03/2019	CTEL11	11.686,984200	379,132452	-	12.066,116652	Padrão - SND	Reg.	
18/03/2019	CTEL11	11.684,375000	375,380457	-	12.059,755457	Padrão - SND	Reg.	
15/03/2019	CTEL11	11.681,766300	371,631225	-	12.053,397525	Padrão - SND	Reg.	
14/03/2019	CTEL11	11.678,982400	367,879233	-	12.046,861633	Padrão - SND	Reg.	
13/03/2019	CTEL11	11.676,199000	364,130112	-	12.040,329112	Padrão - SND	Reg.	
12/03/2019	CTEL11	11.664,703500	360,114884	-	12.024,818384	Padrão - SND	Reg.	
11/03/2019	CTEL11	11.662,504000	356,392057	-	12.018,896057	Padrão - SND	Reg.	
08/03/2019	CTEL11	11.660,305100	352,671723	-	12.012,976823	Padrão - SND	Reg.	
07/03/2019	CTEL11	11.658,106500	348,953906	-	12.007,060406	Padrão - SND	Reg.	
06/03/2019	CTEL11	11.655,908400	345,238577	-	12.001,146977	Padrão - SND	Reg.	
01/03/2019	CTEL11	11.653,710700	341,525755	-	11.995,236455	Padrão - SND	Reg.	
28/02/2019	CTEL11	11.651,513300	337,815413	-	11.989,328713	Padrão - SND	Reg.	
27/02/2019	CTEL11	11.649,316400	334,107578	-	11.983,423978	Padrão - SND	Reg.	
26/02/2019	CTEL11	11.647,120000	330,402239	-	11.977,522239	Padrão - SND	Reg.	
25/02/2019	CTEL11	11.644,923900	326,699388	-	11.971,623288	Padrão - SND	Reg.	
22/02/2019	CTEL11	11.642,728200	322,999027	-	11.965,727227	Padrão - SND	Reg.	
21/02/2019	CTEL11	11.640,532900	319,301156	-	11.959,834056	Padrão - SND	Reg.	
20/02/2019	CTEL11	11.638,338100	315,605776	-	11.953,943876	Padrão - SND	Reg.	
19/02/2019	CTEL11	11.636,143700	311,912883	-	11.948,056583	Padrão - SND	Reg.	
18/02/2019	CTEL11	11.633,949700	308,222476	-	11.942,172176	Padrão - SND	Reg.	
15/02/2019	CTEL11	11.631,756200	304,534557	-	11.936,290757	Padrão - SND	Reg.	
14/02/2019	CTEL11	11.630,140800	300,864067	-	11.931,004867	Padrão - SND	Reg.	
13/02/2019	CTEL11	11.628,525600	297,195683	-	11.925,721283	Padrão - SND	Reg.	
12/02/2019	CTEL11	11.626,910500	293,529413	-	11.920,439913	Padrão - SND	Reg.	
11/02/2019	CTEL11	11.625,295800	289,865277	-	11.915,161077	Padrão - SND	Reg.	
08/02/2019	CTEL11	11.630,031700	286,359595	-	11.916,391295	Padrão - SND	Reg.	
07/02/2019	CTEL11	11.628,063600	282,689098	-	11.910,752698	Padrão - SND	Reg.	
06/02/2019	CTEL11	11.626,095900	279,020930	-	11.905,116830	Padrão - SND	Reg.	
05/02/2019	CTEL11	11.624,128500	275,355099	-	11.899,483599	Padrão - SND	Reg.	
04/02/2019	CTEL11	11.622,161500	271,691606	-	11.893,853106	Padrão - SND	Reg.	
01/02/2019	CTEL11	11.620,194800	268,030437	-	11.888,225237	Padrão - SND	Reg.	
31/01/2019	CTEL11	11.618,228400	264,371602	-	11.882,600002	Padrão - SND	Reg.	
30/01/2019	CTEL11	11.616,262400	260,715091	-	11.876,977491	Padrão - SND	Reg.	
29/01/2019	CTEL11	11.614,296600	257,060911	-	11.871,357511	Padrão - SND	Reg.	
28/01/2019	CTEL11	11.612,331200	253,409053	-	11.865,740252	Padrão - SND	Reg.	
25/01/2019	CTEL11	11.610,366200	249,759527	-	11.860,125727	Padrão - SND	Reg.	
24/01/2019	CTEL11	11.608,401400	246,112330	-	11.854,513730	Padrão - SND	Reg.	
23/01/2019	CTEL11	11.606,738600	242,473741	-	11.849,212341	Padrão - SND	Reg.	
22/01/2019	CTEL11	11.604,724300	238,830054	-	11.843,554354	Padrão - SND	Reg.	
21/01/2019	CTEL11	11.602,710300	235,188725	-	11.837,899025	Padrão - SND	Reg.	
18/01/2019	CTEL11	11.600,696600	231,549730	-	11.832,246330	Padrão - SND	Reg.	
17/01/2019	CTEL11	11.598,683400	227,913097	-	11.826,596497	Padrão - SND	Reg.	
16/01/2019	CTEL11	11.596,670400	224,278817	-	11.820,949217	Padrão - SND	Reg.	
15/01/2019	CTEL11	11.594,657800	220,646871	-	11.815,304671	Padrão - SND	Reg.	
14/01/2019	CTEL11	11.593,743100	217,037827	-	11.810,780927	Padrão - SND	Reg.	
11/01/2019	CTEL11	11.587,648700	213,335078	-	11.800,983778	Padrão - SND	Reg.	
10/01/2019	CTEL11	11.587,039100	209,736473	-	11.796,775573	Padrão - SND	Reg.	
