PU Histórico - Gerado em 26/05/2019 21:18:41

Data do PU	Ativo	Valor Nominal	Juros	Prêmio	Preço Unitário	Critério de Cálculo	Situação	
24/05/2019	CTRR11	1.064,902715	18,797936	-	1.083,700651	Padrão - SND	Reg.	
23/05/2019	CTRR11	1.064,768652	18,508328	-	1.083,276981	Padrão - SND	Reg.	
22/05/2019	CTRR11	1.064,634611	18,218869	-	1.082,853480	Padrão - SND	Reg.	
21/05/2019	CTRR11	1.064,500570	17,929557	-	1.082,430126	Padrão - SND	Reg.	
20/05/2019	CTRR11	1.064,366549	17,640394	-	1.082,006943	Padrão - SND	Reg.	
17/05/2019	CTRR11	1.064,232560	17,351381	-	1.081,583941	Padrão - SND	Reg.	
16/05/2019	CTRR11	1.064,098571	17,062514	-	1.081,161085	Padrão - SND	Reg.	
15/05/2019	CTRR11	1.063,964603	16,773798	-	1.080,738401	Padrão - SND	Reg.	
14/05/2019	CTRR11	1.063,662299	16,482619	-	1.080,144919	Padrão - SND	Reg.	
13/05/2019	CTRR11	1.063,360068	16,191682	-	1.079,551750	Padrão - SND	Reg.	
10/05/2019	CTRR11	1.063,417595	15,906364	-	1.079,323959	Padrão - SND	Reg.	
09/05/2019	CTRR11	1.063,094286	15,615497	-	1.078,709783	Padrão - SND	Reg.	
08/05/2019	CTRR11	1.062,771081	15,324882	-	1.078,095963	Padrão - SND	Reg.	
07/05/2019	CTRR11	1.062,447960	15,034516	-	1.077,482476	Padrão - SND	Reg.	
06/05/2019	CTRR11	1.062,124943	14,744403	-	1.076,869346	Padrão - SND	Reg.	
03/05/2019	CTRR11	1.061,802031	14,454539	-	1.076,256570	Padrão - SND	Reg.	
02/05/2019	CTRR11	1.061,479213	14,164926	-	1.075,644139	Padrão - SND	Reg.	
30/04/2019	CTRR11	1.061,156500	13,875564	-	1.075,032063	Padrão - SND	Reg.	
29/04/2019	CTRR11	1.060,833870	13,586452	-	1.074,420321	Padrão - SND	Reg.	
26/04/2019	CTRR11	1.060,511345	13,297589	-	1.073,808934	Padrão - SND	Reg.	
25/04/2019	CTRR11	1.059,930701	13,005809	-	1.072,936510	Padrão - SND	Reg.	
24/04/2019	CTRR11	1.059,645325	12,717959	-	1.072,363283	Padrão - SND	Reg.	
23/04/2019	CTRR11	1.059,360032	12,430338	-	1.071,790370	Padrão - SND	Reg.	
22/04/2019	CTRR11	1.059,074812	12,142946	-	1.071,217759	Padrão - SND	Reg.	
18/04/2019	CTRR11	1.058,789666	11,855785	-	1.070,645451	Padrão - SND	Reg.	
17/04/2019	CTRR11	1.058,504603	11,568851	-	1.070,073454	Padrão - SND	Reg.	
16/04/2019	CTRR11	1.058,219614	11,282147	-	1.069,501761	Padrão - SND	Reg.	
15/04/2019	CTRR11	1.057,934708	10,995672	-	1.068,930380	Padrão - SND	Reg.	
12/04/2019	CTRR11	1.057,558368	10,708498	-	1.068,266865	Padrão - SND	Reg.	
11/04/2019	CTRR11	1.057,182163	10,421602	-	1.067,603766	Padrão - SND	Reg.	
10/04/2019	CTRR11	1.055,277804	10,120328	-	1.065,398132	Padrão - SND	Reg.	
09/04/2019	CTRR11	1.054,987231	9,835192	-	1.064,822423	Padrão - SND	Reg.	
08/04/2019	CTRR11	1.054,696731	9,550288	-	1.064,247020	Padrão - SND	Reg.	
05/04/2019	CTRR11	1.054,406315	9,265614	-	1.063,671930	Padrão - SND	Reg.	
04/04/2019	CTRR11	1.054,115973	8,981172	-	1.063,097145	Padrão - SND	Reg.	
03/04/2019	CTRR11	1.053,825734	8,696960	-	1.062,522695	Padrão - SND	Reg.	
02/04/2019	CTRR11	1.053,535549	8,412979	-	1.061,948527	Padrão - SND	Reg.	
01/04/2019	CTRR11	1.053,245457	8,129228	-	1.061,374684	Padrão - SND	Reg.	
29/03/2019	CTRR11	1.052,955438	7,845707	-	1.060,801145	Padrão - SND	Reg.	
28/03/2019	CTRR11	1.052,665493	7,562416	-	1.060,227909	Padrão - SND	Reg.	
27/03/2019	CTRR11	1.052,375641	7,279355	-	1.059,654996	Padrão - SND	Reg.	
26/03/2019	CTRR11	1.051,702183	6,993973	-	1.058,696156	Padrão - SND	Reg.	
25/03/2019	CTRR11	1.051,467380	6,711824	-	1.058,179205	Padrão - SND	Reg.	
22/03/2019	CTRR11	1.051,232630	6,429875	-	1.057,662505	Padrão - SND	Reg.	
21/03/2019	CTRR11	1.050,997933	6,148127	-	1.057,146059	Padrão - SND	Reg.	
20/03/2019	CTRR11	1.050,763297	5,866578	-	1.056,629875	Padrão - SND	Reg.	
19/03/2019	CTRR11	1.050,528704	5,585228	-	1.056,113932	Padrão - SND	Reg.	
18/03/2019	CTRR11	1.050,294163	5,304078	-	1.055,598241	Padrão - SND	Reg.	
15/03/2019	CTRR11	1.050,059675	5,023128	-	1.055,082803	Padrão - SND	Reg.	
14/03/2019	CTRR11	1.049,809429	4,742305	-	1.054,551734	Padrão - SND	Reg.	
13/03/2019	CTRR11	1.049,559236	4,461691	-	1.054,020927	Padrão - SND	Reg.	
12/03/2019	CTRR11	1.048,525915	4,178163	-	1.052,704078	Padrão - SND	Reg.	
11/03/2019	CTRR11	1.048,328210	3,898366	-	1.052,226575	Padrão - SND	Reg.	
08/03/2019	CTRR11	1.048,130546	3,618749	-	1.051,749295	Padrão - SND	Reg.	
07/03/2019	CTRR11	1.047,932923	3,339311	-	1.051,272234	Padrão - SND	Reg.	
06/03/2019	CTRR11	1.047,735333	3,060051	-	1.050,795384	Padrão - SND	Reg.	
01/03/2019	CTRR11	1.047,537784	2,780972	-	1.050,318756	Padrão - SND	Reg.	
28/02/2019	CTRR11	1.047,340266	2,502071	-	1.049,842337	Padrão - SND	Reg.	
