PU Histórico - Gerado em 26/05/2019 21:18:48

Data do PU	Ativo	Valor Nominal	Juros	Prêmio	Preço Unitário	Critério de Cálculo	Situação	
24/05/2019	CVCB12	1.000,000000	0,794210	-	1.000,794210	Padrão - SND	Reg.	
23/05/2019	CVCB12	1.000,000000	0,529400	-	1.000,529400	Padrão - SND	Reg.	
22/05/2019	CVCB12	1.000,000000	0,264670	-	1.000,264670	Padrão - SND	Reg.	
21/05/2019	CVCB12	1.000,000000	-  	-	1.000,000000	Padrão - SND	Reg.	
20/05/2019	CVCB12	1.000,000000	32,811670	-	1.032,811670	Padrão - SND	Reg.	
17/05/2019	CVCB12	1.000,000000	32,538390	-	1.032,538390	Padrão - SND	Reg.	
16/05/2019	CVCB12	1.000,000000	32,265190	-	1.032,265190	Padrão - SND	Reg.	
15/05/2019	CVCB12	1.000,000000	31,992050	-	1.031,992050	Padrão - SND	Reg.	
14/05/2019	CVCB12	1.000,000000	31,718990	-	1.031,718990	Padrão - SND	Reg.	
13/05/2019	CVCB12	1.000,000000	31,446010	-	1.031,446010	Padrão - SND	Reg.	
10/05/2019	CVCB12	1.000,000000	31,173090	-	1.031,173090	Padrão - SND	Reg.	
09/05/2019	CVCB12	1.000,000000	30,900250	-	1.030,900250	Padrão - SND	Reg.	
08/05/2019	CVCB12	1.000,000000	30,627480	-	1.030,627480	Padrão - SND	Reg.	
07/05/2019	CVCB12	1.000,000000	30,354780	-	1.030,354780	Padrão - SND	Reg.	
06/05/2019	CVCB12	1.000,000000	30,082150	-	1.030,082150	Padrão - SND	Reg.	
03/05/2019	CVCB12	1.000,000000	29,809600	-	1.029,809600	Padrão - SND	Reg.	
02/05/2019	CVCB12	1.000,000000	29,537110	-	1.029,537110	Padrão - SND	Reg.	
30/04/2019	CVCB12	1.000,000000	29,264700	-	1.029,264700	Padrão - SND	Reg.	
29/04/2019	CVCB12	1.000,000000	28,992370	-	1.028,992370	Padrão - SND	Reg.	
26/04/2019	CVCB12	1.000,000000	28,720100	-	1.028,720100	Padrão - SND	Reg.	
25/04/2019	CVCB12	1.000,000000	28,447910	-	1.028,447910	Padrão - SND	Reg.	
24/04/2019	CVCB12	1.000,000000	28,175780	-	1.028,175780	Padrão - SND	Reg.	
23/04/2019	CVCB12	1.000,000000	27,903730	-	1.027,903730	Padrão - SND	Reg.	
22/04/2019	CVCB12	1.000,000000	27,631760	-	1.027,631760	Padrão - SND	Reg.	
18/04/2019	CVCB12	1.000,000000	27,359850	-	1.027,359850	Padrão - SND	Reg.	
17/04/2019	CVCB12	1.000,000000	27,088010	-	1.027,088010	Padrão - SND	Reg.	
16/04/2019	CVCB12	1.000,000000	26,816250	-	1.026,816250	Padrão - SND	Reg.	
15/04/2019	CVCB12	1.000,000000	26,544560	-	1.026,544560	Padrão - SND	Reg.	
12/04/2019	CVCB12	1.000,000000	26,272940	-	1.026,272940	Padrão - SND	Reg.	
11/04/2019	CVCB12	1.000,000000	26,001400	-	1.026,001400	Padrão - SND	Reg.	
10/04/2019	CVCB12	1.000,000000	25,729920	-	1.025,729920	Padrão - SND	Reg.	
09/04/2019	CVCB12	1.000,000000	25,458520	-	1.025,458520	Padrão - SND	Reg.	
08/04/2019	CVCB12	1.000,000000	25,187190	-	1.025,187190	Padrão - SND	Reg.	
05/04/2019	CVCB12	1.000,000000	24,915930	-	1.024,915930	Padrão - SND	Reg.	
04/04/2019	CVCB12	1.000,000000	24,644740	-	1.024,644740	Padrão - SND	Reg.	
03/04/2019	CVCB12	1.000,000000	24,373630	-	1.024,373630	Padrão - SND	Reg.	
