PU Histórico - Gerado em 26/05/2019 21:19:33

Data do PU	Ativo	Valor Nominal	Juros	Prêmio	Preço Unitário	Critério de Cálculo	Situação	
24/05/2019	DASA19	10.000,000000	110,211300	-	10.110,211300	Padrão - SND	Reg.	
23/05/2019	DASA19	10.000,000000	107,508800	-	10.107,508800	Padrão - SND	Reg.	
22/05/2019	DASA19	10.000,000000	104,807000	-	10.104,807000	Padrão - SND	Reg.	
21/05/2019	DASA19	10.000,000000	102,106000	-	10.102,106000	Padrão - SND	Reg.	
20/05/2019	DASA19	10.000,000000	99,405700	-	10.099,405700	Padrão - SND	Reg.	
17/05/2019	DASA19	10.000,000000	96,706100	-	10.096,706100	Padrão - SND	Reg.	
16/05/2019	DASA19	10.000,000000	94,007200	-	10.094,007200	Padrão - SND	Reg.	
15/05/2019	DASA19	10.000,000000	91,309100	-	10.091,309100	Padrão - SND	Reg.	
14/05/2019	DASA19	10.000,000000	88,611700	-	10.088,611700	Padrão - SND	Reg.	
13/05/2019	DASA19	10.000,000000	85,915000	-	10.085,915000	Padrão - SND	Reg.	
10/05/2019	DASA19	10.000,000000	83,219000	-	10.083,219000	Padrão - SND	Reg.	
09/05/2019	DASA19	10.000,000000	80,523700	-	10.080,523700	Padrão - SND	Reg.	
08/05/2019	DASA19	10.000,000000	77,829200	-	10.077,829200	Padrão - SND	Reg.	
07/05/2019	DASA19	10.000,000000	75,135300	-	10.075,135300	Padrão - SND	Reg.	
06/05/2019	DASA19	10.000,000000	72,442200	-	10.072,442200	Padrão - SND	Reg.	
03/05/2019	DASA19	10.000,000000	69,749900	-	10.069,749900	Padrão - SND	Reg.	
02/05/2019	DASA19	10.000,000000	67,058200	-	10.067,058200	Padrão - SND	Reg.	
30/04/2019	DASA19	10.000,000000	64,367300	-	10.064,367300	Padrão - SND	Reg.	
29/04/2019	DASA19	10.000,000000	61,677000	-	10.061,677000	Padrão - SND	Reg.	
26/04/2019	DASA19	10.000,000000	58,987500	-	10.058,987500	Padrão - SND	Reg.	
25/04/2019	DASA19	10.000,000000	56,298800	-	10.056,298800	Padrão - SND	Reg.	
24/04/2019	DASA19	10.000,000000	53,610700	-	10.053,610700	Padrão - SND	Reg.	
23/04/2019	DASA19	10.000,000000	50,923300	-	10.050,923300	Padrão - SND	Reg.	
22/04/2019	DASA19	10.000,000000	48,236700	-	10.048,236700	Padrão - SND	Reg.	
18/04/2019	DASA19	10.000,000000	45,550800	-	10.045,550800	Padrão - SND	Reg.	
17/04/2019	DASA19	10.000,000000	42,865600	-	10.042,865600	Padrão - SND	Reg.	
16/04/2019	DASA19	10.000,000000	40,181100	-	10.040,181100	Padrão - SND	Reg.	
15/04/2019	DASA19	10.000,000000	37,497400	-	10.037,497400	Padrão - SND	Reg.	
12/04/2019	DASA19	10.000,000000	34,814300	-	10.034,814300	Padrão - SND	Reg.	
11/04/2019	DASA19	10.000,000000	32,132000	-	10.032,132000	Padrão - SND	Reg.	
10/04/2019	DASA19	10.000,000000	29,450400	-	10.029,450400	Padrão - SND	Reg.	
09/04/2019	DASA19	10.000,000000	26,769500	-	10.026,769500	Padrão - SND	Reg.	
08/04/2019	DASA19	10.000,000000	24,089300	-	10.024,089300	Padrão - SND	Reg.	
05/04/2019	DASA19	10.000,000000	21,409900	-	10.021,409900	Padrão - SND	Reg.	
04/04/2019	DASA19	10.000,000000	18,731100	-	10.018,731100	Padrão - SND	Reg.	
