PU Histórico - Gerado em 26/05/2019 21:19:46

Data do PU	Ativo	Valor Nominal	Juros	Prêmio	Preço Unitário	Critério de Cálculo	Situação	
24/05/2019	DEET11	1,000000	0,023271	-	1,023271	Padrão - SND	Reg.	
23/05/2019	DEET11	1,000000	0,022935	-	1,022935	Padrão - SND	Reg.	
22/05/2019	DEET11	1,000000	0,022599	-	1,022599	Padrão - SND	Reg.	
21/05/2019	DEET11	1,000000	0,022263	-	1,022263	Padrão - SND	Reg.	
20/05/2019	DEET11	1,000000	0,021927	-	1,021927	Padrão - SND	Reg.	
17/05/2019	DEET11	1,000000	0,021591	-	1,021591	Padrão - SND	Reg.	
16/05/2019	DEET11	1,000000	0,021256	-	1,021256	Padrão - SND	Reg.	
15/05/2019	DEET11	1,000000	0,020920	-	1,020920	Padrão - SND	Reg.	
14/05/2019	DEET11	1,000000	0,020585	-	1,020585	Padrão - SND	Reg.	
13/05/2019	DEET11	1,000000	0,020249	-	1,020249	Padrão - SND	Reg.	
10/05/2019	DEET11	1,000000	0,019914	-	1,019914	Padrão - SND	Reg.	
09/05/2019	DEET11	1,000000	0,019579	-	1,019579	Padrão - SND	Reg.	
08/05/2019	DEET11	1,000000	0,019244	-	1,019244	Padrão - SND	Reg.	
07/05/2019	DEET11	1,000000	0,018909	-	1,018909	Padrão - SND	Reg.	
06/05/2019	DEET11	1,000000	0,018574	-	1,018574	Padrão - SND	Reg.	
03/05/2019	DEET11	1,000000	0,018240	-	1,018240	Padrão - SND	Reg.	
02/05/2019	DEET11	1,000000	0,017905	-	1,017905	Padrão - SND	Reg.	
30/04/2019	DEET11	1,000000	0,017571	-	1,017570	Padrão - SND	Reg.	
29/04/2019	DEET11	1,000000	0,017236	-	1,017236	Padrão - SND	Reg.	
26/04/2019	DEET11	1,000000	0,016902	-	1,016902	Padrão - SND	Reg.	
25/04/2019	DEET11	1,000000	0,016568	-	1,016568	Padrão - SND	Reg.	
24/04/2019	DEET11	1,000000	0,016234	-	1,016234	Padrão - SND	Reg.	
23/04/2019	DEET11	1,000000	0,015900	-	1,015900	Padrão - SND	Reg.	
22/04/2019	DEET11	1,000000	0,015566	-	1,015566	Padrão - SND	Reg.	
18/04/2019	DEET11	1,000000	0,015232	-	1,015232	Padrão - SND	Reg.	
17/04/2019	DEET11	1,000000	0,014899	-	1,014899	Padrão - SND	Reg.	
16/04/2019	DEET11	1,000000	0,014565	-	1,014565	Padrão - SND	Reg.	
15/04/2019	DEET11	1,000000	0,014232	-	1,014232	Padrão - SND	Reg.	
12/04/2019	DEET11	1,000000	0,013899	-	1,013899	Padrão - SND	Reg.	
11/04/2019	DEET11	1,000000	0,013565	-	1,013565	Padrão - SND	Reg.	
10/04/2019	DEET11	1,000000	0,013232	-	1,013232	Padrão - SND	Reg.	
09/04/2019	DEET11	1,000000	0,012899	-	1,012899	Padrão - SND	Reg.	
08/04/2019	DEET11	1,000000	0,012567	-	1,012567	Padrão - SND	Reg.	
05/04/2019	DEET11	1,000000	0,012234	-	1,012234	Padrão - SND	Reg.	
04/04/2019	DEET11	1,000000	0,011901	-	1,011901	Padrão - SND	Reg.	
03/04/2019	DEET11	1,000000	0,011569	-	1,011569	Padrão - SND	Reg.	
02/04/2019	DEET11	1,000000	0,011236	-	1,011236	Padrão - SND	Reg.	
01/04/2019	DEET11	1,000000	0,010904	-	1,010904	Padrão - SND	Reg.	
29/03/2019	DEET11	1,000000	0,010572	-	1,010572	Padrão - SND	Reg.	
28/03/2019	DEET11	1,000000	0,010240	-	1,010240	Padrão - SND	Reg.	
27/03/2019	DEET11	1,000000	0,009908	-	1,009908	Padrão - SND	Reg.	
26/03/2019	DEET11	1,000000	0,009576	-	1,009576	Padrão - SND	Reg.	
25/03/2019	DEET11	1,000000	0,009244	-	1,009244	Padrão - SND	Reg.	
22/03/2019	DEET11	1,000000	0,008913	-	1,008913	Padrão - SND	Reg.	
21/03/2019	DEET11	1,000000	0,008581	-	1,008581	Padrão - SND	Reg.	
20/03/2019	DEET11	1,000000	0,008250	-	1,008250	Padrão - SND	Reg.	
19/03/2019	DEET11	1,000000	0,007919	-	1,007919	Padrão - SND	Reg.	
18/03/2019	DEET11	1,000000	0,007587	-	1,007587	Padrão - SND	Reg.	
15/03/2019	DEET11	1,000000	0,007256	-	1,007256	Padrão - SND	Reg.	
14/03/2019	DEET11	1,000000	0,006925	-	1,006925	Padrão - SND	Reg.	
13/03/2019	DEET11	1,000000	0,006594	-	1,006594	Padrão - SND	Reg.	
12/03/2019	DEET11	1,000000	0,006264	-	1,006264	Padrão - SND	Reg.	
11/03/2019	DEET11	1,000000	0,005933	-	1,005933	Padrão - SND	Reg.	
08/03/2019	DEET11	1,000000	0,005603	-	1,005603	Padrão - SND	Reg.	
07/03/2019	DEET11	1,000000	0,005272	-	1,005272	Padrão - SND	Reg.	
06/03/2019	DEET11	1,000000	0,004942	-	1,004942	Padrão - SND	Reg.	
01/03/2019	DEET11	1,000000	0,004612	-	1,004612	Padrão - SND	Reg.	
28/02/2019	DEET11	1,000000	0,004281	-	1,004281	Padrão - SND	Reg.	
27/02/2019	DEET11	1,000000	0,003951	-	1,003951	Padrão - SND	Reg.	
26/02/2019	DEET11	1,000000	0,003622	-	1,003622	Padrão - SND	Reg.	
25/02/2019	DEET11	1,000000	0,003292	-	1,003292	Padrão - SND	Reg.	
22/02/2019	DEET11	1,000000	0,002962	-	1,002962	Padrão - SND	Reg.	
21/02/2019	DEET11	1,000000	0,002633	-	1,002633	Padrão - SND	Reg.	
20/02/2019	DEET11	1,000000	0,002303	-	1,002303	Padrão - SND	Reg.	
19/02/2019	DEET11	1,000000	0,001974	-	1,001974	Padrão - SND	Reg.	
18/02/2019	DEET11	1,000000	0,001645	-	1,001645	Padrão - SND	Reg.	
15/02/2019	DEET11	1,000000	0,001315	-	1,001315	Padrão - SND	Reg.	
14/02/2019	DEET11	1,000000	0,000986	-	1,000986	Padrão - SND	Reg.	
13/02/2019	DEET11	1,000000	0,000657	-	1,000657	Padrão - SND	Reg.	
12/02/2019	DEET11	1,000000	0,000329	-	1,000329	Padrão - SND	Reg.	
11/02/2019	DEET11	1,000000	-  	-	1,000000	Padrão - SND	Reg.	
08/02/2019	DEET11	1,000000	-  	-	1,000000	Padrão - SND	Reg.	


Valores expressos em reais.
Os valores refletem a nossa interpretação da escritura de emissão, não implicando em aceitação de compromisso legal ou financeiro.
