PU Histórico - Gerado em 26/05/2019 21:19:51

Data do PU	Ativo	Valor Nominal	Juros	Prêmio	Preço Unitário	Critério de Cálculo	Situação	
24/05/2019	DGSP13	1.000,000000	1,031980	-	1.001,031980	Padrão - SND	Reg.	
23/05/2019	DGSP13	1.000,000000	0,773880	-	1.000,773880	Padrão - SND	Reg.	
22/05/2019	DGSP13	1.000,000000	0,515860	-	1.000,515860	Padrão - SND	Reg.	
21/05/2019	DGSP13	1.000,000000	0,257890	-	1.000,257890	Padrão - SND	Reg.	
20/05/2019	DGSP13	1.000,000000	-  	-	1.000,000000	Padrão - SND	Reg.	
17/05/2019	DGSP13	1.000,000000	31,959140	-	1.031,959140	Padrão - SND	Reg.	
16/05/2019	DGSP13	1.000,000000	31,693070	-	1.031,693070	Padrão - SND	Reg.	
15/05/2019	DGSP13	1.000,000000	31,427070	-	1.031,427070	Padrão - SND	Reg.	
14/05/2019	DGSP13	1.000,000000	31,161140	-	1.031,161140	Padrão - SND	Reg.	
13/05/2019	DGSP13	1.000,000000	30,895280	-	1.030,895280	Padrão - SND	Reg.	
10/05/2019	DGSP13	1.000,000000	30,629490	-	1.030,629490	Padrão - SND	Reg.	
09/05/2019	DGSP13	1.000,000000	30,363760	-	1.030,363760	Padrão - SND	Reg.	
08/05/2019	DGSP13	1.000,000000	30,098100	-	1.030,098100	Padrão - SND	Reg.	
07/05/2019	DGSP13	1.000,000000	29,832520	-	1.029,832520	Padrão - SND	Reg.	
06/05/2019	DGSP13	1.000,000000	29,567000	-	1.029,567000	Padrão - SND	Reg.	
03/05/2019	DGSP13	1.000,000000	29,301540	-	1.029,301540	Padrão - SND	Reg.	
02/05/2019	DGSP13	1.000,000000	29,036160	-	1.029,036160	Padrão - SND	Reg.	
30/04/2019	DGSP13	1.000,000000	28,770850	-	1.028,770850	Padrão - SND	Reg.	
29/04/2019	DGSP13	1.000,000000	28,505600	-	1.028,505600	Padrão - SND	Reg.	
26/04/2019	DGSP13	1.000,000000	28,240420	-	1.028,240420	Padrão - SND	Reg.	
25/04/2019	DGSP13	1.000,000000	27,975310	-	1.027,975310	Padrão - SND	Reg.	
24/04/2019	DGSP13	1.000,000000	27,710270	-	1.027,710270	Padrão - SND	Reg.	
23/04/2019	DGSP13	1.000,000000	27,445300	-	1.027,445300	Padrão - SND	Reg.	
22/04/2019	DGSP13	1.000,000000	27,180400	-	1.027,180400	Padrão - SND	Reg.	
18/04/2019	DGSP13	1.000,000000	26,915560	-	1.026,915560	Padrão - SND	Reg.	
17/04/2019	DGSP13	1.000,000000	26,650790	-	1.026,650790	Padrão - SND	Reg.	
16/04/2019	DGSP13	1.000,000000	26,386090	-	1.026,386090	Padrão - SND	Reg.	
15/04/2019	DGSP13	1.000,000000	26,121460	-	1.026,121460	Padrão - SND	Reg.	
12/04/2019	DGSP13	1.000,000000	25,856900	-	1.025,856900	Padrão - SND	Reg.	
11/04/2019	DGSP13	1.000,000000	25,592410	-	1.025,592410	Padrão - SND	Reg.	
10/04/2019	DGSP13	1.000,000000	25,327980	-	1.025,327980	Padrão - SND	Reg.	
09/04/2019	DGSP13	1.000,000000	25,063620	-	1.025,063620	Padrão - SND	Reg.	
08/04/2019	DGSP13	1.000,000000	24,799330	-	1.024,799330	Padrão - SND	Reg.	
05/04/2019	DGSP13	1.000,000000	24,535110	-	1.024,535110	Padrão - SND	Reg.	
04/04/2019	DGSP13	1.000,000000	24,270960	-	1.024,270960	Padrão - SND	Reg.	
03/04/2019	DGSP13	1.000,000000	24,006870	-	1.024,006870	Padrão - SND	Reg.	
02/04/2019	DGSP13	1.000,000000	23,742850	-	1.023,742850	Padrão - SND	Reg.	
01/04/2019	DGSP13	1.000,000000	23,478900	-	1.023,478900	Padrão - SND	Reg.	
29/03/2019	DGSP13	1.000,000000	23,215020	-	1.023,215020	Padrão - SND	Reg.	
28/03/2019	DGSP13	1.000,000000	22,951210	-	1.022,951210	Padrão - SND	Reg.	
27/03/2019	DGSP13	1.000,000000	22,687460	-	1.022,687460	Padrão - SND	Reg.	
26/03/2019	DGSP13	1.000,000000	22,423780	-	1.022,423780	Padrão - SND	Reg.	
25/03/2019	DGSP13	1.000,000000	22,160170	-	1.022,160170	Padrão - SND	Reg.	
22/03/2019	DGSP13	1.000,000000	21,896630	-	1.021,896630	Padrão - SND	Reg.	
21/03/2019	DGSP13	1.000,000000	21,633160	-	1.021,633160	Padrão - SND	Reg.	
20/03/2019	DGSP13	1.000,000000	21,369750	-	1.021,369750	Padrão - SND	Reg.	
19/03/2019	DGSP13	1.000,000000	21,106420	-	1.021,106420	Padrão - SND	Reg.	
18/03/2019	DGSP13	1.000,000000	20,843150	-	1.020,843150	Padrão - SND	Reg.	
15/03/2019	DGSP13	1.000,000000	20,579940	-	1.020,579940	Padrão - SND	Reg.	
14/03/2019	DGSP13	1.000,000000	20,316810	-	1.020,316810	Padrão - SND	Reg.	
13/03/2019	DGSP13	1.000,000000	20,053740	-	1.020,053740	Padrão - SND	Reg.	
12/03/2019	DGSP13	1.000,000000	19,790750	-	1.019,790750	Padrão - SND	Reg.	
11/03/2019	DGSP13	1.000,000000	19,527820	-	1.019,527820	Padrão - SND	Reg.	
08/03/2019	DGSP13	1.000,000000	19,264950	-	1.019,264950	Padrão - SND	Reg.	
07/03/2019	DGSP13	1.000,000000	19,002160	-	1.019,002160	Padrão - SND	Reg.	
06/03/2019	DGSP13	1.000,000000	18,739430	-	1.018,739430	Padrão - SND	Reg.	
01/03/2019	DGSP13	1.000,000000	18,476770	-	1.018,476770	Padrão - SND	Reg.	
28/02/2019	DGSP13	1.000,000000	18,214180	-	1.018,214180	Padrão - SND	Reg.	
