PU Histórico - Gerado em 26/05/2019 21:20:33

Data do PU	Ativo	Valor Nominal	Juros	Prêmio	Preço Unitário	Critério de Cálculo	Situação	
24/05/2019	DIBNC8	10,000000	9,936473	-	19,936473	Padrão - SND	Reg.	
23/05/2019	DIBNC8	10,000000	9,931566	-	19,931566	Padrão - SND	Reg.	
22/05/2019	DIBNC8	10,000000	9,926660	-	19,926660	Padrão - SND	Reg.	
21/05/2019	DIBNC8	10,000000	9,921755	-	19,921755	Padrão - SND	Reg.	
20/05/2019	DIBNC8	10,000000	9,916852	-	19,916852	Padrão - SND	Reg.	
17/05/2019	DIBNC8	10,000000	9,911950	-	19,911950	Padrão - SND	Reg.	
16/05/2019	DIBNC8	10,000000	9,907048	-	19,907048	Padrão - SND	Reg.	
15/05/2019	DIBNC8	10,000000	9,902149	-	19,902149	Padrão - SND	Reg.	
14/05/2019	DIBNC8	10,000000	9,897250	-	19,897250	Padrão - SND	Reg.	
13/05/2019	DIBNC8	10,000000	9,892352	-	19,892352	Padrão - SND	Reg.	
10/05/2019	DIBNC8	10,000000	9,887456	-	19,887456	Padrão - SND	Reg.	
09/05/2019	DIBNC8	10,000000	9,882561	-	19,882561	Padrão - SND	Reg.	
08/05/2019	DIBNC8	10,000000	9,877667	-	19,877667	Padrão - SND	Reg.	
07/05/2019	DIBNC8	10,000000	9,872774	-	19,872774	Padrão - SND	Reg.	
06/05/2019	DIBNC8	10,000000	9,867883	-	19,867883	Padrão - SND	Reg.	
03/05/2019	DIBNC8	10,000000	9,862993	-	19,862993	Padrão - SND	Reg.	
02/05/2019	DIBNC8	10,000000	9,858104	-	19,858104	Padrão - SND	Reg.	
30/04/2019	DIBNC8	10,000000	9,853216	-	19,853216	Padrão - SND	Reg.	
29/04/2019	DIBNC8	10,000000	9,848329	-	19,848329	Padrão - SND	Reg.	
26/04/2019	DIBNC8	10,000000	9,843444	-	19,843444	Padrão - SND	Reg.	
25/04/2019	DIBNC8	10,000000	9,838559	-	19,838559	Padrão - SND	Reg.	
24/04/2019	DIBNC8	10,000000	9,833676	-	19,833676	Padrão - SND	Reg.	
23/04/2019	DIBNC8	10,000000	9,828794	-	19,828794	Padrão - SND	Reg.	
22/04/2019	DIBNC8	10,000000	9,823914	-	19,823914	Padrão - SND	Reg.	
18/04/2019	DIBNC8	10,000000	9,819034	-	19,819034	Padrão - SND	Reg.	
17/04/2019	DIBNC8	10,000000	9,814156	-	19,814156	Padrão - SND	Reg.	
16/04/2019	DIBNC8	10,000000	9,809279	-	19,809279	Padrão - SND	Reg.	
15/04/2019	DIBNC8	10,000000	9,804403	-	19,804403	Padrão - SND	Reg.	
12/04/2019	DIBNC8	10,000000	9,799529	-	19,799529	Padrão - SND	Reg.	
11/04/2019	DIBNC8	10,000000	9,794655	-	19,794655	Padrão - SND	Reg.	
10/04/2019	DIBNC8	10,000000	9,789783	-	19,789783	Padrão - SND	Reg.	
09/04/2019	DIBNC8	10,000000	9,784912	-	19,784912	Padrão - SND	Reg.	
08/04/2019	DIBNC8	10,000000	9,780042	-	19,780042	Padrão - SND	Reg.	
05/04/2019	DIBNC8	10,000000	9,775173	-	19,775173	Padrão - SND	Reg.	
04/04/2019	DIBNC8	10,000000	9,770306	-	19,770306	Padrão - SND	Reg.	
03/04/2019	DIBNC8	10,000000	9,765440	-	19,765440	Padrão - SND	Reg.	
02/04/2019	DIBNC8	10,000000	9,760575	-	19,760575	Padrão - SND	Reg.	
01/04/2019	DIBNC8	10,000000	9,755711	-	19,755711	Padrão - SND	Reg.	
29/03/2019	DIBNC8	10,000000	9,750848	-	19,750848	Padrão - SND	Reg.	
28/03/2019	DIBNC8	10,000000	9,745987	-	19,745987	Padrão - SND	Reg.	
27/03/2019	DIBNC8	10,000000	9,741126	-	19,741126	Padrão - SND	Reg.	
26/03/2019	DIBNC8	10,000000	9,736267	-	19,736267	Padrão - SND	Reg.	
25/03/2019	DIBNC8	10,000000	9,731409	-	19,731409	Padrão - SND	Reg.	
22/03/2019	DIBNC8	10,000000	9,726553	-	19,726553	Padrão - SND	Reg.	
21/03/2019	DIBNC8	10,000000	9,721697	-	19,721697	Padrão - SND	Reg.	
20/03/2019	DIBNC8	10,000000	9,716843	-	19,716843	Padrão - SND	Reg.	
19/03/2019	DIBNC8	10,000000	9,711990	-	19,711990	Padrão - SND	Reg.	
18/03/2019	DIBNC8	10,000000	9,707138	-	19,707138	Padrão - SND	Reg.	
15/03/2019	DIBNC8	10,000000	9,702287	-	19,702287	Padrão - SND	Reg.	
14/03/2019	DIBNC8	10,000000	9,697438	-	19,697438	Padrão - SND	Reg.	
13/03/2019	DIBNC8	10,000000	9,692589	-	19,692589	Padrão - SND	Reg.	
12/03/2019	DIBNC8	10,000000	9,687742	-	19,687742	Padrão - SND	Reg.	
11/03/2019	DIBNC8	10,000000	9,682896	-	19,682896	Padrão - SND	Reg.	
08/03/2019	DIBNC8	10,000000	9,678052	-	19,678052	Padrão - SND	Reg.	
07/03/2019	DIBNC8	10,000000	9,673208	-	19,673208	Padrão - SND	Reg.	
06/03/2019	DIBNC8	10,000000	9,668366	-	19,668366	Padrão - SND	Reg.	
01/03/2019	DIBNC8	10,000000	9,663525	-	19,663525	Padrão - SND	Reg.	
28/02/2019	DIBNC8	10,000000	9,658685	-	19,658685	Padrão - SND	Reg.	
27/02/2019	DIBNC8	10,000000	9,653846	-	19,653846	Padrão - SND	Reg.	
26/02/2019	DIBNC8	10,000000	9,649008	-	19,649008	Padrão - SND	Reg.	
25/02/2019	DIBNC8	10,000000	9,644172	-	19,644172	Padrão - SND	Reg.	
22/02/2019	DIBNC8	10,000000	9,639337	-	19,639337	Padrão - SND	Reg.	
21/02/2019	DIBNC8	10,000000	9,634503	-	19,634503	Padrão - SND	Reg.	
20/02/2019	DIBNC8	10,000000	9,629670	-	19,629670	Padrão - SND	Reg.	
19/02/2019	DIBNC8	10,000000	9,624838	-	19,624838	Padrão - SND	Reg.	
18/02/2019	DIBNC8	10,000000	9,620008	-	19,620008	Padrão - SND	Reg.	
15/02/2019	DIBNC8	10,000000	9,615179	-	19,615179	Padrão - SND	Reg.	
14/02/2019	DIBNC8	10,000000	9,610350	-	19,610350	Padrão - SND	Reg.	
13/02/2019	DIBNC8	10,000000	9,605524	-	19,605524	Padrão - SND	Reg.	
12/02/2019	DIBNC8	10,000000	9,600698	-	19,600698	Padrão - SND	Reg.	
11/02/2019	DIBNC8	10,000000	9,595873	-	19,595873	Padrão - SND	Reg.	
08/02/2019	DIBNC8	10,000000	9,591050	-	19,591050	Padrão - SND	Reg.	
07/02/2019	DIBNC8	10,000000	9,586228	-	19,586228	Padrão - SND	Reg.	
06/02/2019	DIBNC8	10,000000	9,581407	-	19,581407	Padrão - SND	Reg.	
05/02/2019	DIBNC8	10,000000	9,576587	-	19,576587	Padrão - SND	Reg.	
04/02/2019	DIBNC8	10,000000	9,571769	-	19,571769	Padrão - SND	Reg.	
01/02/2019	DIBNC8	10,000000	9,566951	-	19,566951	Padrão - SND	Reg.	
31/01/2019	DIBNC8	10,000000	9,562135	-	19,562135	Padrão - SND	Reg.	
30/01/2019	DIBNC8	10,000000	9,557320	-	19,557320	Padrão - SND	Reg.	
29/01/2019	DIBNC8	10,000000	9,552506	-	19,552506	Padrão - SND	Reg.	
28/01/2019	DIBNC8	10,000000	9,547694	-	19,547694	Padrão - SND	Reg.	
25/01/2019	DIBNC8	10,000000	9,542882	-	19,542882	Padrão - SND	Reg.	
24/01/2019	DIBNC8	10,000000	9,538072	-	19,538072	Padrão - SND	Reg.	
23/01/2019	DIBNC8	10,000000	9,533263	-	19,533263	Padrão - SND	Reg.	
22/01/2019	DIBNC8	10,000000	9,528455	-	19,528455	Padrão - SND	Reg.	
21/01/2019	DIBNC8	10,000000	9,523648	-	19,523648	Padrão - SND	Reg.	
18/01/2019	DIBNC8	10,000000	9,518843	-	19,518843	Padrão - SND	Reg.	
17/01/2019	DIBNC8	10,000000	9,514038	-	19,514038	Padrão - SND	Reg.	
16/01/2019	DIBNC8	10,000000	9,509235	-	19,509235	Padrão - SND	Reg.	
15/01/2019	DIBNC8	10,000000	9,504433	-	19,504433	Padrão - SND	Reg.	
14/01/2019	DIBNC8	10,000000	9,499632	-	19,499632	Padrão - SND	Reg.	
11/01/2019	DIBNC8	10,000000	9,494833	-	19,494833	Padrão - SND	Reg.	
10/01/2019	DIBNC8	10,000000	9,490034	-	19,490034	Padrão - SND	Reg.	
09/01/2019	DIBNC8	10,000000	9,485237	-	19,485237	Padrão - SND	Reg.	
08/01/2019	DIBNC8	10,000000	9,480441	-	19,480441	Padrão - SND	Reg.	
07/01/2019	DIBNC8	10,000000	9,475646	-	19,475646	Padrão - SND	Reg.	
04/01/2019	DIBNC8	10,000000	9,470852	-	19,470852	Padrão - SND	Reg.	
03/01/2019	DIBNC8	10,000000	9,466060	-	19,466060	Padrão - SND	Reg.	
02/01/2019	DIBNC8	10,000000	9,461268	-	19,461268	Padrão - SND	Reg.	
31/12/2018	DIBNC8	10,000000	9,456478	-	19,456478	Padrão - SND	Reg.	
28/12/2018	DIBNC8	10,000000	9,451689	-	19,451689	Padrão - SND	Reg.	
27/12/2018	DIBNC8	10,000000	9,446901	-	19,446901	Padrão - SND	Reg.	
26/12/2018	DIBNC8	10,000000	9,442115	-	19,442115	Padrão - SND	Reg.	
24/12/2018	DIBNC8	10,000000	9,437329	-	19,437329	Padrão - SND	Reg.	
21/12/2018	DIBNC8	10,000000	9,432545	-	19,432545	Padrão - SND	Reg.	
20/12/2018	DIBNC8	10,000000	9,427762	-	19,427762	Padrão - SND	Reg.	
19/12/2018	DIBNC8	10,000000	9,422980	-	19,422980	Padrão - SND	Reg.	
